energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Sn_p_up,Sn_p_down,Sn_d_up,Sn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.72825910,-2.38625832,0.89706758,-1.12800477,0.37484323,-0.42693964,0.19428453,-0.37566471,0.00035638,-0.00050230,1.01278446,-1.35883735,0.00000000,-0.00000000
-5.99399700,1.65292464,-2.41691039,0.86011676,-1.14080683,0.35916547,-0.43479417,0.18055030,-0.37038135,0.00033911,-0.00051486,0.97338360,-1.38443128,0.00000000,-0.00000000
-5.98799400,1.57542983,-2.43854246,0.82165880,-1.14968968,0.34298294,-0.44118615,0.16736121,-0.36367065,0.00032129,-0.00052500,0.93208133,-1.40487563,0.00000000,-0.00000000
-5.98199100,1.49693375,-2.45035232,0.78223708,-1.15431927,0.32656456,-0.44590814,0.15486168,-0.35559163,0.00030317,-0.00053251,0.88954650,-1.41956894,0.00000000,-0.00000000
-5.97598799,1.41860373,-2.45167408,0.74240356,-1.15440578,0.31018101,-0.44877640,0.14318109,-0.34621952,0.00028500,-0.00053719,0.84646552,-1.42799152,0.00000000,-0.00000000
-5.96998499,1.34158738,-2.44200764,0.70270508,-1.14971732,0.29409778,-0.44963839,0.13243268,-0.33564517,0.00026702,-0.00053892,0.80352412,-1.42972641,0.00000000,-0.00000000
-5.96398199,1.26698519,-2.42104403,0.66366950,-1.14009287,0.27856860,-0.44837936,0.12271301,-0.32397415,0.00024946,-0.00053763,0.76138925,-1.42447766,0.00000000,-0.00000000
-5.95797899,1.19582458,-2.38868548,0.62579241,-1.12545369,0.26382923,-0.44492777,0.11410171,-0.31132564,0.00023255,-0.00053328,0.72069152,-1.41208529,0.00000000,-0.00000000
-5.95197599,1.12903638,-2.34505913,0.58952471,-1.10581235,0.25009199,-0.43925936,0.10666169,-0.29783096,0.00021647,-0.00052591,0.68200894,-1.39253595,0.00000000,-0.00000000
-5.94597299,1.06743448,-2.29052332,0.55526166,-1.08127896,0.23754116,-0.43139953,0.10043947,-0.28363188,0.00020142,-0.00051562,0.64585261,-1.36596882,0.00000000,-0.00000000
-5.93996998,1.01169918,-2.22566622,0.52333377,-1.05206403,0.22632939,-0.42142407,0.09546590,-0.26887856,0.00018755,-0.00050256,0.61265468,-1.33267625,0.00000000,-0.00000000
-5.93396698,0.96236501,-2.15129653,0.49399995,-1.01847770,0.21657520,-0.40945797,0.09175688,-0.25372740,0.00017498,-0.00048692,0.58275913,-1.29309917,0.00000000,-0.00000000
-5.92796398,0.91981314,-2.06842650,0.46744311,-0.98092516,0.20836175,-0.39567260,0.08931428,-0.23833860,0.00016380,-0.00046896,0.55641572,-1.24781725,0.00000000,-0.00000000
-5.92196098,0.88426867,-1.97824804,0.44376840,-0.93989853,0.20173669,-0.38028123,0.08812693,-0.22287362,0.00015410,-0.00044897,0.53377703,-1.19753429,0.00000000,-0.00000000
-5.91595798,0.85580282,-1.88210259,0.42300419,-0.89596528,0.19671333,-0.36353306,0.08817160,-0.20749262,0.00014590,-0.00042727,0.51489900,-1.14305944,0.00000000,-0.00000000
-5.90995498,0.83433967,-1.78144627,0.40510564,-0.84975387,0.19327281,-0.34570612,0.08941401,-0.19235190,0.00013921,-0.00040421,0.49974447,-1.08528490,0.00000000,-0.00000000
