energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,0.53260320,0.09556841,0.00024472,0.30631690,0.00000000,0.30436754,0.25088783
-5.99399700,0.54502859,0.10477065,0.00026060,0.30435355,0.00000000,0.30807174,0.25714203
-5.98799400,0.56117415,0.11485593,0.00027753,0.30405826,0.00000000,0.31383991,0.26496443
-5.98199100,0.58054746,0.12578751,0.00029525,0.30507400,0.00000000,0.32136884,0.27411624
-5.97598799,0.60261863,0.13752152,0.00031350,0.30702636,0.00000000,0.33033686,0.28434253
-5.96998499,0.62683728,0.15000725,0.00033200,0.30953719,0.00000000,0.34041469,0.29538073
-5.96398199,0.65264918,0.16318768,0.00035044,0.31223770,0.00000000,0.35127576,0.30696882
-5.95797899,0.67951181,0.17700004,0.00036855,0.31478050,0.00000000,0.36260583,0.31885311
-5.95197599,0.70690855,0.19137638,0.00038602,0.31685017,0.00000000,0.37411154,0.33079529
-5.94597299,0.73436108,0.20624431,0.00040257,0.31817211,0.00000000,0.38552759,0.34257858
-5.93996998,0.76143969,0.22152770,0.00041794,0.31851941,0.00000000,0.39662245,0.35401283
-5.93396698,0.78777128,0.23714740,0.00043191,0.31771760,0.00000000,0.40720250,0.36493841
-5.92796398,0.81304498,0.25302205,0.00044427,0.31564714,0.00000000,0.41711443,0.37522885
-5.92196098,0.83701534,0.26906880,0.00045485,0.31224386,0.00000000,0.42624602,0.38479231
-5.91595798,0.85950326,0.28520410,0.00046355,0.30749718,0.00000000,0.43452541,0.39357176
-5.90995498,0.88039465,0.30134449,0.00047029,0.30144656,0.00000000,0.44191889,0.40154401
-5.90395198,0.89963738,0.31740739,0.00047506,0.29417638,0.00000000,0.44842756,0.40871786
-5.89794897,0.91723644,0.33331194,0.00047788,0.28580943,0.00000000,0.45408296,0.41513126
-5.89194597,0.93324811,0.34897986,0.00047885,0.27649965,0.00000000,0.45894212,0.42084797
-5.88594297,0.94777309,0.36433635,0.00047810,0.26642424,0.00000000,0.46308223,0.42595372
-5.87993997,0.96094935,0.37931107,0.00047581,0.25577571,0.00000000,0.46659514,0.43055206
-5.87393697,0.97294478,0.39383907,0.00047223,0.24475418,0.00000000,0.46958219,0.43476030
-5.86793397,0.98395005,0.40786187,0.00046763,0.23356026,0.00000000,0.47214937,0.43870539
-5.86193097,0.99417198,0.42132837,0.00046230,0.22238876,0.00000000,0.47440310,0.44252022
