energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.16741767,0.15421987,0.04255877,0.00159371,0.00002109,0.00286203,0.12783079
-5.99399700,0.15485727,0.15039179,0.03781997,0.00181801,0.00001757,0.00295349,0.11797097
-5.98799400,0.14693507,0.15035900,0.03456885,0.00207391,0.00001466,0.00310597,0.11172218
-5.98199100,0.14336936,0.15390369,0.03273845,0.00236116,0.00001233,0.00331651,0.10886937
-5.97598799,0.14389812,0.16080175,0.03228148,0.00267897,0.00001051,0.00358154,0.10921583
-5.96998499,0.14828286,0.17082413,0.03317162,0.00302595,0.00000916,0.00389686,0.11258614
-5.96398199,0.15631062,0.18373742,0.03540383,0.00340007,0.00000825,0.00425763,0.11882759
-5.95797899,0.16779436,0.19930402,0.03899390,0.00379860,0.00000775,0.00465835,0.12781039
-5.95197599,0.18257202,0.21728215,0.04397708,0.00421809,0.00000764,0.00509289,0.13942665
-5.94597299,0.20050439,0.23742604,0.05040586,0.00465440,0.00000790,0.00555452,0.15358841
-5.93996998,0.22147210,0.25948640,0.05834699,0.00510273,0.00000853,0.00603599,0.17022489
-5.93396698,0.24537190,0.28321154,0.06787769,0.00555768,0.00000954,0.00652960,0.18927905
-5.92796398,0.27211239,0.30834906,0.07908114,0.00601339,0.00001093,0.00702736,0.21070361
-5.92196098,0.30160936,0.33464832,0.09204132,0.00646366,0.00001271,0.00752115,0.23445674
-5.91595798,0.33378092,0.36186352,0.10683736,0.00690210,0.00001490,0.00800290,0.26049733
-5.90995498,0.36854238,0.38975736,0.12353737,0.00732235,0.00001752,0.00846482,0.28878022
-5.90395198,0.40580124,0.41810508,0.14219218,0.00771831,0.00002059,0.00889963,0.31925127
-5.89794897,0.44545222,0.44669868,0.16282890,0.00808430,0.00002413,0.00930078,0.35184250
-5.89194597,0.48737257,0.47535110,0.18544490,0.00841537,0.00002816,0.00966269,0.38646754
-5.88594297,0.53141785,0.50390006,0.21000212,0.00870746,0.00003269,0.00998097,0.42301741
-5.87993997,0.57741833,0.53221144,0.23642235,0.00895763,0.00003772,0.01025258,0.46135696
-5.87393697,0.62517629,0.56018186,0.26458353,0.00916431,0.00004327,0.01047597,0.50132211
-5.86793397,0.67446441,0.58774041,0.29431757,0.00932735,0.00004933,0.01065119,0.54271825
-5.86193097,0.72502555,0.61484946,0.32540980,0.00944828,0.00005587,0.01077989,0.58531980
-5.85592796,0.77657402,0.64150435,0.35760039,0.00953029,0.00006288,0.01086533,0.62887141
-5.84992496,0.82879865,0.66773219,0.39058782,0.00957834,0.00007031,0.01091223,0.67309065
-5.84392196,0.88136765,0.69358976,0.42403449,0.00959913,0.00007814,0.01092668,0.71767260
-5.83791896,0.93393529,0.71916053,0.45757436,0.00960108,0.00008629,0.01091590,0.76229599
-5.83191596,0.98615033,0.74455121,0.49082252,0.00959417,0.00009471,0.01088798,0.80663112
-5.82591296,1.03766586,0.76988772,0.52338641,0.00958984,0.00010333,0.01085161,0.85034904
-5.81990995,1.08815039,0.79531097,0.55487818,0.00960077,0.00011207,0.01081572,0.89313188
-5.81390695,1.13729944,0.82097243,0.58492785,0.00964064,0.00012085,0.01078921,0.93468379
-5.80790395,1.18484729,0.84702971,0.61319651,0.00972384,0.00012960,0.01078059,0.97474200
-5.80190095,1.23057804,0.87364221,0.63938906,0.00986512,0.00013824,0.01079769,1.01308729
-5.79589795,1.27433546,0.90096685,0.66326583,0.01007927,0.00014671,0.01084737,1.04955346
-5.78989495,1.31603077,0.92915393,0.68465233,0.01038069,0.00015493,0.01093532,1.08403497
-5.78389195,1.35564784,0.95834308,0.70344673,0.01078300,0.00016286,0.01106583,1.11649230
-5.77788894,1.39324529,0.98865928,0.71962449,0.01129857,0.00017045,0.01124171,1.14695457
-5.77188594,1.42895502,1.02020896,0.73323988,0.01193812,0.00017767,0.01146421,1.17551903
-5.76588294,1.46297722,1.05307615,0.74442415,0.01271027,0.00018453,0.01173300,1.20234733
-5.75987994,1.49557167,1.08731868,0.75338048,0.01362112,0.00019102,0.01204626,1.22765859
-5.75387694,1.52704588,1.12296467,0.76037571,0.01467388,0.00019715,0.01240076,1.25171946
-5.74787394,1.55774046,1.16000930,0.76572948,0.01586853,0.00020298,0.01279200,1.27483174
-5.74187094,1.58801242,1.19841209,0.76980104,0.01720157,0.00020854,0.01321445,1.29731807
-5.73586793,1.61821754,1.23809509,0.77297461,0.01866583,0.00021390,0.01366174,1.31950653
-5.72986493,1.64869258,1.27894203,0.77564393,0.02025040,0.00021913,0.01412690,1.34171506
-5.72386193,1.67973857,1.32079890,0.77819677,0.02194064,0.00022432,0.01460259,1.36423651
-5.71785893,1.71160619,1.36347614,0.78100033,0.02371836,0.00022956,0.01508140,1.38732539
-5.71185593,1.74448420,1.40675272,0.78438810,0.02556211,0.00023493,0.01555603,1.41118704
-5.70585293,1.77849167,1.45038214,0.78864895,0.02744757,0.00024055,0.01601952,1.43596992
-5.69984992,1.81367466,1.49410045,0.79401894,0.02934810,0.00024650,0.01646548,1.46176162
-5.69384692,1.85000747,1.53763618,0.80067605,0.03123539,0.00025289,0.01688822,1.48858872
-5.68784392,1.88739857,1.58072182,0.80873823,0.03308021,0.00025981,0.01728288,1.51642060
-5.68184092,1.92570081,1.62310652,0.81826447,0.03485320,0.00026735,0.01764555,1.54517698
-5.67583792,1.96472525,1.66456932,0.82925879,0.03652570,0.00027560,0.01797334,1.57473854
-5.66983492,2.00425763,1.70493236,0.84167679,0.03807063,0.00028464,0.01826439,1.60496004
-5.66383192,2.04407658,1.74407310,0.85543415,0.03946328,0.00029454,0.01851787,1.63568496
-5.65782891,2.08397204,1.78193486,0.87041636,0.04068203,0.00030538,0.01873395,1.66676064
-5.65182591,2.12376281,1.81853475,0.88648923,0.04170902,0.00031720,0.01891371,1.69805274
-5.64582291,2.16331171,1.85396821,0.90350924,0.04253063,0.00033005,0.01905909,1.72945817
-5.63981991,2.20253748,1.88840964,0.92133311,0.04313786,0.00034396,0.01917274,1.76091526
-5.63381691,2.24142222,1.92210838,0.93982609,0.04352645,0.00035894,0.01925786,1.79241047
-5.62781391,2.28001368,1.95538011,0.95886830,0.04369690,0.00037499,0.01931810,1.82398097
-5.62181091,2.31842218,1.98859338,0.97835895,0.04365432,0.00039208,0.01935735,1.85571282
-5.61580790,2.35681189,2.02215169,0.99821804,0.04340800,0.00041017,0.01937956,1.88773449
-5.60980490,2.39538692,2.05647172,1.01838560,0.04297100,0.00042917,0.01938861,1.92020606
-5.60380190,2.43437271,2.09195837,1.03881862,0.04235944,0.00044897,0.01938811,1.95330453
-5.59779890,2.47399384,2.12897783,1.05948581,0.04159189,0.00046945,0.01938121,1.98720592
-5.59179590,2.51444920,2.16782988,1.08036057,0.04068850,0.00049043,0.01937052,2.02206527
-5.58579290,2.55588615,2.20872076,1.10141285,0.03967032,0.00051170,0.01935792,2.05799539
-5.57978989,2.59837491,2.25173812,1.12260016,0.03855850,0.00053305,0.01934449,2.09504588
-5.57378689,2.64188489,2.29682934,1.14385858,0.03737359,0.00055420,0.01933045,2.13318338
-5.56778389,2.68626427,2.34378477,1.16509428,0.03613492,0.00057487,0.01931509,2.17227445
-5.56178089,2.73122419,2.39222677,1.18617602,0.03486014,0.00059475,0.01929679,2.21207216
-5.55577789,2.77632879,2.44160564,1.20692944,0.03356478,0.00061353,0.01927307,2.25220723
-5.54977489,2.82099179,2.49120297,1.22713326,0.03226204,0.00063088,0.01924060,2.29218468
-5.54377189,2.86448020,2.54014266,1.24651801,0.03096265,0.00064646,0.01919540,2.33138627
-5.53776888,2.90592550,2.58740955,1.26476737,0.02967490,0.00065996,0.01913289,2.36907910
-5.53176588,2.94434196,2.63187514,1.28152222,0.02840472,0.00067107,0.01904812,2.40443021
-5.52576288,2.97865164,2.67232964,1.29638753,0.02715597,0.00067954,0.01893591,2.43652684
-5.51975988,3.00771536,2.70751901,1.30894163,0.02593064,0.00068511,0.01879109,2.46440169
-5.51375688,3.03036826,2.73618579,1.31874787,0.02472929,0.00068759,0.01860870,2.48706226
-5.50775388,3.04545872,2.75711189,1.32536795,0.02355136,0.00068684,0.01838416,2.50352308
-5.50175088,3.05188902,2.76916161,1.32837667,0.02239553,0.00068276,0.01811354,2.51283972
-5.49574787,3.04865595,2.77132318,1.32737724,0.02126017,0.00067533,0.01779366,2.51414283
-5.48974487,3.03488970,2.76274683,1.32201666,0.02014356,0.00066457,0.01742231,2.50667117
-5.48374187,3.00988936,2.74277797,1.31200041,0.01904422,0.00065058,0.01699831,2.48980180
-5.47773887,2.97315333,2.71098391,1.29710577,0.01796115,0.00063350,0.01652166,2.46307642
-5.47173587,2.92440341,2.66717300,1.27719320,0.01689393,0.00061354,0.01599352,2.42622245
-5.46573287,2.86360143,2.61140553,1.25221509,0.01584285,0.00059094,0.01541625,2.37916806
-5.45972986,2.79095765,2.54399573,1.22222161,0.01480893,0.00056602,0.01479335,2.32205035
-5.45372686,2.70693061,2.46550514,1.18736322,0.01379389,0.00053910,0.01412937,2.25521642
-5.44772386,2.61221832,2.37672748,1.14788972,0.01280007,0.00051054,0.01342981,2.17921712
-5.44172086,2.50774134,2.27866595,1.10414584,0.01183035,0.00048072,0.01270096,2.09479397
-5.43571786,2.39461844,2.17250396,1.05656352,0.01088794,0.00045002,0.01194968,2.00285960
-5.42971486,2.27413585,2.05957062,1.00565128,0.00997632,0.00041882,0.01118329,1.90447283
-5.42371186,2.14771171,1.94130262,0.95198092,0.00909898,0.00038749,0.01040929,1.80080924
-5.41770885,2.01685693,1.81920402,0.89617251,0.00825933,0.00035639,0.00963520,1.69312881
-5.41170585,1.88313442,1.69480569,0.83887787,0.00746055,0.00032583,0.00886832,1.58274169
-5.40570285,1.74811822,1.56962596,0.78076358,0.00670543,0.00029613,0.00811563,1.47097378
-5.39969985,1.61335421,1.44513406,0.72249414,0.00599632,0.00026752,0.00738352,1.35913332
-5.39369685,1.48032370,1.32271739,0.66471581,0.00533502,0.00024023,0.00667774,1.24847989
-5.38769385,1.35041146,1.20365379,0.60804197,0.00472275,0.00021444,0.00600329,1.14019671
-5.38169085,1.22487884,1.08908949,0.55304028,0.00416014,0.00019028,0.00536428,1.03536732
-5.37568784,1.10484286,0.98002304,0.50022224,0.00364723,0.00016785,0.00476398,0.93495707
-5.36968484,0.99126150,0.87729542,0.45003517,0.00318352,0.00014722,0.00420474,0.83979981
-5.36368184,0.88492529,0.78158599,0.40285698,0.00276799,0.00012840,0.00368803,0.75058993
-5.35767884,0.78645485,0.69341395,0.35899346,0.00239919,0.00011138,0.00321453,0.66787933
-5.35167584,0.69630393,0.61314457,0.31867806,0.00207529,0.00009614,0.00278410,0.59207916
-5.34567284,0.61476709,0.54099927,0.28207393,0.00179419,0.00008262,0.00239597,0.52346555
-5.33966983,0.54199122,0.47706884,0.24927774,0.00155356,0.00007074,0.00204874,0.46218862
-5.33366683,0.47798988,0.42132854,0.22032501,0.00135093,0.00006041,0.00174056,0.40828397
-5.32766383,0.42265938,0.37365433,0.19519643,0.00118378,0.00005154,0.00146917,0.36168585
-5.32166083,0.37579577,0.33383927,0.17382479,0.00104955,0.00004403,0.00123204,0.32224099
-5.31565783,0.33711163,0.30160927,0.15610208,0.00094573,0.00003776,0.00102643,0.28972261
-5.30965483,0.30625215,0.27663755,0.14188643,0.00086989,0.00003264,0.00084954,0.26384370
