energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.74215691,0.16041687,0.00000000,0.02137527,1.59675492,1.58755310,0.51680516
-5.99399700,2.80347748,0.16667612,0.00000000,0.02072378,1.62379314,1.64598938,0.51594328
-5.98799400,2.85639352,0.17249557,0.00000000,0.02001393,1.64606095,1.69944280,0.51363638
-5.98199100,2.90013819,0.17778772,0.00000000,0.01925777,1.66323648,1.74710796,0.50993233
-5.97598799,2.93401703,0.18246800,0.00000000,0.01846728,1.67503200,1.78822732,0.50488409
-5.96998499,2.95743224,0.18645719,0.00000000,0.01765402,1.68120528,1.82211499,0.49854982
-5.96398199,2.96990856,0.18968409,0.00000000,0.01682898,1.68157228,1.84818083,0.49099378
-5.95797899,2.97111947,0.19208800,0.00000000,0.01600229,1.67602061,1.86595386,0.48228809
-5.95197599,2.96091217,0.19362121,0.00000000,0.01518316,1.66452291,1.87510404,0.47251487
-5.94597299,2.93933008,0.19425115,0.00000000,0.01437975,1.64714944,1.87546125,0.46176881
-5.93996998,2.90663140,0.19396220,0.00000000,0.01359914,1.62407884,1.86703067,0.45015972
-5.93396698,2.86330232,0.19275707,0.00000000,0.01284734,1.59560649,1.85000353,0.43781502
-5.92796398,2.81006395,0.19065760,0.00000000,0.01212930,1.56214962,1.82476271,0.42488160
-5.92196098,2.74787205,0.18770503,0.00000000,0.01144901,1.52424860,1.79188263,0.41152715
-5.91595798,2.67790895,0.18395959,0.00000000,0.01080954,1.48256413,1.75212315,0.39794054
-5.90995498,2.60156764,0.17949949,0.00000000,0.01021315,1.43786997,1.70641747,0.38433115
-5.90395198,2.52042811,0.17441934,0.00000000,0.00966138,1.39104134,1.65585441,0.37092722
-5.89794897,2.43622642,0.16882800,0.00000000,0.00915514,1.34303909,1.60165520,0.35797290
-5.89194597,2.35081742,0.16284592,0.00000000,0.00869483,1.29489014,1.54514584,0.34572433
-5.88594297,2.26613212,0.15660221,0.00000000,0.00828039,1.24766467,1.48772555,0.33444462
-5.87993997,2.18413123,0.15023125,0.00000000,0.00791136,1.20245081,1.43083253,0.32439807
-5.87393697,2.10675611,0.14386931,0.00000000,0.00758697,1.16032769,1.37590791,0.31584359
-5.86793397,2.03587896,0.13765104,0.00000000,0.00730618,1.12233766,1.32435919,0.30902785
-5.86193097,1.97325376,0.13170595,0.00000000,0.00706769,1.08945871,1.27752416,0.30417813
-5.85592796,1.92046962,0.12615520,0.00000000,0.00686999,1.06257794,1.23663655,0.30149531
-5.84992496,1.87890799,0.12110854,0.00000000,0.00671134,1.04246705,1.20279425,0.30114728
-5.84392196,1.84970535,0.11666164,0.00000000,0.00658981,1.02976070,1.17693130,0.30326300
-5.83791896,1.83372232,0.11289383,0.00000000,0.00650325,1.02493837,1.15979416,0.30792749
-5.83191596,1.83152053,0.10986632,0.00000000,0.00644932,1.02831054,1.15192323,0.31517802
-5.82591296,1.84334782,0.10762088,0.00000000,0.00642546,1.04000955,1.15363997,0.32500166
-5.81990995,1.86913251,0.10617913,0.00000000,0.00642890,1.05998563,1.16503998,0.33733440
