energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.19563576,0.00771117,0.03344909,0.92620013,0.44411839,0.01847745,1.42882620,0.67221352,0.14715273
-5.99399700,2.22535426,0.00776857,0.03236381,0.93913904,0.45298289,0.01873035,1.45135411,0.68518672,0.14844320
-5.98799400,2.25556321,0.00787352,0.03133693,0.95186277,0.46185562,0.01902351,1.47411232,0.69817903,0.14977038
-5.98199100,2.28558227,0.00801459,0.03037493,0.96414445,0.47049296,0.01935604,1.49665437,0.71090654,0.15111409
-5.97598799,2.31471626,0.00818051,0.02948324,0.97575111,0.47865121,0.01972669,1.51852374,0.72308197,0.15245239
-5.96998499,2.34226942,0.00836045,0.02866607,0.98644768,0.48609247,0.02013381,1.53926319,0.73442099,0.15376192
-5.96398199,2.36756069,0.00854419,0.02792626,0.99600172,0.49259067,0.02057529,1.55842488,0.74464879,0.15501846
-5.95797899,2.38993949,0.00872230,0.02726515,1.00418871,0.49793744,0.02104859,1.57558078,0.75350677,0.15619749
-5.95197599,2.40880145,0.00888633,0.02668247,1.01079775,0.50194775,0.02155064,1.59033311,0.76075905,0.15727481
-5.94597299,2.42360345,0.00902886,0.02617634,1.01563732,0.50446491,0.02207783,1.60232430,0.76619858,0.15822718
-5.93996998,2.43387724,0.00914362,0.02574327,1.01854099,0.50536493,0.02262600,1.61124607,0.76965257,0.15903294
-5.93396698,2.43924100,0.00922552,0.02537817,1.01937250,0.50455979,0.02319041,1.61684706,0.77098699,0.15967259
-5.92796398,2.43940812,0.00927067,0.02507454,1.01803016,0.50199969,0.02376572,1.61893869,0.77010993,0.16012922
-5.92196098,2.43419284,0.00927634,0.02482462,1.01445013,0.49767396,0.02434603,1.61739889,0.76697365,0.16038890
-5.91595798,2.42351233,0.00924093,0.02461956,1.00860844,0.49161072,0.02492484,1.61217339,0.76157521,0.16044081
-5.90995498,2.40738506,0.00916390,0.02444973,1.00052155,0.48387515,0.02549513,1.60327471,0.75395567,0.16027735
-5.90395198,2.38592554,0.00904566,0.02430497,0.99024546,0.47456658,0.02604940,1.59077858,0.74419784,0.15989393
-5.89794897,2.35933580,0.00888749,0.02417488,0.97787330,0.46381437,0.02657973,1.57481825,0.73242273,0.15928877
-5.89194597,2.32789386,0.00869138,0.02404913,0.96353166,0.45177293,0.02707783,1.55557686,0.71878486,0.15846246
