energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.29013778,-3.29013802,0.00409406,-0.00409406,0.44831905,-0.44831908,1.43698098,-1.43698105,0.74985856,-0.74985860,0.26986848,-0.26986851,0.00000000,-0.00000000,1.53765543,-1.53765556,0.00000000,-0.00000000
-5.99399700,3.13966579,-3.13966601,0.00393651,-0.00393651,0.42965925,-0.42965928,1.39326373,-1.39326378,0.71562805,-0.71562809,0.25492628,-0.25492630,0.00000000,-0.00000000,1.46694356,-1.46694367,0.00000000,-0.00000000
-5.98799400,3.00463989,-3.00464009,0.00386138,-0.00386138,0.41319836,-0.41319838,1.35928510,-1.35928514,0.68455565,-0.68455569,0.24157185,-0.24157186,0.00000000,-0.00000000,1.40350114,-1.40350124,0.00000000,-0.00000000
-5.98199100,2.88850286,-2.88850302,0.00386580,-0.00386580,0.39941450,-0.39941452,1.33661708,-1.33661710,0.65742321,-0.65742324,0.23006658,-0.23006660,0.00000000,-0.00000000,1.34894193,-1.34894201,0.00000000,-0.00000000
-5.97598799,2.79417078,-2.79417090,0.00394684,-0.00394684,0.38871211,-0.38871212,1.32656838,-1.32656838,0.63489669,-0.63489671,0.22062080,-0.22062081,0.00000000,-0.00000000,1.30463229,-1.30463235,0.00000000,-0.00000000
-5.96998499,2.72396249,-2.72396257,0.00410142,-0.00410142,0.38141190,-0.38141191,1.33014854,-1.33014852,0.61750979,-0.61750980,0.21338966,-0.21338967,0.00000000,-0.00000000,1.27165818,-1.27165823,0.00000000,-0.00000000
-5.96398199,2.67954644,-2.67954649,0.00432621,-0.00432621,0.37774329,-0.37774329,1.34803925,-1.34803921,0.60565155,-0.60565156,0.20847062,-0.20847063,0.00000000,-0.00000000,1.25080033,-1.25080036,0.00000000,-0.00000000
-5.95797899,2.66190593,-2.66190594,0.00461756,-0.00461756,0.37783932,-0.37783931,1.38057326,-1.38057319,0.59955850,-0.59955849,0.20590259,-0.20590259,0.00000000,-0.00000000,1.24251789,-1.24251790,0.00000000,-0.00000000
-5.95197599,2.67132307,-2.67132303,0.00497149,-0.00497149,0.38173418,-0.38173417,1.42772152,-1.42772143,0.59931119,-0.59931118,0.20566652,-0.20566652,0.00000000,-0.00000000,1.24694080,-1.24694078,0.00000000,-0.00000000
-5.94597299,2.70738165,-2.70738157,0.00538360,-0.00538360,0.38936350,-0.38936348,1.48908895,-1.48908884,0.60483543,-0.60483540,0.20768756,-0.20768755,0.00000000,-0.00000000,1.26387093,-1.26387090,0.00000000,-0.00000000
-5.93996998,2.76898857,-2.76898845,0.00584912,-0.00584912,0.40056710,-0.40056708,1.56391900,-1.56391888,0.61590789,-0.61590785,0.21183855,-0.21183854,0.00000000,-0.00000000,1.29279188,-1.29279184,0.00000000,-0.00000000
-5.93396698,2.85441324,-2.85441309,0.00636294,-0.00636294,0.41509452,-0.41509449,1.65110731,-1.65110717,0.63216613,-0.63216609,0.21794486,-0.21794485,0.00000000,-0.00000000,1.33288701,-1.33288695,0.00000000,-0.00000000
-5.92796398,2.96134399,-2.96134381,0.00691975,-0.00691975,0.43261277,-0.43261274,1.74922428,-1.74922413,0.65312268,-0.65312263,0.22579043,-0.22579041,0.00000000,-0.00000000,1.38306549,-1.38306542,0.00000000,-0.00000000
-5.92196098,3.08696026,-3.08696005,0.00751411,-0.00751411,0.45271659,-0.45271655,1.85654662,-1.85654646,0.67818278,-0.67818273,0.23512484,-0.23512483,0.00000000,-0.00000000,1.44199570,-1.44199561,0.00000000,-0.00000000
-5.91595798,3.22801885,-3.22801861,0.00814076,-0.00814076,0.47494055,-0.47494051,1.97109723,-1.97109706,0.70666553,-0.70666547,0.24567143,-0.24567141,0.00000000,-0.00000000,1.50814518,-1.50814508,0.00000000,-0.00000000
-5.90995498,3.38095228,-3.38095203,0.00879477,-0.00879476,0.49877305,-0.49877301,2.09069287,-2.09069270,0.73782760,-0.73782753,0.25713605,-0.25713603,0.00000000,-0.00000000,1.57982639,-1.57982629,0.00000000,-0.00000000
-5.90395198,3.54197679,-3.54197653,0.00947190,-0.00947190,0.52367161,-0.52367157,2.21299866,-2.21299849,0.77088904,-0.77088898,0.26921660,-0.26921658,0.00000000,-0.00000000,1.65524703,-1.65524692,0.00000000,-0.00000000
-5.89794897,3.70720704,-3.70720678,0.01016891,-0.01016891,0.54907916,-0.54907911,2.33558813,-2.33558797,0.80506041,-0.80506034,0.28161276,-0.28161275,0.00000000,-0.00000000,1.73256370,-1.73256360,0.00000000,-0.00000000
-5.89194597,3.87277446,-3.87277421,0.01088389,-0.01088389,0.57444083,-0.57444079,2.45600730,-2.45600715,0.83957015,-0.83957007,0.29403599,-0.29403597,0.00000000,-0.00000000,1.80993749,-1.80993739,0.00000000,-0.00000000
-5.88594297,4.03494548,-4.03494523,0.01161658,-0.01161658,0.59922068,-0.59922063,2.57184095,-2.57184080,0.87369158,-0.87369151,0.30621925,-0.30621923,0.00000000,-0.00000000,1.88558975,-1.88558965,0.00000000,-0.00000000
-5.87993997,4.19023597,-4.19023574,0.01236872,-0.01236872,0.62291778,-0.62291775,2.68077907,-2.68077894,0.90676827,-0.90676820,0.31792638,-0.31792637,0.00000000,-0.00000000,1.95785639,-1.95785629,0.00000000,-0.00000000
-5.87393697,4.33551792,-4.33551771,0.01314432,-0.01314432,0.64508121,-0.64508118,2.78068141,-2.78068130,0.93823689,-0.93823682,0.32896058,-0.32896057,0.00000000,-0.00000000,2.02523889,-2.02523881,0.00000000,-0.00000000
-5.86793397,4.46811446,-4.46811426,0.01394986,-0.01394986,0.66532317,-0.66532314,2.86963769,-2.86963760,0.96764661,-0.96764654,0.33917184,-0.33917183,0.00000000,-0.00000000,2.08645017,-2.08645010,0.00000000,-0.00000000
-5.86193097,4.58587949,-4.58587931,0.01479440,-0.01479440,0.68332996,-0.68332992,2.94602149,-2.94602142,0.99467414,-0.99467407,0.34846287,-0.34846286,0.00000000,-0.00000000,2.14045351,-2.14045345,0.00000000,-0.00000000
-5.85592796,4.68725880,-4.68725864,0.01568961,-0.01568961,0.69887011,-0.69887008,3.00853565,-3.00853560,1.01913355,-1.01913348,0.35679335,-0.35679334,0.00000000,-0.00000000,2.18649316,-2.18649312,0.00000000,-0.00000000
-5.84992496,4.77132967,-4.77132954,0.01664964,-0.01664964,0.71179954,-0.71179952,3.05624741,-3.05624738,1.04098054,-1.04098048,0.36418216,-0.36418215,0.00000000,-0.00000000,2.22411504,-2.22411501,0.00000000,-0.00000000
-5.84392196,4.83781729,-4.83781718,0.01769090,-0.01769089,0.72206331,-0.72206328,3.08861185,-3.08861184,1.06031057,-1.06031051,0.37070738,-0.37070738,0.00000000,-0.00000000,2.25317665,-2.25317663,0.00000000,-0.00000000
-5.83791896,4.88708664,-4.88708655,0.01883158,-0.01883158,0.72969392,-0.72969390,3.10548263,-3.10548265,1.07735085,-1.07735078,0.37650404,-0.37650404,0.00000000,-0.00000000,2.27384559,-2.27384558,0.00000000,-0.00000000
-5.83191596,4.92010991,-4.92010984,0.02009117,-0.02009117,0.73480634,-0.73480632,3.10710944,-3.10710949,1.09244641,-1.09244635,0.38175945,-0.38175944,0.00000000,-0.00000000,2.28658642,-2.28658643,0.00000000,-0.00000000
-5.82591296,4.93841031,-4.93841026,0.02148973,-0.02148973,0.73758970,-0.73758968,3.09412221,-3.09412228,1.10604069,-1.10604062,0.38670624,-0.38670623,0.00000000,-0.00000000,2.29213620,-2.29213622,0.00000000,-0.00000000
-5.81990995,4.94398426,-4.94398422,0.02304703,-0.02304702,0.73829629,-0.73829628,3.06750255,-3.06750264,1.11865136,-1.11865128,0.39161325,-0.39161324,0.00000000,-0.00000000,2.29146941,-2.29146943,0.00000000,-0.00000000
-5.81390695,4.93920497,-4.93920494,0.02478165,-0.02478164,0.73722816,-0.73722814,3.02854359,-3.02854369,1.13084250,-1.13084242,0.39677449,-0.39677448,0.00000000,-0.00000000,2.28575357,-2.28575359,0.00000000,-0.00000000
-5.80790395,4.92671126,-4.92671123,0.02670994,-0.02670994,0.73472197,-0.73472195,2.97879959,-2.97879970,1.14319429,-1.14319421,0.40249654,-0.40249653,0.00000000,-0.00000000,2.27629718,-2.27629721,0.00000000,-0.00000000
-5.80190095,4.90928621,-4.90928617,0.02884500,-0.02884500,0.73113294,-0.73113293,2.92002739,-2.92002752,1.15627163,-1.15627154,0.40908478,-0.40908477,0.00000000,-0.00000000,2.26449196,-2.26449199,0.00000000,-0.00000000
-5.79589795,4.88973080,-4.88973076,0.03119557,-0.03119557,0.72681843,-0.72681842,2.85412192,-2.85412206,1.17059321,-1.17059312,0.41682899,-0.41682898,0.00000000,-0.00000000,2.25175172,-2.25175174,0.00000000,-0.00000000
-5.78989495,4.87073798,-4.87073794,0.03376511,-0.03376511,0.72212209,-0.72212207,2.78304822,-2.78304836,1.18660263,-1.18660254,0.42598889,-0.42598887,0.00000000,-0.00000000,2.23945034,-2.23945036,0.00000000,-0.00000000
-5.78389195,4.85477270,-4.85477264,0.03655086,-0.03655086,0.71735930,-0.71735928,2.70877266,-2.70877281,1.20464295,-1.20464285,0.43678012,-0.43678010,0.00000000,-0.00000000,2.22886151,-2.22886153,0.00000000,-0.00000000
-5.77788894,4.84396312,-4.84396305,0.03954315,-0.03954315,0.71280462,-0.71280460,2.63319597,-2.63319611,1.22493610,-1.22493600,0.44936138,-0.44936135,0.00000000,-0.00000000,2.22110265,-2.22110266,0.00000000,-0.00000000
-5.77188594,4.84000808,-4.84000800,0.04272488,-0.04272487,0.70868173,-0.70868171,2.55809052,-2.55809066,1.24756835,-1.24756824,0.46382321,-0.46382318,0.00000000,-0.00000000,2.21708543,-2.21708544,0.00000000,-0.00000000
-5.76588294,4.84410481,-4.84410471,0.04607124,-0.04607123,0.70515659,-0.70515657,2.48504436,-2.48504449,1.27248263,-1.27248252,0.48017904,-0.48017901,0.00000000,-0.00000000,2.21747519,-2.21747519,0.00000000,-0.00000000
-5.75987994,4.85690031,-4.85690020,0.04954975,-0.04954975,0.70233383,-0.70233380,2.41541388,-2.41541400,1.29947838,-1.29947827,0.49835892,-0.49835889,0.00000000,-0.00000000,2.22266081,-2.22266080,0.00000000,-0.00000000
-5.75387694,4.87846870,-4.87846858,0.05312063,-0.05312062,0.70025677,-0.70025675,2.35028687,-2.35028699,1.32821907,-1.32821895,0.51820637,-0.51820633,0.00000000,-0.00000000,2.23273664,-2.23273662,0.00000000,-0.00000000
-5.74787394,4.90831548,-4.90831535,0.05673737,-0.05673737,0.69891095,-0.69891093,2.29045719,-2.29045730,1.35824721,-1.35824710,0.53947856,-0.53947852,0.00000000,-0.00000000,2.24749716,-2.24749713,0.00000000,-0.00000000
-5.74187094,4.94540877,-4.94540864,0.06034781,-0.06034781,0.69823094,-0.69823092,2.23641177,-2.23641187,1.38900637,-1.38900626,0.56185001,-0.56184997,0.00000000,-0.00000000,2.26644478,-2.26644475,0.00000000,-0.00000000
-5.73586793,4.98823596,-4.98823582,0.06389535,-0.06389535,0.69811005,-0.69811003,2.18833022,-2.18833031,1.41986909,-1.41986898,0.58491978,-0.58491974,0.00000000,-0.00000000,2.28881049,-2.28881045,0.00000000,-0.00000000
-5.72986493,5.03488320,-5.03488306,0.06732050,-0.06732050,0.69841249,-0.69841247,2.14609673,-2.14609681,1.45016964,-1.45016954,0.60822194,-0.60822189,0.00000000,-0.00000000,2.31358648,-2.31358644,0.00000000,-0.00000000
-5.72386193,5.08313412,-5.08313399,0.07056266,-0.07056266,0.69898722,-0.69898720,2.10932352,-2.10932360,1.47923989,-1.47923979,0.63123903,-0.63123899,0.00000000,-0.00000000,2.33956941,-2.33956937,0.00000000,-0.00000000
-5.71785893,5.13058297,-5.13058284,0.07356199,-0.07356199,0.69968271,-0.69968269,2.07738457,-2.07738463,1.50644658,-1.50644650,0.65341811,-0.65341807,0.00000000,-0.00000000,2.36541237,-2.36541234,0.00000000,-0.00000000
-5.71185593,5.17475695,-5.17475684,0.07626142,-0.07626142,0.70036192,-0.70036190,2.04945786,-2.04945792,1.53122816,-1.53122808,0.67418859,-0.67418855,0.00000000,-0.00000000,2.38968334,-2.38968331,0.00000000,-0.00000000
-5.70585293,5.21324172,-5.21324163,0.07860858,-0.07860858,0.70091652,-0.70091650,2.02457426,-2.02457431,1.55312915,-1.55312908,0.69298141,-0.69298137,0.00000000,-0.00000000,2.41092741,-2.41092738,0.00000000,-0.00000000
-5.69984992,5.24380411,-5.24380403,0.08055772,-0.08055772,0.70127955,-0.70127954,2.00167064,-2.00167069,1.57183030,-1.57183024,0.70924853,-0.70924850,0.00000000,-0.00000000,2.42773009,-2.42773007,0.00000000,-0.00000000
-5.69384692,5.26450590,-5.26450585,0.08207141,-0.08207141,0.70143584,-0.70143583,1.97964482,-1.97964487,1.58717270,-1.58717265,0.72248212,-0.72248209,0.00000000,-0.00000000,2.43877881,-2.43877880,0.00000000,-0.00000000
-5.68784392,5.27380325,-5.27380321,0.08312198,-0.08312198,0.70142944,-0.70142943,1.95740986,-1.95740991,1.59917451,-1.59917446,0.73223242,-0.73223239,0.00000000,-0.00000000,2.44291977,-2.44291977,0.00000000,-0.00000000
-5.68184092,5.27062661,-5.27062659,0.08369264,-0.08369264,0.70136754,-0.70136753,1.93394533,-1.93394538,1.60803906,-1.60803901,0.73812373,-0.73812371,0.00000000,-0.00000000,2.43920770,-2.43920772,0.00000000,-0.00000000
-5.67583792,5.25443726,-5.25443725,0.08377827,-0.08377827,0.70142067,-0.70142065,1.90834322,-1.90834327,1.61415372,-1.61415368,0.73986764,-0.73986763,0.00000000,-0.00000000,2.42694615,-2.42694618,0.00000000,-0.00000000
-5.66983492,5.22525755,-5.22525756,0.08338571,-0.08338572,0.70181877,-0.70181875,1.87984671,-1.87984676,1.61807917,-1.61807912,0.73727306,-0.73727305,0.00000000,-0.00000000,2.40571669,-2.40571673,0.00000000,-0.00000000
-5.66383192,5.18367333,-5.18367335,0.08253369,-0.08253369,0.70284347,-0.70284345,1.84788014,-1.84788019,1.62052926,-1.62052921,0.73025252,-0.73025252,0.00000000,-0.00000000,2.37539566,-2.37539572,0.00000000,-0.00000000
-5.65782891,5.13080830,-5.13080832,0.08125222,-0.08125223,0.70481659,-0.70481656,1.81206919,-1.81206924,1.62234228,-1.62234223,0.71882470,-0.71882471,0.00000000,-0.00000000,2.33615799,-2.33615805,0.00000000,-0.00000000
-5.65182591,5.06827171,-5.06827173,0.07958171,-0.07958171,0.70808551,-0.70808547,1.77225062,-1.77225068,1.62444457,-1.62444451,0.70311287,-0.70311288,0.00000000,-0.00000000,2.28846794,-2.28846801,0.00000000,-0.00000000
-5.64582291,4.99808201,-4.99808202,0.07757151,-0.07757151,0.71300589,-0.71300585,1.72847167,-1.72847172,1.62780826,-1.62780818,0.68333959,-0.68333961,0.00000000,-0.00000000,2.23305756,-2.23305764,0.00000000,-0.00000000
-5.63981991,4.92257035,-4.92257035,0.07527829,-0.07527829,0.71992279,-0.71992274,1.68097939,-1.68097944,1.63340491,-1.63340482,0.65981796,-0.65981798,0.00000000,-0.00000000,2.17089405,-2.17089414,0.00000000,-0.00000000
-5.63381691,4.84426889,-4.84426887,0.07276406,-0.07276407,0.72915089,-0.72915083,1.63020116,-1.63020121,1.64215741,-1.64215730,0.63293971,-0.63293974,0.00000000,-0.00000000,2.10313772,-2.10313781,0.00000000,-0.00000000
-5.62781391,4.76578979,-4.76578975,0.07009407,-0.07009408,0.74095502,-0.74095495,1.57671760,-1.57671765,1.65489229,-1.65489217,0.60316105,-0.60316108,0.00000000,-0.00000000,2.03109280,-2.03109289,0.00000000,-0.00000000
