energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.48906341,0.00561538,0.45320547,0.29649016,0.30084580,0.04624582,1.72210630,1.77014118,0.94997076
-5.99399700,3.55590265,0.00617768,0.46378769,0.30072597,0.30486837,0.04802513,1.75776776,1.80447886,0.95381409
-5.98799400,3.62730604,0.00680232,0.47528418,0.30518997,0.30874273,0.04987016,1.79567052,1.84246121,0.95845447
-5.98199100,3.70390545,0.00748947,0.48787365,0.30990858,0.31246427,0.05179626,1.83600522,1.88457044,0.96419654
-5.97598799,3.78629462,0.00823876,0.50174242,0.31489745,0.31602941,0.05381986,1.87892584,1.93126130,0.97134476
-5.96998499,3.87500502,0.00904908,0.51707678,0.32016051,0.31943580,0.05595784,1.92454309,1.98294127,0.98019509
-5.96398199,3.97048286,0.00991837,0.53405505,0.32568966,0.32268265,0.05822680,1.97291870,2.03995217,0.99102661
-5.95797899,4.07306738,0.01084346,0.55283946,0.33146474,0.32577077,0.06064236,2.02406071,2.10255320,1.00409329
-5.95197599,4.18297080,0.01181988,0.57356800,0.33745402,0.32870251,0.06321828,2.07791962,2.17090579,1.01961590
-5.94597299,4.30025978,0.01284180,0.59634643,0.34361489,0.33148146,0.06596573,2.13438537,2.24506029,1.03777416
-5.93996998,4.42483904,0.01390191,0.62124071,0.34989499,0.33411195,0.06889248,2.19328517,2.32494466,1.05869929
-5.93396698,4.55643711,0.01499138,0.64826997,0.35623349,0.33659834,0.07200216,2.25438205,2.41035538,1.08246714
-5.92796398,4.69459482,0.01609995,0.67740035,0.36256254,0.33894415,0.07529354,2.31737430,2.50095069,1.10909193
-5.92196098,4.83865696,0.01721600,0.70853988,0.36880895,0.34115108,0.07876002,2.38189570,2.59624645,1.13852102
-5.91595798,4.98776754,0.01832670,0.74153476,0.37489581,0.34321804,0.08238907,2.44751685,2.69561479,1.17063074
-5.90995498,5.14086937,0.01941825,0.77616715,0.38074422,0.34514019,0.08616198,2.51374749,2.79828585,1.20522374
-5.90395198,5.29670841,0.02047618,0.81215478,0.38627500,0.34690817,0.09005364,2.58004016,2.90335295,1.24202783
-5.89794897,5.45384343,0.02148566,0.84915254,0.39141033,0.34850754,0.09403264,2.64579517,3.00978120,1.28069681
-5.89194597,5.61066140,0.02243187,0.88675620,0.39607533,0.34991858,0.09806141,2.71036718,3.11642006,1.32081337
-5.88594297,5.76539891,0.02330043,0.92450831,0.40019957,0.35111642,0.10209677,2.77307329,3.22201956,1.36189409
-5.87993997,5.91616969,0.02407778,0.96190624,0.40371846,0.35207162,0.10609052,2.83320282,3.32525056,1.40339686
-5.87393697,6.06099802,0.02475159,0.99841236,0.40657457,0.35275113,0.10999031,2.89002876,3.42472850,1.44473046
-5.86793397,6.19785776,0.02531114,1.03346613,0.40871878,0.35311975,0.11374077,2.94282072,3.51904063,1.48526642
-5.86193097,6.32471619,0.02574765,1.06649782,0.41011139,0.35314188,0.11728467,2.99085927,3.60677602,1.52435275
-5.85592796,6.43958184,0.02605454,1.09694343,0.41072310,0.35278365,0.12056438,3.03345139,3.68655782,1.56132939
-5.84992496,6.54055498,0.02622764,1.12426060,0.41053585,0.35201518,0.12352328,3.06994675,3.75707680,1.59554494
-5.84392196,6.62587940,0.02626530,1.14794471,0.40954364,0.35081305,0.12610738,3.09975431,3.81712533,1.62637404
-5.83791896,6.69399386,0.02616846,1.16754484,0.40775313,0.34916271,0.12826684,3.12235887,3.86563069,1.65323511
-5.83191596,6.74358135,0.02594056,1.18267890,0.40518424,0.34706076,0.12995747,3.13733690,3.90168648,1.67560753
-5.82591296,6.77361451,0.02558742,1.19304743,0.40187054,0.34451700,0.13114213,3.14437126,3.92458108,1.69304786
-5.81990995,6.78339522,0.02511702,1.19844544,0.39785949,0.34155610,0.13179200,3.14326408,3.93382191,1.70520436
-5.81390695,6.77258672,0.02453925,1.19877179,0.39321254,0.33821878,0.13188756,3.13394724,3.92915456,1.71182915
-5.80790395,6.74123672,0.02386557,1.19403582,0.38800499,0.33456248,0.13141938,3.11649007,3.91057571,1.71278767
-5.80190095,6.68979026,0.02310863,1.18436064,0.38232556,0.33066137,0.13038856,3.09110359,3.87833926,1.70806476
-5.79589795,6.61909118,0.02228193,1.16998309,0.37627570,0.32660568,0.12880690,3.05814104,3.83295513,1.69776726
-5.78989495,6.53037178,0.02139937,1.15125011,0.36996856,0.32250043,0.12669670,3.01809441,3.77518040,1.68212269
-5.78389195,6.42523041,0.02047495,1.12861160,0.36352755,0.31846335,0.12409019,2.97158680,3.70600296,1.66147428
-5.77788894,6.30559734,0.01952239,1.10260989,0.35708448,0.31462230,0.12102872,2.91936066,3.62661792,1.63627208
-5.77188594,6.17368947,0.01855480,1.07386615,0.35077734,0.31111201,0.11756159,2.86226202,3.53839747,1.60706085
-5.76588294,6.03195528,0.01758448,1.04306401,0.34474753,0.30807035,0.11374465,2.80122115,3.44285501,1.57446466
-5.75987994,5.88301150,0.01662262,1.01093101,0.33913682,0.30563418,0.10963870,2.73723001,3.34160477,1.53916918
-5.75387694,5.72957336,0.01567923,0.97821837,0.33408381,0.30393490,0.10530778,2.67131729,3.23631812,1.50190193
-5.74787394,5.57438083,0.01476298,0.94567972,0.32972019,0.30309386,0.10081733,2.60452158,3.12867827,1.46341143
-5.74187094,5.42012318,0.01388115,0.91404953,0.32616672,0.30321774,0.09623245,2.53786385,3.02033460,1.42444588
-5.73586793,5.26936447,0.01303966,0.88402183,0.32352920,0.30439408,0.09161611,2.47231992,2.91285854,1.38573219
-5.72986493,5.12447252,0.01224308,0.85623005,0.32189438,0.30668706,0.08702758,2.40879399,2.80770228,1.34795602
-5.72386193,4.98755394,0.01149470,0.83122847,0.32132623,0.31013383,0.08252106,2.34809428,2.70616188,1.31174365
-5.71785893,4.86039736,0.01079661,0.80947605,0.32186243,0.31474134,0.07814445,2.29091158,2.60934599,1.27764612
-5.71185593,4.74442718,0.01014987,0.79132316,0.32351149,0.32048403,0.07393854,2.23780159,2.51815124,1.24612630
-5.70585293,4.64066925,0.00955460,0.77700157,0.32625058,0.32730234,0.06993638,2.18917177,2.43324512,1.21754912
-5.69984992,4.54972981,0.00901012,0.76661816,0.33002415,0.33510230,0.06616298,2.14527320,2.35505682,1.19217534
-5.69384692,4.47178860,0.00851513,0.76015258,0.33474359,0.34375617,0.06263538,2.10619786,2.28377613,1.17015893
-5.68784392,4.40660613,0.00806784,0.75745892,0.34028796,0.35310417,0.05936288,2.07188132,2.21936051,1.15154794
-5.68184092,4.35354502,0.00766612,0.75827140,0.34650576,0.36295753,0.05634765,2.04211094,2.16154963,1.13628883
-5.67583792,4.31160452,0.00730762,0.76221400,0.35321793,0.37310248,0.05358546,2.01653916,2.10988681,1.12423393
-5.66983492,4.27946692,0.00698995,0.76881360,0.36022187,0.38330539,0.05106662,1.99470131,2.06374646,1.11515161
-5.66383192,4.25555402,0.00671078,0.77751629,0.36729649,0.39331888,0.04877706,1.97603746,2.02236609,1.10873867
-5.65782891,4.23809169,0.00646796,0.78770637,0.37420809,0.40288856,0.04669945,1.95991717,1.98488193,1.10463457
-5.65182591,4.22517991,0.00625963,0.79872727,0.38071695,0.41176044,0.04481436,1.94566635,1.95036644,1.10243669
-5.64582291,4.21486581,0.00608435,0.80990375,0.38658433,0.41968859,0.04310140,1.93259514,1.91786638,1.10171616
-5.63981991,4.20521693,0.00594113,0.82056459,0.39157968,0.42644290,0.04154032,1.92002561,1.88644012,1.10203372
-5.63381691,4.19439204,0.00582953,0.83006498,0.39548786,0.43181652,0.04011195,1.90731841,1.85519262,1.10295489
