energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.79388780,0.45551605,0.00088652,0.64587059,1.16051059,0.00000000,2.38523593,0.22127910
-5.99399700,2.74168055,0.43300195,0.00083598,0.63637070,1.13671301,0.00000000,2.34076647,0.21806559
-5.98799400,2.68048713,0.41049457,0.00079075,0.62433287,1.10962174,0.00000000,2.28756477,0.21414769
-5.98199100,2.61061307,0.38815714,0.00075104,0.60980064,1.07940346,0.00000000,2.22586815,0.20954681
-5.97598799,2.53255958,0.36614332,0.00071704,0.59286891,1.04630083,0.00000000,2.15606332,0.20430513
-5.96998499,2.44702493,0.34459820,0.00068890,0.57368489,1.01063195,0.00000000,2.07869001,0.19848566
-5.96398199,2.35489688,0.32365888,0.00066675,0.55244703,0.97278580,0.00000000,1.99443803,0.19217144
-5.95797899,2.25723606,0.30345459,0.00065069,0.52940195,0.93321404,0.00000000,1.90413753,0.18546389
-5.95197599,2.15525093,0.28410621,0.00064082,0.50483938,0.89241921,0.00000000,1.80874268,0.17848034
-5.94597299,2.05026538,0.26572518,0.00063717,0.47908524,0.85094000,0.00000000,1.70930965,0.17135086
-5.93996998,1.94368051,0.24841190,0.00063976,0.45249342,0.80933427,0.00000000,1.60696970,0.16421454
-5.93396698,1.83693229,0.23225379,0.00064853,0.42543629,0.76816060,0.00000000,1.50289883,0.15721526
-5.92796398,1.73144724,0.21732303,0.00066339,0.39829456,0.72795941,0.00000000,1.39828554,0.15049731
-5.92196098,1.62859818,0.20367425,0.00068412,0.37144689,0.68923445,0.00000000,1.29429810,0.14420085
-5.91595798,1.52966211,0.19134245,0.00071046,0.34525964,0.65243570,0.00000000,1.19205307,0.13845748
-5.90995498,1.43578207,0.18034117,0.00074199,0.32007715,0.61794441,0.00000000,1.09258640,0.13338613
-5.90395198,1.34793470,0.17066118,0.00077822,0.29621303,0.58606113,0.00000000,0.99682830,0.12908926
-5.89794897,1.26690469,0.16226988,0.00081852,0.27394259,0.55699711,0.00000000,0.90558303,0.12564967
-5.89194597,1.19326707,0.15511144,0.00086215,0.25349669,0.53086948,0.00000000,0.81951404,0.12312794
-5.88594297,1.12737780,0.14910772,0.00090827,0.23505726,0.50770050,0.00000000,0.73913496,0.12156055
-5.87993997,1.06937276,0.14416012,0.00095592,0.21875433,0.48742057,0.00000000,0.66480638,0.12095873
-5.87393697,1.01917473,0.14015214,0.00100410,0.20466484,0.46987506,0.00000000,0.59673818,0.12130818
-5.86793397,0.97650778,0.13695269,0.00105172,0.19281289,0.45483433,0.00000000,0.53499690,0.12256944
-5.86193097,0.94091815,0.13441997,0.00109770,0.18317159,0.44200647,0.00000000,0.47951735,0.12467908
-5.85592796,0.91180031,0.13240581,0.00114095,0.17566620,0.43105220,0.00000000,0.43011774,0.12755160
-5.84992496,0.88842710,0.13076023,0.00118042,0.17017837,0.42160105,0.00000000,0.38651729,0.13108192
-5.84392196,0.86998242,0.12933605,0.00121517,0.16655150,0.41326820,0.00000000,0.34835537,0.13514848
-5.83791896,0.85559524,0.12799337,0.00124433,0.16459678,0.40567118,0.00000000,0.31521139,0.13961684
-5.83191596,0.84437355,0.12660376,0.00126724,0.16409996,0.39844570,0.00000000,0.28662443,0.14434368
-5.82591296,0.83543709,0.12505393,0.00128337,0.16482848,0.39126006,0.00000000,0.26211203,0.14918111
-5.81990995,0.82794782,0.12324879,0.00129241,0.16653896,0.38382757,0.00000000,0.24118745,0.15398118
