energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.80790395,7.24127797,0.11357668,0.39574850,0.12927238,3.63262860,2.06208444,0.04099831,4.45186151
-5.80190095,6.90836795,0.10650404,0.39949009,0.12351476,3.42249570,1.96931533,0.03942653,4.20938850
-5.79589795,6.57604058,0.10016358,0.40135147,0.11855207,3.21213023,1.87820048,0.03775709,3.96973434
-5.78989495,6.24651151,0.09460870,0.40123010,0.11444775,3.00315424,1.78909113,0.03600438,3.73464935
-5.78389195,5.92174124,0.08987284,0.39905763,0.11124198,2.79704487,1.70225006,0.03418351,3.50566014
-5.77788894,5.60344923,0.08596973,0.39480360,0.10895141,2.59513177,1.61786736,0.03231010,3.28407283
-5.77188594,5.29312861,0.08289412,0.38847788,0.10756921,2.39859634,1.53607581,0.03040018,3.07097877
-5.76588294,4.99206026,0.08062274,0.38013160,0.10706578,2.20847241,1.45696486,0.02846991,2.86726200
-5.75987994,4.70132529,0.07911573,0.36985655,0.10738979,2.02564775,1.38059279,0.02653541,2.67360797
-5.75387694,4.42181565,0.07831825,0.35778302,0.10846978,1.85086641,1.30699648,0.02461248,2.49051322
-5.74787394,4.15424308,0.07816255,0.34407629,0.11021624,1.68473171,1.23619892,0.02271635,2.31829605
-5.74187094,3.89914697,0.07857010,0.32893177,0.11252405,1.52770991,1.16821434,0.02086146,2.15710831
-5.73586793,3.65690197,0.07945417,0.31256921,0.11527542,1.38013481,1.10305139,0.01906118,2.00694839
-5.72986493,3.42772623,0.08072242,0.29522606,0.11834318,1.24221319,1.04071481,0.01732765,1.86767582
-5.72386193,3.21169131,0.08227978,0.27715051,0.12159437,1.11403151,0.98120590,0.01567158,1.73902750
-5.71785893,3.00873433,0.08403134,0.25859433,0.12489406,0.99556374,0.92452244,0.01410216,1.62063565
-5.71185593,2.81867293,0.08588525,0.23980592,0.12810927,0.88668048,0.87065840,0.01262692,1.51204732
-5.70585293,2.64122320,0.08775556,0.22102395,0.13111293,0.78715929,0.81960389,0.01125174,1.41274523
-5.69984992,2.47602034,0.08956490,0.20247155,0.13378765,0.69669608,0.77134550,0.00998086,1.32216949
