energy_ev,total_up,Ge_p_up,Ge_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,1.27547202,0.23286505,0.00000000,0.68494479,0.40239349,0.00303358,0.52714748
-5.99399700,1.28061810,0.24052682,0.00000000,0.70399878,0.40222905,0.00306041,0.52181503
-5.98799400,1.28861993,0.24801278,0.00000000,0.72468445,0.40292470,0.00311287,0.51820715
-5.98199100,1.29924579,0.25527302,0.00000000,0.74664850,0.40446290,0.00319717,0.51623178
-5.97598799,1.31228404,0.26226581,0.00000000,0.76955532,0.40682983,0.00331993,0.51580339
-5.96998499,1.32754441,0.26895824,0.00000000,0.79309377,0.41001444,0.00348806,0.51684321
-5.96398199,1.34485736,0.27532659,0.00000000,0.81698239,0.41400712,0.00370864,0.51927858
-5.95797899,1.36407195,0.28135650,0.00000000,0.84097296,0.41879799,0.00398871,0.52304160
-5.95197599,1.38505216,0.28704286,0.00000000,0.86485239,0.42437496,0.00433516,0.52806724
-5.94597299,1.40767221,0.29238943,0.00000000,0.88844296,0.43072163,0.00475447,0.53429091
-5.93996998,1.43181096,0.29740831,0.00000000,0.91160087,0.43781519,0.00525257,0.54164587
-5.93396698,1.45734572,0.30211898,0.00000000,0.93421349,0.44562430,0.00583459,0.55006038
-5.92796398,1.48414580,0.30654723,0.00000000,0.95619521,0.45410722,0.00650472,0.55945486
-5.92196098,1.51206604,0.31072384,0.00000000,0.97748230,0.46321005,0.00726591,0.56973920
-5.91595798,1.54094059,0.31468300,0.00000000,0.99802692,0.47286537,0.00811978,0.58081027
-5.90995498,1.57057718,0.31846057,0.00000000,1.01779074,0.48299117,0.00906637,0.59254981
-5.90395198,1.60075232,0.32209222,0.00000000,1.03673826,0.49349023,0.01010402,0.60482277
-5.89794897,1.63120740,0.32561151,0.00000000,1.05483035,0.50424992,0.01122923,0.61747633
-5.89194597,1.66164613,0.32904787,0.00000000,1.07201815,0.51514256,0.01243657,0.63033943
-5.88594297,1.69173345,0.33242468,0.00000000,1.08823778,0.52602622,0.01371861,0.64322323
-5.87993997,1.72109596,0.33575744,0.00000000,1.10340598,0.53674607,0.01506594,0.65592220
-5.87393697,1.74932418,0.33905217,0.00000000,1.11741704,0.54713625,0.01646720,0.66821616
-5.86793397,1.77597651,0.34230400,0.00000000,1.13014101,0.55702222,0.01790919,0.67987308
-5.86193097,1.80058495,0.34549619,0.00000000,1.14142359,0.56622357,0.01937699,0.69065268
-5.85592796,1.82266258,0.34859950,0.00000000,1.15108741,0.57455724,0.02085421,0.70031076
-5.84992496,1.84171254,0.35157201,0.00000000,1.15893507,0.58184106,0.02232324,0.70860416
-5.84392196,1.85723844,0.35435948,0.00000000,1.16475352,0.58789758,0.02376555,0.71529622
-5.83791896,1.86875583,0.35689619,0.00000000,1.16831995,0.59255803,0.02516205,0.72016252
-5.83191596,1.87580455,0.35910636,0.00000000,1.16940873,0.59566639,0.02649349,0.72299690
