energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,2.38108035,0.02085983,0.11025435,1.45897310,0.51879650,0.01941259,1.36411648
-5.99399700,2.36980623,0.02047922,0.10886568,1.44388333,0.51520269,0.02058430,1.35952104
-5.98799400,2.35731302,0.02005373,0.10757066,1.42619667,0.51166987,0.02177200,1.35396658
-5.98199100,2.34320289,0.01958724,0.10634420,1.40574155,0.50809172,0.02297017,1.34723440
-5.97598799,2.32715096,0.01908496,0.10516608,1.38242299,0.50436591,0.02417501,1.33914279
-5.96998499,2.30891151,0.01855329,0.10402155,1.35622238,0.50039753,0.02538433,1.32955062
-5.96398199,2.28832205,0.01799954,0.10290157,1.32719552,0.49610232,0.02659743,1.31835989
-5.95797899,2.26530496,0.01743173,0.10180294,1.29546893,0.49140977,0.02781486,1.30551713
-5.95197599,2.23986638,0.01685833,0.10072817,1.26123451,0.48626571,0.02903801,1.29101334
-5.94597299,2.21209241,0.01628797,0.09968518,1.22474271,0.48063442,0.03026881,1.27488246
-5.93996998,2.18214256,0.01572921,0.09868681,1.18629438,0.47450000,0.03150916,1.25719831
-5.93396698,2.15024075,0.01519030,0.09775026,1.14623148,0.46786697,0.03276056,1.23807007
-5.92796398,2.11666425,0.01467894,0.09689637,1.10492702,0.46076016,0.03402362,1.21763651
-5.92196098,2.08173125,0.01420214,0.09614891,1.06277453,0.45322382,0.03529767,1.19605927
-5.91595798,2.04578750,0.01376603,0.09553383,1.02017740,0.44531999,0.03658044,1.17351552
-5.90995498,2.00919310,0.01337582,0.09507857,0.97753856,0.43712646,0.03786785,1.15019047
-5.90395198,1.97230993,0.01303567,0.09481145,0.93525075,0.42873417,0.03915394,1.12627020
-5.89794897,1.93549053,0.01274875,0.09476113,0.89368787,0.42024441,0.04043092,1.10193518
-5.89194597,1.89906894,0.01251722,0.09495620,0.85319756,0.41176590,0.04168931,1.07735480
-5.88594297,1.86335387,0.01234235,0.09542481,0.81409530,0.40341186,0.04291836,1.05268334
-5.87993997,1.82862434,0.01222457,0.09619443,0.77666010,0.39529717,0.04410639,1.02805735
-5.87393697,1.79512766,0.01216361,0.09729153,0.74113171,0.38753575,0.04524134,1.00359465
-5.86793397,1.76307948,0.01215863,0.09874135,0.70770942,0.38023805,0.04631135,0.97939460
-5.86193097,1.73266530,0.01220832,0.10056749,0.67655210,0.37350882,0.04730527,0.95553971
-5.85592796,1.70404295,0.01231102,0.10279146,0.64777928,0.36744492,0.04821325,0.93209796
-5.84992496,1.67734508,0.01246479,0.10543193,0.62147298,0.36213333,0.04902717,0.90912567
-5.84392196,1.65268114,0.01266745,0.10850390,0.59767990,0.35764906,0.04974099,0.88667042
-5.83791896,1.63013812,0.01291659,0.11201759,0.57641380,0.35405314,0.05035093,0.86477349
-5.83191596,1.60977953,0.01320956,0.11597710,0.55765756,0.35139047,0.05085556,0.84347177
-5.82591296,1.59164246,0.01354339,0.12037898,0.54136502,0.34968764,0.05125567,0.82279857
-5.81990995,1.57573269,0.01391466,0.12521068,0.52746223,0.34895077,0.05155398,0.80278338
-5.81390695,1.56201805,0.01431946,0.13044897,0.51584822,0.34916342,0.05175477,0.78345051
-5.80790395,1.55042059,0.01475318,0.13605851,0.50639533,0.35028466,0.05186334,0.76481678
-5.80190095,1.54080835,0.01521047,0.14199069,0.49894929,0.35224760,0.05188542,0.74688838
-5.79589795,1.53298757,0.01568507,0.14818280,0.49332922,0.35495848,0.05182660,0.72965741
-5.78989495,1.52669636,0.01616980,0.15455767,0.48932793,0.35829640,0.05169173,0.71309840
-5.78389195,1.52160069,0.01665651,0.16102402,0.48671266,0.36211416,0.05148437,0.69716517
-5.77788894,1.51729376,0.01713614,0.16747735,0.48522674,0.36624001,0.05120645,0.68178873
-5.77188594,1.51329921,0.01759882,0.17380167,0.48459215,0.37048061,0.05085796,0.66687617
-5.76588294,1.50907868,0.01803401,0.17987183,0.48451336,0.37462521,0.05043686,0.65231120
-5.75987994,1.50404388,0.01843078,0.18555664,0.48468238,0.37845085,0.04993918,0.63795625
-5.75387694,1.49757274,0.01877806,0.19072246,0.48478505,0.38172858,0.04935925,0.62365623
-5.74787394,1.48902927,0.01906501,0.19523733,0.48450828,0.38423045,0.04869009,0.60924381
-5.74187094,1.47778614,0.01928131,0.19897522,0.48354822,0.38573698,0.04792400,0.59454606
-5.73586793,1.46324882,0.01941762,0.20182054,0.48161878,0.38604476,0.04705312,0.57939194
-5.72986493,1.44488015,0.01946586,0.20367232,0.47846023,0.38497382,0.04607015,0.56362035
-5.72386193,1.42222379,0.01941960,0.20444814,0.47384741,0.38237449,0.04496899,0.54708810
-5.71785893,1.39492528,0.01927431,0.20408746,0.46759711,0.37813321,0.04374542,0.52967746
-5.71185593,1.36274954,0.01902758,0.20255420,0.45957418,0.37217721,0.04239762,0.51130270
-5.70585293,1.32559369,0.01867928,0.19983847,0.44969604,0.36447759,0.04092660,0.49191524
-5.69984992,1.28349452,0.01823158,0.19595732,0.43793538,0.35505088,0.03933651,0.47150717
