energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.40541068,1.20942098,0.42230909,0.00660355,0.27844108,1.43390308,0.00000000,0.95319204,0.43324504
-5.99399700,2.31060621,1.15718437,0.40923552,0.00640713,0.26334378,1.38168752,0.00000000,0.92484650,0.41570605
-5.98799400,2.21332571,1.10308399,0.39562453,0.00617579,0.24881412,1.32675657,0.00000000,0.89560177,0.39786473
-5.98199100,2.11429241,1.04765643,0.38156788,0.00591356,0.23489288,1.26963778,0.00000000,0.86577557,0.37980787
-5.97598799,2.01427511,0.99145462,0.36716957,0.00562497,0.22161359,1.21089989,0.00000000,0.83567719,0.36163529
-5.96998499,1.91405766,0.93502975,0.35254054,0.00531490,0.20900108,1.15113138,0.00000000,0.80559440,0.34345531
-5.96398199,1.81440921,0.87891400,0.33779331,0.00498843,0.19707038,1.09091921,0.00000000,0.77578207,0.32537990
-5.95797899,1.71605681,0.82360501,0.32303707,0.00465074,0.18582600,1.03082904,0.00000000,0.74645313,0.30752006
-5.95197599,1.61966163,0.76955257,0.30837326,0.00430688,0.17526156,0.97138766,0.00000000,0.71777215,0.28998140
-5.94597299,1.52579996,0.71714825,0.29389205,0.00396173,0.16535999,0.91306846,0.00000000,0.68985199,0.27286039
-5.93996998,1.43494956,0.66671806,0.27966972,0.00361982,0.15609414,0.85628043,0.00000000,0.66275334,0.25624133
-5.93396698,1.34748192,0.61851844,0.26576709,0.00328527,0.14742781,0.80136102,0.00000000,0.63648722,0.24019420
-5.92796398,1.26366024,0.57273537,0.25222901,0.00296169,0.13931727,0.74857284,0.00000000,0.61102014,0.22477338
-5.92196098,1.18364292,0.52948653,0.23908490,0.00265217,0.13171300,0.69810407,0.00000000,0.58628130,0.21001736
-5.91595798,1.10749189,0.48882602,0.22635006,0.00235918,0.12456170,0.65007226,0.00000000,0.56217159,0.19594922
-5.90995498,1.03518484,0.45075119,0.21402791,0.00208466,0.11780840,0.60453091,0.00000000,0.53857351,0.18257800
-5.90395198,0.96663049,0.41521115,0.20211256,0.00182994,0.11139858,0.56147827,0.00000000,0.51536158,0.16990050
-5.89794897,0.90168558,0.38211612,0.19059186,0.00159583,0.10528019,0.52086760,0.00000000,0.49241242,0.15790369
-5.89194597,0.84017263,0.35134738,0.17945054,0.00138264,0.09940542,0.48261822,0.00000000,0.46961413,0.14656729
-5.88594297,0.78189728,0.32276689,0.16867322,0.00119025,0.09373228,0.44662669,0.00000000,0.44687431,0.13586642
-5.87993997,0.72666441,0.29622654,0.15824720,0.00101817,0.08822568,0.41277740,0.00000000,0.42412644,0.12577427
-5.87393697,0.67429214,0.27157622,0.14816488,0.00086558,0.08285828,0.38095221,0.00000000,0.40133430,0.11626449
-5.86793397,0.62462333,0.24867074,0.13842556,0.00073144,0.07761079,0.35103861,0.00000000,0.37849443,0.10731324
-5.86193097,0.57753403,0.22737530,0.12903682,0.00061452,0.07247193,0.32293626,0.00000000,0.35563640,0.09890088
-5.85592796,0.53293902,0.20756939,0.12001514,0.00051349,0.06743804,0.29656173,0.00000000,0.33282133,0.09101321
-5.84992496,0.49079430,0.18914925,0.11138613,0.00042695,0.06251236,0.27185136,0.00000000,0.31013869,0.08364220
-5.84392196,0.45109682,0.17202898,0.10318406,0.00035348,0.05770395,0.24876263,0.00000000,0.28770167,0.07678632
-5.83791896,0.41388198,0.15614033,0.09545105,0.00029171,0.05302662,0.22727378,0.00000000,0.26564171,0.07045049
-5.83191596,0.37921912,0.14143161,0.08823588,0.00024031,0.04849758,0.20738241,0.00000000,0.24410236,0.06464561
-5.82591296,0.34720564,0.12786579,0.08159251,0.00019805,0.04413616,0.18910292,0.00000000,0.22323289,0.05938787
-5.81990995,0.31796026,0.11541811,0.07557841,0.00016381,0.03996256,0.17246345,0.00000000,0.20318219,0.05469783
-5.81390695,0.29161581,0.10407334,0.07025289,0.00013657,0.03599668,0.15750225,0.00000000,0.18409305,0.05059934
-5.80790395,0.26831202,0.09382306,0.06567535,0.00011546,0.03225718,0.14426405,0.00000000,0.16609723,0.04711841
-5.80190095,0.24818863,0.08466303,0.06190356,0.00009972,0.02876068,0.13279638,0.00000000,0.14931143,0.04428203
-5.79589795,0.23137910,0.07659070,0.05899215,0.00008872,0.02552120,0.12314624,0.00000000,0.13383432,0.04211701
-5.78989495,0.21800501,0.06960320,0.05699108,0.00008196,0.02254992,0.11535699,0.00000000,0.11974462,0.04064883
-5.78389195,0.20817140,0.06369567,0.05594438,0.00007904,0.01985502,0.10946580,0.00000000,0.10710033,0.03990066
-5.77788894,0.20196294,0.05885996,0.05588895,0.00007970,0.01744188,0.10550147,0.00000000,0.09593880,0.03989232
-5.77188594,0.19944105,0.05508387,0.05685355,0.00008376,0.01531343,0.10348284,0.00000000,0.08627784,0.04063945
-5.76588294,0.20064187,0.05235075,0.05885801,0.00009114,0.01347064,0.10341763,0.00000000,0.07811746,0.04215275
-5.75987994,0.20557505,0.05063945,0.06191249,0.00010186,0.01191318,0.10530173,0.00000000,0.07144218,0.04443732
-5.75387694,0.21422333,0.04992464,0.06601699,0.00011599,0.01064013,0.10911902,0.00000000,0.06622382,0.04749215
-5.74787394,0.22654293,0.05017743,0.07116112,0.00013371,0.00965080,0.11484154,0.00000000,0.06242445,0.05130975
-5.74187094,0.24246462,0.05136619,0.07732391,0.00015524,0.00894550,0.12243012,0.00000000,0.05999952,0.05587593
-5.73586793,0.26189551,0.05345764,0.08447404,0.00018087,0.00852636,0.13183540,0.00000000,0.05890091,0.06116973
-5.72986493,0.28472154,0.05641803,0.09257020,0.00021092,0.00839799,0.14299925,0.00000000,0.05907986,0.06716362
-5.72386193,0.31081058,0.06021444,0.10156179,0.00024578,0.00856816,0.15585644,0.00000000,0.06048965,0.07382379
-5.71785893,0.34001619,0.06481625,0.11138985,0.00028583,0.00904827,0.17033673,0.00000000,0.06308802,0.08111068
-5.71185593,0.37218175,0.07019645,0.12198826,0.00033148,0.00985371,0.18636714,0.00000000,0.06683913,0.08897974
-5.70585293,0.40714501,0.07633305,0.13328514,0.00038316,0.01100406,0.20387432,0.00000000,0.07171519,0.09738229
-5.69984992,0.44474271,0.08321036,0.14520448,0.00044126,0.01252299,0.22278708,0.00000000,0.07769756,0.10626652
-5.69384692,0.48481516,0.09082002,0.15766779,0.00050613,0.01443810,0.24303870,0.00000000,0.08477736,0.11557863
-5.68784392,0.52721036,0.09916185,0.17059586,0.00057809,0.01678038,0.26456904,0.00000000,0.09295557,0.12526391
-5.68184092,0.57178745,0.10824428,0.18391032,0.00065736,0.01958353,0.28732622,0.00000000,0.10224259,0.13526788
-5.67583792,0.61841921,0.11808445,0.19753508,0.00074407,0.02288294,0.31126767,0.00000000,0.11265721,0.14553721
-5.66983492,0.66699320,0.12870770,0.21139750,0.00083822,0.02671455,0.33636049,0.00000000,0.12422503,0.15602059
-5.66383192,0.71741145,0.14014661,0.22542911,0.00093966,0.03111341,0.36258088,0.00000000,0.13697643,0.16666931
-5.65782891,0.76958851,0.15243937,0.23956594,0.00104808,0.03611204,0.38991264,0.00000000,0.15094393,0.17743757
-5.65182591,0.82344778,0.16562763,0.25374830,0.00116297,0.04173875,0.41834465,0.00000000,0.16615922,0.18828256
-5.64582291,0.87891623,0.17975373,0.26792016,0.00128363,0.04801570,0.44786750,0.00000000,0.18264987,0.19916420
-5.63981991,0.93591775,0.19485746,0.28202798,0.00140913,0.05495713,0.47846915,0.00000000,0.20043573,0.21004467
-5.63381691,0.99436538,0.21097244,0.29601926,0.00153834,0.06256747,0.51013007,0.00000000,0.21952537,0.22088773
-5.62781391,1.05415299,0.22812226,0.30984077,0.00166992,0.07083965,0.54281790,0.00000000,0.23991253,0.23165789
-5.62181091,1.11514682,0.24631650,0.32343666,0.00180234,0.07975367,0.57648203,0.00000000,0.26157284,0.24231958
-5.61580790,1.17717756,0.26554693,0.33674670,0.00193389,0.08927538,0.61104842,0.00000000,0.28446096,0.25283632
-5.60980490,1.24003354,0.28578400,0.34970465,0.00206273,0.09935571,0.64641500,0.00000000,0.30850819,0.26317012
-5.60380190,1.30345558,0.30697385,0.36223708,0.00218692,0.10993033,0.68244790,0.00000000,0.33362096,0.27328104
-5.59779890,1.36713400,0.32903606,0.37426271,0.00230447,0.12091980,0.71897896,0.00000000,0.35967990,0.28312712
-5.59179590,1.43070813,0.35186220,0.38569244,0.00241342,0.13223027,0.75580462,0.00000000,0.38653997,0.29266467
-5.58579290,1.49376851,0.37531543,0.39643004,0.00251183,0.14375468,0.79268632,0.00000000,0.41403130,0.30184883
-5.57978989,1.55586185,0.39923109,0.40637365,0.00259794,0.15537457,0.82935262,0.00000000,0.44196105,0.31063462
-5.57378689,1.61649841,0.42341837,0.41541798,0.00267012,0.16696223,0.86550280,0.00000000,0.47011587,0.31897814
-5.56778389,1.67516172,0.44766298,0.42345705,0.00272701,0.17838337,0.90081189,0.00000000,0.49826520,0.32683801
-5.56178089,1.73131983,0.47173073,0.43038749,0.00276753,0.18950003,0.93493694,0.00000000,0.52616496,0.33417691
-5.55577789,1.78443775,0.49537185,0.43611209,0.00279092,0.20017373,0.96752414,0.00000000,0.55356162,0.34096297
-5.54977489,1.83399011,0.51832600,0.44054342,0.00279680,0.21026864,0.99821652,0.00000000,0.58019646,0.34717110
-5.54377189,1.87947363,0.54032753,0.44360726,0.00278514,0.21965477,1.02666180,0.00000000,0.60580978,0.35278380
-5.53776888,1.92041855,0.56111100,0.44524580,0.00275629,0.22821091,1.05252011,0.00000000,0.63014503,0.35779173
