energy_ev,total_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.69027747,0.36141336,0.10113647,0.40688838,0.19662366,0.00391164,0.15131933,0.33701773,0.00000000
-5.99399700,0.70577676,0.38629712,0.10391832,0.42353093,0.19324832,0.00407503,0.14544621,0.35642280,0.00000000
-5.98799400,0.72936177,0.41461646,0.10806907,0.44463387,0.19177134,0.00426895,0.14116380,0.37983616,0.00000000
-5.98199100,0.76098407,0.44607396,0.11356097,0.47018244,0.19222009,0.00449108,0.13856394,0.40709232,0.00000000
-5.97598799,0.80048272,0.48030179,0.12034753,0.50008742,0.19459645,0.00473861,0.13772273,0.43795956,0.00000000
-5.96998499,0.84757634,0.51686592,0.12836374,0.53418076,0.19887407,0.00500832,0.13869634,0.47213955,0.00000000
-5.96398199,0.90185758,0.55527228,0.13752659,0.57221292,0.20499621,0.00529673,0.14151706,0.50926848,0.00000000
-5.95797899,0.96279025,0.59497521,0.14773596,0.61385208,0.21287439,0.00560024,0.14618983,0.54891978,0.00000000
-5.95197599,1.02970974,0.63538782,0.15887581,0.65868542,0.22238786,0.00591526,0.15268936,0.59060857,0.00000000
-5.94597299,1.10182692,0.67589422,0.17081576,0.70622268,0.23338397,0.00623841,0.16095794,0.63379801,0.00000000
-5.93996998,1.17823578,0.71586323,0.18341309,0.75590202,0.24567952,0.00656662,0.17090412,0.67790733,0.00000000
-5.93396698,1.25792513,0.75466325,0.19651496,0.80709814,0.25906307,0.00689730,0.18240237,0.72232169,0.00000000
-5.92796398,1.33979405,0.79167764,0.20996113,0.85913279,0.27329821,0.00722844,0.19529374,0.76640361,0.00000000
-5.92196098,1.42267116,0.82632031,0.22358679,0.91128728,0.28812778,0.00755872,0.20938768,0.80950566,0.00000000
-5.91595798,1.50533733,0.85805080,0.23722574,0.96281696,0.30327894,0.00788754,0.22446500,0.85098420,0.00000000
-5.90995498,1.58655126,0.88638821,0.25071360,1.01296718,0.31846896,0.00821509,0.24028197,0.89021376,0.00000000
-5.90395198,1.66507739,0.91092371,0.26389114,1.06099052,0.33341162,0.00854230,0.25657549,0.92660163,0.00000000
-5.89794897,1.73971531,0.93133085,0.27660750,1.10616458,0.34782407,0.00887080,0.27306922,0.95960215,0.00000000
-5.89194597,1.80932977,0.94737347,0.28872326,1.14781005,0.36143388,0.00920286,0.28948056,0.98873028,0.00000000
-5.88594297,1.87288025,0.95891078,0.30011331,1.18530823,0.37398611,0.00954123,0.30552814,1.01357395,0.00000000
-5.87993997,1.92944916,0.96589958,0.31066926,1.21811758,0.38525020,0.00988904,0.32093972,1.03380472,0.00000000
-5.87393697,1.97826755,0.96839343,0.32030150,1.24578871,0.39502628,0.01024958,0.33546016,1.04918640,0.00000000
-5.86793397,2.01873733,0.96653897,0.32894071,1.26797715,0.40315094,0.01062614,0.34885906,1.05958123,0.00000000
-5.86193097,2.05044925,0.96056953,0.33653892,1.28445346,0.40950193,0.01102183,0.36093790,1.06495350,0.00000000
-5.85592796,2.07319571,0.95079644,0.34306988,1.29511040,0.41400188,0.01143937,0.37153637,1.06537032,0.00000000
-5.84992496,2.08697810,0.93759830,0.34852905,1.29996665,0.41662068,0.01188094,0.38053749,1.06099962,0.00000000
-5.84392196,2.09200809,0.92140898,0.35293295,1.29916717,0.41737664,0.01234801,0.38787143,1.05210543,0.00000000
-5.83791896,2.08870299,0.90270449,0.35631809,1.29297996,0.41633612,0.01284122,0.39351791,1.03904058,0.00000000
-5.83191596,2.07767519,0.88198967,0.35873956,1.28178950,0.41361185,0.01336028,0.39750683,1.02223717,0.00000000
-5.82591296,2.05971617,0.85978484,0.36026923,1.26608708,0.40935996,0.01390396,0.39991740,1.00219512,0.00000000
-5.81990995,2.03577566,0.83661322,0.36099374,1.24645836,0.40377576,0.01446999,0.40087564,0.97946925,0.00000000
-5.81390695,2.00693659,0.81298925,0.36101232,1.22356864,0.39708846,0.01505516,0.40055037,0.95465535,0.00000000
-5.80790395,1.97438699,0.78940839,0.36043454,1.19814650,0.38955514,0.01565533,0.39914793,0.92837569,0.00000000
-5.80190095,1.93938961,0.76633838,0.35937800,1.17096621,0.38145398,0.01626553,0.39690583,0.90126452,0.00000000
-5.79589795,1.90325036,0.74421237,0.35796606,1.14282971,0.37307720,0.01688008,0.39408552,0.87395397,0.00000000
-5.78989495,1.86728664,0.72342371,0.35632553,1.11454853,0.36472376,0.01749266,0.39096468,0.84706067,0.00000000
-5.78389195,1.83279643,0.70432260,0.35458451,1.08692645,0.35669223,0.01809654,0.38782922,0.82117361,0.00000000
-5.77788894,1.80102901,0.68721423,0.35287022,1.06074304,0.34927382,0.01868463,0.38496532,0.79684330,0.00000000
-5.77188594,1.77315802,0.67235845,0.35130687,1.03673873,0.34274591,0.01924968,0.38265175,0.77457261,0.00000000
-5.76588294,1.75025751,0.65997055,0.35001359,1.01560149,0.33736618,0.01978441,0.38115269,0.75480920,0.00000000
-5.75987994,1.73328123,0.65022303,0.34910240,0.99795539,0.33336738,0.02028161,0.38071128,0.73793977,0.00000000
-5.75387694,1.72304569,0.64324802,0.34867616,0.98435104,0.33095287,0.02073428,0.38154393,0.72428595,0.00000000
-5.74787394,1.72021677,0.63914009,0.34882664,0.97525798,0.33029298,0.02113576,0.38383566,0.71410178,0.00000000
