energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-1.10755378,15.18782218,0.01069473,3.05387610,0.18795017,6.88274245,9.62240780,0.13525007,2.23331161
-1.10155078,15.14174786,0.01020879,3.07856631,0.18931291,6.90163041,9.53987968,0.13448840,2.26869867
-1.09554777,15.05907160,0.00972024,3.09781320,0.19106287,6.90014602,9.42943333,0.13347017,2.30128281
-1.08954477,14.94238660,0.00923600,3.11186330,0.19315598,6.87892395,9.29314485,0.13222960,2.33108872
-1.08354177,14.79441592,0.00876235,3.12094310,0.19552846,6.83875880,9.13329937,0.13080010,2.35808408
-1.07753877,14.61789518,0.00830478,3.12523683,0.19809841,6.78056375,8.95231341,0.12921286,2.38216617
-1.07153577,14.41546083,0.00786788,3.12486677,0.20076806,6.70532829,8.75265631,0.12749551,2.40315220
-1.06553277,14.18955082,0.00745524,3.11987766,0.20342669,6.61407787,8.53677511,0.12567109,2.42077436
-1.05952976,13.94232365,0.00706942,3.11022653,0.20595413,6.50783799,8.30702659,0.12375717,2.43468032
-1.05352676,13.67560098,0.00671193,3.09577899,0.20822483,6.38760482,8.06562023,0.12176534,2.44443951
-1.04752376,13.39083722,0.00638324,3.07631252,0.21011219,6.25432426,7.81457458,0.11970111,2.44955539
-1.04152076,13.08911814,0.00608289,3.05152721,0.21149308,6.10888037,7.55568910,0.11756415,2.44948342
-1.03551776,12.77118823,0.00580957,3.02106333,0.21225247,5.95209373,7.29053225,0.11534885,2.44365393
-1.02951476,12.43750501,0.00556124,2.98452526,0.21228778,5.78472927,7.02044562,0.11304536,2.43149918
-1.02351176,12.08831648,0.00533529,2.94151038,0.21151295,5.60751264,6.74656280,0.11064075,2.41248308
-1.01750875,11.72375625,0.00512874,2.89164133,0.20986192,5.42115332,6.46984093,0.10812049,2.38613206
-1.01150575,11.34395003,0.00493835,2.83459982,0.20729145,5.22637245,6.19110189,0.10547008,2.35206559
-1.00550275,10.94912610,0.00476084,2.77015991,0.20378312,5.02393277,5.91107972,0.10267662,2.31002448
-0.99949975,10.53972238,0.00459302,2.69821877,0.19934442,4.81466811,5.63047062,0.09973038,2.25989533
-0.99349675,10.11648284,0.00443196,2.61882288,0.19400885,4.59950979,5.34998165,0.09662627,2.20172981
-0.98749375,9.68053693,0.00427509,2.53218820,0.18783508,4.37950767,5.07037473,0.09336496,2.13575743
-0.98149075,9.23345672,0.00412032,2.43871275,0.18090517,4.15584384,4.79250292,0.08995380,2.06239109
-0.97548774,8.77728804,0.00396609,2.33898097,0.17332197,3.92983763,4.51733655,0.08640734,1.98222490
-0.96948474,8.31455353,0.00381141,2.23375933,0.16520578,3.70294111,4.24597759,0.08274747,1.89602431
-0.96348174,7.84822740,0.00365589,2.12398349,0.15669044,3.47672501,3.97966161,0.07900325,1.80470897
-0.95747874,7.38168324,0.00349969,2.01073743,0.14791905,3.25285552,3.71974724,0.07521021,1.70932910
-0.95147574,6.91861799,0.00334349,1.89522581,0.13903950,3.03306312,3.46769407,0.07140952,1.61103654
-0.94547274,6.46295623,0.00318841,1.77874089,0.13019989,2.81910496,3.22503059,0.06764671,1.51105185
-0.93946973,6.01874010,0.00303595,1.66262568,0.12154418,2.61272276,2.99331409,0.06397026,1.41062906
-0.93346673,5.59001057,0.00288787,1.54823508,0.11320818,2.41559830,2.77408508,0.06043002,1.31101955
-0.92746373,5.18068620,0.00274609,1.43689695,0.10531587,2.22930873,2.56881879,0.05707554,1.21343688
-0.92146073,4.79444507,0.00261261,1.32987468,0.09797638,2.05528389,2.37887641,0.05395449,1.11902377
-0.91545773,4.43461524,0.00248937,1.22833301,0.09128154,1.89476740,2.20545855,0.05111103,1.02882271
-0.90945473,4.10407840,0.00237819,1.13330817,0.08530417,1.74878337,2.04956322,0.04858442,0.94375104
-0.90345173,3.80519010,0.00228067,1.04568360,0.08009691,1.61810987,1.91195006,0.04640782,0.86458145
-0.89744872,3.53971944,0.00219815,0.96617162,0.07569190,1.50326008,1.79311242,0.04460725,0.79192811
-0.89144572,3.30880933,0.00213162,0.89530164,0.07210095,1.40447166,1.69325809,0.04320090,0.72623869
-0.88544272,3.11295806,0.00208171,0.83341467,0.06931636,1.32170439,1.61229932,0.04219867,0.66779212
-0.87943972,2.95202135,0.00204870,0.78066401,0.06731219,1.25464580,1.54985200,0.04160197,0.61670177
-0.87343672,2.82523373,0.00203247,0.73702149,0.06604602,1.20272437,1.50524394,0.04140387,0.57292328
-0.86743372,2.73124706,0.00203256,0.70228852,0.06546096,1.16512930,1.47753128,0.04158937,0.53626668
-0.86143072,2.66818377,0.00204816,0.67611127,0.06548802,1.14083604,1.46552226,0.04213602,0.50641166
