energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,0.94691750,0.28351056,0.24545597,0.01062177,0.08989941,0.25269875,0.02050675,0.50223420
-5.99399700,0.95966204,0.28246847,0.24327998,0.01152455,0.09422780,0.27300509,0.02097407,0.50660400
-5.98799400,0.97658357,0.28348283,0.24232753,0.01246246,0.09924951,0.29428246,0.02151377,0.51266315
-5.98199100,0.99711464,0.28617378,0.24249795,0.01342191,0.10486535,0.31627319,0.02211598,0.52017833
-5.97598799,1.02067160,0.29019533,0.24369002,0.01438813,0.11097213,0.33869007,0.02276912,0.52890932
-5.96998499,1.04666692,0.29523947,0.24580447,0.01534555,0.11746436,0.36122293,0.02346010,0.53861505
-5.96398199,1.07452121,0.30103923,0.24874604,0.01627808,0.12423618,0.38354623,0.02417455,0.54905902
-5.95797899,1.10367460,0.30737100,0.25242503,0.01716948,0.13118349,0.40532754,0.02489700,0.56001425
-5.95197599,1.13359724,0.31405578,0.25675860,0.01800378,0.13820624,0.42623663,0.02561120,0.57126760
-5.94597299,1.16379879,0.32095954,0.26167156,0.01876568,0.14521074,0.44595468,0.02630043,0.58262327
-5.93996998,1.19383666,0.32799256,0.26709681,0.01944092,0.15211204,0.46418338,0.02694778,0.59390560
-5.93396698,1.22332264,0.33510765,0.27297542,0.02001671,0.15883610,0.48065342,0.02753657,0.60496095
-5.92796398,1.25192785,0.34229732,0.27925637,0.02048202,0.16532185,0.49513210,0.02805071,0.61565880
-5.92196098,1.27938576,0.34958987,0.28589598,0.02082789,0.17152287,0.50742970,0.02847510,0.62589187
-5.91595798,1.30549310,0.35704441,0.29285704,0.02104769,0.17740866,0.51740417,0.02879603,0.63557538
-5.90995498,1.33010853,0.36474492,0.30010765,0.02113726,0.18296553,0.52496424,0.02900153,0.64464549
-5.90395198,1.35314920,0.37279356,0.30761983,0.02109499,0.18819682,0.53007048,0.02908177,0.65305685
-5.89794897,1.37458519,0.38130324,0.31536797,0.02092186,0.19312260,0.53273454,0.02902929,0.66077954
-5.89194597,1.39443202,0.39038995,0.32332708,0.02062135,0.19777878,0.53301648,0.02883932,0.66779539
-5.88594297,1.41274172,0.40016496,0.33147105,0.02019930,0.20221562,0.53102041,0.02850987,0.67409398
-5.87993997,1.42959274,0.41072728,0.33977084,0.01966371,0.20649572,0.52688869,0.02804185,0.67966852
-5.87393697,1.44507927,0.42215672,0.34819289,0.01902445,0.21069156,0.52079502,0.02743905,0.68451181
-5.86793397,1.45930076,0.43450792,0.35669771,0.01829298,0.21488259,0.51293672,0.02670804,0.68861268
