energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.52392829,0.01775141,0.42387518,1.15427676,1.04460335,0.01034925,1.92964537,0.60116138,0.23387148
-5.99399700,3.60057368,0.01767903,0.45042083,1.17488796,1.06549066,0.01110557,1.95359345,0.61263581,0.23897409
-5.98799400,3.67419053,0.01754581,0.47719728,1.19204564,1.08616480,0.01187047,1.97484752,0.62277209,0.24400588
-5.98199100,3.74423721,0.01735009,0.50401468,1.20561682,1.10649444,0.01263444,1.99325614,0.63153227,0.24892903
-5.97598799,3.81011006,0.01709201,0.53067524,1.21551354,1.12630377,0.01338722,2.00865014,0.63889556,0.25369692
-5.96998499,3.87115630,0.01677336,0.55697445,1.22169407,1.14537727,0.01411805,2.02084918,0.64485771,0.25825532
-5.96398199,3.92669174,0.01639754,0.58270274,1.22416325,1.16346687,0.01481593,2.02967036,0.64943034,0.26254399
-5.95797899,3.97602242,0.01596938,0.60764767,1.22297212,1.18030117,0.01546994,2.03493847,0.65264002,0.26649878
-5.95197599,4.01846905,0.01549491,0.63159645,1.21821670,1.19559629,0.01606961,2.03649706,0.65452715,0.27005400
-5.94597299,4.05339291,0.01498115,0.65433903,1.21003592,1.20906771,0.01660519,2.03421974,0.65514476,0.27314490
-5.93996998,4.08022198,0.01443583,0.67567150,1.19860875,1.22044255,0.01706803,2.02802074,0.65455698,0.27571032
-5.93396698,4.09847558,0.01386714,0.69539973,1.18415047,1.22947154,0.01745081,2.01786434,0.65283750,0.27769519
-5.92796398,4.10778656,0.01328343,0.71334324,1.16690826,1.23594020,0.01774783,2.00377227,0.65006780,0.27905284
-5.92196098,4.10791958,0.01269293,0.72933899,1.14715613,1.23967856,0.01795518,1.98582877,0.64633529,0.27974707
-5.91595798,4.09878465,0.01210354,0.74324496,1.12518930,1.24056899,0.01807086,1.96418300,0.64173135,0.27975370
-5.90995498,4.08044520,0.01152259,0.75494343,1.10131820,1.23855184,0.01809484,1.93904847,0.63634941,0.27906178
-5.90395198,4.05312035,0.01095664,0.76434369,1.07586226,1.23362850,0.01802905,1.91069981,0.63028296,0.27767421
-5.89794897,4.01718139,0.01041138,0.77138412,1.04914373,1.22586210,0.01787728,1.87946685,0.62362373,0.27560784
-5.89194597,3.97314274,0.00989150,0.77603347,1.02148155,1.21537559,0.01764504,1.84572648,0.61646001,0.27289308
-5.88594297,3.92164806,0.00940065,0.77829133,0.99318576,1.20234769,0.01733931,1.80989288,0.60887519,0.26957301
