energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,2.72523621,0.01118611,0.38905394,0.56456224,0.16621672,0.99341186,0.55509797,0.03268428,1.09478297
-5.99399700,2.74689235,0.01155758,0.37891980,0.57384683,0.17583048,0.96635298,0.55075230,0.03438004,1.12724994
-5.98799400,2.78344791,0.01201942,0.37134593,0.58491165,0.18663051,0.94488334,0.55053155,0.03619238,1.16506932
-5.98199100,2.83391419,0.01256062,0.36635201,0.59755955,0.19844144,0.92853444,0.55449148,0.03808277,1.20758498
-5.97598799,2.89703804,0.01316857,0.36392372,0.61154375,0.21106596,0.91675658,0.56262923,0.04001044,1.25402644
-5.96998499,2.97131998,0.01382930,0.36401275,0.62656974,0.22428837,0.90893434,0.57488060,0.04193346,1.30352023
-5.96398199,3.05503834,0.01452780,0.36653725,0.64229914,0.23787867,0.90440299,0.59111810,0.04380991,1.35510462
-5.95797899,3.14627977,0.01524837,0.37138269,0.65835555,0.25159705,0.90246568,0.61115020,0.04559903,1.40774777
-5.95197599,3.24297610,0.01597493,0.37840343,0.67433218,0.26519885,0.90241110,0.63472203,0.04726244,1.46036879
-5.94597299,3.34294715,0.01669141,0.38742509,0.68980126,0.27843968,0.90353143,0.66151788,0.04876529,1.51186155
-5.93996998,3.44394884,0.01738209,0.39824766,0.70432489,0.29108079,0.90514011,0.69116568,0.05007736,1.56112053
-5.93396698,3.54372563,0.01803195,0.41064962,0.71746693,0.30289441,0.90658905,0.72324343,0.05117403,1.60706796
-5.92796398,3.64006590,0.01862696,0.42439278,0.72880554,0.31366895,0.90728494,0.75728777,0.05203708,1.64868166
-5.92196098,3.73085863,0.01915438,0.43922790,0.73794590,0.32321403,0.90670402,0.79280434,0.05265536,1.68502236
-5.91595798,3.81414958,0.01960302,0.45490086,0.74453252,0.33136500,0.90440492,0.82927966,0.05302524,1.71525994
-5.90995498,3.88819490,0.01996341,0.47115909,0.74826073,0.33798694,0.90003921,0.86619425,0.05315086,1.73869727
-5.90395198,3.95151020,0.02022799,0.48775810,0.74888667,0.34297808,0.89335908,0.90303624,0.05304416,1.75479111
-5.89794897,4.00291298,0.02039119,0.50446774,0.74623565,0.34627225,0.88422211,0.93931511,0.05272472,1.76316900
-5.89194597,4.04155677,0.02044947,0.52107783,0.74020813,0.34784069,0.87259272,0.97457464,0.05221943,1.76364167
-5.88594297,4.06695529,0.02040136,0.53740306,0.73078343,0.34769274,0.85854038,1.00840479,0.05156187,1.75621023
-5.87993997,4.07899549,0.02024737,0.55328661,0.71802080,0.34587563,0.84223465,1.04045160,0.05079167,1.74106801
-5.87393697,4.07793865,0.01998991,0.56860258,0.70205775,0.34247332,0.82393710,1.07042475,0.04995365,1.71859666
-5.86793397,4.06440940,0.01963317,0.58325692,0.68310599,0.33760431,0.80399062,1.09810246,0.04909683,1.68935681
-5.86193097,4.03937262,0.01918295,0.59718691,0.66144487,0.33141854,0.78280645,1.12333338,0.04827341,1.65407330
-5.85592796,4.00409929,0.01864647,0.61035920,0.63741275,0.32409351,0.76084946,1.14603552,0.04753762,1.61361551
-5.84992496,3.96012227,0.01803216,0.62276662,0.61139662,0.31582958,0.73862223,1.16619230,0.04694454,1.56897350
-5.84392196,3.90918381,0.01734947,0.63442389,0.58382048,0.30684471,0.71664865,1.18384614,0.04654890,1.52123054
-5.83791896,3.85317689,0.01660860,0.64536272,0.55513277,0.29736876,0.69545761,1.19908993,0.04640385,1.47153302
-5.83191596,3.79408277,0.01582029,0.65562646,0.52579353,0.28763741,0.67556736,1.21205714,0.04655970,1.42105881
-5.82591296,3.73390726,0.01499562,0.66526492,0.49626170,0.27788608,0.65747127,1.22291123,0.04706277,1.37098494
-5.81990995,3.67461844,0.01414578,0.67432960,0.46698299,0.26834382,0.64162544,1.23183508,0.04795416,1.32245585
-5.81390695,3.61808839,0.01328186,0.68286983,0.43837885,0.25922756,0.62843862,1.23902130,0.04926867,1.27655313
-5.80790395,3.56604140,0.01241468,0.69093011,0.41083678,0.25073672,0.61826494,1.24466403,0.05103374,1.23426793
-5.80190095,3.52001080,0.01155463,0.69854902,0.38470246,0.24304853,0.61139960,1.24895297,0.05326856,1.19647676
-5.79589795,3.48130618,0.01071148,0.70575966,0.36027378,0.23631409,0.60807777,1.25206984,0.05598323,1.16392170
-5.78989495,3.45099226,0.00989429,0.71259206,0.33779695,0.23065531,0.60847673,1.25418790,0.05917816,1.13719550
-5.78389195,3.42988026,0.00911129,0.71907708,0.31746484,0.22616296,0.61272123,1.25547424,0.06284365,1.11673210
-5.77788894,3.41853168,0.00836977,0.72525198,0.29941733,0.22289571,0.62089167,1.25609500,0.06695962,1.10280288
-5.77188594,3.41727426,0.00767604,0.73116725,0.28374380,0.22088033,0.63303502,1.25622294,0.07149567,1.09551851
-5.76588294,3.42622885,0.00703532,0.73689417,0.27048731,0.22011291,0.64917771,1.25604696,0.07641137,1.09483646
-5.75987994,3.44534562,0.00645179,0.74253293,0.25965035,0.22056117,0.66933998,1.25578287,0.08165681,1.10057349
-5.75387694,3.47444735,0.00592850,0.74822043,0.25120186,0.22216760,0.69355092,1.25568449,0.08717340,1.11242266
-5.74787394,3.51327738,0.00546743,0.75413744,0.24508496,0.22485339,0.72186330,1.25605424,0.09289496,1.12997394
-5.74187094,3.56154920,0.00506947,0.76051432,0.24122523,0.22852293,0.75436726,1.25725231,0.09874906,1.15273752
-5.73586793,3.61899469,0.00473447,0.76763492,0.23953885,0.23306866,0.79120183,1.25970349,0.10465847,1.18016858
-5.72986493,3.68540808,0.00446130,0.77583792,0.23994039,0.23837604,0.83256334,1.26390081,0.11054289,1.21169255
-5.72386193,3.76068264,0.00424793,0.78551539,0.24234975,0.24432843,0.87870981,1.27040525,0.11632066,1.24672951
