energy_ev,total_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,1.68902120,0.69795579,0.92457490,0.02358361,0.31402643,0.43624520,0.00000000
-5.99399700,1.76223860,0.71856389,0.96069595,0.02341511,0.33639086,0.44430023,0.00000000
-5.98799400,1.83709376,0.74008520,0.99746086,0.02322733,0.35947223,0.45242452,0.00000000
-5.98199100,1.91362751,0.76267083,1.03492992,0.02302994,0.38320288,0.46071967,0.00000000
-5.97598799,1.99187849,0.78646857,1.07317056,0.02283306,0.40750434,0.46929076,0.00000000
-5.96998499,2.07187347,0.81161778,1.11225241,0.02264704,0.43228537,0.47824289,0.00000000
-5.96398199,2.15361617,0.83824393,1.15224128,0.02248235,0.45743996,0.48767736,0.00000000
-5.95797899,2.23707482,0.86645282,1.19319232,0.02234933,0.48284535,0.49768743,0.00000000
-5.95197599,2.32216929,0.89632463,1.23514250,0.02225801,0.50836041,0.50835394,0.00000000
-5.94597299,2.40875832,0.92790818,1.27810294,0.02221783,0.53382445,0.51974076,0.00000000
-5.93996998,2.49662792,0.96121543,1.32205134,0.02223739,0.55905673,0.53189046,0.00000000
-5.93396698,2.58548160,0.99621681,1.36692519,0.02232415,0.58385691,0.54482022,0.00000000
-5.92796398,2.67493360,1.03283752,1.41261617,0.02248417,0.60800648,0.55851830,0.00000000
-5.92196098,2.76450575,1.07095518,1.45896611,0.02272179,0.63127144,0.57294135,0.00000000
-5.91595798,2.85362860,1.11039921,1.50576513,0.02303941,0.65340613,0.58801253,0.00000000
-5.90995498,2.94164734,1.15095192,1.55275201,0.02343722,0.67415832,0.60362091,0.00000000
-5.90395198,3.02783261,1.19235173,1.59961718,0.02391303,0.69327529,0.61962206,0.00000000
-5.89794897,3.11139602,1.23429833,1.64600817,0.02446217,0.71051086,0.63583990,0.00000000
-5.89194597,3.19150991,1.27645975,1.69153756,0.02507743,0.72563298,0.65206989,0.00000000
-5.88594297,3.26733071,1.31848114,1.73579297,0.02574905,0.73843166,0.66808347,0.00000000
-5.87993997,3.33802476,1.35999488,1.77834879,0.02646494,0.74872674,0.68363352,0.00000000
-5.87393697,3.40279543,1.40063167,1.81877910,0.02721079,0.75637522,0.69846078,0.00000000
-5.86793397,3.46091027,1.44003192,1.85667111,0.02797045,0.76127770,0.71230084,0.00000000
-5.86193097,3.51172684,1.47785715,1.89163853,0.02872627,0.76338353,0.72489158,0.00000000
-5.85592796,3.55471575,1.51380053,1.92333419,0.02945956,0.76269445,0.73598064,0.00000000
-5.84992496,3.58948005,1.54759626,1.95146133,0.03015111,0.75926649,0.74533270,0.00000000
-5.84392196,3.61576961,1.57902717,1.97578293,0.03078173,0.75320980,0.75273627,0.00000000
-5.83791896,3.63349011,1.60793014,1.99612881,0.03133280,0.74468664,0.75800964,0.00000000
