energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,3.30734145,0.00480562,0.44302709,1.45658175,0.46990502,1.11439680,0.99013211,0.01914417,1.28936435
-5.99399700,3.38446742,0.00474308,0.45711711,1.48609066,0.47808807,1.12344907,1.02775551,0.01902763,1.30990161
-5.98799400,3.45816851,0.00467367,0.47074891,1.51464822,0.48504420,1.13139597,1.06434072,0.01882078,1.32950239
-5.98199100,3.52796069,0.00459688,0.48381493,1.54197558,0.49076339,1.13820747,1.09957870,0.01853193,1.34810306
-5.97598799,3.59339338,0.00451294,0.49620393,1.56781635,0.49525802,1.14384455,1.13316751,0.01817133,1.36565736
-5.96998499,3.65404674,0.00442272,0.50780171,1.59193848,0.49856066,1.14825755,1.16481507,0.01775077,1.38213202
-5.96398199,3.70953085,0.00432767,0.51849231,1.61413683,0.50072148,1.15138621,1.19424229,0.01728313,1.39750326
-5.95797899,3.75948700,0.00422972,0.52815965,1.63423665,0.50180563,1.15316156,1.22118656,0.01678196,1.41175429
-5.95197599,3.80359153,0.00413119,0.53668975,1.65209787,0.50189055,1.15350946,1.24540565,0.01626096,1.42487420
-5.94597299,3.84156207,0.00403464,0.54397327,1.66761993,0.50106346,1.15235578,1.26668190,0.01573351,1.43685812
-5.93996998,3.87316612,0.00394282,0.54990850,1.68074711,0.49941907,1.14963271,1.28482669,0.01521222,1.44770879
-5.93396698,3.89823131,0.00385855,0.55440449,1.69147381,0.49705771,1.14528596,1.29968491,0.01470857,1.45743938
-5.92796398,3.91665693,0.00378466,0.55738428,1.69984958,0.49408373,1.13928224,1.31113936,0.01423247,1.46607722
-5.92196098,3.92842566,0.00372385,0.55878801,1.70598333,0.49060435,1.13161656,1.31911486,0.01379207,1.47366812
-5.91595798,3.93361478,0.00367868,0.55857574,1.71004628,0.48672884,1.12231870,1.32358179,0.01339354,1.48028098
-5.90995498,3.93240585,0.00365149,0.55672986,1.71227336,0.48256799,1.11145843,1.32455896,0.01304092,1.48601207
-5.90395198,3.92509183,0.00364435,0.55325688,1.71296245,0.47823377,1.09914894,1.32211545,0.01273619,1.49098866
-5.89794897,3.91208100,0.00365902,0.54818842,1.71247141,0.47383907,1.08554824,1.31637143,0.01247923,1.49537141
-5.89194597,3.89389672,0.00369690,0.54158150,1.71121247,0.46949752,1.07085805,1.30749761,0.01226803,1.49935535
-5.88594297,3.87117288,0.00375905,0.53351783,1.70964414,0.46532303,1.05532041,1.29571347,0.01209888,1.50316890
-5.87993997,3.84464443,0.00384614,0.52410234,1.70826043,0.46142933,1.03921178,1.28128401,0.01196657,1.50707094
-5.87393697,3.81513332,0.00395845,0.51346082,1.70757781,0.45792903,1.02283491,1.26451521,0.01186480,1.51134564
-5.86793397,3.78352984,0.00409586,0.50173680,1.70812004,0.45493251,1.00650895,1.24574819,0.01178638,1.51629528
-5.86193097,3.75077009,0.00425788,0.48908788,1.71040143,0.45254633,0.99055798,1.22535226,0.01172366,1.52223108
-5.85592796,3.71781022,0.00444363,0.47568152,1.71490911,0.45087141,0.97529879,1.20371702,0.01166880,1.52946240
-5.84992496,3.68559843,0.00465187,0.46169064,1.72208477,0.45000083,0.96102819,1.18124380,0.01161412,1.53828463
-5.84392196,3.65504576,0.00488106,0.44728905,1.73230680,0.45001745,0.94801079,1.15833666,0.01155235,1.54896637
-5.83791896,3.62699700,0.00512933,0.43264700,1.74587341,0.45099139,0.93646763,1.13539318,0.01147688,1.56173642
-5.83191596,3.60220273,0.00539454,0.41792703,1.76298750,0.45297752,0.92656623,1.11279559,0.01138199,1.57677107
-5.82591296,3.58129399,0.00567437,0.40328022,1.78374404,0.45601300,0.91841276,1.09090219,0.01126295,1.59418252
