energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,0.58169200,0.02346115,0.03035686,0.24155842,0.06344379,0.32380845,0.00000000
-5.99399700,0.52574544,0.02105642,0.02733802,0.21765933,0.05751722,0.29302731,0.00000000
-5.98799400,0.47319723,0.01876273,0.02449276,0.19531501,0.05192012,0.26418167,0.00000000
-5.98199100,0.42452936,0.01659904,0.02184459,0.17472040,0.04670783,0.23754524,0.00000000
-5.97598799,0.38011726,0.01457957,0.01941125,0.15602268,0.04192470,0.21333295,0.00000000
-5.96998499,0.34023176,0.01271395,0.01720488,0.13932302,0.03760406,0.19170187,0.00000000
-5.96398199,0.30504382,0.01100754,0.01523240,0.12467941,0.03376859,0.17275344,0.00000000
-5.95797899,0.27463102,0.00946180,0.01349595,0.11211018,0.03043081,0.15653687,0.00000000
-5.95197599,0.24898561,0.00807477,0.01199338,0.10159797,0.02759380,0.14305316,0.00000000
-5.94597299,0.22802317,0.00684163,0.01071883,0.09309398,0.02525207,0.13225969,0.00000000
-5.93996998,0.21159172,0.00575523,0.00966328,0.08652207,0.02339244,0.12407481,0.00000000
-5.93396698,0.19948057,0.00480660,0.00881507,0.08178282,0.02199498,0.11838253,0.00000000
-5.92796398,0.19142879,0.00398552,0.00816045,0.07875722,0.02103389,0.11503683,0.00000000
-5.92196098,0.18713309,0.00328100,0.00768399,0.07730996,0.02047838,0.11386578,0.00000000
-5.91595798,0.18625495,0.00268163,0.00736907,0.07729242,0.02029347,0.11467528,0.00000000
-5.90995498,0.18842710,0.00217602,0.00719816,0.07854530,0.02044069,0.11725250,0.00000000
-5.90395198,0.19325947,0.00175308,0.00715322,0.08090091,0.02087886,0.12136913,0.00000000
-5.89794897,0.20034470,0.00140220,0.00721591,0.08418535,0.02156463,0.12678439,0.00000000
-5.89194597,0.20926336,0.00111351,0.00736788,0.08822050,0.02245317,0.13324817,0.00000000
-5.88594297,0.21958920,0.00087790,0.00759092,0.09282604,0.02349878,0.14050410,0.00000000
-5.87993997,0.23089450,0.00068718,0.00786722,0.09782152,0.02465547,0.14829292,0.00000000
