energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.00862919,0.00389942,0.02027958,0.38760478,0.35071505,0.01339483,0.65411801,0.16850764,0.08232353
-5.99399700,1.02101285,0.00398575,0.02022704,0.40423679,0.34723554,0.01315873,0.66668338,0.17565217,0.08443582
-5.98799400,1.03124057,0.00416651,0.02006999,0.42043330,0.34266279,0.01287925,0.67802961,0.18350617,0.08627639
-5.98199100,1.03940180,0.00444073,0.01981763,0.43604021,0.33713566,0.01256270,0.68814335,0.19198180,0.08783031
-5.97598799,1.04567548,0.00480723,0.01948187,0.45093279,0.33082679,0.01221634,0.69706741,0.20099330,0.08909091
-5.96998499,1.05032386,0.00526456,0.01907696,0.46501820,0.32393794,0.01184802,0.70489864,0.21045786,0.09006003
-5.96398199,1.05368363,0.00581084,0.01861920,0.47823678,0.31669448,0.01146590,0.71178404,0.22029615,0.09074777
-5.95797899,1.05615466,0.00644369,0.01812644,0.49056209,0.30933930,0.01107812,0.71791509,0.23043267,0.09117216
-5.95197599,1.05818669,0.00716010,0.01761760,0.50199965,0.30212637,0.01069248,0.72352067,0.24079571,0.09135848
-5.94597299,1.06026426,0.00795629,0.01711213,0.51258443,0.29531412,0.01031619,0.72885847,0.25131713,0.09133828
-5.93996998,1.06289041,0.00882768,0.01662943,0.52237704,0.28915882,0.00995564,0.73420534,0.26193192,0.09114829
-5.93396698,1.06656937,0.00976880,0.01618827,0.53145893,0.28390804,0.00961618,0.73984669,0.27257752,0.09082903
-5.92796398,1.07178883,0.01077324,0.01580620,0.53992658,0.27979444,0.00930205,0.74606535,0.28319308,0.09042331
-5.92196098,1.07900218,0.01183372,0.01549901,0.54788505,0.27702982,0.00901627,0.75312994,0.29371855,0.08997455
-5.91595798,1.08861109,0.01294207,0.01528023,0.55544101,0.27579969,0.00876062,0.76128346,0.30409380,0.08952515
-5.90995498,1.10094905,0.01408937,0.01516064,0.56269566,0.27625826,0.00853568,0.77073206,0.31425769,0.08911478
-5.90395198,1.11626626,0.01526600,0.01514792,0.56973773,0.27852404,0.00834094,0.78163460,0.32414721,0.08877869
-5.89794897,1.13471629,0.01646185,0.01524635,0.57663698,0.28267600,0.00817485,0.79409336,0.33369681,0.08854627
-5.89194597,1.15634517,0.01766639,0.01545659,0.58343845,0.28875043,0.00803504,0.80814609,0.34283784,0.08843972
-5.88594297,1.18108321,0.01886893,0.01577563,0.59015768,0.29673858,0.00791844,0.82376000,0.35149823,0.08847294
-5.87993997,1.20873998,0.02005870,0.01619677,0.59677732,0.30658509,0.00782146,0.84082781,0.35960247,0.08865082
-5.87393697,1.23900293,0.02122505,0.01670980,0.60324518,0.31818737,0.00774021,0.85916624,0.36707189,0.08896876
-5.86793397,1.27143980,0.02235760,0.01730122,0.60947390,0.33139596,0.00767060,0.87851712,0.37382524,0.08941267
-5.86193097,1.30550502,0.02344632,0.01795462,0.61534241,0.34601601,0.00760859,0.89855121,0.37977966,0.08995925
-5.85592796,1.34055016,0.02448165,0.01865114,0.62069896,0.36180989,0.00755023,0.91887478,0.38485194,0.09057677
-5.84992496,1.37583839,0.02545456,0.01937003,0.62536595,0.37850107,0.00749186,0.93903893,0.38896015,0.09122613
-5.84392196,1.41056249,0.02635661,0.02008926,0.62914609,0.39577907,0.00743014,0.95855130,0.39202549,0.09186230
-5.83791896,1.44386621,0.02717996,0.02078623,0.63182986,0.41330577,0.00736214,0.97688999,0.39397447,0.09243601
-5.83191596,1.47486823,0.02791738,0.02143846,0.63320393,0.43072266,0.00728539,0.99351925,0.39474115,0.09289567
-5.82591296,1.50268810,0.02856228,0.02202427,0.63306014,0.44765913,0.00719785,1.00790635,0.39426957,0.09318944
-5.81990995,1.52647322,0.02910871,0.02252351,0.63120473,0.46374156,0.00709797,1.01953913,0.39251616,0.09326728
-5.81390695,1.54542601,0.02955140,0.02291820,0.62746748,0.47860284,0.00698461,1.02794356,0.38945209,0.09308307
-5.80790395,1.55883025,0.02988579,0.02319303,0.62171013,0.49189227,0.00685706,1.03270066,0.38506546,0.09259645
-5.80190095,1.56607560,0.03010813,0.02333590,0.61383409,0.50328528,0.00671497,1.03346203,0.37936326,0.09177461
-5.79589795,1.56667946,0.03021554,0.02333824,0.60378681,0.51249290,0.00655831,1.02996360,0.37237295,0.09059365
-5.78989495,1.56030517,0.03020618,0.02319524,0.59156664,0.51927033,0.00638737,1.02203689,0.36414377,0.08903969
-5.78389195,1.54677607,0.03007937,0.02290595,0.57722611,0.52342461,0.00620266,1.00961730,0.35474742,0.08710953
-5.77788894,1.52608466,0.02983577,0.02247321,0.56087329,0.52482083,0.00600494,0.99274938,0.34427835,0.08481098
-5.77188594,1.49839665,0.02947752,0.02190353,0.54267139,0.52338682,0.00579513,0.97158858,0.33285349,0.08216273
-5.76588294,1.46404986,0.02900844,0.02120675,0.52283657,0.51911594,0.00557434,0.94639966,0.32061138,0.07919381
-5.75987994,1.42354773,0.02843412,0.02039568,0.50163400,0.51206808,0.00534382,0.91755172,0.30771078,0.07594281
-5.75387694,1.37754815,0.02776205,0.01948561,0.47937250,0.50236852,0.00510494,0.88551020,0.29432875,0.07245663
-5.74787394,1.32684768,0.02700168,0.01849379,0.45639787,0.49020503,0.00485921,0.85082604,0.28065818,0.06878920
-5.74187094,1.27236200,0.02616437,0.01743885,0.43308520,0.47582293,0.00460823,0.81412250,0.26690485,0.06499984
-5.73586793,1.21510331,0.02526334,0.01634022,0.40983042,0.45951865,0.00435368,0.77608016,0.25328412,0.06115166
-5.72986493,1.15615532,0.02431350,0.01521759,0.38704143,0.44163173,0.00409733,0.73742055,0.24001721,0.05730989
-5.72386193,1.09664683,0.02333122,0.01409039,0.36512897,0.42253572,0.00384100,0.69888894,0.22732718,0.05354025
-5.71785893,1.03772471,0.02233404,0.01297732,0.34449757,0.40262826,0.00358653,0.66123691,0.21543473,0.04990746
-5.71185593,0.98052695,0.02134026,0.01189595,0.32553674,0.38232060,0.00333576,0.62520504,0.20455381,0.04647389
-5.70585293,0.92615671,0.02036854,0.01086243,0.30861256,0.36202710,0.00309049,0.59150632,0.19488714,0.04329836
-5.69984992,0.87565783,0.01943742,0.00989125,0.29405991,0.34215477,0.00285248,0.56081058,0.18662179,0.04043521
-5.69384692,0.82999253,0.01856478,0.00899509,0.28217529,0.32309341,0.00262337,0.53373015,0.17992478,0.03793359
-5.68784392,0.79002163,0.01776739,0.00818480,0.27321058,0.30520656,0.00240466,0.51080738,0.17493893,0.03583690
-5.68184092,0.75648776,0.01706035,0.00746936,0.26736752,0.28882340,0.00219770,0.49250375,0.17177894,0.03418256
-5.67583792,0.73000177,0.01645667,0.00685598,0.26479324,0.27423195,0.00200364,0.47919119,0.17052790,0.03300186
-5.66983492,0.71103262,0.01596677,0.00635026,0.26557679,0.26167367,0.00182342,0.47114546,0.17123429,0.03232007
-5.66383192,0.69990084,0.01559822,0.00595631,0.26974674,0.25133954,0.00165773,0.46854183,0.17390961,0.03215669
-5.65782891,0.69677568,0.01535537,0.00567694,0.27727003,0.24336766,0.00150701,0.47145307,0.17852674,0.03252575
-5.65182591,0.70167598,0.01523920,0.00551390,0.28805204,0.23784251,0.00137148,0.47984989,0.18501922,0.03343633
-5.64582291,0.71447473,0.01524725,0.00546806,0.30193807,0.23479569,0.00125109,0.49360383,0.19328142,0.03489305
-5.63981991,0.73490728,0.01537360,0.00553958,0.31871622,0.23420817,0.00114555,0.51249252,0.20316988,0.03689670
-5.63381691,0.76258297,0.01560905,0.00572813,0.33812174,0.23601398,0.00105438,0.53620740,0.21450565,0.03944485
-5.62781391,0.79699999,0.01594132,0.00603304,0.35984295,0.24010503,0.00097688,0.56436370,0.22707790,0.04253250
-5.62181091,0.83756326,0.01635541,0.00645339,0.38352844,0.24633716,0.00091222,0.59651252,0.24064850,0.04615277
-5.61580790,0.88360459,0.01683405,0.00698815,0.40879582,0.25453698,0.00085941,0.63215474,0.25495780,0.05029743
-5.60980490,0.93440489,0.01735819,0.00763626,0.43524139,0.26450941,0.00081737,0.67075642,0.26973119,0.05495760
-5.60380190,0.98921758,0.01790758,0.00839667,0.46245086,0.27604568,0.00078499,0.71176526,0.28468644,0.06012417
-5.59779890,1.04729246,0.01846141,0.00926833,0.49001053,0.28893143,0.00076109,0.75462747,0.29954151,0.06578825
-5.59179590,1.10789913,0.01899892,0.01025025,0.51751872,0.30295467,0.00074455,0.79880462,0.31402257,0.07194151
-5.58579290,1.17034920,0.01950007,0.01134143,0.54459682,0.31791341,0.00073427,0.84378969,0.32787184,0.07857627
-5.57978989,1.23401615,0.01994610,0.01254083,0.57089970,0.33362247,0.00072922,0.88912159,0.34085505,0.08568553
-5.57378689,1.29835223,0.02032013,0.01384730,0.59612482,0.34991943,0.00072848,0.93439776,0.35276805,0.09326271
-5.56778389,1.36290126,0.02060765,0.01525950,0.62001983,0.36666929,0.00073126,0.97928389,0.36344241,0.10130131
-5.56178089,1.42730711,0.02079686,0.01677581,0.64238808,0.38376773,0.00073689,1.02352065,0.37274958,0.10979425
-5.55577789,1.49131713,0.02087901,0.01839417,0.66309194,0.40114290,0.00074485,1.06692676,0.38060356,0.11873303
-5.54977489,1.55478044,0.02084856,0.02011201,0.68205366,0.41875553,0.00075478,1.10939857,0.38696192,0.12810682
-5.54377189,1.61764128,0.02070323,0.02192605,0.69925386,0.43659739,0.00076648,1.15090583,0.39182506,0.13790129
-5.53776888,1.67992765,0.02044394,0.02383217,0.71472762,0.45468829,0.00077987,1.19148425,0.39523390,0.14809744
-5.53176588,1.74173604,0.02007463,0.02582524,0.72855854,0.47307168,0.00079506,1.23122500,0.39726597,0.15867042
-5.52576288,1.80321304,0.01960197,0.02789900,0.74087102,0.49180909,0.00081226,1.27026199,0.39803034,0.16958837
-5.51975988,1.86453503,0.01903500,0.03004588,0.75182137,0.51097379,0.00083182,1.30875751,0.39766150,0.18081147
-5.51375688,1.92588714,0.01838474,0.03225687,0.76158810,0.53064391,0.00085419,1.34688729,0.39631268,0.19229121
-5.50775388,1.98744279,0.01766362,0.03452145,0.77036202,0.55089557,0.00087990,1.38482565,0.39414881,0.20396995
-5.50175088,2.04934498,0.01688508,0.03682752,0.77833681,0.57179627,0.00090958,1.42273190,0.39133969,0.21578091
-5.49574787,2.11169057,0.01606304,0.03916137,0.78570029,0.59339894,0.00094389,1.46073844,0.38805351,0.22764854
-5.48974487,2.17451842,0.01521141,0.04150770,0.79262707,0.61573714,0.00098352,1.49894151,0.38445121,0.23948941
