energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,6.90023243,2.81244991,0.64174369,0.02218976,1.17634725,0.10394235,3.27683452,2.25162739,1.39628815
-5.99399700,7.03201086,2.88416783,0.65603560,0.02304246,1.19407545,0.10456731,3.34748079,2.31228407,1.42233618
-5.98799400,7.15516031,2.95102468,0.66969661,0.02383684,1.21013553,0.10495324,3.41461731,2.37156315,1.44766369
-5.98199100,7.26799568,3.01210766,0.68250647,0.02456358,1.22433853,0.10510010,3.47732959,2.42892850,1.47186241
-5.97598799,7.36893060,3.06656068,0.69426081,0.02521442,1.23651893,0.10501252,3.53473319,2.48382991,1.49451442
-5.96998499,7.45652541,3.11360607,0.70477533,0.02578241,1.24654207,0.10469989,3.58599712,2.53571591,1.51520639
-5.96398199,7.52953312,3.15256515,0.71388945,0.02626211,1.25431115,0.10417634,3.63036640,2.58404737,1.53354413
-5.95797899,7.58694151,3.18287706,0.72146924,0.02664975,1.25977374,0.10346059,3.66718304,2.62831164,1.54916682
-5.95197599,7.62801002,3.20411500,0.72740968,0.02694342,1.26292725,0.10257566,3.69590490,2.66803672,1.56176044
-5.94597299,7.65230026,3.21599924,0.73163625,0.02714308,1.26382339,0.10154857,3.71612186,2.70280501,1.57106983
-5.93996998,7.65969911,3.21840641,0.73410579,0.02725061,1.26257117,0.10040982,3.72756876,2.73226631,1.57690894
-5.93396698,7.65043386,3.21137465,0.73480678,0.02726979,1.25933863,0.09919295,3.73013508,2.75614964,1.57916899
-5.92796398,7.62507909,3.19510434,0.73375911,0.02720617,1.25435292,0.09793400,3.72387082,2.77427358,1.57782435
-5.92196098,7.58455491,3.16995447,0.73101322,0.02706695,1.24789893,0.09667098,3.70898881,2.78655483,1.57293584
-5.91595798,7.53011698,3.13643462,0.72664897,0.02686076,1.24031645,0.09544332,3.68586310,2.79301478,1.56465168
-5.90995498,7.46333826,3.09519284,0.72077392,0.02659744,1.23199584,0.09429133,3.65502380,2.79378368,1.55320584
-5.90395198,7.38608297,3.04699984,0.71352144,0.02628776,1.22337229,0.09325570,3.61714821,2.78910241,1.53891412
-5.89794897,7.30047325,2.99272996,0.70504836,0.02594313,1.21491881,0.09237697,3.57304855,2.77932160,1.52216797
-5.89194597,7.20884890,2.93333959,0.69553229,0.02557529,1.20713796,0.09169499,3.52365644,2.76489782,1.50342629
-5.88594297,7.11372090,2.86984359,0.68516863,0.02519600,1.20055241,0.09124841,3.47000430,2.74638698,1.48320540
