energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.71387596,0.01418126,0.02852604,0.86117991,0.33159765,0.00393421,1.18299478,0.30436305,0.11999402
-5.99399700,1.75552984,0.01422384,0.02910702,0.88508285,0.33856678,0.00398097,1.21298309,0.31375252,0.12289595
-5.98799400,1.79460994,0.01431965,0.02953764,0.90642093,0.34610678,0.00404284,1.24094164,0.32279626,0.12541902
-5.98199100,1.83073723,0.01445556,0.02981601,0.92488782,0.35423936,0.00411652,1.26658756,0.33129589,0.12754858
-5.97598799,1.86372806,0.01461855,0.02994447,0.94026796,0.36302875,0.00419883,1.28977192,0.33907307,0.12928516
-5.96998499,1.89361880,0.01479621,0.02992970,0.95244963,0.37258595,0.00428681,1.31049701,0.34597710,0.13064546
-5.96398199,1.92068251,0.01497728,0.02978256,0.96143490,0.38307086,0.00437788,1.32892856,0.35189172,0.13166278
-5.95797899,1.94543701,0.01515210,0.02951786,0.96734601,0.39469221,0.00446999,1.34540206,0.35674074,0.13238689
-5.95197599,1.96864348,0.01531294,0.02915393,0.97042781,0.40770490,0.00456169,1.36042279,0.36049238,0.13288335
-5.94597299,1.99129536,0.01545429,0.02871210,0.97104609,0.42240498,0.00465226,1.37465937,0.36316199,0.13323224
-5.93996998,2.01459773,0.01557306,0.02821601,0.96968169,0.43912216,0.00474174,1.38893072,0.36481310,0.13352633
-5.93396698,2.03993730,0.01566863,0.02769092,0.96692054,0.45821010,0.00483097,1.40418664,0.36555667,0.13386884
-5.92796398,2.06884394,0.01574279,0.02716284,0.96343970,0.48003461,0.00492157,1.42148257,0.36554849,0.13437067
-5.92196098,2.10294471,0.01579966,0.02665778,0.95998991,0.50496023,0.00501593,1.44194897,0.36498481,0.13514732
-5.91595798,2.14391161,0.01584536,0.02620085,0.95737500,0.53333557,0.00511709,1.46675636,0.36409632,0.13631558
-5.90995498,2.19340481,0.01588773,0.02581553,0.95642878,0.56547768,0.00522868,1.49707687,0.36314054,0.13798994
-5.90395198,2.25301287,0.01593590,0.02552287,0.95799009,0.60165637,0.00535474,1.53404362,0.36239306,0.14027905
-5.89794897,2.32419217,0.01599980,0.02534092,0.96287679,0.64207863,0.00549955,1.57870902,0.36213770,0.14328219
-5.89194597,2.40820725,0.01608964,0.02528412,0.97185935,0.68687404,0.00566749,1.63200362,0.36265613,0.14708579
-5.88594297,2.50607449,0.01621539,0.02536295,0.98563518,0.73608159,0.00586278,1.69469663,0.36421722,0.15176036
-5.87993997,2.61851083,0.01638622,0.02558360,1.00480420,0.78963865,0.00608930,1.76735977,0.36706648,0.15735762
-5.87393697,2.74588972,0.01660999,0.02594786,1.02984672,0.84737233,0.00635034,1.85033556,0.37141610,0.16390819
-5.86793397,2.88820594,0.01689281,0.02645313,1.06110429,0.90899410,0.00664845,1.94371153,0.37743596,0.17141969
-5.86193097,3.04505086,0.01723862,0.02709253,1.09876422,0.97409761,0.00698521,2.04730126,0.38524586,0.17987555
-5.85592796,3.21559936,0.01764890,0.02785520,1.14284838,1.04216034,0.00736108,2.16063320,0.39490941,0.18923431
-5.84992496,3.39860922,0.01812245,0.02872668,1.19320671,1.11254892,0.00777528,2.28294798,0.40642983,0.19942977
-5.84392196,3.59243346,0.01865534,0.02968938,1.24951570,1.18452839,0.00822571,2.41320442,0.41974774,0.21037163
-5.83791896,3.79504546,0.01924084,0.03072318,1.31128207,1.25727493,0.00870886,2.55009446,0.43474116,0.22194699
-5.83191596,4.00407651,0.01986966,0.03180600,1.37785143,1.32989207,0.00921990,2.69206660,0.45122769,0.23402236
-5.82591296,4.21686470,0.02053011,0.03291452,1.44842184,1.40142963,0.00975268,2.83735729,0.46896876,0.24644634
-5.81990995,4.43051364,0.02120851,0.03402482,1.52206179,1.47090508,0.01029983,2.98402943,0.48767591,0.25905281
-5.81390695,4.64195936,0.02188957,0.03511304,1.59773201,1.53732636,0.01085299,3.13001664,0.50701868,0.27166452
