energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.80938488,2.85784335,0.51092724,0.00200945,0.89013944,0.01058426,0.77596690
-5.99399700,2.77577939,2.82588222,0.50529023,0.00198928,0.87679305,0.01018807,0.76885934
-5.98799400,2.73213419,2.78251412,0.49808976,0.00195937,0.86062111,0.00979567,0.75854317
-5.98199100,2.67832634,2.72776405,0.48923147,0.00192048,0.84151761,0.00940449,0.74507952
-5.97598799,2.61455067,2.66199393,0.47867702,0.00187369,0.81947546,0.00901279,0.72861813
-5.96998499,2.54132226,2.58589957,0.46644704,0.00182034,0.79458938,0.00861972,0.70939531
-5.96398199,2.45946554,2.50049411,0.45262154,0.00176205,0.76705431,0.00822534,0.68772854
-5.95797899,2.37009083,2.40707884,0.43733777,0.00170065,0.73715962,0.00783065,0.66400788
-5.95197599,2.27455960,2.30720288,0.42078568,0.00163817,0.70527946,0.00743749,0.63868462
-5.94597299,2.17444006,2.20261369,0.40320128,0.00157681,0.67185991,0.00704842,0.61225760
-5.93996998,2.07145554,2.09520092,0.38485825,0.00151886,0.63740355,0.00666663,0.58525788
-5.93396698,1.96742789,1.98693592,0.36605836,0.00146671,0.60245236,0.00629571,0.55823225
-5.92796398,1.86421863,1.87980996,0.34712099,0.00142278,0.56756981,0.00593951,0.53172638
-5.92196098,1.76367034,1.77577344,0.32837252,0.00138948,0.53332295,0.00560191,0.50626823
-5.91595798,1.66755079,1.67667875,0.31013582,0.00136920,0.50026532,0.00528666,0.48235222
-5.90995498,1.57750193,1.58422888,0.29272050,0.00136422,0.46892143,0.00499721,0.46042497
-5.90395198,1.49499554,1.49993341,0.27641419,0.00137674,0.43977327,0.00473651,0.44087288
-5.89794897,1.42129711,1.42507335,0.26147516,0.00140876,0.41324944,0.00450690,0.42401199
-5.89194597,1.35743864,1.36067552,0.24812666,0.00146212,0.38971700,0.00431001,0.41008047
-5.88594297,1.30420111,1.30749700,0.23655283,0.00153841,0.36947621,0.00414665,0.39923389
-5.87993997,1.26210647,1.26601924,0.22689650,0.00163892,0.35275812,0.00401684,0.39154319
-5.87393697,1.23141890,1.23645168,0.21925861,0.00176466,0.33972473,0.00391973,0.38699563
-5.86793397,1.21215440,1.21874370,0.21369918,0.00191624,0.33047147,0.00385367,0.38549817
-5.86193097,1.20409780,1.21260384,0.21023969,0.00209389,0.32503146,0.00381628,0.38688338
-5.85592796,1.20682580,1.21752492,0.20886644,0.00229736,0.32338124,0.00380451,0.39091750
-5.84992496,1.21973448,1.23281352,0.20953476,0.00252596,0.32544727,0.00381477,0.39731013
-5.84392196,1.24206996,1.25762220,0.21217367,0.00277846,0.33111286,0.00384302,0.40572540
-5.83791896,1.27296035,1.29098298,0.21669071,0.00305309,0.34022487,0.00388500,0.41579404
-5.83191596,1.31144781,1.33184063,0.22297659,0.00334757,0.35259992,0.00393627,0.42712590
-5.82591296,1.35651925,1.37908439,0.23090953,0.00365907,0.36802971,0.00399244,0.43932262
-5.81990995,1.40713451,1.43157720,0.24035900,0.00398423,0.38628512,0.00404930,0.45198994
-5.81390695,1.46225137,1.48818144,0.25118873,0.00431924,0.40711917,0.00410295,0.46474932
-5.80790395,1.52084662,1.54778081,0.26325898,0.00465990,0.43026858,0.00414995,0.47724855
-5.80190095,1.58193304,1.60929798,0.27642802,0.00500168,0.45545432,0.00418741,0.48917117
-5.79589795,1.64457234,1.67170816,0.29055299,0.00533983,0.48238111,0.00421313,0.50024439
-5.78989495,1.70788436,1.73404883,0.30549011,0.00566954,0.51073639,0.00422564,0.51024547
-5.78389195,1.77105312,1.79542623,0.32109462,0.00598604,0.54018903,0.00422428,0.51900663
-5.77788894,1.83333052,1.85501932,0.33722064,0.00628480,0.57038828,0.00420924,0.52641823
-5.77188594,1.89403851,1.91208207,0.35372101,0.00656164,0.60096339,0.00418157,0.53243061
-5.76588294,1.95257077,1.96594494,0.37044768,0.00681293,0.63152435,0.00414317,0.53705442
-5.75987994,2.00839461,2.01601639,0.38725254,0.00703575,0.66166417,0.00409681,0.54035983
-5.75387694,2.06105399,2.06178524,0.40398912,0.00722799,0.69096284,0.00404600,0.54247452
-5.74787394,2.11017416,2.10282430,0.42051503,0.00738851,0.71899337,0.00399504,0.54358078
-5.74187094,2.15546807,2.13879566,0.43669536,0.00751718,0.74532979,0.00394887,0.54391173
-5.73586793,2.19674473,2.16945773,0.45240685,0.00761499,0.76955708,0.00391302,0.54374674
-5.72986493,2.23391896,2.19467363,0.46754273,0.00768401,0.79128274,0.00389347,0.54340617
-5.72386193,2.26702200,2.21442053,0.48201790,0.00772740,0.81014958,0.00389660,0.54324530
-5.71785893,2.29621193,2.22879918,0.49577429,0.00774929,0.82584921,0.00392898,0.54364766
-5.71185593,2.32178294,2.23804248,0.50878587,0.00775470,0.83813564,0.00399731,0.54501742
-5.70585293,2.34417193,2.24252226,0.52106301,0.00774935,0.84683815,0.00410820,0.54777110
-5.69984992,2.36396150,2.24275296,0.53265579,0.00773947,0.85187284,0.00426806,0.55232838
-5.69384692,2.38187792,2.23939122,0.54365585,0.00773158,0.85325204,0.00448287,0.55910206
-5.68784392,2.39878320,2.23323059,0.55419651,0.00773222,0.85109104,0.00475807,0.56848737
-5.68184092,2.41566070,2.22519054,0.56445101,0.00774773,0.84561144,0.00509827,0.58085054
-5.67583792,2.43359388,2.21629958,0.57462862,0.00778398,0.83714082,0.00550718,0.59651709
-5.66983492,2.45373837,2.20767238,0.58496876,0.00784608,0.82610854,0.00598732,0.61576001
-5.66383192,2.47728804,2.20048135,0.59573325,0.00793826,0.81303737,0.00653991,0.63878819
-5.65782891,2.50543598,2.19592342,0.60719689,0.00806361,0.79853138,0.00716467,0.66573571
-5.65182591,2.53933187,2.19518304,0.61963677,0.00822394,0.78326008,0.00785974,0.69665234
-5.64582291,2.58003747,2.19939284,0.63332079,0.00841974,0.76793957,0.00862151,0.73149580
-5.63981991,2.62848209,2.20959337,0.64849592,0.00865010,0.75331109,0.00944463,0.77012632
-5.63381691,2.68542017,2.22669376,0.66537662,0.00891276,0.74011783,0.01032196,0.81230399
-5.62781391,2.75139283,2.25143486,0.68413414,0.00920416,0.72908075,0.01124466,0.85768913
-5.62181091,2.82669550,2.28435656,0.70488707,0.00951961,0.72087430,0.01220223,0.90584608
-5.61580790,2.91135297,2.32577069,0.72769373,0.00985341,0.71610298,0.01318275,0.95625045
-5.60980490,3.00510342,2.37574087,0.75254657,0.01019916,0.71527942,0.01417306,1.00829976
-5.60380190,3.10739222,2.43407017,0.77936905,0.01054990,0.71880507,0.01515906,1.06132736
-5.59779890,3.21737598,2.50029735,0.80801506,0.01089848,0.72695397,0.01612603,1.11461909
-5.59179590,3.33393697,2.57370188,0.83827091,0.01123776,0.73986044,0.01705901,1.16743230
-5.58579290,3.45570747,2.65331791,0.86985987,0.01156092,0.75751107,0.01794315,1.21901646
-5.57978989,3.58110330,2.73795670,0.90244907,0.01186166,0.77974150,0.01876417,1.26863463
-5.57378689,3.70836540,2.82623693,0.93565852,0.01213448,0.80623819,0.01950871,1.31558508
-5.56778389,3.83560814,2.91662208,0.96907194,0.01237481,0.83654519,0.02016472,1.35922205
-5.56178089,3.96087260,3.00746353,1.00224896,0.01257916,0.87007596,0.02072175,1.39897501
-5.55577789,4.08218322,3.09704828,1.03473839,0.01274520,0.90612975,0.02117131,1.43436566
-5.54977489,4.19760589,3.18364958,1.06609202,0.01287179,0.94391232,0.02150700,1.46502203
