energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,3.04177632,-2.76611693,0.03492160,-0.02680015,0.33418103,-0.27558786,1.71356826,-1.63002679,0.70803958,-0.58976806,1.65460604,-1.56279924,0.00000000,-0.00000000,0.84758510,-0.76737257,0.21614629,-0.18032648
-5.99399700,3.09606577,-2.82583696,0.03669998,-0.02884665,0.34954319,-0.28329301,1.73143971,-1.66537389,0.72904326,-0.59781037,1.67258781,-1.59778533,0.00000000,-0.00000000,0.85954753,-0.79029256,0.22195417,-0.18799293
-5.98799400,3.14661929,-2.88428587,0.03835868,-0.03089207,0.36538387,-0.29211025,1.74555714,-1.69771972,0.75098146,-0.60739582,1.68691646,-1.63008998,0.00000000,-0.00000000,0.86916671,-0.81152824,0.22714810,-0.19545448
-5.98199100,3.19237216,-2.94108260,0.03986759,-0.03290968,0.38145059,-0.30204020,1.75557573,-1.72683616,0.77348928,-0.61861351,1.69719395,-1.65939373,0.00000000,-0.00000000,0.87624298,-0.83087267,0.23162880,-0.20261761
-5.97598799,3.23220275,-2.99574139,0.04119771,-0.03487059,0.39746282,-0.31305103,1.76114974,-1.75247664,0.79614600,-0.63149942,1.70302980,-1.68535208,0.00000000,-0.00000000,0.88058907,-0.84811105,0.23530299,-0.20938319
-5.96998499,3.26496985,-3.04767214,0.04232206,-0.03674446,0.41311790,-0.32507651,1.76194757,-1.77437592,0.81848507,-0.64603103,1.70405900,-1.70759954,0.00000000,-0.00000000,0.88203927,-0.86302360,0.23808680,-0.21564848
-5.96398199,3.28955383,-3.09618625,0.04321658,-0.03850016,0.42809815,-0.33801488,1.75766804,-1.79225248,0.84000643,-0.66212330,1.69996078,-1.72575661,0.00000000,-0.00000000,0.88045871,-0.87539003,0.23990908,-0.22130967
-5.95797899,3.30489988,-3.14050862,0.04386097,-0.04010667,0.44207893,-0.35172856,1.74805705,-1.80581371,0.86019089,-0.67962650,1.69047696,-1.73943969,0.00000000,-0.00000000,0.87575233,-0.88499550,0.24071443,-0.22626467
-5.95197599,3.31006114,-3.17979550,0.04423948,-0.04153397,0.45473755,-0.36604492,1.73292361,-1.81476372,0.87851607,-0.69832612,1.67542905,-1.74827358,0.00000000,-0.00000000,0.86787286,-0.89163772,0.24046572,-0.23041630
-5.94597299,3.30423967,-3.21315776,0.04434145,-0.04275394,0.46576254,-0.38075818,1.71215418,-1.81881361,0.89447318,-0.71794499,1.65473284,-1.75190610,0.00000000,-0.00000000,0.85682729,-0.89513510,0.23914613,-0.23367546
-5.93996998,3.28682303,-3.23968883,0.04416178,-0.04374132,0.47486315,-0.39563248,1.68572471,-1.81769367,0.90758401,-0.73814778,1.62840956,-1.75002415,0.00000000,-0.00000000,0.84268141,-0.89533541,0.23676034,-0.23596445
-5.93396698,3.25741471,-3.25849625,0.04370119,-0.04447455,0.48177854,-0.41040615,1.65370928,-1.81116682,0.91741738,-0.75854789,1.59659299,-1.74237031,0.00000000,-0.00000000,0.82556206,-0.89212442,0.23333511,-0.23722000
-5.92796398,3.21585669,-3.26873523,0.04296620,-0.04493656,0.48628626,-0.42479713,1.61628503,-1.79904263,0.92360431,-0.77871663,1.55953178,-1.72875905,0.00000000,-0.00000000,0.80565673,-0.88543420,0.22891880,-0.23739611
-5.92196098,3.16224292,-3.26964287,0.04196902,-0.04511539,0.48820986,-0.43850944,1.57373293,-1.78119102,0.92585115,-0.79819446,1.51758687,-1.70909153,0.00000000,-0.00000000,0.78321063,-0.87525030,0.22358020,-0.23646630
-5.91595798,3.09692302,-3.26057134,0.04072713,-0.04500469,0.48742499,-0.45124060,1.52643422,-1.75755474,0.92395022,-0.81650393,1.47122400,-1.68336812,0.00000000,-0.00000000,0.75852110,-0.86161747,0.21740654,-0.23442535
-5.90995498,3.02049595,-3.24101829,0.03926275,-0.04460399,0.48386400,-0.46268970,1.47486272,-1.72816001,0.91778717,-0.83316404,1.42100151,-1.65169763,0.00000000,-0.00000000,0.73192977,-0.84464348,0.21050072,-0.23129028
-5.90395198,2.93379394,-3.21065306,0.03760212,-0.04391879,0.47751855,-0.47256595,1.41957323,-1.69312435,0.90734504,-0.84770526,1.36755414,-1.61430272,0.00000000,-0.00000000,0.70381259,-0.82450057,0.20297804,-0.22710060
-5.89794897,2.83785742,-3.16933720,0.03577466,-0.04296043,0.46844037,-0.48059731,1.36118678,-1.65266122,0.89270458,-0.85968481,1.31157352,-1.57152087,0.00000000,-0.00000000,0.67456839,-0.80142448,0.19496238,-0.22191769
-5.89194597,2.73390232,-3.11713847,0.03381203,-0.04174574,0.45673993,-0.48653902,1.30037314,-1.60708110,0.87404101,-0.86870154,1.25378630,-1.52380068,0.00000000,-0.00000000,0.64460645,-0.77571087,0.18658228,-0.21582338
-5.88594297,2.62328126,-3.05433717,0.03174722,-0.04029653,0.44258315,-0.49018151,1.23783169,-1.55678866,0.85161737,-0.87440966,1.19493110,-1.47169363,0.00000000,-0.00000000,0.61433359,-0.74770922,0.17796677,-0.20891778
-5.87993997,2.50744062,-2.98142480,0.02961352,-0.03863889,0.42618635,-0.49135747,1.17427147,-1.50227618,0.82577474,-0.87653086,1.13573525,-1.41584132,0.00000000,-0.00000000,0.58414158,-0.71781439,0.16924142,-0.20131641
-5.87393697,2.38787549,-2.89909480,0.02744365,-0.03680236,0.40780964,-0.48994780,1.11039130,-1.44411342,0.79692006,-0.87486416,1.07689260,-1.35695898,0.00000000,-0.00000000,0.55439525,-0.68645627,0.16052464,-0.19314678
-5.86793397,2.26608467,-2.80822575,0.02526889,-0.03481901,0.38774904,-0.48588601,1.04686091,-1.38293435,0.76551195,-0.86929310,1.01904326,-1.29581569,0.00000000,-0.00000000,0.52542200,-0.65408779,0.15192442,-0.18454449
-5.86193097,2.14352788,-2.70985788,0.02311835,-0.03272249,0.36632778,-0.47916107,0.98430394,-1.31942126,0.73204544,-0.85978987,0.96275634,-1.23321239,0.00000000,-0.00000000,0.49750311,-0.62117194,0.14353565,-0.17564919
-5.85592796,2.02158683,-2.60516380,0.02101836,-0.03054698,0.34388705,-0.46981835,0.92328351,-1.25428704,0.69703633,-0.84641622,0.90851624,-1.16995859,0.00000000,-0.00000000,0.47086718,-0.58816831,0.13543807,-0.16660036
-5.84992496,1.90153199,-2.49541480,0.01899201,-0.02832629,0.32077671,-0.45795884,0.86429077,-1.18825639,0.66100581,-0.82932123,0.85671314,-1.10684877,0.00000000,-0.00000000,0.44568599,-0.55551979,0.12769500,-0.15753322
-5.84392196,1.78449620,-2.38194428,0.01705884,-0.02609294,0.29734633,-0.44373642,0.80773709,-1.12204667,0.62446626,-0.80873576,0.80763791,-1.04463957,0.00000000,-0.00000000,0.42207286,-0.52363992,0.12035279,-0.14857491
-5.83791896,1.67145597,-2.26610973,0.01523468,-0.02387740,0.27393690,-0.42735355,0.75394981,-1.05634945,0.58790859,-0.78496428,0.76148142,-0.98402881,0.00000000,-0.00000000,0.40008347,-0.49290151,0.11344096,-0.13984108
-5.83191596,1.56322083,-2.14925514,0.01353167,-0.02170737,0.25087348,-0.40905535,0.70317171,-0.99181327,0.55179182,-0.75837413,0.71833819,-0.92563706,0.00000000,-0.00000000,0.37971908,-0.46362695,0.10697310,-0.13143305
-5.82591296,1.46043084,-2.03267523,0.01195834,-0.01960733,0.22845911,-0.38912250,0.65556391,-0.92902848,0.51653502,-0.72938303,0.67821388,-0.86999265,0.00000000,-0.00000000,0.36093176,-0.43608060,0.10094829,-0.12343551
-5.81990995,1.36356156,-1.91758313,0.01051988,-0.01759813,0.20697002,-0.36786329,0.61121201,-0.86851474,0.48251203,-0.69844530,0.64103614,-0.81752057,0.00000000,-0.00000000,0.34363145,-0.41046347,0.09535307,-0.11591509
-5.81390695,1.27293588,-1.80508265,0.00921848,-0.01569678,0.18665236,-0.34560496,0.57013477,-0.81071149,0.45004863,-0.66603758,0.60666798,-0.76853562,0.00000000,-0.00000000,0.32769426,-0.38691050,0.09016370,-0.10891950
-5.80790395,1.18874132,-1.69614632,0.00805369,-0.01391643,0.16772021,-0.32268505,0.53229495,-0.75597188,0.41942236,-0.63264466,0.57492303,-0.72324009,0.00000000,-0.00000000,0.31297175,-0.36549028,0.08534872,-0.10247756
-5.80190095,1.11105164,-1.59159981,0.00702287,-0.01226641,0.15035510,-0.29944285,0.49761149,-0.70456013,0.39086438,-0.59874611,0.54558168,-0.68172570,0.00000000,-0.00000000,0.29930055,-0.34620727,0.08087159,-0.09659979
-5.79589795,1.03985098,-1.49211319,0.00612169,-0.01075242,0.13470652,-0.27621138,0.46597242,-0.65665239,0.36456313,-0.56480434,0.51840743,-0.64397971,0.00000000,-0.00000000,0.28651195,-0.32900631,0.07669323,-0.09127976
-5.78989495,0.97505920,-1.39819917,0.00534455,-0.00937689,0.12089354,-0.25331023,0.43724774,-0.61234093,0.34066936,-0.53125441,0.49316242,-0.60989476,0.00000000,-0.00000000,0.27444094,-0.31377915,0.07277450,-0.08649593
-5.78389195,0.91655662,-1.31021791,0.00468500,-0.00813931,0.10900703,-0.23103955,0.41130166,-0.57164123,0.31930172,-0.49849618,0.46962169,-0.57928180,0.00000000,-0.00000000,0.26293449,-0.30037260,0.06907834,-0.08221396
