energy_ev,total_up,In_p_up,In_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.49989556,0.07664067,0.00517200,0.89759711,0.58053373,0.00555759,0.49781542
-5.99399700,1.58066830,0.08011538,0.00539185,0.94717653,0.61114608,0.00571013,0.52818204
-5.98799400,1.66665992,0.08350637,0.00561891,0.99921672,0.64387859,0.00585951,0.56071008
-5.98199100,1.75679439,0.08676256,0.00584995,1.05310898,0.67829978,0.00600148,0.59505295
-5.97598799,1.84985358,0.08983350,0.00608164,1.10817909,0.71391859,0.00613189,0.63080412
-5.96998499,1.94450715,0.09267060,0.00631067,1.16370358,0.75019657,0.00624686,0.66750476
-5.96398199,2.03934589,0.09522835,0.00653385,1.21892741,0.78656150,0.00634295,0.70465285
-5.95797899,2.13291735,0.09746534,0.00674821,1.27308251,0.82242212,0.00641730,0.74171351
-5.95197599,2.22376294,0.09934514,0.00695113,1.32540677,0.85718342,0.00646776,0.77813041
-5.94597299,2.31045533,0.10083709,0.00714036,1.37516283,0.89026221,0.00649300,0.81333797
-5.93996998,2.39163521,0.10191680,0.00731416,1.42165640,0.92110234,0.00649256,0.84677405
-5.93396698,2.46604631,0.10256661,0.00747127,1.46425339,0.94918933,0.00646689,0.87789278
-5.92796398,2.53256767,0.10277577,0.00761097,1.50239561,0.97406378,0.00641730,0.90617733
-5.92196098,2.59024222,0.10254059,0.00773309,1.53561449,0.99533332,0.00634597,0.93115201
-5.91595798,2.63830077,0.10186435,0.00783799,1.56354243,1.01268257,0.00625584,0.95239366
-5.90995498,2.67618076,0.10075721,0.00792650,1.58592152,1.02588090,0.00615048,0.96954171
-5.90395198,2.70353898,0.09923590,0.00799993,1.60260927,1.03478775,0.00603400,0.98230676
-5.89794897,2.72025813,0.09732343,0.00805992,1.61358122,1.03935528,0.00591082,0.99047727
-5.89194597,2.72644668,0.09504861,0.00810847,1.61893026,1.03962820,0.00578555,0.99392429
-5.88594297,2.72243225,0.09244561,0.00814775,1.61886261,1.03574106,0.00566282,0.99260394
-5.87993997,2.70874860,0.08955336,0.00818008,1.61369064,1.02791274,0.00554702,0.98655754
-5.87393697,2.68611674,0.08641488,0.00820782,1.60382262,1.01643859,0.00544223,0.97590952
-5.86793397,2.65542066,0.08307658,0.00823327,1.58974973,1.00168048,0.00535197,0.96086309
-5.86193097,2.61767865,0.07958746,0.00825856,1.57203068,0.98405492,0.00527911,0.94169376
-5.85592796,2.57401112,0.07599825,0.00828561,1.55127455,0.96401999,0.00522576,0.91874115
-5.84992496,2.52560599,0.07236044,0.00831604,1.52812218,0.94206119,0.00519315,0.89239916
-5.84392196,2.47368286,0.06872536,0.00835108,1.50322703,0.91867704,0.00518161,0.86310504
-5.83791896,2.41945719,0.06514313,0.00839157,1.47723584,0.89436461,0.00519055,0.83132760
-5.83191596,2.36410565,0.06166164,0.00843787,1.45077000,0.86960573,0.00521849,0.79755504
-5.82591296,2.30873375,0.05832559,0.00848988,1.42440812,0.84485413,0.00526307,0.76228281
-5.81990995,2.25434692,0.05517551,0.00854705,1.39867054,0.82052403,0.00532120,0.72600186
-5.81390695,2.20182578,0.05224692,0.00860835,1.37400613,0.79698049,0.00538917,0.68918762
-5.80790395,2.15190652,0.04956958,0.00867235,1.35078203,0.77453177,0.00546275,0.65229012
-5.80190095,2.10516686,0.04716693,0.00873724,1.32927662,0.75342394,0.00553739,0.61572541
-5.79589795,2.06201795,0.04505567,0.00880093,1.30967585,0.73383779,0.00560842,0.57986855
-5.78989495,2.02270250,0.04324559,0.00886106,1.29207325,0.71588817,0.00567118,0.54504835
-5.78389195,1.98729905,0.04173962,0.00891519,1.27647352,0.69962566,0.00572126,0.51154377
