energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.32233713,0.12310684,0.00000000,0.32682758,0.34104110,0.05382351,0.14043756
-5.99399700,1.29911549,0.11934463,0.00000000,0.32211527,0.33413574,0.05273532,0.13956909
-5.98799400,1.27517754,0.11547886,0.00000000,0.31693306,0.32763877,0.05154697,0.13938121
-5.98199100,1.25009458,0.11148403,0.00000000,0.31119181,0.32138105,0.05024725,0.13979549
-5.97598799,1.22352757,0.10734206,0.00000000,0.30482651,0.31521628,0.04882929,0.14073095
-5.96998499,1.19523295,0.10304310,0.00000000,0.29779763,0.30902276,0.04729077,0.14210460
-5.96398199,1.16506404,0.09858590,0.00000000,0.29009129,0.30270395,0.04563391,0.14383167
-5.95797899,1.13296828,0.09397779,0.00000000,0.28171838,0.29618784,0.04386531,0.14582597
-5.95197599,1.09898055,0.08923431,0.00000000,0.27271267,0.28942541,0.04199560,0.14800008
-5.94597299,1.06321324,0.08437844,0.00000000,0.26312811,0.28238815,0.04003894,0.15026577
-5.93996998,1.02584388,0.07943957,0.00000000,0.25303545,0.27506521,0.03801243,0.15253442
-5.93396698,0.98710104,0.07445218,0.00000000,0.24251841,0.26746001,0.03593542,0.15471768
-5.92796398,0.94724965,0.06945442,0.00000000,0.23166966,0.25958691,0.03382878,0.15672834
-5.92196098,0.90657626,0.06448659,0.00000000,0.22058679,0.25146792,0.03171420,0.15848136
-5.91595798,0.86537540,0.05958959,0.00000000,0.20936851,0.24312974,0.02961352,0.15989527
-5.90995498,0.82393743,0.05480359,0.00000000,0.19811121,0.23460126,0.02754810,0.16089357
-5.90395198,0.78253852,0.05016668,0.00000000,0.18690615,0.22591161,0.02553835,0.16140646
-5.89794897,0.74143303,0.04571381,0.00000000,0.17583713,0.21708879,0.02360335,0.16137250
-5.89194597,0.70084846,0.04147605,0.00000000,0.16497896,0.20815895,0.02176056,0.16074033
-5.88594297,0.66098281,0.03747993,0.00000000,0.15439656,0.19914614,0.02002574,0.15947024
-5.87993997,0.62200430,0.03374720,0.00000000,0.14414469,0.19007262,0.01841296,0.15753555
-5.87393697,0.58405299,0.03029475,0.00000000,0.13426821,0.18095941,0.01693467,0.15492372
-5.86793397,0.54724386,0.02713484,0.00000000,0.12480284,0.17182713,0.01560193,0.15163698
-5.86193097,0.51167095,0.02427536,0.00000000,0.11577622,0.16269695,0.01442467,0.14769263
-5.85592796,0.47741200,0.02172042,0.00000000,0.10720917,0.15359145,0.01341199,0.14312278
-5.84992496,0.44453309,0.01947091,0.00000000,0.09911707,0.14453538,0.01257247,0.13797364
-5.84392196,0.41309301,0.01752509,0.00000000,0.09151116,0.13555616,0.01191442,0.13230430
-5.83791896,0.38314680,0.01587928,0.00000000,0.08439973,0.12668416,0.01144613,0.12618509
-5.83191596,0.35474842,0.01452840,0.00000000,0.07778913,0.11795258,0.01117601,0.11969555
-5.82591296,0.32795231,0.01346646,0.00000000,0.07168447,0.10939708,0.01111263,0.11292211
-5.81990995,0.30281383,0.01268698,0.00000000,0.06609013,0.10105512,0.01126468,0.10595560
-5.81390695,0.27938857,0.01218320,0.00000000,0.06100986,0.09296506,0.01164073,0.09888860
-5.80790395,0.25773073,0.01194818,0.00000000,0.05644675,0.08516509,0.01224901,0.09181290
-5.80190095,0.23789076,0.01197484,0.00000000,0.05240285,0.07769207,0.01309694,0.08481704
-5.79589795,0.21991238,0.01225571,0.00000000,0.04887864,0.07058032,0.01419063,0.07798403
-5.78989495,0.20382930,0.01278271,0.00000000,0.04587240,0.06386056,0.01553430,0.07138940
-5.78389195,0.18966198,0.01354675,0.00000000,0.04337947,0.05755885,0.01712966,0.06509964
-5.77788894,0.17741446,0.01453735,0.00000000,0.04139148,0.05169585,0.01897524,0.05917092
-5.77188594,0.16707170,0.01574209,0.00000000,0.03989569,0.04628613,0.02106583,0.05364837
-5.76588294,0.15859748,0.01714627,0.00000000,0.03887439,0.04133793,0.02339187,0.04856567
-5.75987994,0.15193309,0.01873245,0.00000000,0.03830447,0.03685299,0.02593911,0.04394511
-5.75387694,0.14699688,0.02048014,0.00000000,0.03815715,0.03282673,0.02868831,0.03979798
