energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.79338504,0.00790039,0.34682926,0.82827090,1.12119730,2.51309654,1.39807443,0.02372198,0.83681115
-5.99399700,3.73023297,0.00749066,0.34595571,0.80911487,1.09456104,2.45945675,1.39151976,0.02338036,0.81070657
-5.98799400,3.66033408,0.00706471,0.34446475,0.78981091,1.06468908,2.40359249,1.38286498,0.02293856,0.78371969
-5.98199100,3.58541341,0.00662927,0.34244354,0.77087815,1.03220344,2.34661114,1.37253379,0.02240570,0.75640878
-5.97598799,3.50725254,0.00619104,0.33999140,0.75281555,0.99775681,2.28963662,1.36097175,0.02179245,0.72932737
-5.96998499,3.42763737,0.00575652,0.33721618,0.73608657,0.96201573,2.23377422,1.34863161,0.02111065,0.70300894
-5.96398199,3.34830988,0.00533182,0.33423066,0.72110583,0.92564481,2.18007808,1.33595973,0.02037311,0.67795333
-5.95797899,3.27092506,0.00492258,0.33114886,0.70822817,0.88929208,2.12952205,1.32338403,0.01959327,0.65461538
-5.95197599,3.19701450,0.00453384,0.32808261,0.69774041,0.85357633,2.08297453,1.31130371,0.01878494,0.63339594
-5.94597299,3.12795751,0.00416994,0.32513821,0.68985599,0.81907650,2.04117775,1.30008117,0.01796200,0.61463569
-5.93996998,3.06496011,0.00383453,0.32241354,0.68471251,0.78632352,2.00473172,1.29003609,0.01713818,0.59861165
-5.93396698,3.00904235,0.00353052,0.31999549,0.68237220,0.75579469,1.97408298,1.28144182,0.01632680,0.58553636
-5.92796398,2.96103352,0.00326008,0.31795792,0.68282499,0.72791051,1.94951806,1.27452397,0.01554059,0.57555960
-5.92196098,2.92157477,0.00302469,0.31636006,0.68599403,0.70303398,1.93116158,1.26946110,0.01479152,0.56877245
-5.91595798,2.89112839,0.00282519,0.31524549,0.69174324,0.68147194,1.91897868,1.26638715,0.01409066,0.56521305
-5.90995498,2.86999251,0.00266184,0.31464165,0.69988648,0.66347828,1.91278162,1.26539540,0.01344808,0.56487400
-5.90395198,2.85831988,0.00253438,0.31455984,0.71019785,0.64925845,1.91224001,1.26654358,0.01287275,0.56771056
-5.89794897,2.85613940,0.00244214,0.31499572,0.72242266,0.63897486,1.91689434,1.26985957,0.01237252,0.57364937
-5.89194597,2.86337864,0.00238408,0.31593021,0.73628842,0.63275262,1.92617239,1.27534735,0.01195403,0.58259702
-5.88594297,2.87988597,0.00235892,0.31733076,0.75151556,0.63068504,1.93940771,1.28299275,0.01162274,0.59444800
-5.87993997,2.90545058,0.00236516,0.31915290,0.76782719,0.63283847,1.95585997,1.29276844,0.01138290,0.60909152
-5.87393697,2.93981930,0.00240119,0.32134188,0.78495765,0.63925590,1.97473622,1.30463793,0.01123753,0.62641685
-5.86793397,2.98270889,0.00246530,0.32383453,0.80265934,0.64995912,1.99521256,1.31855817,0.01118842,0.64631673
-5.86193097,3.03381312,0.00255576,0.32656107,0.82070774,0.66494894,2.01645560,1.33448050,0.01123615,0.66868873
-5.85592796,3.09280416,0.00267081,0.32944683,0.83890432,0.68420363,2.03764298,1.35234991,0.01138004,0.69343442
-5.84992496,3.15932817,0.00280870,0.33241391,0.85707736,0.70767530,2.05798247,1.37210262,0.01161818,0.72045642
-5.84392196,3.23299555,0.00296765,0.33538268,0.87508079,0.73528464,2.07672899,1.39366202,0.01194740,0.74965340
-5.83791896,3.31336658,0.00314590,0.33827301,0.89279113,0.76691422,2.09319929,1.41693333,0.01236325,0.78091352
-5.83191596,3.39993362,0.00334162,0.34100546,0.91010290,0.80240087,2.10678374,1.44179740,0.01286002,0.81410661
-5.82591296,3.49210140,0.00355293,0.34350217,0.92692292,0.84152769,2.11695528,1.46810395,0.01343070,0.84907573
-5.81990995,3.58916708,0.00377785,0.34568761,0.94316386,0.88401638,2.12327520,1.49566508,0.01406701,0.88562865
-5.81390695,3.69030210,0.00401424,0.34748930,0.95873759,0.92952072,2.12539600,1.52424935,0.01475944,0.92353012
-5.80790395,3.79453763,0.00425982,0.34883838,0.97354888,0.97762171,2.12306138,1.55357731,0.01549731,0.96249530
-5.80190095,3.90075539,0.00451209,0.34967015,0.98748988,1.02782528,2.11610366,1.58331884,0.01626879,1.00218536
-5.79589795,4.00768560,0.00476833,0.34992462,1.00043593,1.07956297,2.10443907,1.61309288,0.01706111,1.04220548
-5.78989495,4.11391308,0.00502560,0.34954715,1.01224292,1.13219617,2.08806120,1.64246985,0.01786062,1.08210593
-5.78389195,4.21789243,0.00528071,0.34848908,1.02274660,1.18502402,2.06703320,1.67097709,0.01865306,1.12138633
-5.77788894,4.31797233,0.00553031,0.34670845,1.03176399,1.23729513,2.04147917,1.69810713,0.01942371,1.15950328
-5.77188594,4.41242879,0.00577082,0.34417078,1.03909669,1.28822284,2.01157514,1.72332894,0.02015773,1.19588125
-5.76588294,4.49950624,0.00599859,0.34084990,1.04453626,1.33700366,1.97754012,1.74610154,0.02084038,1.22992625
-5.75987994,4.57746503,0.00620989,0.33672875,1.04787115,1.38283815,1.93962759,1.76588960,0.02145741,1.26104203
-5.75387694,4.64463328,0.00640101,0.33180022,1.04889490,1.42495348,1.89811774,1.78218036,0.02199531,1.28864787
-5.74787394,4.69946069,0.00656840,0.32606781,1.04741522,1.46262663,1.85331055,1.79450098,0.02244174,1.31219726
-5.74187094,4.74057176,0.00670867,0.31954623,1.04326320,1.49520708,1.80552002,1.80243561,0.02278577,1.33119654
-5.73586793,4.76681553,0.00681879,0.31226182,1.03630231,1.52213805,1.75506955,1.80564114,0.02301824,1.34522258
-5.72986493,4.77730942,0.00689612,0.30425274,1.02643652,1.54297494,1.70228838,1.80386098,0.02313201,1.35393849
-5.72386193,4.77147465,0.00693853,0.29556893,1.01361704,1.55740025,1.64750915,1.79693599,0.02312220,1.35710664
-5.71785893,4.74906133,0.00694450,0.28627183,0.99784736,1.56523399,1.59106638,1.78481201,0.02298632,1.35459819
-5.71185593,4.71016189,0.00691315,0.27643383,0.97918607,1.56643902,1.53329576,1.76754369,0.02272442,1.34639865
-5.70585293,4.65521190,0.00684427,0.26613749,0.95774755,1.56112113,1.47453407,1.74529426,0.02233909,1.33260919
-5.69984992,4.58497840,0.00673840,0.25547461,0.93370024,1.54952363,1.41511965,1.71833140,0.02183543,1.31344353
-5.69384692,4.50053637,0.00659679,0.24454510,0.90726268,1.53201680,1.35539309,1.68701953,0.02122091,1.28922067
-5.68784392,4.40323439,0.00642137,0.23345576,0.87869759,1.50908279,1.29569822,1.65180884,0.02050521,1.26035385
-5.68184092,4.29465177,0.00621471,0.22231901,0.84830426,1.48129661,1.23638312,1.61322190,0.01969994,1.22733615
-5.67583792,4.17654913,0.00597994,0.21125175,0.81640965,1.44930437,1.17780119,1.57183851,0.01881838,1.19072381
-5.66983492,4.05081528,0.00572066,0.20037417,0.78335879,1.41379968,1.12031211,1.52827984,0.01787509,1.15111781
-5.66383192,3.91941310,0.00544085,0.18980877,0.74950491,1.37549963,1.06428272,1.48319250,0.01688556,1.10914477
-5.65782891,3.78432711,0.00514471,0.17967958,0.71519981,1.33512137,1.01008775,1.43723363,0.01586585,1.06543820
-5.65182591,3.64751526,0.00483660,0.17011156,0.68078497,1.29336041,0.95811042,1.39105764,0.01483217,1.02062070
-5.64582291,3.51086697,0.00452084,0.16123015,0.64658377,1.25087178,0.90874278,1.34530517,0.01380055,0.97528815
-5.63981991,3.37616905,0.00420169,0.15316108,0.61289515,1.20825452,0.86238581,1.30059472,0.01278650,0.92999623
-5.63381691,3.24508048,0.00388316,0.14603025,0.57998880,1.16604034,0.81944913,1.25751704,0.01180469,0.88524994
-5.62781391,3.11911631,0.00356898,0.13996373,0.54810217,1.12468645,0.78035033,1.21663238,0.01086868,0.84149620
-5.62181091,2.99964042,0.00326250,0.13508774,0.51743904,1.08457277,0.74551355,1.17847004,0.00999076,0.79911955
-5.61580790,2.88786618,0.00296662,0.13152853,0.48816973,1.04600304,0.71536743,1.14353011,0.00918173,0.75844089
-5.60980490,2.78486360,0.00268379,0.12941205,0.46043254,1.00920950,0.69034200,1.11228636,0.00845082,0.71971888
-5.60380190,2.69157109,0.00241597,0.12886336,0.43433629,0.97436035,0.67086446,1.08518985,0.00780556,0.68315353
-5.59779890,2.60880984,0.00216465,0.13000560,0.40996356,0.94156919,0.65735369,1.06267232,0.00725183,0.64889145
-5.59179590,2.53729854,0.00193083,0.13295856,0.38737432,0.91090559,0.65021324,1.04514848,0.00679376,0.61703217
-5.58579290,2.47766650,0.00171510,0.13783666,0.36660956,0.88240579,0.64982287,1.03301669,0.00643383,0.58763492
