energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,0.66100698,0.32563194,0.05413382,0.00725919,0.06519417,0.17718906,0.19050330,0.30359235,0.00000000
-5.99399700,0.60159593,0.29458919,0.04921302,0.00665505,0.05908938,0.16083381,0.17393950,0.27630896,0.00000000
-5.98799400,0.54392025,0.26476810,0.04445467,0.00606147,0.05320472,0.14502716,0.15775607,0.24980300,0.00000000
-5.98199100,0.48859297,0.23643059,0.03990816,0.00548643,0.04759520,0.12992370,0.14214094,0.22435583,0.00000000
-5.97598799,0.43613312,0.20978700,0.03561538,0.00493707,0.04230575,0.11565131,0.12725680,0.20020482,0.00000000
-5.96998499,0.38696341,0.18499666,0.03161056,0.00441961,0.03737119,0.10231096,0.11323972,0.17754220,0.00000000
-5.96398199,0.34141149,0.16217027,0.02792049,0.00393935,0.03281660,0.08997744,0.10019895,0.15651563,0.00000000
-5.95797899,0.29971460,0.14137347,0.02456500,0.00350064,0.02865799,0.07870096,0.08821779,0.13723024,0.00000000
-5.95197599,0.26202687,0.12263151,0.02155757,0.00310701,0.02490311,0.06850930,0.07735537,0.11975200,0.00000000
-5.94597299,0.22842881,0.10593460,0.01890620,0.00276122,0.02155254,0.05941059,0.06764916,0.10411198,0.00000000
-5.93996998,0.19893818,0.09124374,0.01661431,0.00246538,0.01860074,0.05139631,0.05911798,0.09031132,0.00000000
-5.93396698,0.17352168,0.07849667,0.01468170,0.00222108,0.01603731,0.04444449,0.05176547,0.07832664,0.00000000
-5.92796398,0.15210681,0.06761362,0.01310551,0.00202951,0.01384803,0.03852292,0.04558365,0.06811544,0.00000000
-5.92196098,0.13459331,0.05850277,0.01188111,0.00189157,0.01201605,0.03359220,0.04055646,0.05962144,0.00000000
-5.91595798,0.12086382,0.05106509,0.01100289,0.00180801,0.01052281,0.02960860,0.03666326,0.05277954,0.00000000
-5.90995498,0.11079318,0.04519856,0.01046492,0.00177952,0.00934890,0.02652651,0.03388196,0.04752023,0.00000000
-5.90395198,0.10425634,0.04080150,0.01026146,0.00180676,0.00847473,0.02430056,0.03219197,0.04377338,0.00000000
-5.89794897,0.10113453,0.03777512,0.01038730,0.00189048,0.00788107,0.02288726,0.03157660,0.04147129,0.00000000
-5.89194597,0.10131974,0.03602519,0.01083791,0.00203146,0.00754938,0.02224627,0.03202522,0.04055100,0.00000000
-5.88594297,0.10471752,0.03546297,0.01160948,0.00223057,0.00746198,0.02234111,0.03353496,0.04095586,0.00000000
-5.87993997,0.11124831,0.03600529,0.01269873,0.00248872,0.00760205,0.02313966,0.03611209,0.04263645,0.00000000
-5.87393697,0.12084740,0.03757409,0.01410265,0.00280679,0.00795358,0.02461414,0.03977317,0.04555089,0.00000000
-5.86793397,0.13346386,0.04009537,0.01581812,0.00318561,0.00850106,0.02674094,0.04454589,0.04966470,0.00000000
-5.86193097,0.14905877,0.04349784,0.01784147,0.00362583,0.00922926,0.02950015,0.05046987,0.05495022,0.00000000
-5.85592796,0.16760302,0.04771128,0.02016806,0.00412792,0.01012285,0.03287498,0.05759736,0.06138594,0.00000000
-5.84992496,0.18907497,0.05266485,0.02279176,0.00469202,0.01116602,0.03685115,0.06599387,0.06895563,0.00000000
-5.84392196,0.21345842,0.05828547,0.02570457,0.00531792,0.01234217,0.04141621,0.07573885,0.07764749,0.00000000
-5.83791896,0.24074086,0.06449639,0.02889633,0.00600497,0.01363359,0.04655892,0.08692640,0.08745344,0.00000000
-5.83191596,0.27091241,0.07121613,0.03235447,0.00675211,0.01502127,0.05226877,0.09966586,0.09836858,0.00000000
-5.82591296,0.30396542,0.07835781,0.03606392,0.00755777,0.01648474,0.05853558,0.11408233,0.11039083,0.00000000
-5.81990995,0.33989474,0.08582903,0.04000719,0.00841995,0.01800209,0.06534923,0.13031700,0.12352084,0.00000000
-5.81390695,0.37869851,0.09353221,0.04416454,0.00933620,0.01955011,0.07269954,0.14852701,0.13776197,0.00000000
-5.80790395,0.42037937,0.10136563,0.04851429,0.01030369,0.02110451,0.08057621,0.16888474,0.15312050,0.00000000
-5.80190095,0.46494567,0.10922488,0.05303328,0.01131925,0.02264033,0.08896886,0.19157636,0.16960576,0.00000000
-5.79589795,0.51241252,0.11700487,0.05769729,0.01237942,0.02413245,0.09786710,0.21679932,0.18723015,0.00000000
-5.78989495,0.56280208,0.12460222,0.06248167,0.01348055,0.02555617,0.10726052,0.24475867,0.20600898,0.00000000
-5.78389195,0.61614287,0.13191800,0.06736179,0.01461880,0.02688792,0.11713864,0.27566198,0.22595986,0.00000000
-5.77788894,0.67246777,0.13886060,0.07231357,0.01579019,0.02810599,0.12749078,0.30971284,0.24710167,0.00000000
-5.77188594,0.73181032,0.14534870,0.07731387,0.01699064,0.02919127,0.13830571,0.34710288,0.26945295,0.00000000
-5.76588294,0.79419937,0.15131414,0.08234077,0.01821591,0.03012805,0.14957121,0.38800235,0.29302971,0.00000000
-5.75987994,0.85965203,0.15670457,0.08737373,0.01946159,0.03090466,0.16127352,0.43254955,0.31784273,0.00000000
-5.75387694,0.92816506,0.16148586,0.09239357,0.02072303,0.03151414,0.17339669,0.48083941,0.34389430,0.00000000
-5.74787394,0.99970527,0.16564402,0.09738238,0.02199524,0.03195477,0.18592195,0.53291169,0.37117484,0.00000000
-5.74187094,1.07419935,0.16918673,0.10232325,0.02327284,0.03223047,0.19882718,0.58873935,0.39965926,0.00000000
-5.73586793,1.15152403,0.17214425,0.10719994,0.02454993,0.03235109,0.21208659,0.64821783,0.42930372,0.00000000
-5.72986493,1.23149729,0.17456999,0.11199658,0.02582002,0.03233257,0.22567081,0.71115592,0.46004280,0.00000000
-5.72386193,1.31387168,0.17654039,0.11669731,0.02707604,0.03219687,0.23954734,0.77726901,0.49178760,0.00000000
-5.71785893,1.39833052,0.17815448,0.12128610,0.02831029,0.03197191,0.25368167,0.84617542,0.52442503,0.00000000
-5.71185593,1.48448797,0.17953293,0.12574668,0.02951454,0.03169121,0.26803897,0.91739653,0.55781848,0.00000000
-5.70585293,1.57189340,0.18081678,0.13006270,0.03068019,0.03139349,0.28258649,0.99036099,0.59181022,0.00000000
-5.69984992,1.66004052,0.18216584,0.13421804,0.03179844,0.03112218,0.29729656,1.06441359,0.62622545,0.00000000
-5.69384692,1.74838141,0.18375676,0.13819755,0.03286060,0.03092477,0.31215009,1.13882853,0.66087811,0.00000000
-5.68784392,1.83634492,0.18578085,0.14198780,0.03385849,0.03085205,0.32714048,1.21282707,0.69557807,0.00000000
-5.68184092,1.92335884,0.18844163,0.14557822,0.03478478,0.03095736,0.34227758,1.28559897,0.73013961,0.00000000
-5.67583792,2.00887469,0.19195195,0.14896230,0.03563353,0.03129560,0.35759151,1.35632680,0.76439047,0.00000000
-5.66983492,2.09239379,0.19653085,0.15213883,0.03640059,0.03192232,0.37313588,1.42421230,0.79818108,0.00000000
-5.66383192,2.17349274,0.20239984,0.15511311,0.03708408,0.03289258,0.38899017,1.48850327,0.83139318,0.00000000
-5.65782891,2.25184658,0.20977869,0.15789805,0.03768477,0.03425976,0.40526077,1.54851976,0.86394716,0.00000000
-5.65182591,2.32724783,0.21888062,0.16051487,0.03820641,0.03607434,0.42208051,1.60367806,0.89580739,0.00000000
-5.64582291,2.39961945,0.22990683,0.16299356,0.03865593,0.03838247,0.43960615,1.65351111,0.92698503,0.00000000
-5.63981991,2.46902046,0.24304030,0.16537274,0.03904351,0.04122454,0.45801396,1.69768412,0.95753762,0.00000000
-5.63381691,2.53564307,0.25843911,0.16769903,0.03938249,0.04463368,0.47749307,1.73600420,0.98756526,0.00000000
-5.62781391,2.59980070,0.27622915,0.17002586,0.03968911,0.04863413,0.49823678,1.76842366,1.01720335,0.00000000
-5.62181091,2.66190702,0.29649661,0.17241167,0.03998210,0.05323976,0.52043203,1.79503626,1.04661177,0.00000000
-5.61580790,2.72244657,0.31928037,0.17491757,0.04028211,0.05845252,0.54424741,1.81606683,1.07596119,0.00000000
-5.60980490,2.78193846,0.34456476,0.17760467,0.04061097,0.06426111,0.56982016,1.83185455,1.10541698,0.00000000
-5.60380190,2.84089478,0.37227291,0.18053093,0.04099089,0.07063977,0.59724296,1.84283098,1.13512162,0.00000000
-5.59779890,2.89977629,0.40226130,0.18374798,0.04144353,0.07754743,0.62655096,1.84949388,1.16517679,0.00000000
-5.59179590,2.95894800,0.43431585,0.18729795,0.04198908,0.08492715,0.65771019,1.85237861,1.19562604,0.00000000
-5.58579290,3.01863746,0.46814998,0.19121041,0.04264532,0.09270610,0.69060777,1.85202850,1.22643952,0.00000000
-5.57978989,3.07889870,0.50340508,0.19549978,0.04342677,0.10079592,0.72504500,1.84896617,1.25750173,0.00000000
-5.57378689,3.13958437,0.53965361,0.20016333,0.04434392,0.10909381,0.76073365,1.84366729,1.28860340,0.00000000
-5.56778389,3.20032822,0.57640514,0.20517977,0.04540260,0.11748402,0.79729628,1.83653845,1.31943828,0.00000000
-5.56178089,3.26053960,0.61311523,0.21050879,0.04660355,0.12584010,0.83427064,1.82790015,1.34960542,0.00000000
-5.55577789,3.31941099,0.64919717,0.21609136,0.04794215,0.13402761,0.87111837,1.81797604,1.37861717,0.00000000
-5.54977489,3.37593846,0.68403636,0.22185109,0.04940846,0.14190736,0.90723791,1.80688865,1.40591279,0.00000000
-5.54377189,3.42895464,0.71700668,0.22769629,0.05098733,0.14933903,0.94198115,1.79466181,1.43087711,0.00000000
-5.53776888,3.47717264,0.74748860,0.23352300,0.05265887,0.15618510,0.97467326,1.78122935,1.45286364,0.00000000
-5.53176588,3.51923882,0.77488806,0.23921852,0.05439908,0.16231491,1.00463496,1.76644926,1.47122084,0.00000000
-5.52576288,3.55379171,0.79865554,0.24466561,0.05618059,0.16760865,1.03120612,1.75012234,1.48532031,0.00000000
-5.51975988,3.57952400,0.81830428,0.24974690,0.05797366,0.17196118,1.05376978,1.73201397,1.49458552,0.00000000
-5.51375688,3.59524441,0.83342710,0.25434948,0.05974718,0.17528548,1.07177540,1.71187757,1.49851946,0.00000000
-5.50775388,3.59993593,0.84371074,0.25836930,0.06146979,0.17751552,1.08476021,1.68947823,1.49672975,0.00000000
-5.50175088,3.59280764,0.84894717,0.26171538,0.06311097,0.17860855,1.09236763,1.66461506,1.48894988,0.00000000
-5.49574787,3.57333711,0.84904138,0.26431344,0.06464217,0.17854649,1.09436191,1.63714106,1.47505544,0.00000000
-5.48974487,3.54130145,0.84401502,0.26610883,0.06603778,0.17733657,1.09063823,1.60697921,1.45507442,0.00000000
-5.48374187,3.49679526,0.83400599,0.26706871,0.06727599,0.17501104,1.08122781,1.57413422,1.42919106,0.00000000
-5.47773887,3.44023482,0.81926373,0.26718335,0.06833955,0.17162597,1.06629776,1.53869918,1.39774305,0.00000000
-5.47173587,3.37234832,0.80014050,0.26646635,0.06921629,0.16725935,1.04614569,1.50085710,1.36121212,0.00000000
-5.46573287,3.29415278,0.77707916,0.26495404,0.06989940,0.16200827,1.02118941,1.46087726,1.32020870,0.00000000
-5.45972986,3.20691896,0.75059781,0.26270385,0.07038757,0.15598569,0.99195214,1.41910691,1.27545117,0.00000000
-5.45372686,3.11212599,0.72127211,0.25979186,0.07068479,0.14931661,0.95904401,1.37595881,1.22774096,0.00000000
-5.44772386,3.01140810,0.68971609,0.25630956,0.07080003,0.14213400,0.92314073,1.33189541,1.17793447,0.00000000
-5.44172086,2.90649591,0.65656219,0.25236006,0.07074659,0.13457465,0.88496029,1.28741065,1.12691335,0.00000000
-5.43571786,2.79915497,0.62244136,0.24805381,0.07054139,0.12677502,0.84523887,1.24301035,1.07555430,0.00000000
-5.42971486,2.69112441,0.58796422,0.24350409,0.07020400,0.11886733,0.80470688,1.19919212,1.02469979,0.00000000
-5.42371186,2.58405821,0.55370368,0.23882237,0.06975561,0.11097606,0.76406611,1.15642592,0.97513092,0.00000000
-5.41770885,2.47947142,0.52017990,0.23411389,0.06921795,0.10321488,0.72396900,1.11513593,0.92754352,0.00000000
-5.41170585,2.37869356,0.48784798,0.22947347,0.06861214,0.09568415,0.68500056,1.07568484,0.88252828,0.00000000
-5.40570285,2.28283080,0.45708867,0.22498185,0.06795765,0.08846915,0.64766378,1.03836088,0.84055566,0.00000000
-5.39969985,2.19273810,0.42820229,0.22070269,0.06727131,0.08163885,0.61236874,1.00336834,0.80196600,0.00000000
