energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.24848217,0.00045741,0.00163530,0.13308936,0.19014686,0.00000000,0.09054388,0.01199879
-5.99399700,0.24534886,0.00044481,0.00186105,0.13220738,0.18691234,0.00000000,0.08892914,0.01193804
-5.98799400,0.24111234,0.00042960,0.00210303,0.13080330,0.18275249,0.00000000,0.08686297,0.01183320
-5.98199100,0.23590697,0.00041214,0.00235969,0.12894083,0.17777873,0.00000000,0.08439898,0.01169000
-5.97598799,0.22988140,0.00039282,0.00262898,0.12668874,0.17211534,0.00000000,0.08159677,0.01151471
-5.96998499,0.22319314,0.00037210,0.00290839,0.12411803,0.16589517,0.00000000,0.07851978,0.01131389
-5.96398199,0.21600330,0.00035047,0.00319492,0.12129928,0.15925541,0.00000000,0.07523328,0.01109422
-5.95797899,0.20847188,0.00032843,0.00348521,0.11830017,0.15233374,0.00000000,0.07180233,0.01086227
-5.95197599,0.20075377,0.00030653,0.00377554,0.11518356,0.14526485,0.00000000,0.06829012,0.01062443
-5.94597299,0.19299573,0.00028535,0.00406201,0.11200600,0.13817778,0.00000000,0.06475647,0.01038680
-5.93996998,0.18533444,0.00026548,0.00434061,0.10881689,0.13119396,0.00000000,0.06125672,0.01015518
-5.93396698,0.17789577,0.00024752,0.00460737,0.10565820,0.12442608,0.00000000,0.05784106,0.00993515
-5.92796398,0.17079516,0.00023213,0.00485856,0.10256491,0.11797796,0.00000000,0.05455418,0.00973217
-5.92196098,0.16413920,0.00021999,0.00509080,0.09956592,0.11194517,0.00000000,0.05143536,0.00955178
-5.91595798,0.15802818,0.00021183,0.00530126,0.09668553,0.10641647,0.00000000,0.04851892,0.00939979
-5.90995498,0.15255933,0.00020844,0.00548782,0.09394527,0.10147584,0.00000000,0.04583495,0.00928259
-5.90395198,0.14783078,0.00021069,0.00564921,0.09136601,0.09720508,0.00000000,0.04341031,0.00920738
-5.89794897,0.14394559,0.00021952,0.00578514,0.08897013,0.09368652,0.00000000,0.04126974,0.00918247
-5.89194597,0.14101585,0.00023597,0.00589642,0.08678373,0.09100594,0.00000000,0.03943709,0.00921756
-5.88594297,0.13916633,0.00026119,0.00598501,0.08483854,0.08925519,0.00000000,0.03793650,0.00932389
-5.87993997,0.13853750,0.00029645,0.00605406,0.08317355,0.08853449,0.00000000,0.03679345,0.00951446
-5.87393697,0.13928751,0.00034309,0.00610788,0.08183613,0.08895401,0.00000000,0.03603560,0.00980404
-5.86793397,0.14159300,0.00040260,0.00615190,0.08088266,0.09063474,0.00000000,0.03569346,0.01020920
-5.86193097,0.14564838,0.00047652,0.00619255,0.08037839,0.09370827,0.00000000,0.03580059,0.01074809
-5.85592796,0.15166364,0.00056646,0.00623710,0.08039677,0.09831563,0.00000000,0.03639355,0.01144022
-5.84992496,0.15986046,0.00067407,0.00629348,0.08101793,0.10460482,0.00000000,0.03751137,0.01230606
-5.84392196,0.17046662,0.00080097,0.00637003,0.08232663,0.11272729,0.00000000,0.03919472,0.01336648
-5.83791896,0.18370894,0.00094871,0.00647521,0.08440954,0.12283324,0.00000000,0.04148465,0.01464214
-5.83191596,0.19980487,0.00111869,0.00661735,0.08735200,0.13506603,0.00000000,0.04442099,0.01615269
-5.82591296,0.21895289,0.00131212,0.00680431,0.09123451,0.14955563,0.00000000,0.04804057,0.01791601
-5.81990995,0.24132235,0.00152988,0.00704316,0.09612884,0.16641170,0.00000000,0.05237514,0.01994721
-5.81390695,0.26704287,0.00177252,0.00733989,0.10209418,0.18571630,0.00000000,0.05744933,0.02225783
-5.80790395,0.29619404,0.00204009,0.00769909,0.10917343,0.20751674,0.00000000,0.06327855,0.02485487
-5.80190095,0.32879593,0.00233213,0.00812373,0.11738976,0.23181900,0.00000000,0.06986707,0.02774002
-5.79589795,0.36480085,0.00264755,0.00861490,0.12674373,0.25858193,0.00000000,0.07720635,0.03090893
-5.78989495,0.40408711,0.00298461,0.00917169,0.13721111,0.28771293,0.00000000,0.08527383,0.03435069
-5.78389195,0.44645513,0.00334085,0.00979106,0.14874153,0.31906521,0.00000000,0.09403213,0.03804746
-5.77788894,0.49162651,0.00371310,0.01046782,0.16125823,0.35243711,0.00000000,0.10342889,0.04197444
-5.77188594,0.53924630,0.00409747,0.01119471,0.17465877,0.38757374,0.00000000,0.11339726,0.04610002
-5.76588294,0.58888865,0.00448938,0.01196249,0.18881699,0.42417097,0.00000000,0.12385708,0.05038627
-5.75987994,0.64006594,0.00488365,0.01276020,0.20358607,0.46188192,0.00000000,0.13471674,0.05478977
-5.75387694,0.69224125,0.00527458,0.01357541,0.21880260,0.50032568,0.00000000,0.14587568,0.05926261
-5.74787394,0.74484361,0.00565607,0.01439465,0.23429169,0.53909825,0.00000000,0.15722748,0.06375380
-5.74187094,0.79728579,0.00602180,0.01520374,0.24987269,0.57778495,0.00000000,0.16866333,0.06821073
-5.73586793,0.84898355,0.00636534,0.01598836,0.26536551,0.61597409,0.00000000,0.18007579,0.07258094
-5.72986493,0.89937573,0.00668041,0.01673447,0.28059706,0.65327106,0.00000000,0.19136266,0.07681381
-5.72386193,0.94794408,0.00696101,0.01742884,0.29540768,0.68931216,0.00000000,0.20243064,0.08086236
-5.71785893,0.99423173,0.00720164,0.01805956,0.30965703,0.72377752,0.00000000,0.21319873,0.08468489
-5.71185593,1.03785942,0.00739747,0.01861646,0.32322933,0.75640222,0.00000000,0.22360099,0.08824643
-5.70585293,1.07853845,0.00754453,0.01909155,0.33603750,0.78698507,0.00000000,0.23358864,0.09151993
-5.69984992,1.11607961,0.00763981,0.01947936,0.34802607,0.81539442,0.00000000,0.24313122,0.09448716
-5.69384692,1.15039746,0.00768139,0.01977714,0.35917262,0.84157064,0.00000000,0.25221678,0.09713910
-5.68784392,1.18150971,0.00766848,0.01998505,0.36948768,0.86552498,0.00000000,0.26085107,0.09947602
-5.68184092,1.20953161,0.00760151,0.02010623,0.37901314,0.88733494,0.00000000,0.26905571,0.10150706
-5.67583792,1.23466563,0.00748203,0.02014667,0.38781921,0.90713626,0.00000000,0.27686553,0.10324947
-5.66983492,1.25718701,0.00731273,0.02011513,0.39600004,0.92511202,0.00000000,0.28432505,0.10472734
-5.66383192,1.27742597,0.00709731,0.02002283,0.40366842,0.94147939,0.00000000,0.29148457,0.10597021
-5.65782891,1.29574759,0.00684033,0.01988312,0.41094974,0.95647501,0.00000000,0.29839588,0.10701131
-5.65182591,1.31253052,0.00654710,0.01971109,0.41797559,0.97033957,0.00000000,0.30510800,0.10788576
-5.64582291,1.32814585,0.00622348,0.01952312,0.42487741,0.98330278,0.00000000,0.31166319,0.10862870
-5.63981991,1.34293717,0.00587568,0.01933633,0.43178041,0.99556945,0.00000000,0.31809347,0.10927355
-5.63381691,1.35720298,0.00551011,0.01916815,0.43879829,1.00730753,0.00000000,0.32441790,0.10985038
-5.62781391,1.37118248,0.00513313,0.01903576,0.44602878,1.01863882,0.00000000,0.33064081,0.11038463
-5.62181091,1.38504517,0.00475096,0.01895560,0.45355031,1.02963271,0.00000000,0.33675100,0.11089607
-5.61580790,1.39888493,0.00436944,0.01894294,0.46141984,1.04030335,0.00000000,0.34272201,0.11139814
-5.60980490,1.41271840,0.00399397,0.01901145,0.46967186,1.05061015,0.00000000,0.34851346,0.11189767
-5.60380190,1.42648771,0.00362935,0.01917282,0.47831849,1.06046147,0.00000000,0.35407320,0.11239501
