energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.38122427,0.01119698,0.09544299,0.75601517,0.17836071,0.07648437,1.34323523,0.25458942,0.15017420
-5.99399700,2.34986073,0.01146223,0.10211565,0.73657565,0.17355104,0.07678535,1.31450549,0.25921572,0.15718233
-5.98799400,2.33410028,0.01174925,0.10998866,0.72200749,0.17021563,0.07732786,1.29371090,0.26531652,0.16615511
-5.98199100,2.33212523,0.01204412,0.11916152,0.71146586,0.16826236,0.07804152,1.27955267,0.27278849,0.17721588
-5.97598799,2.34215497,0.01233291,0.12974555,0.70410435,0.16760425,0.07886020,1.27074016,0.28153703,0.19050564
-5.96998499,2.36252630,0.01260213,0.14186412,0.69910382,0.16816589,0.07972462,1.26604068,0.29148340,0.20618384
-5.96398199,2.39176308,0.01283911,0.15565181,0.69569863,0.16988905,0.08058449,1.26432405,0.30257051,0.22442744
-5.95797899,2.42863208,0.01303244,0.17125224,0.69319914,0.17273694,0.08140023,1.26460053,0.31476718,0.24542803
-5.95197599,2.47218248,0.01317225,0.18881446,0.69101015,0.17669701,0.08214414,1.26605049,0.32807035,0.26938666
-5.94597299,2.52176713,0.01325052,0.20848790,0.68864442,0.18178218,0.08280107,1.26804507,0.34250517,0.29650642
-5.93996998,2.57704442,0.01326124,0.23041576,0.68573107,0.18803016,0.08336834,1.27015680,0.35812256,0.32698281
-5.93396698,2.63796069,0.01320060,0.25472702,0.68201875,0.19550100,0.08385516,1.27216017,0.37499456,0.36099198
-5.92796398,2.70471375,0.01306697,0.28152732,0.67737347,0.20427282,0.08428140,1.27402226,0.39320724,0.39867732
-5.92196098,2.77769926,0.01286090,0.31088890,0.67177153,0.21443584,0.08467587,1.27588386,0.41285167,0.44013475
-5.91595798,2.85744263,0.01258502,0.34284016,0.66528785,0.22608494,0.08507411,1.27803227,0.43401321,0.48539745
-5.90995498,2.94451965,0.01224382,0.37735525,0.65808054,0.23931099,0.08551585,1.28086710,0.45675964,0.53442065
-5.90395198,3.03947010,0.01184343,0.41434425,0.65037233,0.25419143,0.08604225,1.28486068,0.48112886,0.58706745
-5.89794897,3.14270893,0.01139135,0.45364468,0.64242993,0.27078038,0.08669302,1.29051525,0.50711668,0.64309647
-5.89194597,3.25443983,0.01089605,0.49501477,0.63454230,0.28909891,0.08750358,1.29831887,0.53466556,0.70215228
-5.88594297,3.37457621,0.01036672,0.53812928,0.62699886,0.30912594,0.08850248,1.30870239,0.56365502,0.76375942
-5.87993997,3.50267428,0.00981282,0.58257824,0.62006870,0.33079022,0.08970907,1.32199957,0.59389438,0.82732075
-5.87393697,3.63788252,0.00924384,0.62786913,0.61398184,0.35396404,0.09113159,1.33841247,0.62511841,0.89212080
-5.86793397,3.77891106,0.00866891,0.67343270,0.60891323,0.37845903,0.09276592,1.35798384,0.65698646,0.95733439
-5.86193097,3.92402351,0.00809657,0.71863254,0.60497041,0.40402446,0.09459482,1.38057791,0.68908533,1.02204061
-5.85592796,4.07105275,0.00753453,0.76277842,0.60218518,0.43034827,0.09658791,1.40587076,0.72093597,1.08524218
-5.84992496,4.21744084,0.00698949,0.80514284,0.60050976,0.45706109,0.09870227,1.43335074,0.75200403,1.14588957
-5.84392196,4.36030214,0.00646704,0.84498063,0.59981727,0.48374316,0.10088373,1.46232897,0.78171386,1.20290916
-5.83791896,4.49650705,0.00597158,0.88155059,0.59990674,0.50993408,0.10306876,1.49195957,0.80946552,1.25523452
-5.83191596,4.62278318,0.00550635,0.91413853,0.60051195,0.53514503,0.10518684,1.52126858,0.83465415,1.30183951
-5.82591296,4.73582925,0.00507342,0.94208074,0.60131375,0.55887310,0.10716323,1.54919029,0.85669080,1.34177189
-5.81990995,4.83243668,0.00467386,0.96478672,0.60195511,0.58061713,0.10892213,1.57460903,0.87502383,1.37418586
-5.81390695,4.90961296,0.00430778,0.98176031,0.60205803,0.59989442,0.11038979,1.59640469,0.88915988,1.39837221
-5.80790395,4.96470113,0.00397455,0.99261822,0.60124140,0.61625753,0.11149779,1.61349936,0.89868347,1.41378452
-5.80190095,4.99548947,0.00367294,0.99710488,0.59913895,0.62931048,0.11218602,1.62490321,0.90327414,1.42006026
-5.79589795,5.00030627,0.00340127,0.99510324,0.59541631,0.63872357,0.11240550,1.62975716,0.90272054,1.41703585
-5.78989495,4.97809512,0.00315763,0.98664068,0.58978643,0.64424606,0.11212060,1.62737038,0.89693061,1.40475469
-5.78389195,4.92846720,0.00294002,0.97188990,0.58202250,0.64571625,0.11131094,1.61725094,0.88593739,1.38346816
