energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,17.67988844,3.50450721,12.12582858,0.09269623,0.27798893,1.80659397,1.01233977,0.09292598,3.48368858
-5.99399700,17.56305009,3.49717150,12.00301207,0.09299040,0.26713202,1.81830890,1.01991672,0.09324157,3.48862397
-5.98799400,17.38533282,3.47705169,11.84128434,0.09276733,0.25636174,1.82356175,1.02238704,0.09319064,3.47916808
-5.98199100,17.14832407,3.44394808,11.64210422,0.09202687,0.24566867,1.82238806,1.01982424,0.09278048,3.45545537
-5.97598799,16.85502361,3.39798745,11.40779366,0.09078071,0.23505413,1.81499275,1.01242634,0.09202934,3.41795427
-5.96998499,16.50977508,3.33963115,11.14148002,0.08905196,0.22453155,1.80174725,1.00051192,0.09096616,3.36745794
-5.96398199,16.11815176,3.26967180,10.84701162,0.08687440,0.21412734,1.78318055,0.98451199,0.08962985,3.30506361
-5.95797899,15.68680191,3.18921859,10.52885061,0.08429139,0.20388109,1.75996423,0.96495816,0.08806823,3.23214158
-5.95197599,15.22326068,3.09967192,10.19194819,0.08135444,0.19384524,1.73289253,0.94246754,0.08633660,3.15029534
-5.94597299,14.73573701,3.00268832,9.84160753,0.07812162,0.18408405,1.70285797,0.91772514,0.08449606,3.06131446
-5.93996998,14.23288476,2.90013719,9.48334027,0.07465572,0.17467211,1.67082390,0.89146441,0.08261162,2.96712247
-5.93396698,13.72356726,2.79405101,9.12272241,0.07102249,0.16569237,1.63779497,0.86444677,0.08075014,2.86972185
-5.92796398,13.21662468,2.68657085,8.76525495,0.06728875,0.15723367,1.60478678,0.83744098,0.07897833,2.77113836
-5.92196098,12.72065235,2.57988930,8.41623404,0.06352071,0.14938808,1.57279593,0.81120301,0.07736068,2.67336683
-5.91595798,12.24379746,2.47619264,8.08063472,0.05978237,0.14224797,1.54277143,0.78645724,0.07595759,2.57832033
-5.90995498,11.79357990,2.37760405,7.76301115,0.05613417,0.13590294,1.51558864,0.76387946,0.07482366,2.48778428
-5.90395198,11.37674139,2.28612958,7.46741520,0.05263186,0.13043679,1.49202620,0.74408217,0.07400617,2.40337669
-5.89794897,10.99912544,2.20360825,7.19733447,0.04932563,0.12592449,1.47274676,0.72760257,0.07354395,2.32651559
-5.89194597,10.66558907,2.13166747,6.95564945,0.04625956,0.12242937,1.45828180,0.71489328,0.07346640,2.25839385
-5.88594297,10.37994564,2.07168464,6.74460889,0.04347126,0.12000045,1.44902060,0.70631605,0.07379296,2.19996165
-5.87993997,10.14493706,2.02475570,6.56582177,0.04099180,0.11867013,1.44520349,0.70213813,0.07453280,2.15191648
-5.87393697,9.96223256,1.99167103,6.42026366,0.03884578,0.11845223,1.44691913,0.70253151,0.07568482,2.11469996
