energy_ev,total_up,total_down,As_p_up,As_p_down,As_d_up,As_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.69481771,-1.69481771,0.47634359,-0.47634359,0.00000000,-0.00000000,0.46079177,-0.46079177,0.35149682,-0.35149682,0.06340338,-0.06340338,0.51676291,-0.51676291
-5.99399700,1.67277853,-1.67277853,0.46588999,-0.46588999,0.00000000,-0.00000000,0.46267236,-0.46267236,0.34555495,-0.34555495,0.06095790,-0.06095790,0.51678405,-0.51678405
-5.98799400,1.64923542,-1.64923542,0.45421458,-0.45421458,0.00000000,-0.00000000,0.46389737,-0.46389737,0.33926023,-0.33926023,0.05845620,-0.05845620,0.51727787,-0.51727787
-5.98199100,1.62510651,-1.62510651,0.44157458,-0.44157458,0.00000000,-0.00000000,0.46458235,-0.46458235,0.33284648,-0.33284648,0.05595075,-0.05595075,0.51850075,-0.51850075
-5.97598799,1.60134059,-1.60134059,0.42825424,-0.42825424,0.00000000,-0.00000000,0.46486957,-0.46486957,0.32655450,-0.32655450,0.05349357,-0.05349357,0.52069915,-0.52069915
-5.96998499,1.57889226,-1.57889226,0.41455811,-0.41455811,0.00000000,-0.00000000,0.46492492,-0.46492492,0.32062548,-0.32062548,0.05113501,-0.05113501,0.52410247,-0.52410247
-5.96398199,1.55869661,-1.55869661,0.40080356,-0.40080356,0.00000000,-0.00000000,0.46493347,-0.46493347,0.31529449,-0.31529449,0.04892263,-0.04892263,0.52891607,-0.52891607
-5.95797899,1.54164381,-1.54164381,0.38731289,-0.38731289,0.00000000,-0.00000000,0.46509400,-0.46509400,0.31078389,-0.31078389,0.04690025,-0.04690025,0.53531473,-0.53531473
-5.95197599,1.52855447,-1.52855447,0.37440507,-0.37440507,0.00000000,-0.00000000,0.46561248,-0.46561248,0.30729719,-0.30729719,0.04510699,-0.04510699,0.54343673,-0.54343673
-5.94597299,1.52015654,-1.52015654,0.36238746,-0.36238746,0.00000000,-0.00000000,0.46669488,-0.46669488,0.30501325,-0.30501325,0.04357660,-0.04357660,0.55337883,-0.55337883
