energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,1.40804664,0.27164706,0.96716599,0.01296567,0.02234787,0.07025338,0.00958227,0.34388443
-5.99399700,1.40150911,0.28651701,0.94294180,0.01307112,0.02414021,0.07485250,0.01038825,0.35009933
-5.98799400,1.40050650,0.30317738,0.92093845,0.01319744,0.02608816,0.07995806,0.01135142,0.35880972
-5.98199100,1.40489804,0.32150128,0.90105570,0.01335106,0.02817138,0.08554503,0.01247557,0.37000669
-5.97598799,1.41451742,0.34133187,0.88320549,0.01353834,0.03036763,0.09157950,0.01376329,0.38365673
-5.96998499,1.42915935,0.36248043,0.86730543,0.01376540,0.03265280,0.09801772,0.01521557,0.39969600
-5.96398199,1.44856848,0.38472580,0.85327311,0.01403785,0.03500103,0.10480556,0.01683139,0.41802588
-5.95797899,1.47243121,0.40781541,0.84102141,0.01436067,0.03738492,0.11187834,0.01860734,0.43850977
-5.95197599,1.50037064,0.43146779,0.83045488,0.01473793,0.03977586,0.11916107,0.02053738,0.46097147
-5.94597299,1.53194467,0.45537672,0.82146720,0.01517269,0.04214443,0.12656916,0.02261257,0.48519516
-5.93996998,1.56664755,0.47921667,0.81393975,0.01566677,0.04446092,0.13400954,0.02482096,0.51092696
-5.93396698,1.60391449,0.50264963,0.80774116,0.01622065,0.04669582,0.14138223,0.02714760,0.53787805
-5.92796398,1.64312938,0.52533281,0.80272794,0.01683336,0.04882050,0.14858230,0.02957454,0.56572924
-5.92196098,1.68363509,0.54692710,0.79874593,0.01750245,0.05080781,0.15550213,0.03208106,0.59413683
-5.91595798,1.72474615,0.56710581,0.79563272,0.01822390,0.05263270,0.16203396,0.03464397,0.62273944
-5.90995498,1.76576312,0.58556339,0.79322074,0.01899221,0.05427283,0.16807257,0.03723795,0.65116576
-5.90395198,1.80598815,0.60202369,0.79134106,0.01980046,0.05570913,0.17351802,0.03983603,0.67904253
-5.89794897,1.84474114,0.61624737,0.78982766,0.02064037,0.05692619,0.17827836,0.04241014,0.70600284
-5.89194597,1.88137572,0.62803814,0.78852212,0.02150254,0.05791267,0.18227219,0.04493164,0.73169407
-5.88594297,1.91529452,0.63724758,0.78727850,0.02237656,0.05866146,0.18543084,0.04737194,0.75578526
-5.87993997,1.94596307,0.64377818,0.78596832,0.02325126,0.05916976,0.18770033,0.04970310,0.77797366
-5.87393697,1.97292167,0.64758461,0.78448527,0.02411492,0.05943901,0.18904276,0.05189836,0.79799014
-5.86793397,1.99579502,0.64867315,0.78274978,0.02495552,0.05947469,0.18943729,0.05393267,0.81560320
-5.86193097,2.01429914,0.64709922,0.78071296,0.02576097,0.05928592,0.18888042,0.05578315,0.83062169
-5.85592796,2.02824539,0.64296335,0.77835995,0.02651934,0.05888505,0.18738587,0.05742941,0.84289594
-5.84992496,2.03754177,0.63640574,0.77571253,0.02721907,0.05828707,0.18498381,0.05885390,0.85231761
-5.84392196,2.04219144,0.62759963,0.77283077,0.02784916,0.05750901,0.18171958,0.06004202,0.85881822
-5.83791896,2.04228883,0.61674403,0.76981375,0.02839935,0.05656933,0.17765204,0.06098226,0.86236667
-5.83191596,2.03801361,0.60405607,0.76679922,0.02886029,0.05548723,0.17285144,0.06166622,0.86296598
-5.82591296,2.02962309,0.58976337,0.76396218,0.02922363,0.05428210,0.16739718,0.06208853,0.86064958
-5.81990995,2.01744332,0.57409685,0.76151223,0.02948217,0.05297296,0.16137526,0.06224676,0.85547736
-5.81390695,2.00185927,0.55728422,0.75968989,0.02962995,0.05157802,0.15487580,0.06214128,0.84753190
-5.80790395,1.98330471,0.53954446,0.75876154,0.02966229,0.05011433,0.14799054,0.06177512,0.83691498
-5.80190095,1.96225160,0.52108350,0.75901333,0.02957593,0.04859749,0.14081058,0.06115375,0.82374466
-5.79589795,1.93919959,0.50209103,0.76074364,0.02936903,0.04704159,0.13342425,0.06028496,0.80815299
-5.78989495,1.91466533,0.48273867,0.76425451,0.02904125,0.04545909,0.12591537,0.05917869,0.79028438
-5.78389195,1.88917177,0.46317923,0.76984180,0.02859378,0.04386095,0.11836180,0.05784689,0.77029460
-5.77788894,1.86323722,0.44354701,0.77778430,0.02802935,0.04225667,0.11083438,0.05630342,0.74835026
-5.77188594,1.83736418,0.42395888,0.78833195,0.02735225,0.04065454,0.10339622,0.05456389,0.72462872
-5.76588294,1.81202771,0.40451602,0.80169342,0.02656832,0.03906176,0.09610231,0.05264558,0.69931798
-5.75987994,1.78766352,0.38530592,0.81802341,0.02568487,0.03748469,0.08899951,0.05056732,0.67261661
-5.75387694,1.76465562,0.36640451,0.83741001,0.02471062,0.03592898,0.08212672,0.04834928,0.64473331
-5.74787394,1.74332405,0.34787825,0.85986287,0.02365558,0.03439980,0.07551533,0.04601287,0.61588603
-5.74187094,1.72391288,0.32978580,0.88530259,0.02253093,0.03290184,0.06918979,0.04358047,0.58630049
-5.73586793,1.70657911,0.31217945,0.91355206,0.02134879,0.03143945,0.06316827,0.04107518,0.55620800
-5.72986493,1.69138310,0.29510601,0.94433048,0.02012205,0.03001661,0.05746344,0.03852056,0.52584269
-5.72386193,1.67828131,0.27860726,0.97725066,0.01886410,0.02863688,0.05208316,0.03594023,0.49543811
-5.71785893,1.66712210,0.26272001,1.01182020,0.01758863,0.02730339,0.04703120,0.03335757,0.46522346
-5.71185593,1.65764528,0.24747585,1.04744695,0.01630930,0.02601866,0.04230787,0.03079527,0.43541955
-5.70585293,1.64948600,0.23290064,1.08344906,0.01503954,0.02478457,0.03791064,0.02827503,0.40623476
-5.69984992,1.64218352,0.21901401,1.11906966,0.01379232,0.02360228,0.03383458,0.02581711,0.37786124
-5.69384692,1.63519475,0.20582891,1.15349592,0.01257988,0.02247210,0.03007280,0.02344006,0.35047159
-5.68784392,1.62791271,0.19335129,1.18588212,0.01141361,0.02139353,0.02661678,0.02116036,0.32421620
-5.68184092,1.61968923,0.18158017,1.21537580,0.01030390,0.02036523,0.02345669,0.01899226,0.29922149
-5.67583792,1.60986123,0.17050799,1.24114631,0.00926006,0.01938514,0.02058156,0.01694756,0.27558903
-5.66983492,1.59777955,0.16012137,1.26241434,0.00829025,0.01845053,0.01797952,0.01503553,0.25339568
-5.66383192,1.58283889,0.15040225,1.27848129,0.00740155,0.01755818,0.01563798,0.01326293,0.23269476
-5.65782891,1.56450764,0.14132932,1.28875702,0.00660001,0.01670457,0.01354374,0.01163405,0.21351805
-5.65182591,1.54235592,0.13287972,1.29278473,0.00589072,0.01588611,0.01168322,0.01015083,0.19587852
-5.64582291,1.51608035,0.12503085,1.29026160,0.00527798,0.01509933,0.01004255,0.00881308,0.17977368
-5.63981991,1.48552425,0.11776220,1.28105421,0.00476543,0.01434110,0.00860779,0.00761873,0.16518918
-5.63381691,1.45069210,0.11105707,1.26520778,0.00435624,0.01360884,0.00736504,0.00656406,0.15210261
-5.62781391,1.41175725,0.10490403,1.24294881,0.00405323,0.01290067,0.00630063,0.00564405,0.14048705
-5.62181091,1.36906250,0.09929804,1.21468068,0.00385902,0.01221555,0.00540125,0.00485264,0.13031434
-5.61580790,1.32311329,0.09424109,1.18097256,0.00377618,0.01155333,0.00465408,0.00418305,0.12155773
-5.60980490,1.27456361,0.08974242,1.14254188,0.00380720,0.01091477,0.00404693,0.00362805,0.11419393
-5.60380190,1.22419541,0.08581807,1.10023109,0.00395461,0.01030150,0.00356827,0.00318018,0.10820421
-5.59779890,1.17289212,0.08249001,1.05497988,0.00422084,0.00971594,0.00320734,0.00283197,0.10357468
-5.59179590,1.12160764,0.07978467,1.00779386,0.00460821,0.00916111,0.00295412,0.00257608,0.10029577
-5.58579290,1.07133205,0.07773103,0.95971104,0.00511868,0.00864053,0.00279935,0.00240545,0.09836071
-5.57978989,1.02305549,0.07635835,0.91176770,0.00575366,0.00815792,0.00273446,0.00231332,0.09776339
-5.57378689,0.97773180,0.07569362,0.86496471,0.00651378,0.00771702,0.00275150,0.00229327,0.09849557
-5.56778389,0.93624332,0.07575886,0.82023580,0.00739851,0.00732137,0.00284305,0.00233920,0.10054363
-5.56178089,0.89936840,0.07656839,0.77841896,0.00840591,0.00697403,0.00300207,0.00244530,0.10388508
-5.55577789,0.86775265,0.07812623,0.74023179,0.00953223,0.00667740,0.00322178,0.00260595,0.10848505
-5.54977489,0.84188526,0.08042375,0.70625175,0.01077163,0.00643304,0.00349553,0.00281564,0.11429293
-5.54377189,0.82208100,0.08343769,0.67690181,0.01211590,0.00624151,0.00381670,0.00306889,0.12123945
-5.53776888,0.80846862,0.08712867,0.65244176,0.01355424,0.00610225,0.00417853,0.00336015,0.12923434
-5.53176588,0.80098604,0.09144034,0.63296542,0.01507312,0.00601356,0.00457411,0.00368371,0.13816479
-5.52576288,0.79938225,0.09629913,0.61840350,0.01665623,0.00597253,0.00499629,0.00403368,0.14789487
-5.51975988,0.80322601,0.10161477,0.60853190,0.01828457,0.00597515,0.00543768,0.00440392,0.15826601
-5.51375688,0.81192080,0.10728153,0.60298491,0.01993665,0.00601631,0.00589069,0.00478806,0.16909862
-5.50775388,0.82472549,0.11318018,0.60127271,0.02158879,0.00609001,0.00634760,0.00517955,0.18019487
-5.50175088,0.84078006,0.11918066,0.60280247,0.02321562,0.00618947,0.00680073,0.00557172,0.19134254
-5.49574787,0.85913521,0.12514536,0.60690216,0.02479060,0.00630735,0.00724257,0.00595792,0.20231998
-5.48974487,0.87878513,0.13093285,0.61284624,0.02628669,0.00643598,0.00766600,0.00633163,0.21290186
-5.48374187,0.89870195,0.13640209,0.61988226,0.02767717,0.00656759,0.00806460,0.00668668,0.22286561
-5.47773887,0.91787091,0.14141674,0.62725755,0.02893632,0.00669455,0.00843284,0.00701742,0.23199839
-5.47173587,0.93532488,0.14584962,0.63424503,0.03004035,0.00680963,0.00876646,0.00731898,0.24010411
-5.46573287,0.95017710,0.14958699,0.64016727,0.03096812,0.00690623,0.00906272,0.00758746,0.24701040
-5.45972986,0.96165100,0.15253253,0.64441814,0.03170191,0.00697860,0.00932075,0.00782016,0.25257518
-5.45372686,0.96910608,0.15461094,0.64648139,0.03222810,0.00702204,0.00954181,0.00801584,0.25669251
-5.44772386,0.97205902,0.15577083,0.64594549,0.03253766,0.00703304,0.00972958,0.00817484,0.25929753
-5.44172086,0.97019937,0.15598697,0.64251449,0.03262657,0.00700943,0.00989036,0.00829931,0.26037020
-5.43571786,0.96339926,0.15526169,0.63601470,0.03249604,0.00695048,0.01003335,0.00839332,0.25993780
-5.42971486,0.95171718,0.15362547,0.62639693,0.03215257,0.00685695,0.01017071,0.00846293,0.25807590
-5.42371186,0.93539557,0.15113664,0.61373458,0.03160777,0.00673110,0.01031770,0.00851621,0.25490794
-5.41770885,0.91485269,0.14788028,0.59821784,0.03087809,0.00657668,0.01049272,0.00856330,0.25060329
-5.41170585,0.89066923,0.14396630,0.58014425,0.02998433,0.00639892,0.01071727,0.00861625,0.24537396
-5.40570285,0.86357021,0.13952694,0.55990626,0.02895102,0.00620442,0.01101584,0.00868895,0.23947006
-5.39969985,0.83440313,0.13471366,0.53797641,0.02780567,0.00600111,0.01141577,0.00879694,0.23317418
-5.39369685,0.80411322,0.12969361,0.51489069,0.02657798,0.00579813,0.01194695,0.00895721,0.22679484
-5.38769385,0.77371674,0.12464588,0.49123089,0.02529893,0.00560570,0.01264155,0.00918787,0.22065938
-5.38169085,0.74427325,0.11975759,0.46760651,0.02399988,0.00543506,0.01353357,0.00950788,0.21510637
-5.37568784,0.71685785,0.11521993,0.44463700,0.02271173,0.00529835,0.01465835,0.00993671,0.21047784
-5.36968484,0.69253412,0.11122437,0.42293471,0.02146405,0.00520843,0.01605198,0.01049390,0.20711147
