energy_ev,total_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.02253050,0.02424629,0.00000000,0.49485763,0.85337305,0.11252770,0.02287447,0.05491091,1.18348812
-5.99399700,3.06509915,0.02436857,0.00000000,0.50854526,0.86348748,0.11947851,0.02250547,0.05341638,1.20318000
-5.98799400,3.10898046,0.02451615,0.00000000,0.52264323,0.87350266,0.12654895,0.02217333,0.05198355,1.22375147
-5.98199100,3.15387718,0.02468828,0.00000000,0.53700992,0.88336984,0.13366534,0.02187930,0.05062302,1.24505299
-5.97598799,3.19945221,0.02488385,0.00000000,0.55149480,0.89303650,0.14074979,0.02162399,0.04934511,1.26691294
-5.96998499,3.24532159,0.02510130,0.00000000,0.56594017,0.90244266,0.14772149,0.02140727,0.04815950,1.28913644
-5.96398199,3.29105082,0.02533860,0.00000000,0.58018360,0.91151787,0.15449831,0.02122815,0.04707490,1.31150571
-5.95797899,3.33615513,0.02559317,0.00000000,0.59406085,0.92017924,0.16099855,0.02108468,0.04609874,1.33378200
-5.95197599,3.38010409,0.02586186,0.00000000,0.60740931,0.92833072,0.16714292,0.02097388,0.04523689,1.35570924
-5.94597299,3.42233039,0.02614100,0.00000000,0.62007176,0.93586362,0.17285658,0.02089182,0.04449351,1.37701923
-5.93996998,3.46224234,0.02642649,0.00000000,0.63190026,0.94265844,0.17807122,0.02083361,0.04387086,1.39743806
-5.93396698,3.49923932,0.02671379,0.00000000,0.64275992,0.94858768,0.18272694,0.02079353,0.04336928,1.41669348
-5.92796398,3.53272882,0.02699814,0.00000000,0.65253229,0.95351964,0.18677403,0.02076523,0.04298715,1.43452247
-5.92196098,3.56214404,0.02727458,0.00000000,0.66111813,0.95732265,0.19017434,0.02074188,0.04272100,1.45067872
-5.91595798,3.58696044,0.02753815,0.00000000,0.66843933,0.95986952,0.19290227,0.02071640,0.04256557,1.46493919
-5.90995498,3.60671010,0.02778396,0.00000000,0.67443987,0.96104192,0.19494529,0.02068170,0.04251392,1.47710941
-5.90395198,3.62099275,0.02800730,0.00000000,0.67908556,0.96073416,0.19630394,0.02063093,0.04255765,1.48702710
-5.89794897,3.62948264,0.02820373,0.00000000,0.68236278,0.95885633,0.19699125,0.02055767,0.04268691,1.49456363
-5.89194597,3.63193077,0.02836908,0.00000000,0.68427600,0.95533649,0.19703172,0.02045613,0.04289066,1.49962351
-5.88594297,3.62816262,0.02849953,0.00000000,0.68484454,0.95012186,0.19645973,0.02032136,0.04315667,1.50214179
-5.87993997,3.61807159,0.02859158,0.00000000,0.68409850,0.94317896,0.19531761,0.02014934,0.04347172,1.50207960
-5.87393697,3.60160915,0.02864200,0.00000000,0.68207441,0.93449296,0.19365347,0.01993708,0.04382161,1.49941849
-5.86793397,3.57877250,0.02864782,0.00000000,0.67881070,0.92406617,0.19151872,0.01968271,0.04419131,1.49415381
-5.86193097,3.54959141,0.02860627,0.00000000,0.67434356,0.91191613,0.18896575,0.01938542,0.04456503,1.48628799
-5.85592796,3.51411525,0.02851475,0.00000000,0.66870330,0.89807346,0.18604557,0.01904553,0.04492636,1.47582424
-5.84992496,3.47240191,0.02837076,0.00000000,0.66191167,0.88257974,0.18280575,0.01866437,0.04525848,1.46276139
-5.84392196,3.42450948,0.02817195,0.00000000,0.65398024,0.86548574,0.17928870,0.01824427,0.04554428,1.44709033
-5.83791896,3.37049183,0.02791611,0.00000000,0.64491013,0.84685007,0.17553044,0.01778843,0.04576672,1.42879244
-5.83191596,3.31039849,0.02760121,0.00000000,0.63469291,0.82673852,0.17155978,0.01730084,0.04590911,1.40784031
-5.82591296,3.24427904,0.02722551,0.00000000,0.62331287,0.80522404,0.16739808,0.01678618,0.04595549,1.38420076
-5.81990995,3.17219157,0.02678765,0.00000000,0.61075028,0.78238730,0.16305961,0.01624969,0.04589105,1.35783987
-5.81390695,3.09421474,0.02628679,0.00000000,0.59698560,0.75831785,0.15855223,0.01569710,0.04570256,1.32872985
-5.80790395,3.01046212,0.02572271,0.00000000,0.58200417,0.73311553,0.15387861,0.01513448,0.04537882,1.29685711
-5.80190095,2.92109776,0.02509600,0.00000000,0.56580111,0.70689198,0.14903774,0.01456812,0.04491105,1.26223096
-5.79589795,2.82635135,0.02440817,0.00000000,0.54838608,0.67977199,0.14402657,0.01400445,0.04429330,1.22489215
-5.78989495,2.72653165,0.02366170,0.00000000,0.52978748,0.65189443,0.13884185,0.01344987,0.04352273,1.18492066
-5.78389195,2.62203675,0.02286020,0.00000000,0.51005586,0.62341248,0.13348181,0.01291065,0.04259981,1.14244202
-5.77788894,2.51336014,0.02200833,0.00000000,0.48926612,0.59449309,0.12794774,0.01239276,0.04152841,1.09763157
-5.77188594,2.40109166,0.02111184,0.00000000,0.46751858,0.56531541,0.12224531,0.01190178,0.04031580,1.05071630
-5.76588294,2.28591291,0.02017747,0.00000000,0.44493850,0.53606830,0.11638557,0.01144270,0.03897243,1.00197394
