energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.26883718,0.03694346,0.09844014,0.64632009,0.25022819,0.00254684,0.69792258,0.33782305,0.12278551
-5.99399700,1.20656262,0.03665254,0.09181552,0.60713629,0.23298303,0.00235290,0.66647546,0.32013314,0.11693114
-5.98799400,1.15417637,0.03648521,0.08599027,0.57264092,0.21811449,0.00219565,0.64032203,0.30491295,0.11185064
-5.98199100,1.11145121,0.03643201,0.08095904,0.54284550,0.20558289,0.00207324,0.61932435,0.29205958,0.10754838
-5.97598799,1.07797809,0.03647797,0.07670387,0.51767037,0.19531325,0.00198359,0.60324452,0.28142883,0.10400873
-5.96998499,1.05319006,0.03660323,0.07319655,0.49695732,0.18720041,0.00192451,0.59175753,0.27284284,0.10119778
-5.96398199,1.03639056,0.03678401,0.07040110,0.48048418,0.18111476,0.00189374,0.58446658,0.26609859,0.09906566
-5.95797899,1.02678531,0.03699357,0.06827645,0.46798089,0.17690842,0.00188902,0.58092059,0.26097707,0.09754929
-5.95197599,1.02351671,0.03720342,0.06677906,0.45914612,0.17442194,0.00190821,0.58063336,0.25725273,0.09657567
-5.94597299,1.02569971,0.03738452,0.06586549,0.45366400,0.17349096,0.00194932,0.58310361,0.25470289,0.09606535
-5.93996998,1.03245777,0.03750854,0.06549469,0.45122003,0.17395309,0.00201062,0.58783535,0.25311687,0.09593610
-5.93396698,1.04295783,0.03754899,0.06563011,0.45151560,0.17565439,0.00209071,0.59435775,0.25230423,0.09610656
-5.92796398,1.05644285,0.03748237,0.06624125,0.45428046,0.17845561,0.00218859,0.60224394,0.25210212,0.09649985
-5.92196098,1.07226070,0.03728904,0.06730488,0.45928264,0.18223765,0.00230370,0.61112776,0.25238118,0.09704683
-5.91595798,1.08988844,0.03695402,0.06880565,0.46633536,0.18690634,0.00243603,0.62071805,0.25304997,0.09768907
-5.90995498,1.10895073,0.03646754,0.07073619,0.47530066,0.19239611,0.00258611,0.63080982,0.25405758,0.09838133
-5.90395198,1.12923186,0.03582531,0.07309661,0.48608967,0.19867250,0.00275507,0.64129169,0.25539440,0.09909338
-5.89794897,1.15068063,0.03502866,0.07589347,0.49865946,0.20573337,0.00294463,0.65214942,0.25709108,0.09981134
-5.89194597,1.17340791,0.03408433,0.07913821,0.51300683,0.21360866,0.00315709,0.66346523,0.25921557,0.10053815
-5.88594297,1.19767684,0.03300414,0.08284524,0.52915920,0.22235869,0.00339527,0.67541290,0.26186850,0.10129346
-5.87993997,1.22388592,0.03180442,0.08702953,0.54716334,0.23207098,0.00366245,0.68824866,0.26517707,0.10211274
-5.87393697,1.25254571,0.03050530,0.09170415,0.56707239,0.24285567,0.00396224,0.70229838,0.26928767,0.10304575
-5.86793397,1.28424993,0.02912985,0.09687759,0.58893206,0.25483965,0.00429845,0.71794121,0.27435756,0.10415430
-5.86193097,1.31964210,0.02770315,0.10255120,0.61276676,0.26815955,0.00467493,0.73559062,0.28054601,0.10550957
-5.85592796,1.35937913,0.02625136,0.10871679,0.63856643,0.28295393,0.00509533,0.75567323,0.28800525,0.10718893
-5.84992496,1.40409343,0.02480069,0.11535467,0.66627502,0.29935488,0.00556293,0.77860657,0.29687160,0.10927239
-5.84392196,1.45435503,0.02337656,0.12243200,0.69578128,0.31747938,0.00608039,0.80477648,0.30725723,0.11183898
-5.83791896,1.51063560,0.02200266,0.12990193,0.72691249,0.33742083,0.00664952,0.83451520,0.31924283,0.11496297
-5.83191596,1.57327573,0.02070027,0.13770332,0.75943167,0.35924110,0.00727101,0.86808105,0.33287157,0.11871024
-5.82591296,1.64245733,0.01948758,0.14576121,0.79303858,0.38296350,0.00794428,0.90564063,0.34814471,0.12313496
