energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.64197797,0.08857211,0.00155907,0.00219911,0.34374759,0.14975629,0.20594225
-5.99399700,0.62595328,0.08553007,0.00149860,0.00233056,0.33749534,0.14816453,0.20158641
-5.98799400,0.61451789,0.08296667,0.00144798,0.00249495,0.33393149,0.14776125,0.19875917
-5.98199100,0.60810646,0.08094623,0.00140833,0.00269415,0.33328324,0.14864519,0.19760078
-5.97598799,0.60702974,0.07951838,0.00138050,0.00292973,0.33570833,0.15088502,0.19821115
-5.96998499,0.61146644,0.07871707,0.00136501,0.00320288,0.34129039,0.15451692,0.20064722
-5.96398199,0.62145909,0.07856010,0.00136204,0.00351440,0.35003644,0.15954304,0.20492161
-5.95797899,0.63691394,0.07904915,0.00137144,0.00386467,0.36187669,0.16593092,0.21100260
-5.95197599,0.65760503,0.08017039,0.00139273,0.00425370,0.37666666,0.17361388,0.21881557
-5.94597299,0.68318230,0.08189555,0.00142513,0.00468110,0.39419162,0.18249257,0.22824567
-5.93996998,0.71318364,0.08418345,0.00146757,0.00514618,0.41417335,0.19243744,0.23914192
-5.93396698,0.74705043,0.08698197,0.00151874,0.00564801,0.43627888,0.20329228,0.25132246
-5.92796398,0.78414631,0.09023035,0.00157710,0.00618550,0.46013120,0.21487867,0.26458084
-5.92196098,0.82377847,0.09386175,0.00164097,0.00675747,0.48532146,0.22700119,0.27869324
-5.91595798,0.86522076,0.09780588,0.00170853,0.00736281,0.51142234,0.23945335,0.29342623
-5.90995498,0.90773788,0.10199183,0.00177793,0.00800053,0.53800213,0.25202388,0.30854492
-5.90395198,0.95060970,0.10635068,0.00184729,0.00866989,0.56463894,0.26450332,0.32382117
-5.89794897,0.99315483,0.11081802,0.00191480,0.00937049,0.59093457,0.27669049,0.33904146
-5.89194597,1.03475242,0.11533617,0.00197873,0.01010231,0.61652739,0.28839880,0.35401418
-5.88594297,1.07486130,0.11985596,0.00203753,0.01086580,0.64110377,0.29946186,0.36857597
-5.87993997,1.11303569,0.12433816,0.00208983,0.01166183,0.66440744,0.30973849,0.38259686
-5.87393697,1.14893673,0.12875427,0.00213448,0.01249171,0.68624639,0.31911657,0.39598387
-5.86793397,1.18233930,0.13308684,0.00217061,0.01335710,0.70649705,0.32751581,0.40868306
-5.86193097,1.21313381,0.13732922,0.00219761,0.01425993,0.72510541,0.33488924,0.42067967
-5.85592796,1.24132302,0.14148472,0.00221514,0.01520221,0.74208507,0.34122329,0.43199657
-5.84992496,1.26701382,0.14556536,0.00222317,0.01618587,0.75751232,0.34653657,0.44269094
-5.84392196,1.29040463,0.14959018,0.00222190,0.01721256,0.77151845,0.35087740,0.45284931
