energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.81941631,0.13427287,0.00572275,0.38089959,0.57177215,0.02269876,0.88800490,0.60987636,0.37192454
-5.99399700,2.82982453,0.14663415,0.00632891,0.39474461,0.58881500,0.02324931,0.87670414,0.60473046,0.37016656
-5.98799400,2.82967968,0.15902994,0.00703002,0.40784506,0.60382435,0.02372958,0.86061535,0.59542708,0.36823859
-5.98199100,2.81973546,0.17127870,0.00783967,0.42016699,0.61663830,0.02414013,0.84018579,0.58217917,0.36636412
-5.97598799,2.80090734,0.18318848,0.00877193,0.43169132,0.62711661,0.02448355,0.81594798,0.56528120,0.36476695
-5.96998499,2.77423818,0.19456172,0.00984106,0.44241359,0.63514244,0.02476434,0.78850269,0.54509898,0.36366295
-5.96398199,2.74086248,0.20520063,0.01106107,0.45234335,0.64062413,0.02498862,0.75850010,0.52205735,0.36325282
-5.95797899,2.70197082,0.21491289,0.01244529,0.46150338,0.64349713,0.02516392,0.72662010,0.49662621,0.36371582
-5.95197599,2.65877582,0.22351758,0.01400584,0.46992847,0.64372585,0.02529890,0.69355243,0.46930555,0.36520482
-5.94597299,2.61248112,0.23085089,0.01575308,0.47766394,0.64130564,0.02540306,0.65997759,0.44061018,0.36784274
-5.93996998,2.56425419,0.23677153,0.01769509,0.48476386,0.63626447,0.02548651,0.62654922,0.41105482,0.37172032
-5.93396698,2.51520387,0.24116551,0.01983699,0.49128882,0.62866447,0.02555966,0.59387861,0.38114013,0.37689551
-5.92796398,2.46636317,0.24395000,0.02218048,0.49730355,0.61860293,0.02563303,0.56252188,0.35134022,0.38339413
-5.92196098,2.41867753,0.24507616,0.02472331,0.50287423,0.60621286,0.02571705,0.53297026,0.32209206,0.39121188
-5.91595798,2.37299851,0.24453085,0.02745883,0.50806564,0.59166274,0.02582188,0.50564354,0.29378708,0.40031759
-5.90995498,2.33008275,0.24233694,0.03037571,0.51293834,0.57515555,0.02595734,0.48088693,0.26676516,0.41065745
-5.90395198,2.29059559,0.23855248,0.03345779,0.51754590,0.55692685,0.02613281,0.45897106,0.24131103,0.42216009
-5.89794897,2.25511875,0.23326847,0.03668405,0.52193248,0.53724199,0.02635725,0.44009495,0.21765295,0.43474240
-5.89194597,2.22416134,0.22660565,0.04002885,0.52613076,0.51639235,0.02663925,0.42439159,0.19596358,0.44831570
-5.88594297,2.19817314,0.21871022,0.04346226,0.53016060,0.49469084,0.02698705,0.41193549,0.17636272,0.46279209
-5.87993997,2.17755913,0.20974886,0.04695072,0.53402828,0.47246651,0.02740869,0.40275183,0.15892151,0.47809071
-5.87393697,2.16269430,0.19990318,0.05045776,0.53772674,0.45005868,0.02791211,0.39682643,0.14366788,0.49414366
-5.86793397,2.15393734,0.18936397,0.05394498,0.54123652,0.42781055,0.02850529,0.39411598,0.13059266,0.51090116
-5.86193097,2.15164240,0.17832541,0.05737312,0.54452772,0.40606256,0.02919632,0.39455784,0.11965604,0.52833576
-5.85592796,2.15616748,0.16697948,0.06070322,0.54756261,0.38514569,0.02999350,0.39807888,0.11079410,0.54644518
-5.84992496,2.16787875,0.15551088,0.06389785,0.55029889,0.36537479,0.03090531,0.40460279,0.10392489,0.56525368
-5.84392196,2.18714971,0.14409253,0.06692222,0.55269330,0.34704226,0.03194040,0.41405544,0.09895392,0.58481148
-5.83791896,2.21435478,0.13288185,0.06974535,0.55470544,0.33041206,0.03310741,0.42636795,0.09577888,0.60519226
-5.83191596,2.24985680,0.12201787,0.07234094,0.55630136,0.31571424,0.03441473,0.44147732,0.09429325,0.62648854
-5.82591296,2.29398865,0.11161927,0.07468818,0.55745672,0.30314018,0.03587016,0.45932468,0.09438902,0.64880500
-5.81990995,2.34702920,0.10178320,0.07677220,0.55815922,0.29283850,0.03748050,0.47985100,0.09595821,0.67224983
-5.81390695,2.40917465,0.09258506,0.07858435,0.55841018,0.28491174,0.03925099,0.50299099,0.09889355,0.69692452
-5.80790395,2.48050646,0.08407888,0.08012210,0.55822491,0.27941400,0.04118478,0.52866513,0.10308814,0.72291227
-5.80190095,2.56095760,0.07629851,0.08138877,0.55763207,0.27634940,0.04328230,0.55677088,0.10843457,0.75026584
