energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.32718447,1.48184042,0.36418463,0.00000237,0.65045782,0.00129771,0.11754129
-5.99399700,1.22117049,1.36439703,0.33508331,0.00000216,0.59896058,0.00119638,0.10789303
-5.98799400,1.11625676,1.24813234,0.30626941,0.00000196,0.54795467,0.00109526,0.09836404
-5.98199100,1.01379655,1.13457823,0.27811343,0.00000176,0.49811340,0.00099567,0.08906891
-5.97598799,0.91499355,1.02510409,0.25094452,0.00000157,0.45003868,0.00089879,0.08010777
-5.96998499,0.82088627,0.92089910,0.22504621,0.00000139,0.40425315,0.00080563,0.07156502
-5.96398199,0.73233951,0.82296234,0.20065395,0.00000123,0.36119567,0.00071705,0.06350873
-5.95797899,0.65004230,0.73210000,0.17795459,0.00000107,0.32122008,0.00063371,0.05599063
-5.95197599,0.57451188,0.64892931,0.15708744,0.00000093,0.28459684,0.00055612,0.04904661
-5.94597299,0.50610252,0.57388773,0.13814668,0.00000080,0.25151705,0.00048458,0.04269769
-5.93996998,0.44501828,0.50724653,0.12118498,0.00000069,0.22209842,0.00041927,0.03695133
-5.93396698,0.39132858,0.44912730,0.10621776,0.00000058,0.19639258,0.00036020,0.03180301
-5.92796398,0.34498539,0.39952018,0.09322806,0.00000049,0.17439314,0.00030728,0.02723801
-5.92196098,0.30584090,0.35830259,0.08217149,0.00000041,0.15604402,0.00026029,0.02323316
-5.91595798,0.27366496,0.32525733,0.07298116,0.00000034,0.14124752,0.00021893,0.01975872
-5.90995498,0.24816116,0.30008937,0.06557224,0.00000028,0.12987184,0.00018285,0.01678005
-5.90395198,0.22898129,0.28244035,0.05984618,0.00000023,0.12175762,0.00015165,0.01425922
-5.89794897,0.21573749,0.27190076,0.05569415,0.00000019,0.11672339,0.00012489,0.01215643
-5.89194597,0.20801214,0.26801927,0.05300006,0.00000015,0.11456997,0.00010215,0.01043123
-5.88594297,0.20536528,0.27030956,0.05164273,0.00000013,0.11508353,0.00008297,0.00904349
-5.87993997,0.20733998,0.27825477,0.05149758,0.00000010,0.11803774,0.00006694,0.00795421
-5.87393697,0.21346573,0.29130998,0.05243774,0.00000009,0.12319504,0.00005364,0.00712610
-5.86793397,0.22326047,0.30890345,0.05433474,0.00000007,0.13030725,0.00004271,0.00652396
-5.86193097,0.23623165,0.33043711,0.05705892,0.00000007,0.13911590,0.00003380,0.00611500
-5.85592796,0.25187698,0.35528699,0.06047963,0.00000007,0.14935244,0.00002659,0.00586890
-5.84992496,0.26968517,0.38280434,0.06446548,0.00000008,0.16073873,0.00002081,0.00575787
-5.84392196,0.28913732,0.41231789,0.06888460,0.00000009,0.17298793,0.00001622,0.00575664
-5.83791896,0.30970927,0.44313773,0.07360517,0.00000012,0.18580614,0.00001260,0.00584237
-5.83191596,0.33087513,0.47456114,0.07849611,0.00000016,0.19889471,0.00000978,0.00599456
-5.82591296,0.35211221,0.50588056,0.08342820,0.00000022,0.21195353,0.00000761,0.00619504
-5.81990995,0.37290736,0.53639347,0.08827543,0.00000030,0.22468506,0.00000596,0.00642787
-5.81390695,0.39276455,0.56541421,0.09291669,0.00000042,0.23679921,0.00000473,0.00667937
-5.80790395,0.41121350,0.59228711,0.09723771,0.00000058,0.24801866,0.00000384,0.00693816
-5.80190095,0.42781899,0.61640057,0.10113316,0.00000081,0.25808471,0.00000323,0.00719524
-5.79589795,0.44219044,0.63720135,0.10450880,0.00000111,0.26676312,0.00000285,0.00744415
-5.78989495,0.45399127,0.65420843,0.10728363,0.00000152,0.27384977,0.00000268,0.00768118
-5.78389195,0.46294754,0.66702564,0.10939187,0.00000207,0.27917585,0.00000269,0.00790557
-5.77788894,0.46885547,0.67535247,0.11078465,0.00000279,0.28261224,0.00000288,0.00811983
-5.77188594,0.47158725,0.67899239,0.11143138,0.00000374,0.28407282,0.00000325,0.00833001
-5.76588294,0.47109498,0.67785813,0.11132063,0.00000498,0.28351656,0.00000384,0.00854609
-5.75987994,0.46741232,0.67197370,0.11046046,0.00000658,0.28094818,0.00000467,0.00878227
-5.75387694,0.46065388,0.66147284,0.10887833,0.00000863,0.27641738,0.00000579,0.00905740
-5.74787394,0.45101213,0.64659403,0.10662033,0.00001125,0.27001650,0.00000725,0.00939523
-5.74187094,0.43875217,0.62767212,0.10374992,0.00001455,0.26187696,0.00000914,0.00982485
-5.73586793,0.42420439,0.60512710,0.10034624,0.00001869,0.25216427,0.00001155,0.01038087
-5.72986493,0.40775542,0.57945036,0.09650197,0.00002385,0.24107225,0.00001458,0.01110373
-5.72386193,0.38983775,0.55118912,0.09232089,0.00003021,0.22881629,0.00001836,0.01203980
-5.71785893,0.37091841,0.52092969,0.08791520,0.00003801,0.21562634,0.00002304,0.01324142
-5.71185593,0.35148717,0.48928033,0.08340276,0.00004750,0.20173960,0.00002879,0.01476685
-5.70585293,0.33204470,0.45685432,0.07890434,0.00005894,0.18739353,0.00003580,0.01667992
-5.69984992,0.31309107,0.42425387,0.07454085,0.00007265,0.17281916,0.00004427,0.01904965
-5.69384692,0.29511490,0.39205553,0.07043085,0.00008894,0.15823514,0.00005443,0.02194949
-5.68784392,0.27858350,0.36079742,0.06668822,0.00010815,0.14384268,0.00006654,0.02545640
-5.68184092,0.26393406,0.33096866,0.06342012,0.00013064,0.12982152,0.00008084,0.02964961
-5.67583792,0.25156620,0.30300119,0.06072521,0.00015675,0.11632687,0.00009760,0.03460911
-5.66983492,0.24183564,0.27726392,0.05869225,0.00018685,0.10348768,0.00011711,0.04041382
-5.66383192,0.23504929,0.25405934,0.05739897,0.00022130,0.09140580,0.00013963,0.04713956
-5.65782891,0.23146140,0.23362222,0.05691120,0.00026041,0.08015620,0.00016543,0.05485669
-5.65182591,0.23127090,0.21612029,0.05728235,0.00030449,0.06978817,0.00019475,0.06362765
-5.64582291,0.23461968,0.20165653,0.05855309,0.00035382,0.06032708,0.00022782,0.07350434
-5.63981991,0.24159175,0.19027282,0.06075125,0.00040862,0.05177683,0.00026481,0.08452544
-5.63381691,0.25221327,0.18195459,0.06389200,0.00046906,0.04412271,0.00030587,0.09671393
-5.62781391,0.26645325,0.17663611,0.06797808,0.00053527,0.03733438,0.00035106,0.11007463
-5.62181091,0.28422499,0.17420632,0.07300035,0.00060731,0.03136903,0.00040042,0.12459220
-5.61580790,0.30538825,0.17451477,0.07893842,0.00068517,0.02617446,0.00045387,0.14022949
-5.60980490,0.32975204,0.17737765,0.08576138,0.00076879,0.02169198,0.00051127,0.15692647
-5.60380190,0.35707826,0.18258371,0.09342879,0.00085805,0.01785903,0.00057239,0.17459974
-5.59779890,0.38708600,0.18989997,0.10189167,0.00095276,0.01461155,0.00063692,0.19314289
-5.59179590,0.41945659,0.19907728,0.11109369,0.00105271,0.01188591,0.00070443,0.21242746
-5.58579290,0.45383949,0.20985556,0.12097231,0.00115763,0.00962054,0.00077445,0.23230476
-5.57978989,0.48985869,0.22196880,0.13146012,0.00126723,0.00775716,0.00084639,0.25260849
-5.57378689,0.52711978,0.23514987,0.14248602,0.00138121,0.00624171,0.00091960,0.27315793
-5.56778389,0.56521749,0.24913502,0.15397649,0.00149924,0.00502487,0.00099338,0.29376181
-5.56178089,0.60374336,0.26366814,0.16585673,0.00162098,0.00406247,0.00106698,0.31422266
-5.55577789,0.64229367,0.27850482,0.17805166,0.00174611,0.00331552,0.00113961,0.33434136
-5.54977489,0.68047701,0.29341602,0.19048682,0.00187429,0.00275015,0.00121049,0.35392202
-5.54377189,0.71792171,0.30819159,0.20308907,0.00200517,0.00233738,0.00127884,0.37277668
-5.53776888,0.75428258,0.32264328,0.21578715,0.00213839,0.00205284,0.00134392,0.39072995
-5.53176588,0.78924703,0.33660754,0.22851210,0.00227357,0.00187635,0.00140505,0.40762325
-5.52576288,0.82254042,0.34994781,0.24119756,0.00241028,0.00179156,0.00146159,0.42331863
-5.51975988,0.85393052,0.36255653,0.25378005,0.00254806,0.00178554,0.00151303,0.43770208
-5.51375688,0.88323119,0.37435670,0.26619933,0.00268635,0.00184844,0.00155895,0.45068621
-5.50775388,0.91030530,0.38530302,0.27839877,0.00282454,0.00197308,0.00159903,0.46221235
-5.50175088,0.93506696,0.39538282,0.29032612,0.00296191,0.00215471,0.00163313,0.47225206
-5.49574787,0.95748334,0.40461649,0.30193441,0.00309767,0.00239074,0.00166119,0.48080803
-5.48974487,0.97757601,0.41305782,0.31318331,0.00323091,0.00268054,0.00168335,0.48791462
-5.48374187,0.99542212,0.42079389,0.32404087,0.00336067,0.00302526,0.00169985,0.49363777
-5.47773887,1.01115539,0.42794482,0.33448565,0.00348593,0.00342774,0.00171110,0.49807477
-5.47173587,1.02496694,0.43466319,0.34450922,0.00360562,0.00389239,0.00171766,0.50135350
-5.46573287,1.03710591,0.44113312,0.35411879,0.00371869,0.00442513,0.00172020,0.50363149
-5.45972986,1.04787974,0.44756895,0.36334011,0.00382414,0.00503333,0.00171956,0.50509463
-5.45372686,1.05765375,0.45421343,0.37222008,0.00392109,0.00572567,0.00171667,0.50595551
-5.44772386,1.06684990,0.46133516,0.38082915,0.00400880,0.00651214,0.00171260,0.50645134
-5.44172086,1.07594410,0.46922530,0.38926302,0.00408672,0.00740382,0.00170852,0.50684135
-5.43571786,1.08546197,0.47819334,0.39764353,0.00415460,0.00841278,0.00170568,0.50740352
-5.42971486,1.09597235,0.48856170,0.40611841,0.00421243,0.00955183,0.00170543,0.50843058
-5.42371186,1.10807850,0.50065935,0.41485973,0.00426055,0.01083426,0.00170917,0.51022516
-5.41770885,1.12240663,0.51481401,0.42406081,0.00429962,0.01227354,0.00171838,0.51309403
-5.41170585,1.13959172,0.53134343,0.43393165,0.00433065,0.01388292,0.00173455,0.51734145
-5.40570285,1.16026070,0.55054553,0.44469271,0.00435493,0.01567504,0.00175920,0.52326164
-5.39969985,1.18501339,0.57268784,0.45656734,0.00437402,0.01766148,0.00179384,0.53113049
-5.39369685,1.21440160,0.59799639,0.46977291,0.00438970,0.01985232,0.00183997,0.54119686
-5.38769385,1.24890708,0.62664472,0.48451118,0.00440386,0.02225563,0.00189902,0.55367347
-5.38169085,1.28891942,0.65874319,0.50095799,0.00441845,0.02487711,0.00197235,0.56872808
-5.37568784,1.33471461,0.69432936,0.51925313,0.00443536,0.02771959,0.00206124,0.58647503
-5.36968484,1.38643563,0.73335987,0.53949068,0.00445632,0.03078277,0.00216682,0.60696777
-5.36368184,1.44407607,0.77570440,0.56171041,0.00448282,0.03406289,0.00229005,0.63019274
-5.35767884,1.50746788,0.82114216,0.58589084,0.00451598,0.03755261,0.00243174,0.65606499
-5.35167584,1.57627414,0.86936139,0.61194442,0.00455653,0.04124088,0.00259246,0.68442594
-5.34567284,1.64998771,0.91996197,0.63971520,0.00460468,0.04511303,0.00277255,0.71504346
-5.33966983,1.72793614,0.97246150,0.66897932,0.00466016,0.04915087,0.00297209,0.74761458
