energy_ev,total_up,Hf_p_up,Hf_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,1.44889965,0.72670145,0.41417432,0.39933445,0.00048906,0.52574123,0.00000000
-5.99399700,1.47421408,0.71458504,0.42665768,0.42151057,0.00050736,0.52377878,0.00000000
-5.98799400,1.50125443,0.70482127,0.43906679,0.44413059,0.00052675,0.52371917,0.00000000
-5.98199100,1.53031336,0.69754761,0.45149138,0.46730911,0.00054747,0.52571582,0.00000000
-5.97598799,1.56178351,0.69291639,0.46406390,0.49119803,0.00056979,0.52993718,0.00000000
-5.96998499,1.59615699,0.69110051,0.47695824,0.51598262,0.00059398,0.53656805,0.00000000
-5.96398199,1.63401720,0.69229598,0.49038611,0.54187524,0.00062034,0.54580833,0.00000000
-5.95797899,1.67602319,0.69672119,0.50459094,0.56910683,0.00064914,0.55786928,0.00000000
-5.95197599,1.72288708,0.70461297,0.51983957,0.59791636,0.00068066,0.57296731,0.00000000
-5.94597299,1.77534529,0.71621948,0.53641208,0.62853873,0.00071515,0.59131572,0.00000000
-5.93996998,1.83412516,0.73179054,0.55459004,0.66119157,0.00075282,0.61311468,0.00000000
-5.93396698,1.89990834,0.75156582,0.57464385,0.69606154,0.00079384,0.63854011,0.00000000
-5.92796398,1.97329293,0.77576148,0.59681962,0.73329081,0.00083831,0.66773205,0.00000000
-5.92196098,2.05475618,0.80455619,0.62132631,0.77296426,0.00088631,0.70078315,0.00000000
-5.91595798,2.14461975,0.83807697,0.64832368,0.81509819,0.00093781,0.73772802,0.00000000
-5.90995498,2.24301920,0.87638583,0.67791170,0.85963104,0.00099273,0.77853398,0.00000000
-5.90395198,2.34987940,0.91946768,0.71012184,0.90641672,0.00105094,0.82309389,0.00000000
-5.89794897,2.46489708,0.96722022,0.74491081,0.95522082,0.00111220,0.87122132,0.00000000
-5.89194597,2.58753153,1.01944621,0.78215702,1.00572016,0.00117625,0.92264867,0.00000000
-5.88594297,2.71700395,1.07584860,0.82165990,1.05750573,0.00124272,0.97702809,0.00000000
-5.87993997,2.85230567,1.13602862,0.86314237,1.11008895,0.00131120,1.03393557,0.00000000
-5.87393697,2.99221503,1.19948716,0.90625610,1.16291135,0.00138124,1.09287783,0.00000000
-5.86793397,3.13532227,1.26562931,0.95058962,1.21535707,0.00145229,1.15330197,0.00000000
-5.86193097,3.28006154,1.33377205,0.99567890,1.26676806,0.00152380,1.21460735,0.00000000
-5.85592796,3.42474875,1.40315493,1.04101990,1.31646123,0.00159515,1.27615932,0.00000000
-5.84992496,3.56762399,1.47295340,1.08608268,1.36374714,0.00166567,1.33730432,0.00000000
-5.84392196,3.70689669,1.54229448,1.13032645,1.40794935,0.00173466,1.39738555,0.00000000
-5.83791896,3.84079200,1.61027433,1.17321500,1.44842399,0.00180139,1.45575875,0.00000000
-5.83191596,3.96759659,1.67597727,1.21423180,1.48457844,0.00186511,1.51180742,0.00000000
-5.82591296,4.08570216,1.73849562,1.25289418,1.51588881,0.00192504,1.56495689,0.00000000
-5.81990995,4.19364508,1.79694983,1.28876611,1.54191517,0.00198037,1.61468659,0.00000000
-5.81390695,4.29014077,1.85050825,1.32146880,1.56231420,0.00203031,1.66054020,0.00000000
-5.80790395,4.37411144,1.89840597,1.35068902,1.57684853,0.00207409,1.70213324,0.00000000
-5.80190095,4.44470639,1.93996197,1.37618453,1.58539248,0.00211094,1.73915781,0.00000000
-5.79589795,4.50131397,1.97459417,1.39778655,1.58793390,0.00214014,1.77138433,0.00000000
-5.78989495,4.54356514,2.00183168,1.41539919,1.58457198,0.00216104,1.79866040,0.00000000
-5.78389195,4.57132843,2.02132390,1.42899591,1.57551115,0.00217308,1.82090670,0.00000000
-5.77788894,4.58469677,2.03284611,1.43861323,1.56105128,0.00217578,1.83811046,0.00000000
-5.77188594,4.58396701,2.03630137,1.44434211,1.54157454,0.00216880,1.85031666,0.00000000
-5.76588294,4.56961324,2.03171868,1.44631737,1.51752967,0.00215192,1.85761760,0.00000000
-5.75987994,4.54225526,2.01924752,1.44470599,1.48941419,0.00212507,1.86014145,0.00000000
-5.75387694,4.50262398,1.99914908,1.43969465,1.45775547,0.00208836,1.85804036,0.00000000
-5.74787394,4.45152551,1.97178467,1.43147753,1.42309158,0.00204206,1.85147887,0.00000000
-5.74187094,4.38980587,1.93760178,1.42024488,1.38595274,0.00198660,1.84062336,0.00000000
-5.73586793,4.31831814,1.89711867,1.40617310,1.34684434,0.00192256,1.82563305,0.00000000
-5.72986493,4.23789382,1.85090803,1.38941694,1.30623226,0.00185071,1.80665315,0.00000000
-5.72386193,4.14931983,1.79958075,1.37010416,1.26453121,0.00177190,1.78381065,0.00000000
-5.71785893,4.05332213,1.74377028,1.34833313,1.22209654,0.00168714,1.75721290,0.00000000
-5.71185593,3.95055687,1.68411847,1.32417327,1.17921980,0.00159750,1.72694911,0.00000000
-5.70585293,3.84160911,1.62126348,1.29766848,1.13612823,0.00150412,1.69309470,0.00000000
-5.69984992,3.72699880,1.55582995,1.26884309,1.09298788,0.00140818,1.65571813,0.00000000
-5.69384692,3.60719353,1.48842201,1.23771011,1.04991012,0.00131085,1.61488989,0.00000000
-5.68784392,3.48262657,1.41961902,1.20428100,1.00696095,0.00121329,1.57069286,0.00000000
-5.68184092,3.35371897,1.34997407,1.16857648,0.96417242,0.00111658,1.52323354,0.00000000
-5.67583792,3.22090393,1.28001490,1.13063750,0.92155542,0.00102177,1.47265317,0.00000000
-5.66983492,3.08465158,1.21024699,1.09053566,0.87911295,0.00092977,1.41913824,0.00000000
-5.66383192,2.94549243,1.14115837,1.04838245,0.83685317,0.00084143,1.36292934,0.00000000
-5.65782891,2.80403783,1.07322546,1.00433659,0.79480134,0.00075746,1.30432801,0.00000000
-5.65182591,2.66099601,1.00691965,0.95860909,0.75301014,0.00067843,1.24370087,0.00000000
-5.64582291,2.51718265,0.94271388,0.91146558,0.71156782,0.00060483,1.18148091,0.00000000
-5.63981991,2.37352526,0.88108885,0.86322586,0.67060382,0.00053702,1.11816550,0.00000000
-5.63381691,2.23106112,0.82253838,0.81426066,0.63029179,0.00047524,1.05431153,0.00000000
-5.62781391,2.09092890,0.76757365,0.76498579,0.59084994,0.00041963,0.99052745,0.00000000
-5.62181091,1.95435447,0.71672594,0.71585403,0.55253897,0.00037028,0.92746301,0.00000000
-5.61580790,1.82263166,0.67054779,0.66734520,0.51565779,0.00032718,0.86579685,0.00000000
-5.60980490,1.69709904,0.62961238,0.61995501,0.48053750,0.00029027,0.80622271,0.00000000
-5.60380190,1.57911376,0.59451113,0.57418313,0.44753397,0.00025945,0.74943474,0.00000000
-5.59779890,1.47002382,0.56584951,0.53052123,0.41701958,0.00023461,0.69611262,0.00000000
-5.59179590,1.37113967,0.54424094,0.48944140,0.38937451,0.00021561,0.64690693,0.00000000
-5.58579290,1.28370634,0.53029894,0.45138539,0.36497789,0.00020230,0.60242541,0.00000000
-5.57978989,1.20887689,0.52462756,0.41675512,0.34419924,0.00019455,0.56322033,0.00000000
-5.57378689,1.14768771,0.52781000,0.38590474,0.32739039,0.00019222,0.52977737,0.00000000
-5.56778389,1.10103633,0.54039560,0.35913422,0.31487792,0.00019518,0.50250620,0.00000000
-5.56178089,1.06966173,0.56288534,0.33668467,0.30695631,0.00020333,0.48173269,0.00000000
-5.55577789,1.05412740,0.59571581,0.31873532,0.30388168,0.00021654,0.46769291,0.00000000
-5.54977489,1.05480708,0.63924212,0.30540187,0.30586610,0.00023471,0.46052875,0.00000000
-5.54377189,1.07187293,0.69371975,0.29673623,0.31307229,0.00025772,0.46028508,0.00000000
-5.53776888,1.10528626,0.75928608,0.29272727,0.32560875,0.00028543,0.46690825,0.00000000
-5.53176588,1.15479047,0.83594181,0.29330244,0.34352499,0.00031769,0.48024598,0.00000000
-5.52576288,1.21990637,0.92353308,0.29833004,0.36680711,0.00035430,0.50004837,0.00000000
-5.51975988,1.29992986,1.02173489,0.30762186,0.39537338,0.00039501,0.52597001,0.00000000
-5.51375688,1.39393219,1.13003678,0.32093626,0.42907028,0.00043955,0.55757333,0.00000000
-5.50775388,1.50076308,1.24773146,0.33798135,0.46766877,0.00048755,0.59433297,0.00000000
-5.50175088,1.61905708,1.37390731,0.35841848,0.51086128,0.00053860,0.63564147,0.00000000
