energy_ev,total_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.56508709,0.81034023,0.36425681,0.44795812,0.27329231,0.00777407,0.27962212,0.81223573,0.00000000
-5.99399700,1.62880658,0.84468246,0.36669875,0.47186843,0.29179602,0.00824876,0.27871401,0.85757169,0.00000000
-5.98799400,1.69377632,0.87993246,0.36990744,0.49460620,0.31061633,0.00873609,0.27941141,0.90152002,0.00000000
-5.98199100,1.75916361,0.91575612,0.37380386,0.51582325,0.32953263,0.00923491,0.28175985,0.94340106,0.00000000
-5.97598799,1.82416586,0.95183351,0.37831095,0.53520150,0.34832605,0.00974444,0.28579653,0.98257045,0.00000000
-5.96998499,1.88802820,0.98786316,0.38335420,0.55246208,0.36678432,0.01026421,0.29154662,1.01843681,0.00000000
-5.96398199,1.95005891,1.02356487,0.38886201,0.56737334,0.38470624,0.01079401,0.29901949,1.05047801,0.00000000
-5.95797899,2.00964217,1.05868089,0.39476571,0.57975727,0.40190577,0.01133376,0.30820488,1.07825540,0.00000000
-5.95197599,2.06624730,1.09297561,0.40099922,0.58949402,0.41821536,0.01188338,0.31906937,1.10142520,0.00000000
-5.94597299,2.11943425,1.12623376,0.40749855,0.59652440,0.43348863,0.01244264,0.33155314,1.11974666,0.00000000
-5.93996998,2.16885507,1.15825734,0.41420092,0.60085018,0.44760209,0.01301097,0.34556744,1.13308655,0.00000000
-5.93396698,2.21425141,1.18886170,0.42104376,0.60253214,0.46045603,0.01358734,0.36099265,1.14141977,0.00000000
-5.92796398,2.25544829,1.21787106,0.42796355,0.60168615,0.47197448,0.01417009,0.37767733,1.14482626,0.00000000
-5.92196098,2.29234479,1.24511409,0.43489475,0.59847727,0.48210439,0.01475676,0.39543832,1.14348422,0.00000000
-5.91595798,2.32490242,1.27042003,0.44176872,0.59311242,0.49081417,0.01534406,0.41406192,1.13766025,0.00000000
-5.90995498,2.35313208,1.29361575,0.44851304,0.58583182,0.49809160,0.01592771,0.43330637,1.12769683,0.00000000
-5.90395198,2.37708075,1.31452453,0.45505109,0.57689983,0.50394156,0.01650253,0.45290558,1.11399802,0.00000000
-5.89794897,2.39681893,1.33296663,0.46130230,0.56659549,0.50838349,0.01706238,0.47257420,1.09701402,0.00000000
-5.89194597,2.41243008,1.34876214,0.46718289,0.55520342,0.51144903,0.01760028,0.49201376,1.07722548,0.00000000
-5.88594297,2.42400278,1.36173618,0.47260740,0.54300531,0.51317986,0.01810855,0.51092006,1.05512836,0.00000000
-5.87993997,2.43162649,1.37172635,0.47749093,0.53027263,0.51362601,0.01857897,0.52899140,1.03122015,0.00000000
-5.87393697,2.43539133,1.37859223,0.48175205,0.51726066,0.51284469,0.01900303,0.54593748,1.00598784,0.00000000
-5.86793397,2.43539202,1.38222654,0.48531638,0.50420413,0.51089974,0.01937215,0.56148867,0.97989837,0.00000000
-5.86193097,2.43173579,1.38256733,0.48812065,0.49131459,0.50786165,0.01967799,0.57540538,0.95339169,0.00000000
-5.85592796,2.42455369,1.37961041,0.49011700,0.47877947,0.50380819,0.01991274,0.58748702,0.92687640,0.00000000
-5.84992496,2.41401453,1.37342139,0.49127746,0.46676263,0.49882550,0.02006936,0.59758028,0.90072820,0.00000000
-5.84392196,2.40034020,1.36414624,0.49159809,0.45540631,0.49300944,0.02014190,0.60558625,0.87529044,0.00000000
-5.83791896,2.38382109,1.35201966,0.49110274,0.44483411,0.48646715,0.02012574,0.61146608,0.85087661,0.00000000
-5.83191596,2.36483022,1.33737035,0.48984596,0.43515457,0.47931839,0.02001775,0.61524476,0.82777415,0.00000000
-5.82591296,2.34383456,1.32062259,0.48791483,0.42646510,0.47169670,0.01981650,0.61701279,0.80624888,0.00000000
-5.81990995,2.32140216,1.30229353,0.48542959,0.41885566,0.46374999,0.01952231,0.61692554,0.78654936,0.00000000
-5.81390695,2.29820393,1.28298587,0.48254266,0.41241207,0.45564044,0.01913735,0.61520014,0.76891075,0.00000000
