energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,0.14255322,0.00056776,0.02058910,0.01094460,0.00187895,0.05002436,0.02014077,0.02530443
-5.99399700,0.17489947,0.00070291,0.02528688,0.01306879,0.00230875,0.06144086,0.02506637,0.03095066
-5.98799400,0.21449007,0.00086695,0.03104004,0.01568691,0.00283544,0.07539756,0.03105103,0.03786643
-5.98199100,0.26233491,0.00106405,0.03799728,0.01885258,0.00347272,0.09225018,0.03825553,0.04622456
-5.97598799,0.31951867,0.00129866,0.04631864,0.02262240,0.00423536,0.11238047,0.04685263,0.05621033
-5.96998499,0.38718327,0.00157545,0.05617292,0.02705445,0.00513891,0.13619006,0.05702460,0.06801834
-5.96398199,0.46650464,0.00189917,0.06773437,0.03220655,0.00619946,0.16409227,0.06895994,0.08184840
-5.95797899,0.55866356,0.00227458,0.08117847,0.03813424,0.00743320,0.19650193,0.08284913,0.09790033
-5.95197599,0.66481089,0.00270628,0.09667689,0.04488837,0.00885600,0.23382309,0.09887955,0.11636792
-5.94597299,0.78602736,0.00319855,0.11439163,0.05251260,0.01048284,0.27643503,0.11722942,0.13743188
-5.93996998,0.92327887,0.00375518,0.13446848,0.06104064,0.01232726,0.32467648,0.13806107,0.16125212
-5.93396698,1.07736834,0.00437928,0.15702995,0.07049353,0.01440066,0.37882882,0.16151351,0.18795942
-5.92796398,1.24888568,0.00507306,0.18216792,0.08087693,0.01671170,0.43909848,0.18769462,0.21764693
-5.92196098,1.43815763,0.00583768,0.20993623,0.09217858,0.01926557,0.50559940,0.21667330,0.25036154
-5.91595798,1.64519973,0.00667302,0.24034356,0.10436609,0.02206339,0.57833622,0.24847167,0.28609590
-5.90995498,1.86967278,0.00757757,0.27334690,0.11738520,0.02510163,0.65718896,0.28305800,0.32478109
-5.90395198,2.11084624,0.00854824,0.30884612,0.13115856,0.02837162,0.74190028,0.32034046,0.36628068
-5.89794897,2.36757107,0.00958033,0.34667973,0.14558527,0.03185918,0.83206592,0.36016232,0.41038641
-5.89194597,2.63826443,0.01066747,0.38662257,0.16054121,0.03554446,0.92712935,0.40229883,0.45681600
-5.88594297,2.92090803,0.01180164,0.42838531,0.17588019,0.03940188,1.02638119,0.44645625,0.50521332
-5.87993997,3.21306188,0.01297325,0.47161635,0.19143606,0.04340038,1.12896401,0.49227314,0.55515130
-5.87393697,3.51189431,0.01417133,0.51590603,0.20702567,0.04750373,1.23388282,0.53932426,0.60613755
-5.86793397,3.81422832,0.01538369,0.56079326,0.22245270,0.05167126,1.34002125,0.58712700,0.65762287
-5.86193097,4.11660377,0.01659725,0.60577459,0.23751221,0.05585859,1.44616332,0.63515044,0.70901236
-5.85592796,4.41535390,0.01779836,0.65031528,0.25199578,0.06001867,1.55102009,0.68282671,0.75967898
-5.84992496,4.70669376,0.01897316,0.69386230,0.26569710,0.06410292,1.65326065,0.72956438,0.80897908
-5.84392196,4.98681760,0.02010800,0.73585856,0.27841770,0.06806251,1.75154606,0.77476350,0.85626931
-5.83791896,5.25200143,0.02118987,0.77575802,0.28997267,0.07184961,1.84456520,0.81783163,0.90092432
-5.83191596,5.49870645,0.02220679,0.81304097,0.30019610,0.07541878,1.93107092,0.85820021,0.94235449
-5.82591296,5.72367918,0.02314820,0.84722877,0.30894594,0.07872811,2.00991501,0.89534067,0.98002288
-5.81990995,5.92404367,0.02400531,0.87789754,0.31610823,0.08174045,2.08008050,0.92877955,1.01346076
-5.81390695,6.09738161,0.02477137,0.90469002,0.32160022,0.08442427,2.14070968,0.95811185,1.04228078
-5.80790395,6.24179694,0.02544191,0.92732514,0.32537257,0.08675446,2.19112688,0.98301217,1.06618750
-5.80190095,6.35596182,0.02601479,0.94560487,0.32741025,0.08871282,2.23085469,1.00324297,1.08498442
-5.79589795,6.43914219,0.02649029,0.95941794,0.32773234,0.09028823,2.25962326,1.01865978,1.09857755
-5.78989495,6.49120182,0.02687099,0.96874041,0.32639053,0.09147668,2.27737207,1.02921292,1.10697507
-5.78389195,6.51258536,0.02716165,0.97363301,0.32346664,0.09228090,2.28424459,1.03494599,1.11028345
-5.77788894,6.50428136,0.02736892,0.97423551,0.31906910,0.09270982,2.28057604,1.03599106,1.10870000
-5.77188594,6.46776787,0.02750106,0.97075842,0.31332875,0.09277788,2.26687513,1.03256098,1.10250249
-5.76588294,6.40494367,0.02756754,0.96347242,0.30639405,0.09250405,2.24380102,1.02493929,1.09203631
-5.75987994,6.31804898,0.02757865,0.95269629,0.29842596,0.09191092,2.21213662,1.01346826,1.07769993
-5.75387694,6.20958002,0.02754508,0.93878377,0.28959291,0.09102361,2.17275988,0.99853579,1.05992933
-5.74787394,6.08220162,0.02747751,0.92211013,0.28006577,0.08986880,2.12661444,0.98056182,1.03918229
-5.74187094,5.93866237,0.02738622,0.90305914,0.27001335,0.08847375,2.07468111,0.95998492,1.01592323
-5.73586793,5.78171603,0.02728079,0.88201094,0.25959845,0.08686550,2.01795160,0.93724981,0.99060929
-5.72986493,5.61405247,0.02716983,0.85933145,0.24897459,0.08507024,1.95740533,0.91279618,0.96367832
-5.72386193,5.43824080,0.02706080,0.83536363,0.23828356,0.08311273,1.89399037,0.88704943,0.93553910
-5.71785893,5.25668614,0.02695992,0.81042097,0.22765377,0.08101611,1.82860888,0.86041349,0.90656420
-5.71185593,5.07160088,0.02687219,0.78478329,0.21719947,0.07880168,1.76210719,0.83326594,0.87708560
-5.70585293,4.88499006,0.02680145,0.75869491,0.20702061,0.07648905,1.69527046,0.80595536,0.84739291
-5.69984992,4.69864994,0.02675060,0.73236501,0.19720342,0.07409630,1.62882144,0.77880078,0.81773429
-5.69384692,4.51417800,0.02672176,0.70597000,0.18782147,0.07164033,1.56342261,0.75209301,0.78831941
-5.68784392,4.33299197,0.02671664,0.67965756,0.17893700,0.06913727,1.49968099,0.72609733,0.75932439
-5.68184092,4.15635523,0.02673678,0.65355194,0.17060260,0.06660294,1.43815450,0.70105725,0.73089797
-5.67583792,3.98540581,0.02678395,0.62776007,0.16286273,0.06405331,1.37935905,0.67719874,0.70316854
-5.66983492,3.82118600,0.02686037,0.60237811,0.15575530,0.06150493,1.32377522,0.65473439,0.67625142
-5.66383192,3.66467003,0.02696904,0.57749782,0.14931286,0.05897526,1.27185388,0.63386730,0.65025597
-5.65782891,3.51678754,0.02711391,0.55321264,0.14356359,0.05648297,1.22401986,0.61479383,0.62529193
-5.65182591,3.37844084,0.02729999,0.52962278,0.13853180,0.05404804,1.18067328,0.59770540,0.60147482
-5.64582291,3.25051485,0.02753344,0.50683929,0.13423812,0.05169184,1.14218820,0.58278866,0.57892983
-5.63981991,3.13387894,0.02782141,0.48498680,0.13069919,0.04943695,1.10890852,0.57022419,0.55779422
-5.63381691,3.02938051,0.02817195,0.46420476,0.12792706,0.04730693,1.08114135,0.56018366,0.53821797
-5.62781391,2.93783094,0.02859367,0.44464725,0.12592827,0.04532597,1.05914818,0.55282547,0.52036286
-5.62181091,2.85998468,0.02909538,0.42648122,0.12470280,0.04351838,1.04313443,0.54828924,0.50439977
-5.61580790,2.79651320,0.02968567,0.40988339,0.12424283,0.04190801,1.03323808,0.54668937,0.49050474
-5.60980490,2.74797531,0.03037239,0.39503593,0.12453168,0.04051763,1.02951834,0.54810813,0.47885367
-5.60380190,2.71478601,0.03116213,0.38212114,0.12554281,0.03936825,1.03194495,0.55258868,0.46961627
-5.59779890,2.69718588,0.03205971,0.37131530,0.12723915,0.03847840,1.04038920,0.56012851,0.46294937
-5.59179590,2.69521320,0.03306767,0.36278218,0.12957277,0.03786348,1.05461743,0.57067382,0.45899005
-5.58579290,2.70868060,0.03418586,0.35666625,0.13248502,0.03753509,1.07428760,0.58411520,0.45784890
-5.57978989,2.73715804,0.03541108,0.35308616,0.13590713,0.03750049,1.09894953,0.60028509,0.45960381
-5.57378689,2.77996346,0.03673691,0.35212853,0.13976135,0.03776209,1.12804922,0.61895720,0.46429449
-5.56778389,2.83616200,0.03815354,0.35384255,0.14396256,0.03831714,1.16093719,0.63984824,0.47191806
-5.56178089,2.90457424,0.03964789,0.35823547,0.14842033,0.03915747,1.19688097,0.66262189,0.48242593
-5.55577789,2.98379357,0.04120380,0.36526932,0.15304132,0.04026939,1.23508114,0.68689505,0.49572200
-5.54977489,3.07221210,0.04280233,0.37485885,0.15773199,0.04163380,1.27469065,0.71224622,0.51166236
