energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,3.49818078,-3.49818081,0.07647770,-0.07647770,0.47782755,-0.47782755,0.65966792,-0.65966792,0.80821987,-0.80821988,0.03737455,-0.03737455,1.24185797,-1.24185798,0.24644047,-0.24644047,0.15003036,-0.15003036
-5.99399700,3.67554387,-3.67554391,0.07405152,-0.07405153,0.48408556,-0.48408556,0.69969244,-0.69969244,0.79494763,-0.79494763,0.04024538,-0.04024538,1.34003687,-1.34003688,0.26286192,-0.26286192,0.16265222,-0.16265223
-5.98799400,3.86699539,-3.86699543,0.07158925,-0.07158925,0.49229225,-0.49229225,0.74363886,-0.74363886,0.78337520,-0.78337521,0.04327687,-0.04327687,1.44372045,-1.44372047,0.28042189,-0.28042189,0.17600778,-0.17600778
-5.98199100,4.07122623,-4.07122626,0.06909427,-0.06909427,0.50227122,-0.50227122,0.79111529,-0.79111529,0.77343258,-0.77343259,0.04645491,-0.04645491,1.55238952,-1.55238954,0.29902561,-0.29902561,0.19003185,-0.19003186
-5.97598799,4.28664856,-4.28664860,0.06657180,-0.06657180,0.51382164,-0.51382164,0.84166302,-0.84166302,0.76503844,-0.76503845,0.04976152,-0.04976152,1.66539421,-1.66539423,0.31855598,-0.31855598,0.20464239,-0.20464239
-5.96998499,4.51141496,-4.51141500,0.06402885,-0.06402886,0.52672553,-0.52672553,0.89476739,-0.89476739,0.75810484,-0.75810485,0.05317487,-0.05317487,1.78195476,-1.78195478,0.33887454,-0.33887454,0.21974064,-0.21974064
-5.96398199,4.74344377,-4.74344381,0.06147412,-0.06147412,0.54075520,-0.54075520,0.94986992,-0.94986992,0.75254133,-0.75254134,0.05666943,-0.05666943,1.90116591,-1.90116593,0.35982307,-0.35982308,0.23521190,-0.23521190
-5.95797899,4.98045092,-4.98045096,0.05891764,-0.05891764,0.55568053,-0.55568053,1.00638139,-1.00638138,0.74825834,-0.74825835,0.06021618,-0.06021619,2.02200535,-2.02200537,0.38122581,-0.38122582,0.25092668,-0.25092668
-5.95197599,5.21998790,-5.21998794,0.05637047,-0.05637047,0.57127597,-0.57127597,1.06369532,-1.06369532,0.74516995,-0.74516996,0.06378303,-0.06378303,2.14334630,-2.14334632,0.40289231,-0.40289231,0.26674250,-0.26674251
-5.94597299,5.45948566,-5.45948569,0.05384425,-0.05384425,0.58732696,-0.58732696,1.12120151,-1.12120151,0.74319619,-0.74319620,0.06733527,-0.06733527,2.26397434,-2.26397436,0.42462090,-0.42462090,0.28250617,-0.28250617
-5.93996998,5.69630367,-5.69630371,0.05135079,-0.05135080,0.60363554,-0.60363554,1.17829901,-1.17829901,0.74226490,-0.74226491,0.07083629,-0.07083629,2.38260839,-2.38260841,0.44620271,-0.44620271,0.29805657,-0.29805657
-5.93396698,5.92778331,-5.92778335,0.04890165,-0.04890165,0.62002505,-0.62002505,1.23440831,-1.23440831,0.74231322,-0.74231322,0.07424832,-0.07424832,2.49792542,-2.49792544,0.46742610,-0.46742610,0.31322801,-0.31322801
-5.92796398,6.15130429,-6.15130433,0.04650771,-0.04650771,0.63634369,-0.63634369,1.28898219,-1.28898219,0.74328880,-0.74328880,0.07753332,-0.07753332,2.60858853,-2.60858855,0.48808145,-0.48808145,0.32785385,-0.32785385
-5.92196098,6.36434277,-6.36434281,0.04417892,-0.04417892,0.65246687,-0.65246687,1.34151496,-1.34151496,0.74515081,-0.74515082,0.08065398,-0.08065398,2.71327759,-2.71327761,0.50796610,-0.50796610,0.34177056,-0.34177056
-5.91595798,6.56452943,-6.56452946,0.04192403,-0.04192403,0.66829826,-0.66829826,1.39154991,-1.39154991,0.74787061,-0.74787062,0.08357473,-0.08357473,2.81072160,-2.81072162,0.52688930,-0.52688930,0.35482191,-0.35482191
-5.90995498,6.74970558,-6.74970561,0.03975041,-0.03975041,0.68376956,-0.68376956,1.43868474,-1.43868474,0.75143215,-0.75143216,0.08626284,-0.08626284,2.89973174,-2.89973176,0.54467696,-0.54467696,0.36686323,-0.36686323
-5.90395198,6.91797555,-6.91797558,0.03766404,-0.03766404,0.69883901,-0.69883901,1.48257500,-1.48257499,0.75583206,-0.75583206,0.08868944,-0.08868944,2.97923391,-2.97923393,0.56117602,-0.56117602,0.37776556,-0.37776556
-5.89794897,7.06775322,-7.06775324,0.03566948,-0.03566948,0.71348877,-0.71348877,1.52293556,-1.52293555,0.76107928,-0.76107928,0.09083056,-0.09083056,3.04829955,-3.04829957,0.57625821,-0.57625822,0.38741958,-0.38741959
-5.89194597,7.19780092,-7.19780094,0.03376999,-0.03376999,0.72772132,-0.72772133,1.55954026,-1.55954026,0.76719430,-0.76719430,0.09266801,-0.09266801,3.10617338,-3.10617339,0.58982312,-0.58982312,0.39573905,-0.39573905
-5.88594297,7.30725899,-7.30725901,0.03196767,-0.03196767,0.74155512,-0.74155512,1.59222004,-1.59222003,0.77420786,-0.77420786,0.09419014,-0.09419014,3.15229690,-3.15229691,0.60180019,-0.60180019,0.40266366,-0.40266366
-5.87993997,7.39566459,-7.39566460,0.03026368,-0.03026368,0.75501974,-0.75501975,1.62085965,-1.62085964,0.78215912,-0.78215912,0.09539237,-0.09539237,3.18632649,-3.18632650,0.61214986,-0.61214986,0.40816117,-0.40816117
-5.87393697,7.46295863,-7.46295864,0.02865842,-0.02865842,0.76815083,-0.76815083,1.64539360,-1.64539359,0.79109341,-0.79109341,0.09627756,-0.09627756,3.20814501,-3.20814502,0.62086335,-0.62086335,0.41222864,-0.41222864
-5.86793397,7.50948033,-7.50948034,0.02715182,-0.02715182,0.78098506,-0.78098506,1.66580128,-1.66580127,0.80105947,-0.80105947,0.09685610,-0.09685610,3.21786636,-3.21786636,0.62796150,-0.62796150,0.41489266,-0.41489266
-5.86193097,7.53594919,-7.53594920,0.02574351,-0.02574351,0.79355553,-0.79355553,1.68210195,-1.68210195,0.81210640,-0.81210640,0.09714568,-0.09714568,3.21583234,-3.21583234,0.63349231,-0.63349231,0.41620864,-0.41620864
-5.85592796,7.54343489,-7.54343489,0.02443308,-0.02443308,0.80588767,-0.80588768,1.69434971,-1.69434970,0.82428044,-0.82428044,0.09717083,-0.09717083,3.20260181,-3.20260181,0.63752748,-0.63752748,0.41625892,-0.41625892
-5.84992496,7.53331599,-7.53331600,0.02322023,-0.02322023,0.81799602,-0.81799602,1.70262868,-1.70262867,0.83762163,-0.83762163,0.09696218,-0.09696218,3.17893240,-3.17893240,0.64015813,-0.64015813,0.41515005,-0.41515005
-5.84392196,7.50722917,-7.50722918,0.02210493,-0.02210493,0.82988193,-0.82988193,1.70704872,-1.70704871,0.85216072,-0.85216072,0.09655543,-0.09655543,3.14575525,-3.14575525,0.64148964,-0.64148964,0.41300903,-0.41300903
-5.83791896,7.46701072,-7.46701073,0.02108754,-0.02108754,0.84153237,-0.84153238,1.70774174,-1.70774174,0.86791635,-0.86791635,0.09599016,-0.09599016,3.10414393,-3.10414393,0.64163624,-0.64163624,0.40997888,-0.40997888
-5.83191596,7.41463292,-7.41463292,0.02016883,-0.02016883,0.85291986,-0.85291986,1.70485863,-1.70485862,0.88489274,-0.88489274,0.09530839,-0.09530839,3.05527868,-3.05527868,0.64071525,-0.64071525,0.40621358,-0.40621357
-5.82591296,7.35213780,-7.35213781,0.01935007,-0.01935007,0.86400335,-0.86400335,1.69856679,-1.69856679,0.90307805,-0.90307805,0.09455307,-0.09455307,3.00040756,-3.00040755,0.63884154,-0.63884154,0.40187268,-0.40187268
-5.81990995,7.28157123,-7.28157124,0.01863296,-0.01863296,0.87473015,-0.87473016,1.68904833,-1.68904833,0.92244350,-0.92244351,0.09376652,-0.09376652,2.94080619,-2.94080619,0.63612237,-0.63612237,0.39711582,-0.39711581
-5.81390695,7.20491994,-7.20491994,0.01801960,-0.01801960,0.88503866,-0.88503867,1.67649863,-1.67649863,0.94294332,-0.94294333,0.09298888,-0.09298888,2.87773796,-2.87773796,0.63265289,-0.63265289,0.39209732,-0.39209732
