energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,2.67370008,-1.89325398,0.74832293,-0.55608368,0.57727438,-0.15088508,0.00274214,-0.00540763,0.09796365,-0.05829915,0.01360279,-0.02450245,1.51651759,-1.18538065,0.76175156,-0.54769362,0.28558773,-0.22878759
-5.99399700,2.61062904,-1.94800168,0.72396246,-0.57599824,0.57568730,-0.15686968,0.00253835,-0.00525989,0.10217766,-0.05998976,0.01282841,-0.02413962,1.47102512,-1.22142935,0.73994352,-0.57000812,0.27719108,-0.23376013
-5.98799400,2.54095737,-2.00223827,0.69774967,-0.59632468,0.57285928,-0.16280303,0.00234284,-0.00509268,0.10661428,-0.06169794,0.01205133,-0.02370591,1.42110670,-1.25722498,0.71582461,-0.59267386,0.26783387,-0.23871300
-5.98199100,2.46523700,-2.05590319,0.66988824,-0.61701116,0.56885000,-0.16865579,0.00215618,-0.00490961,0.11125738,-0.06341541,0.01127513,-0.02321140,1.36713576,-1.29271982,0.68955980,-0.61557627,0.25759723,-0.24370884
-5.97598799,2.38416566,-2.10888927,0.64062200,-0.63797422,0.56375123,-0.17439732,0.00197876,-0.00471436,0.11609261,-0.06513032,0.01050377,-0.02266638,1.30957421,-1.32783774,0.66135894,-0.63858066,0.24658137,-0.24880346
-5.96998499,2.29857836,-2.16103013,0.61023185,-0.65909643,0.55768718,-0.17999520,0.00181087,-0.00451052,0.12110922,-0.06682699,0.00974147,-0.02208088,1.24896457,-1.36246643,0.63147398,-0.66153105,0.23490321,-0.25404232
-5.96398199,2.20943401,-2.21209110,0.57903121,-0.68022563,0.55081398,-0.18541490,0.00165268,-0.00430151,0.12630184,-0.06848608,0.00899262,-0.02146430,1.18591901,-1.39645191,0.60019451,-0.68425009,0.22269354,-0.25945745
-5.95797899,2.11779771,-2.26176438,0.54736008,-0.70117587,0.54331814,-0.19061967,0.00150421,-0.00409046,0.13167224,-0.07008481,0.00826161,-0.02082513,1.12110590,-1.42959542,0.56784183,-0.70654025,0.21009367,-0.26506483
-5.95197599,2.02481944,-2.30966878,0.51557820,-0.72173007,0.53541415,-0.19557059,0.00136541,-0.00388016,0.13723078,-0.07159744,0.00755272,-0.02017076,1.05523436,-1.46165322,0.53476184,-0.72818630,0.19725180,-0.27086252
-5.94597299,1.93171006,-2.35535419,0.48405746,-0.74164426,0.52734110,-0.20022698,0.00123611,-0.00367299,0.14299762,-0.07299601,0.00687000,-0.01950732,0.98903766,-1.49233925,0.50131713,-0.74895907,0.18431926,-0.27682940
-5.93996998,1.83971542,-2.39831047,0.45317391,-0.76065331,0.51935841,-0.20454694,0.00111607,-0.00347090,0.14900341,-0.07425109,0.00621717,-0.01883972,0.92325604,-1.52133043,0.46787849,-0.76862023,0.17144674,-0.28292486
-5.93396698,1.75008951,-2.43798055,0.42329973,-0.77847785,0.51174079,-0.20848814,0.00100498,-0.00327539,0.15528950,-0.07533278,0.00559754,-0.01817168,0.85861976,-1.54827468,0.43481633,-0.78692802,0.15878069,-0.28908915
-5.92796398,1.66406768,-2.47377690,0.39479545,-0.79483210,0.50477238,-0.21200888,0.00090249,-0.00308754,0.16190747,-0.07621172,0.00501390,-0.01750589,0.79583298,-1.57280094,0.40249233,-0.80364365,0.14646014,-0.29524459
-5.92196098,1.58284042,-2.50510071,0.36800261,-0.80943233,0.49874024,-0.21506917,0.00080819,-0.00290803,0.16891806,-0.07686012,0.00446854,-0.01684423,0.73555902,-1.59453093,0.37125159,-0.81853802,0.13461375,-0.30129755
-5.91595798,1.50752872,-2.53136270,0.34323728,-0.82200553,0.49392734,-0.21763201,0.00072169,-0.00273715,0.17638936,-0.07725282,0.00396318,-0.01618799,0.67840753,-1.61309196,0.34141554,-0.83139850,0.12335748,-0.30714100
-5.90995498,1.43916140,-2.55200473,0.32078434,-0.83229794,0.49060519,-0.21966466,0.00064255,-0.00257494,0.18439443,-0.07736820,0.00349897,-0.01553814,0.62492377,-1.62813025,0.31327594,-0.84203547,0.11279280,-0.31265774
-5.90395198,1.37865504,-2.56652100,0.30089291,-0.84008318,0.48902621,-0.22113987,0.00057033,-0.00242115,0.19300834,-0.07718904,0.00307654,-0.01489557,0.57558029,-1.63932413,0.28708991,-0.85028826,0.10300541,-0.31772401
