energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,9.10236804,0.03127024,1.42621063,2.84647771,0.56242664,3.89287019,3.90962090,0.06160087,3.65312739
-5.99399700,8.87057921,0.03025485,1.38318935,2.79585786,0.55395600,3.78217240,3.79303889,0.05967807,3.57442353
-5.98799400,8.61969219,0.02917226,1.33769956,2.73751303,0.54445079,3.66053932,3.66840336,0.05765414,3.48705575
-5.98199100,8.35357908,0.02803752,1.29043910,2.67220990,0.53405056,3.53014918,3.53760831,0.05555973,3.39240358
-5.97598799,8.07622080,0.02686578,1.24211375,2.60077202,0.52290323,3.39325707,3.40259499,0.05342542,3.29190858
-5.96998499,7.79162265,0.02567201,1.19342653,2.52405843,0.51116192,3.25213637,3.26531550,0.05128105,3.18703662
-5.96398199,7.50373538,0.02447076,1.14506781,2.44294383,0.49898227,3.10902270,3.12769755,0.04915514,3.07924240
-5.95797899,7.21638389,0.02327597,1.09770614,2.35830118,0.48652051,2.96606234,2.99161132,0.04707435,2.96993759
-5.95197599,6.93320490,0.02210074,1.05198003,2.27098687,0.47393204,2.82526648,2.85883884,0.04506312,2.86046342
-5.94597299,6.65759467,0.02095727,1.00849052,2.18182888,0.46137080,2.68847257,2.73104654,0.04314331,2.75206829
-5.93996998,6.39266711,0.01985669,0.96779471,2.09161780,0.44898900,2.55731360,2.60976131,0.04133406,2.64589073
-5.93396698,6.14122219,0.01880904,0.93040008,2.00110062,0.43693734,2.43319558,2.49635045,0.03965164,2.54294773
-5.92796398,5.90572439,0.01782323,0.89675970,1.91097687,0.42536540,2.31728354,2.39200551,0.03810944,2.44412817
-5.92196098,5.68829015,0.01690703,0.86726817,1.82189666,0.41442216,2.21049557,2.29773025,0.03671807,2.35019088
-5.91595798,5.49068355,0.01606709,0.84225846,1.73446031,0.40425636,2.11350459,2.21433262,0.03548543,2.26176669
-5.90995498,5.31431880,0.01530901,0.82199939,1.64921872,0.39501662,2.02674682,2.14242071,0.03441692,2.17936378
-5.90395198,5.16026848,0.01463733,0.80669391,1.56667439,0.38685115,1.95043628,2.08240244,0.03351563,2.10337544
-5.89794897,5.02927603,0.01405566,0.79647816,1.48728233,0.37990690,1.88458388,2.03448882,0.03278258,2.03408947
-5.89194597,4.92177143,0.01356666,0.79142109,1.41145077,0.37432819,1.82902032,1.99870045,0.03221692,1.97169836
-5.88594297,4.83788883,0.01317220,0.79152495,1.33954124,0.37025463,1.78342112,1.97487694,0.03181617,1.91630967
-5.87993997,4.77748514,0.01287331,0.79672635,1.27186809,0.36781844,1.74733313,1.96268878,0.03157642,1.86795581
-5.87393697,4.74015879,0.01267029,0.80689799,1.20869732,0.36714120,1.72020090,1.96165149,0.03149251,1.82660288
-5.86793397,4.72526804,0.01256274,0.82185108,1.15024471,0.36833008,1.70139231,1.97114125,0.03155818,1.79215804
-5.86193097,4.73194830,0.01254954,0.84133837,1.09667367,0.37147376,1.69022243,1.99041197,0.03176616,1.76447546
-5.85592796,4.75912842,0.01262889,0.86505778,1.04809277,0.37663815,1.68597492,2.01861308,0.03210833,1.74336037
-5.84992496,4.80554585,0.01279832,0.89265669,1.00455331,0.38386201,1.68792056,2.05480789,0.03257569,1.72857176
-5.84392196,4.86976088,0.01305464,0.92373681,0.96604724,0.39315296,1.69533262,2.09799198,0.03315847,1.71982343
-5.83791896,4.95017048,0.01339394,0.95785972,0.93250561,0.40448368,1.70749892,2.14711145,0.03384608,1.71678411
-5.83191596,5.04502218,0.01381158,0.99455299,0.90379798,0.41778899,1.72373078,2.20108085,0.03462717,1.71907678
-5.82591296,5.15242873,0.01430216,1.03331704,0.87973275,0.43296358,1.74336902,2.25880052,0.03548962,1.72627770
-5.81990995,5.27038432,0.01485950,1.07363255,0.86005887,0.44986090,1.76578757,2.31917331,0.03642053,1.73791576
-5.81390695,5.39678312,0.01547664,1.11496860,0.84446883,0.46829320,1.79039503,2.38112067,0.03740627,1.75347249
-5.80790395,5.52944069,0.01614588,1.15679138,0.83260321,0.48803293,1.81663492,2.44359806,0.03843251,1.77238333
-5.80190095,5.66611908,0.01685879,1.19857339,0.82405657,0.50881544,1.84398508,2.50560974,0.03948434,1.79404053
-5.79589795,5.80455571,0.01760624,1.23980319,0.81838479,0.53034319,1.87195686,2.56622292,0.04054632,1.81779800
-5.78989495,5.94249617,0.01837855,1.27999521,0.81511366,0.55229122,1.90009450,2.62458119,0.04160270,1.84297831
-5.78389195,6.07773077,0.01916551,1.31869979,0.81374850,0.57431390,1.92797512,2.67991731,0.04263757,1.86888196
-5.77788894,6.20813404,0.01995659,1.35551280,0.81378466,0.59605272,1.95520956,2.73156496,0.04363507,1.89479879
-5.77188594,6.33170627,0.02074102,1.39008480,0.81471849,0.61714495,1.98144410,2.77896945,0.04457971,1.92002122
-5.76588294,6.44661576,0.02150800,1.42212919,0.81605850,0.63723274,2.00636292,2.82169685,0.04545656,1.94385910
-5.75987994,6.55124007,0.02224688,1.45142906,0.81733636,0.65597262,2.02969122,2.85944134,0.04625161,1.96565542
-5.75387694,6.64420435,0.02294733,1.47784231,0.81811730,0.67304468,2.05119847,2.89203004,0.04695201,1.98480231
-5.74787394,6.72441499,0.02359957,1.50130463,0.81800962,0.68816144,2.07070146,2.91942519,0.04754637,2.00075667
-5.74187094,6.79108624,0.02419454,1.52183003,0.81667291,0.70107579,2.08806661,2.94172282,0.04802499,2.01305461
-5.73586793,6.84375846,0.02472411,1.53950875,0.81382464,0.71158788,2.10321097,2.95914782,0.04838010,2.02132386
-5.72986493,6.88230595,0.02518124,1.55450220,0.80924503,0.71955057,2.11610167,2.97204490,0.04860602,2.02529375
-5.72386193,6.90693371,0.02556012,1.56703515,0.80277977,0.72487328,2.12675325,2.98086533,0.04869922,2.02480188
-5.71785893,6.91816220,0.02585632,1.57738497,0.79434082,0.72752406,2.13522286,2.98614960,0.04865846,2.01979732
-5.71185593,6.91680035,0.02606690,1.58586855,0.78390495,0.72752990,2.14160321,2.98850608,0.04848470,2.01033995
-5.70585293,6.90390728,0.02619043,1.59282693,0.77151041,0.72497517,2.14601346,2.98858634,0.04818105,1.99659606
-5.69984992,6.88074430,0.02622707,1.59860855,0.75725176,0.71999836,2.14858839,2.98705787,0.04775262,1.97883024
-5.69384692,6.84871886,0.02617856,1.60355152,0.74127314,0.71278729,2.14946648,2.98457501,0.04720635,1.95739399
-5.68784392,6.80932310,0.02604817,1.60796587,0.72376032,0.70357291,2.14877739,2.98174952,0.04655076,1.93271163
-5.68184092,6.76406968,0.02584061,1.61211663,0.70493197,0.69262207,2.14662977,2.97912184,0.04579569,1.90526406
-5.67583792,6.71442804,0.02556195,1.61620847,0.68503039,0.68022942,2.14310020,2.97713459,0.04495201,1.87557125
-5.66983492,6.66176421,0.02521946,1.62037288,0.66431231,0.66670892,2.13822396,2.97610959,0.04403131,1.84417418
-5.66383192,6.60728707,0.02482146,1.62465857,0.64303992,0.65238498,2.13198848,2.97622971,0.04304565,1.81161703
-5.65782891,6.55200377,0.02437709,1.62902577,0.62147263,0.63758386,2.12433005,2.97752666,0.04200726,1.77843036
-5.65182591,6.49668656,0.02389608,1.63334481,0.59985978,0.62262523,2.11513409,2.97987562,0.04092825,1.74511593
-5.64582291,6.44185244,0.02338856,1.63739933,0.57843448,0.60781441,2.10423934,2.98299712,0.03982046,1.71213368
-5.63981991,6.38775666,0.02286475,1.64089398,0.55740881,0.59343526,2.09144578,2.98646660,0.03869519,1.67989115
-5.63381691,6.33440005,0.02233475,1.64346658,0.53697024,0.57974396,2.07652603,2.98973119,0.03756308,1.64873574
