energy_ev,total_up,Cd_p_up,Cd_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.48173319,0.96337224,1.24306510,1.19097792,0.74502739,0.06301991,0.07777416,0.16073150,2.53416179
-5.99399700,6.48202031,0.95841160,1.23593000,1.20823377,0.75147103,0.06294639,0.07904459,0.16242661,2.53496925
-5.98799400,6.47378398,0.95293517,1.22705413,1.22285095,0.75662615,0.06282741,0.08031066,0.16361459,2.53240186
-5.98199100,6.45849615,0.94716508,1.21683513,1.23493872,0.76059769,0.06265800,0.08157975,0.16430951,2.52701728
-5.97598799,6.43776846,0.94132889,1.20569109,1.24468859,0.76351845,0.06243595,0.08285856,0.16453575,2.51943466
-5.96998499,6.41330006,0.93565413,1.19404778,1.25236997,0.76554330,0.06216156,0.08415261,0.16432685,2.51031561
-5.96398199,6.38681643,0.93036173,1.18232448,1.25832156,0.76684204,0.06183733,0.08546569,0.16372395,2.50034138
-5.95797899,6.36000216,0.92565867,1.17091912,1.26293890,0.76759125,0.06146732,0.08679936,0.16277394,2.49018729
-5.95197599,6.33443131,0.92173012,1.16019335,1.26665864,0.76796588,0.06105653,0.08815235,0.16152726,2.48049567
-5.94597299,6.31149927,0.91873174,1.15045836,1.26994016,0.76813087,0.06061019,0.08952020,0.16003574,2.47184897
-5.93996998,6.29236023,0.91678251,1.14196222,1.27324570,0.76823354,0.06013304,0.09089490,0.15835039,2.46474451
-5.93396698,6.27787419,0.91595854,1.13487941,1.27701972,0.76839720,0.05962874,0.09226479,0.15651938,2.45957238
-5.92796398,6.26856697,0.91628852,1.12930318,1.28166891,0.76871637,0.05909932,0.09361459,0.15458625,2.45659806
-5.92196098,6.26460582,0.91775097,1.12524135,1.28754366,0.76925389,0.05854487,0.09492574,0.15258863,2.45595064
-5.91595798,6.26579271,0.92027375,1.12261568,1.29492208,0.77004022,0.05796341,0.09617687,0.15055725,2.45761764
-5.90995498,6.27157567,0.92373582,1.12126505,1.30399744,0.77107478,0.05735093,0.09734461,0.14851551,2.46144677
-5.90395198,6.28107823,0.92797136,1.12095238,1.31486961,0.77232928,0.05670169,0.09840446,0.14647957,2.46715460
-5.89794897,6.29314520,0.93277604,1.12137485,1.32754101,0.77375272,0.05600864,0.09933193,0.14445880,2.47434177
-5.89194597,6.30640246,0.93791519,1.12217725,1.34191731,0.77527762,0.05526404,0.10010366,0.14245670,2.48251391
-5.88594297,6.31932762,0.94313348,1.12296746,1.35781277,0.77682716,0.05446016,0.10069864,0.14047211,2.49110708
