energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,2.98320214,0.01769663,0.34289534,0.79872410,0.64299335,0.86229873,0.15146755,1.51704809,0.00000000
-5.99399700,2.84439486,0.01679707,0.31159597,0.75551726,0.59202695,0.84071873,0.14271877,1.47388462,0.00000000
-5.98799400,2.71195963,0.01596353,0.28240085,0.71466873,0.54461149,0.81779972,0.13567165,1.43109340,0.00000000
-5.98199100,2.58781360,0.01521905,0.25539322,0.67668538,0.50095377,0.79417086,0.13048014,1.38981934,0.00000000
-5.97598799,2.47387257,0.01458558,0.23063911,0.64207730,0.46123539,0.77050070,0.12728404,1.35124699,0.00000000
-5.96998499,2.37201357,0.01408351,0.20818691,0.61135016,0.42560883,0.74748186,0.12620789,1.31657508,0.00000000
-5.96398199,2.28403491,0.01373121,0.18806734,0.58499690,0.39419400,0.72581448,0.12735943,1.28698852,0.00000000
-5.95797899,2.21161469,0.01354466,0.17029365,0.56348867,0.36707521,0.70618865,0.13082777,1.26362867,0.00000000
-5.95197599,2.15626868,0.01353707,0.15486210,0.54726530,0.34429901,0.68926656,0.13668119,1.24756260,0.00000000
-5.94597299,2.11930854,0.01371858,0.14175281,0.53672528,0.32587253,0.67566460,0.14496455,1.23975208,0.00000000
-5.93996998,2.10180168,0.01409594,0.13093062,0.53221552,0.31176267,0.66593606,0.15569650,1.24102343,0.00000000
-5.93396698,2.10453389,0.01467231,0.12234622,0.53402095,0.30189603,0.66055489,0.16886655,1.25203896,0.00000000
-5.92796398,2.12797595,0.01544712,0.11593735,0.54235432,0.29615963,0.65990103,0.18443214,1.27327134,0.00000000
-5.92196098,2.17225584,0.01641588,0.11163001,0.55734637,0.29440234,0.66424776,0.20231595,1.30498152,0.00000000
-5.91595798,2.23713751,0.01757021,0.10933979,0.57903679,0.29643721,0.67375155,0.22240364,1.34720151,0.00000000
-5.90995498,2.32200773,0.01889785,0.10897311,0.60736627,0.30204456,0.68844469,0.24454222,1.39972259,0.00000000
-5.90395198,2.42587199,0.02038277,0.11042864,0.64217014,0.31097593,0.70823122,0.26853940,1.46208992,0.00000000
-5.89794897,2.54736042,0.02200543,0.11359875,0.68317390,0.32295888,0.73288616,0.29416391,1.53360397,0.00000000
-5.89194597,2.68474445,0.02374307,0.11837104,0.72999119,0.33770263,0.76205835,0.32114715,1.61332913,0.00000000
