energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,1.94016309,0.61278357,0.35468557,0.00420863,0.09903436,0.38477219,0.30866040,0.00339324,1.18648123
-5.99399700,1.88238611,0.59331025,0.35066620,0.00433388,0.08915744,0.35704648,0.30250461,0.00312357,1.15467712
-5.98799400,1.83117912,0.57617877,0.34754103,0.00444001,0.08014924,0.33181769,0.29718024,0.00289416,1.12666944
-5.98199100,1.78649132,0.56133534,0.34529356,0.00452458,0.07201807,0.30912300,0.29265235,0.00270586,1.10243824
-5.97598799,1.74817407,0.54868832,0.34389836,0.00458549,0.06475594,0.28895400,0.28887483,0.00255924,1.08190875
-5.96998499,1.71601114,0.53811961,0.34332575,0.00462106,0.05834116,0.27126434,0.28579573,0.00245467,1.06496900
-5.96398199,1.68974783,0.52949561,0.34354610,0.00463010,0.05274102,0.25597754,0.28336225,0.00239231,1.05148663
-5.95797899,1.66911724,0.52267761,0.34453358,0.00461190,0.04791434,0.24299449,0.28152525,0.00237218,1.04132402
-5.95197599,1.65386256,0.51753077,0.34626904,0.00456634,0.04381397,0.23220053,0.28024295,0.00239413,1.03435093
-5.94597299,1.64375397,0.51393139,0.34874200,0.00449381,0.04038897,0.22347156,0.27948359,0.00245785,1.03045391
-5.93996998,1.63859967,0.51177222,0.35195145,0.00439527,0.03758645,0.21667915,0.27922709,0.00256283,1.02954217
-5.93396698,1.63825052,0.51096551,0.35590553,0.00427218,0.03535318,0.21169452,0.27946546,0.00270828,1.03154957
-5.92796398,1.64259835,0.51144380,0.36062004,0.00412647,0.03363668,0.20839119,0.28020207,0.00289310,1.03643290
-5.92196098,1.65156827,0.51315858,0.36611593,0.00396050,0.03238611,0.20664656,0.28144984,0.00311578,1.04416650
-5.91595798,1.66510582,0.51607685,0.37241586,0.00377695,0.03155273,0.20634226,0.28322837,0.00337436,1.05473381
-5.90995498,1.68315986,0.52017619,0.37954002,0.00357876,0.03109011,0.20736356,0.28556042,0.00366627,1.06811648
-5.90395198,1.70566249,0.52543837,0.38750155,0.00336906,0.03095412,0.20959800,0.28846777,0.00398838,1.08428177
-5.89794897,1.73250765,0.53184229,0.39630179,0.00315104,0.03110270,0.21293343,0.29196672,0.00433685,1.10316912
-5.89194597,1.76352971,0.53935657,0.40592565,0.00292791,0.03149559,0.21725577,0.29606375,0.00470717,1.12467699
-5.88594297,1.79848376,0.54793244,0.41633754,0.00270278,0.03209390,0.22244661,0.30075137,0.00509415,1.14865079
-5.87993997,1.83702916,0.55749728,0.42747797,0.00247859,0.03285981,0.22838110,0.30600449,0.00549193,1.17487291
-5.87393697,1.87871753,0.56794953,0.43926137,0.00225805,0.03375622,0.23492617,0.31177774,0.00589407,1.20305566
-5.86793397,1.92298643,0.57915504,0.45157497,0.00204361,0.03474653,0.24193935,0.31800374,0.00629367,1.23283773
-5.86193097,1.96915938,0.59094546,0.46427931,0.00183737,0.03579459,0.24926840,0.32459250,0.00668346,1.26378468
-5.85592796,2.01645264,0.60311862,0.47721012,0.00164110,0.03686465,0.25675172,0.33143215,0.00705602,1.29539371
-5.84992496,2.06398884,0.61544114,0.49018172,0.00145619,0.03792163,0.26421976,0.33839097,0.00740391,1.32710264
-5.84392196,2.11081685,0.62765299,0.50299180,0.00128368,0.03893142,0.27149726,0.34532050,0.00771994,1.35830281
-5.83791896,2.15593735,0.63947402,0.51542735,0.00112427,0.03986129,0.27840629,0.35205992,0.00799730,1.38835545
-5.83191596,2.19833260,0.65061201,0.52727152,0.00097831,0.04068047,0.28477010,0.35844117,0.00822986,1.41661066
-5.82591296,2.23699923,0.66077180,0.53831110,0.00084587,0.04136071,0.29041732,0.36429482,0.00841229,1.44242823
-5.81990995,2.27098237,0.66966518,0.54834407,0.00072674,0.04187691,0.29518667,0.36945625,0.00854026,1.46519906
-5.81390695,2.29940911,0.67702090,0.55718710,0.00062051,0.04220774,0.29893154,0.37377192,0.00861060,1.48436626
-5.80790395,2.32151999,0.68259425,0.56468236,0.00052657,0.04233618,0.30152456,0.37710536,0.00862139,1.49944475
-5.80190095,2.33669647,0.68617583,0.57070345,0.00044419,0.04224996,0.30286167,0.37934266,0.00857201,1.51003830
-5.79589795,2.34448323,0.68759899,0.57515996,0.00037251,0.04194193,0.30286560,0.38039711,0.00846320,1.51585323
-5.78989495,2.34460417,0.68674554,0.57800069,0.00031065,0.04141025,0.30148850,0.38021281,0.00829700,1.51670805
-5.78389195,2.33697123,0.68354958,0.57921507,0.00025766,0.04065842,0.29871365,0.37876718,0.00807665,1.51253860
-5.77788894,2.32168583,0.67799914,0.57883298,0.00021260,0.03969517,0.29455611,0.37607205,0.00780652,1.50339843
-5.77188594,2.29903305,0.67013580,0.57692286,0.00017458,0.03853419,0.28906229,0.37217360,0.00749194,1.48945464
-5.76588294,2.26946883,0.66005223,0.57358837,0.00014271,0.03719371,0.28230844,0.36715093,0.00713899,1.47097945
-5.75987994,2.23360126,0.64788790,0.56896364,0.00011619,0.03569593,0.27439824,0.36111355,0.00675434,1.44833798
-5.75387694,2.19216697,0.63382324,0.56320765,0.00009425,0.03406639,0.26545950,0.35419786,0.00634500,1.42197315
-5.74787394,2.14600392,0.61807269,0.55649783,0.00007623,0.03233324,0.25564015,0.34656278,0.00591811,1.39238844
-5.74187094,2.09602220,0.60087688,0.54902340,0.00006151,0.03052648,0.24510385,0.33838486,0.00548074,1.36012951
-5.73586793,2.04317408,0.58249453,0.54097865,0.00004957,0.02867717,0.23402519,0.32985300,0.00503971,1.32576557
-5.72986493,1.98842482,0.56319428,0.53255666,0.00003993,0.02681667,0.22258489,0.32116299,0.00460139,1.28987147
-5.72386193,1.93272547,0.54324708,0.52394356,0.00003219,0.02497595,0.21096510,0.31251219,0.00417159,1.25301121
-5.71785893,1.87698846,0.52291910,0.51531363,0.00002602,0.02318490,0.19934501,0.30409435,0.00375542,1.21572352
-5.71185593,1.82206694,0.50246568,0.50682535,0.00002114,0.02147179,0.18789680,0.29609484,0.00335724,1.17850987
-5.70585293,1.76873800,0.48212637,0.49861851,0.00001730,0.01986276,0.17678218,0.28868633,0.00298061,1.14182535
-5.69984992,1.71769013,0.46212106,0.49081226,0.00001431,0.01838145,0.16614955,0.28202495,0.00262824,1.10607216
-5.69384692,1.66951461,0.44264728,0.48350414,0.00001201,0.01704869,0.15613170,0.27624702,0.00230209,1.07159593
-5.68784392,1.62470061,0.42387857,0.47676990,0.00001027,0.01588231,0.14684416,0.27146630,0.00200333,1.03868429
-5.68184092,1.58363343,0.40596382,0.47066394,0.00000900,0.01489697,0.13838415,0.26777178,0.00173245,1.00756754
-5.67583792,1.54659522,0.38902728,0.46522026,0.00000809,0.01410416,0.13083003,0.26522595,0.00148931,0.97842081
-5.66983492,1.51376786,0.37316932,0.46045367,0.00000750,0.01351214,0.12424117,0.26386356,0.00127324,0.95136744
-5.66383192,1.48523705,0.35846748,0.45636119,0.00000715,0.01312599,0.11865835,0.26369084,0.00108314,0.92648294
-5.65782891,1.46099756,0.34497789,0.45292345,0.00000702,0.01294774,0.11410425,0.26468522,0.00091756,0.90379934
-5.65182591,1.44095903,0.33273675,0.45010608,0.00000706,0.01297642,0.11058444,0.26679555,0.00077480,0.88330955
-5.64582291,1.42495235,0.32176196,0.44786107,0.00000725,0.01320823,0.10808838,0.26994286,0.00065296,0.86497165
-5.63981991,1.41273650,0.31205465,0.44612803,0.00000756,0.01363670,0.10659071,0.27402173,0.00055008,0.84871287
-5.63381691,1.40400597,0.30360076,0.44483560,0.00000797,0.01425286,0.10605266,0.27890233,0.00046414,0.83443349
-5.62781391,1.39839904,0.29637267,0.44390281,0.00000846,0.01504550,0.10642359,0.28443314,0.00039317,0.82201060
-5.62181091,1.39550706,0.29033081,0.44324084,0.00000902,0.01600138,0.10764267,0.29044446,0.00033525,0.81130197
-5.61580790,1.39488493,0.28542543,0.44275493,0.00000964,0.01710555,0.10964073,0.29675262,0.00028857,0.80215011
-5.60980490,1.39606308,0.28159851,0.44234673,0.00001030,0.01834168,0.11234225,0.30316489,0.00025145,0.79438678
-5.60380190,1.39856073,0.27878593,0.44191709,0.00001100,0.01969243,0.11566745,0.30948502,0.00022236,0.78783788
-5.59779890,1.40190055,0.27691974,0.44136916,0.00001172,0.02113985,0.11953451,0.31551927,0.00019992,0.78232898
-5.59179590,1.40562420,0.27593070,0.44061188,0.00001247,0.02266589,0.12386191,0.32108263,0.00018291,0.77769122
-5.58579290,1.40930840,0.27575094,0.43956366,0.00001324,0.02425285,0.12857073,0.32600524,0.00017028,0.77376757
-5.57978989,1.41258080,0.27631661,0.43815614,0.00001403,0.02588383,0.13358692,0.33013842,0.00016111,0.77041914
-5.57378689,1.41513491,0.27757045,0.43633774,0.00001484,0.02754331,0.13884345,0.33336029,0.00015464,0.76753125
-5.56778389,1.41674331,0.27946413,0.43407689,0.00001569,0.02921752,0.14428219,0.33558055,0.00015023,0.76501891
-5.56178089,1.41726813,0.28196017,0.43136462,0.00001657,0.03089489,0.14985548,0.33674416,0.00014738,0.76283127
-5.55577789,1.41666815,0.28503326,0.42821635,0.00001750,0.03256635,0.15552727,0.33683375,0.00014567,0.76095476
