energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.01817433,0.01922717,0.03325555,1.20062457,0.76466288,0.03594191,1.60914812,0.75029667,0.27033135
-5.99399700,2.95113324,0.01789788,0.03184539,1.17910204,0.74983665,0.03448432,1.57450580,0.73705809,0.26467985
-5.98799400,2.87140031,0.01655626,0.03038549,1.15217730,0.73163641,0.03290503,1.53296311,0.72056799,0.25783337
-5.98199100,2.77966546,0.01521923,0.02888185,1.12004132,0.71022901,0.03122479,1.48488354,0.70091743,0.24985054
-5.97598799,2.67686244,0.01390245,0.02734204,1.08300275,0.68584118,0.02946535,1.43076489,0.67826907,0.24081439
-5.96998499,2.56414611,0.01262001,0.02577495,1.04147978,0.65875475,0.02764899,1.37122717,0.65285348,0.23083001
-5.96398199,2.44286294,0.01138417,0.02419055,0.99598828,0.62930011,0.02579795,1.30699659,0.62496286,0.22002157
-5.95797899,2.31451570,0.01020521,0.02259959,0.94712695,0.59784828,0.02393400,1.23888633,0.59494292,0.20852874
-5.95197599,2.18072372,0.00909135,0.02101328,0.89555990,0.56480177,0.02207794,1.16777490,0.56318287,0.19650277
-5.94597299,2.04318046,0.00804876,0.01944300,0.84199761,0.53058453,0.02024922,1.09458281,0.53010423,0.18410215
-5.93996998,1.90360985,0.00708164,0.01790002,0.78717699,0.49563160,0.01846560,1.02024868,0.49614883,0.17148841
-5.93396698,1.76372327,0.00619232,0.01639520,0.73184130,0.46037845,0.01674289,0.94570558,0.46176651,0.15882180
-5.92796398,1.62517861,0.00538146,0.01493873,0.67672081,0.42525088,0.01509473,0.87185852,0.42740305,0.14625735
-5.92196098,1.48954297,0.00464820,0.01353995,0.62251486,0.39065550,0.01353249,0.79956392,0.39348877,0.13394128
-5.91595798,1.35826014,0.00399044,0.01220711,0.56987583,0.35697120,0.01206523,0.72961166,0.36042819,0.12200785
-5.90995498,1.23262380,0.00340505,0.01094733,0.51939565,0.32454209,0.01069969,0.66271022,0.32859115,0.11057691
-5.90395198,1.11375709,0.00288805,0.00976644,0.47159496,0.29367176,0.00944040,0.59947533,0.29830550,0.09975196
-5.89794897,1.00259880,0.00243491,0.00866900,0.42691529,0.26461930,0.00828980,0.54042219,0.26985170,0.08961894
-5.89194597,0.89989619,0.00204066,0.00765830,0.38571416,0.23759695,0.00724843,0.48596128,0.24345909,0.08024566
-5.88594297,0.80620418,0.00170017,0.00673641,0.34826299,0.21276938,0.00631513,0.43639763,0.21930417,0.07168180
-5.87993997,0.72189032,0.00140820,0.00590433,0.31474773,0.19025455,0.00548729,0.39193324,0.19751046,0.06395948
-5.87393697,0.64714486,0.00115963,0.00516211,0.28527172,0.17012592,0.00476110,0.35267220,0.17814989,0.05709429
-5.86793397,0.58199494,0.00094950,0.00450899,0.25986059,0.15241592,0.00413178,0.31862817,0.16124559,0.05108674
-5.86193097,0.52632222,0.00077311,0.00394363,0.23846880,0.13712030,0.00359390,0.28973361,0.14677570,0.04592394
-5.85592796,0.47988274,0.00062608,0.00346428,0.22098723,0.12420322,0.00314151,0.26585025,0.13467801,0.04158149
-5.84992496,0.44232816,0.00050441,0.00306899,0.20725177,0.11360281,0.00276847,0.24678048,0.12485521,0.03802554
-5.84392196,0.41322763,0.00040445,0.00275579,0.19705224,0.10523693,0.00246860,0.23227895,0.11718049,0.03521477
-5.83791896,0.39208933,0.00032295,0.00252288,0.19014156,0.09900892,0.00223584,0.22206416,0.11150326,0.03310240
-5.83191596,0.37838122,0.00025704,0.00236874,0.18624475,0.09481312,0.00206446,0.21582970,0.10765487,0.03163808
-5.82591296,0.37155021,0.00020422,0.00229230,0.18506773,0.09254002,0.00194913,0.21325471,0.10545410,0.03076957
-5.81990995,0.37103956,0.00016230,0.00229301,0.18630547,0.09208084,0.00188506,0.21401346,0.10471243,0.03044436
-5.81390695,0.37630397,0.00012943,0.00237083,0.18964969,0.09333150,0.00186806,0.21778386,0.10523885,0.03061090
-5.80790395,0.38682229,0.00010405,0.00252633,0.19479567,0.09619576,0.00189457,0.22425472,0.10684426,0.03121976
-5.80190095,0.40210754,0.00008482,0.00276056,0.20144842,0.10058770,0.00196175,0.23313176,0.10934532,0.03222446
-5.79589795,0.42171428,0.00007067,0.00307499,0.20932783,0.10643319,0.00206742,0.24414220,0.11256781,0.03358207
-5.78989495,0.44524335,0.00006067,0.00347139,0.21817306,0.11367071,0.00221009,0.25703802,0.11634941,0.03525359
-5.78389195,0.47234385,0.00005410,0.00395168,0.22774589,0.12225120,0.00238892,0.27159791,0.12054192,0.03720415
-5.77788894,0.50271282,0.00005036,0.00451766,0.23783315,0.13213725,0.00260367,0.28762789,0.12501285,0.03940294
-5.77188594,0.53609245,0.00004896,0.00517085,0.24824830,0.14330155,0.00285463,0.30496067,0.12964653,0.04182296
-5.76588294,0.57226543,0.00004951,0.00591220,0.25883200,0.15572470,0.00314252,0.32345403,0.13434461,0.04444070
-5.75987994,0.61104859,0.00005171,0.00674186,0.26945186,0.16939269,0.00346845,0.34298815,0.13902607,0.04723559
-5.75387694,0.65228531,0.00005529,0.00765891,0.28000153,0.18429383,0.00383375,0.36346237,0.14362671,0.05018945
