energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.22623000,1.23826973,0.98934903,0.02808868,0.46340417,0.09837313,2.46216042,1.63286175,0.55357685
-5.99399700,5.29195663,1.26122717,1.02060680,0.02900316,0.47571597,0.10139127,2.48003081,1.62451919,0.56151628
-5.98799400,5.35425809,1.28332153,1.05172003,0.02995317,0.48801000,0.10443397,2.49609715,1.61357083,0.56936739
-5.98199100,5.41261985,1.30441619,1.08244012,0.03092739,0.50014943,0.10745955,2.51028582,1.60036306,0.57697620
-5.97598799,5.46660056,1.32438701,1.11252000,0.03191349,0.51199807,0.11042585,2.52256553,1.58529336,0.58419251
-5.96998499,5.51582870,1.34312157,1.14171664,0.03289817,0.52342215,0.11329086,2.53294187,1.56879853,0.59087245
-5.96398199,5.55999934,1.36051879,1.16979413,0.03386728,0.53429234,0.11601344,2.54145131,1.55134233,0.59688093
-5.95797899,5.59887138,1.37648898,1.19652727,0.03480593,0.54448602,0.11855403,2.54815522,1.53340268,0.60209408
-5.95197599,5.63226576,1.39095449,1.22170572,0.03569880,0.55388971,0.12087530,2.55313406,1.51545906,0.60640149
-5.94597299,5.66006471,1.40385094,1.24513846,0.03653038,0.56240156,0.12294281,2.55648225,1.49798036,0.60970833
-5.93996998,5.68221216,1.41512896,1.26665851,0.03728540,0.56993380,0.12472565,2.55830377,1.48141357,0.61193727
-5.93396698,5.69871512,1.42475643,1.28612758,0.03794917,0.57641500,0.12619698,2.55870874,1.46617340,0.61303016
-5.92796398,5.70964563,1.43272100,1.30344054,0.03850810,0.58179213,0.12733451,2.55781097,1.45263324,0.61294945
-5.92196098,5.71514304,1.43903271,1.31852932,0.03895006,0.58603213,0.12812099,2.55572641,1.44111738,0.61167923
-5.91595798,5.71541595,1.44372648,1.33136622,0.03926490,0.58912303,0.12854446,2.55257246,1.43189464,0.60922595
-5.90995498,5.71074332,1.44686418,1.34196608,0.03944477,0.59107454,0.12859853,2.54846791,1.42517345,0.60561871
-5.90395198,5.70147427,1.44853613,1.35038742,0.03948449,0.59191793,0.12828248,2.54353335,1.42109826,0.60090902
-5.89794897,5.68802601,1.44886174,1.35673218,0.03938180,0.59170527,0.12760128,2.53789162,1.41974743,0.59517015
-5.89194597,5.67087939,1.44798901,1.36114401,0.03913749,0.59050807,0.12656545,2.53166830,1.42113229,0.58849588
-5.88594297,5.65057190,1.44609293,1.36380500,0.03875548,0.58841518,0.12519083,2.52499177,1.42519755,0.58099876
-5.87993997,5.62768772,1.44337250,1.36493095,0.03824272,0.58553022,0.12349821,2.51799259,1.43182285,0.57280779
-5.87393697,5.60284475,1.44004641,1.36476512,0.03760902,0.58196834,0.12151283,2.51080214,1.44082535,0.56406554
-5.86793397,5.57667883,1.43634735,1.36357061,0.03686677,0.57785274,0.11926380,2.50355021,1.45196343,0.55492485
-5.86193097,5.54982520,1.43251517,1.36162158,0.03603052,0.57331070,0.11678333,2.49636153,1.46494126,0.54554496
-5.85592796,5.52289755,1.42878886,1.35919363,0.03511653,0.56846953,0.11410599,2.48935117,1.47941424,0.53608736
-5.84992496,5.49646550,1.42539777,1.35655345,0.03414222,0.56345239,0.11126783,2.48261894,1.49499524,0.52671126
-5.84392196,5.47103081,1.42255220,1.35394826,0.03312559,0.55837421,0.10830545,2.47624294,1.51126148,0.51756897
-5.83791896,5.44700356,1.42043387,1.35159541,0.03208467,0.55333774,0.10525508,2.47027243,1.52776203,0.50880119
-5.83191596,5.42467906,1.41918652,1.34967248,0.03103690,0.54843006,0.10215171,2.46472054,1.54402574,0.50053242
-5.82591296,5.40421670,1.41890717,1.34830844,0.02999861,0.54371937,0.09902821,2.45955706,1.55956960,0.49286671
-5.81990995,5.38562185,1.41963846,1.34757612,0.02898456,0.53925259,0.09591457,2.45470188,1.57390735,0.48588380
-5.81390695,5.36873205,1.42136248,1.34748662,0.02800752,0.53505349,0.09283726,2.45001965,1.58655815,0.47963599
-5.80790395,5.35320858,1.42399658,1.34798592,0.02707798,0.53112172,0.08981873,2.44531601,1.59705545,0.47414571
-5.80190095,5.33853446,1.42739151,1.34895390,0.02620399,0.52743274,0.08687709,2.44033617,1.60495562,0.46940417
-5.79589795,5.32401970,1.43133218,1.35020621,0.02539104,0.52393869,0.08402594,2.43476593,1.60984647,0.46537098
-5.78989495,5.30881443,1.43554130,1.35149895,0.02464216,0.52057020,0.08127449,2.42823579,1.61135547,0.46197498
-5.78389195,5.29193014,1.43968598,1.35253623,0.02395803,0.51723930,0.07862777,2.42032823,1.60915745,0.45911626
-5.77788894,5.27226890,1.44338731,1.35298044,0.02333726,0.51384309,0.07608709,2.41058815,1.60298184,0.45666937
-5.77188594,5.24866006,1.44623262,1.35246501,0.02277677,0.51026838,0.07365067,2.39853650,1.59261910,0.45448761
-5.76588294,5.21990346,1.44779026,1.35060923,0.02227216,0.50639698,0.07131441,2.38368656,1.57792642,0.45240831
-5.75987994,5.18481769,1.44762627,1.34703465,0.02181823,0.50211150,0.06907270,2.36556259,1.55883230,0.45025897
-5.75387694,5.14229165,1.44532248,1.34138228,0.02140946,0.49730146,0.06691940,2.34371997,1.53534001,0.44786388
-5.74787394,5.09133721,1.44049513,1.33333008,0.02104050,0.49186946,0.06484877,2.31776596,1.50752975,0.44505115
-5.74187094,5.03114065,1.43281333,1.32260975,0.02070669,0.48573713,0.06285637,2.28738030,1.47555923,0.44165967
-5.73586793,4.96111032,1.42201645,1.30902221,0.02040442,0.47885056,0.06093984,2.25233436,1.43966264,0.43754585
-5.72986493,4.88091814,1.40792953,1.29245077,0.02013156,0.47118496,0.05909968,2.21250800,1.40014786,0.43258972
-5.72386193,4.79053241,1.39047599,1.27287157,0.01988771,0.46274831,0.05733968,2.16790300,1.35739178,0.42670017
-5.71785893,4.69024005,1.36968675,1.25036043,0.01967433,0.45358373,0.05566729,2.11865229,1.31183370,0.41981906
-5.71185593,4.58065664,1.34570531,1.22509581,0.01949487,0.44377044,0.05409369,2.06502423,1.26396695,0.41192403
-5.70585293,4.46272310,1.31878831,1.19735760,0.01935464,0.43342313,0.05263365,2.00742147,1.21432866,0.40302980
-5.69984992,4.33768869,1.28930136,1.16752153,0.01926067,0.42268985,0.05130515,1.94637423,1.16348803,0.39318801
