energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,8.28545705,0.08995591,0.01955653,0.08849710,0.00000000,0.07337108,0.26747327,0.25241604,7.21256338
-5.99399700,7.86252981,0.09896726,0.02101486,0.09062549,0.00000000,0.07215765,0.27767669,0.27220402,6.76489893
-5.98799400,7.51211998,0.10875090,0.02269446,0.09348438,0.00000000,0.07132756,0.29014677,0.29424651,6.38102511
-5.98199100,7.23243676,0.11925610,0.02457870,0.09704919,0.00000000,0.07089400,0.30479596,0.31839508,6.05941951
-5.97598799,7.02045043,0.13040706,0.02664665,0.10127699,0.00000000,0.07085849,0.32147998,0.34443770,5.79754653
-5.96998499,6.87194812,0.14210244,0.02887289,0.10610605,0.00000000,0.07121020,0.33999684,0.37209805,5.59191486
-5.96398199,6.78161895,0.15421588,0.03122756,0.11145600,0.00000000,0.07192583,0.36008778,0.40103698,5.43815713
-5.95797899,6.74316790,0.16659736,0.03367647,0.11722869,0.00000000,0.07296983,0.38144028,0.43085654,5.33113056
-5.95197599,6.74945640,0.17907568,0.03618150,0.12330981,0.00000000,0.07429522,0.40369309,0.46110634,5.26503688
-5.94597299,6.79266703,0.19146187,0.03870117,0.12957115,0.00000000,0.07584480,0.42644327,0.49129248,5.23355886
-5.93996998,6.86448858,0.20355350,0.04119140,0.13587358,0.00000000,0.07755276,0.44925501,0.52088858,5.23001053
-5.93396698,6.95631669,0.21513983,0.04360644,0.14207046,0.00000000,0.07934673,0.47167013,0.54934885,5.24749720
-5.92796398,7.05946465,0.22600753,0.04589996,0.14801164,0.00000000,0.08114999,0.49321978,0.57612257,5.27908103
-5.92196098,7.16537793,0.23594690,0.04802623,0.15354764,0.00000000,0.08288398,0.51343695,0.60066959,5.31794750
-5.91595798,7.26584587,0.24475819,0.04994137,0.15853409,0.00000000,0.08447081,0.53186950,0.62247623,5.35756765
-5.90995498,7.35320348,0.25225786,0.05160462,0.16283600,0.00000000,0.08583583,0.54809295,0.64107089,5.39185115
-5.90395198,7.42051654,0.25828459,0.05297955,0.16633197,0.00000000,0.08691004,0.56172278,0.65603876,5.41528514
-5.89794897,7.46174349,0.26270450,0.05403518,0.16891792,0.00000000,0.08763230,0.57242556,0.66703499,5.42305427
-5.89194597,7.47186846,0.26541572,0.05474695,0.17051032,0.00000000,0.08795126,0.57992860,0.67379565,5.41113797
-5.88594297,7.44700081,0.26635176,0.05509750,0.17104870,0.00000000,0.08782687,0.58402760,0.67614616,5.37638181
-5.87993997,7.38443776,0.26548375,0.05507720,0.17049744,0.00000000,0.08723151,0.58459216,0.67400662,5.31654054
-5.87393697,7.28268842,0.26282136,0.05468442,0.16884662,0.00000000,0.08615063,0.58156875,0.66739395,5.23029195
-5.86793397,7.14145889,0.25841235,0.05392561,0.16611201,0.00000000,0.08458287,0.57498124,0.65642073,5.11722157
-5.86193097,6.96159992,0.25234085,0.05281494,0.16233422,0.00000000,0.08253976,0.56492888,0.64129071,4.97777951
-5.85592796,6.74502026,0.24472433,0.05137388,0.15757690,0.00000000,0.08004495,0.55158194,0.62229144,4.81321185
-5.84992496,6.49456998,0.23570961,0.04963037,0.15192432,0.00000000,0.07713301,0.53517519,0.59978415,4.62547027
-5.84392196,6.21389953,0.22546788,0.04761794,0.14547825,0.00000000,0.07384798,0.51599967,0.57419157,4.41710392
-5.83791896,5.90730098,0.21418910,0.04537456,0.13835441,0.00000000,0.07024151,0.49439292,0.54598412,4.19113877
-5.83191596,5.57953848,0.20207605,0.04294149,0.13067863,0.00000000,0.06637099,0.47072845,0.51566524,3.95094940
-5.82591296,5.23567504,0.18933818,0.04036201,0.12258280,0.00000000,0.06229752,0.44540456,0.48375634,3.70012885
-5.81990995,4.88090277,0.17618566,0.03768019,0.11420097,0.00000000,0.05808387,0.41883330,0.45078222,3.44236142
-5.81390695,4.52038274,0.16282372,0.03493978,0.10566562,0.00000000,0.05379254,0.39142979,0.41725734,3.18130328
-5.80790395,4.15910019,0.14944762,0.03218306,0.09710423,0.00000000,0.04948403,0.36360246,0.38367359,2.92047483
-5.80190095,3.80173960,0.13623837,0.02945004,0.08863643,0.00000000,0.04521524,0.33574441,0.35048991,2.66316806
-5.79589795,3.45258271,0.12335922,0.02677765,0.08037158,0.00000000,0.04103822,0.30822630,0.31812408,2.41237124
-5.78989495,3.11543169,0.11095323,0.02419924,0.07240710,0.00000000,0.03699916,0.28139089,0.28694686,2.17071223
-5.78389195,2.79355805,0.09914168,0.02174430,0.06482733,0.00000000,0.03313771,0.25554924,0.25727854,1.94042081
-5.77788894,2.48967666,0.08802344,0.01943827,0.05770309,0.00000000,0.02948659,0.23097880,0.22938784,1.72330956
-5.77188594,2.20594354,0.07767525,0.01730267,0.05109178,0.00000000,0.02607154,0.20792311,0.20349292,1.52077198
-5.76588294,1.94397464,0.06815275,0.01535537,0.04503806,0.00000000,0.02291141,0.18659305,0.17976450,1.33379595
-5.75987994,1.70488255,0.05949213,0.01361093,0.03957495,0.00000000,0.02001865,0.16716950,0.15833040,1.16299014
-5.75387694,1.48932740,0.05171230,0.01208120,0.03472525,0.00000000,0.01739982,0.14980706,0.13928149,1.00862062
-5.74787394,1.29757806,0.04481747,0.01077587,0.03050328,0.00000000,0.01505633,0.13463851,0.12267843,0.87065488
-5.74187094,1.12957952,0.03879985,0.00970312,0.02691665,0.00000000,0.01298523,0.12177984,0.10855888,0.74881043
-5.73586793,0.98502271,0.03364242,0.00887029,0.02396812,0.00000000,0.01118004,0.11133532,0.09694473,0.64260523
-5.72986493,0.86341305,0.02932171,0.00828447,0.02165738,0.00000000,0.00963161,0.10340241,0.08784905,0.55140751
-5.72386193,0.76413463,0.02581028,0.00795302,0.01998264,0.00000000,0.00832888,0.09807610,0.08128230,0.47448294
-5.71785893,0.68650719,0.02307895,0.00788404,0.01894193,0.00000000,0.00725966,0.09545239,0.07725756,0.41103730
-5.71185593,0.62983382,0.02109869,0.00808663,0.01853415,0.00000000,0.00641120,0.09563064,0.07579447,0.36025343
-5.70585293,0.59343774,0.01984200,0.00857102,0.01875973,0.00000000,0.00577076,0.09871456,0.07692176,0.32132139
-5.69984992,0.57668709,0.01928395,0.00934854,0.01962082,0.00000000,0.00532597,0.10481160,0.08067807,0.29346155
-5.69384692,0.57900742,0.01940259,0.01043138,0.02112119,0.00000000,0.00506515,0.11403075,0.08711113,0.27594008
-5.68784392,0.59988182,0.02017906,0.01183214,0.02326557,0.00000000,0.00497739,0.12647859,0.09627518,0.26807743
-5.68184092,0.63883947,0.02159711,0.01356322,0.02605875,0.00000000,0.00505263,0.14225365,0.10822673,0.26924996
-5.67583792,0.69543362,0.02364228,0.01563605,0.02950422,0.00000000,0.00528155,0.16143939,0.12301882,0.27888548
-5.66983492,0.76921074,0.02630078,0.01806010,0.03360261,0.00000000,0.00565541,0.18409571,0.14069391,0.29645375
-5.66383192,0.85967263,0.02955798,0.02084182,0.03834981,0.00000000,0.00616582,0.21024971,0.16127575,0.32145284
-5.65782891,0.96623402,0.03339684,0.02398355,0.04373516,0.00000000,0.00680442,0.23988571,0.18476057,0.35339255
-5.65182591,1.08817805,0.03779617,0.02748232,0.04973941,0.00000000,0.00756260,0.27293543,0.21110800,0.39177623
-5.64582291,1.22461256,0.04272889,0.03132873,0.05633295,0.00000000,0.00843114,0.30926852,0.24023217,0.43608221
-5.63981991,1.37442996,0.04816045,0.03550593,0.06347423,0.00000000,0.00939991,0.34868430,0.27199355,0.48574604
-5.63381691,1.53627347,0.05404744,0.03998875,0.07110844,0.00000000,0.01045765,0.39090516,0.30619200,0.54014489
-5.62781391,1.70851242,0.06033649,0.04474312,0.07916672,0.00000000,0.01159168,0.43557229,0.34256153,0.59858509
-5.62181091,1.88922888,0.06696357,0.04972563,0.08756594,0.00000000,0.01278784,0.48224424,0.38076734,0.66029380
-5.61580790,2.07621756,0.07385383,0.05488364,0.09620900,0.00000000,0.01403043,0.53039862,0.42040540,0.72441556
-5.60980490,2.26700027,0.08092188,0.06015559,0.10498594,0.00000000,0.01530225,0.57943749,0.46100496,0.79001433
-5.60380190,2.45885553,0.08807268,0.06547181,0.11377567,0.00000000,0.01658479,0.62869631,0.50203420,0.85608107
-5.59779890,2.64886327,0.09520294,0.07075569,0.12244842,0.00000000,0.01785847,0.67745653,0.54290897,0.92154712
-5.59179590,2.83396367,0.10220313,0.07592533,0.13086884,0.00000000,0.01910299,0.72496160,0.58300456,0.98530280
-5.58579290,3.01102826,0.10895991,0.08089540,0.13889968,0.00000000,0.02029780,0.77043587,0.62167018,1.04622072
-5.57978989,3.17694101,0.11535892,0.08557940,0.14640588,0.00000000,0.02142255,0.81310576,0.65824565,1.10318289
-5.57378689,3.32868592,0.12128796,0.08989215,0.15325898,0.00000000,0.02245767,0.85222246,0.69207983,1.15511048
-5.56778389,3.46343761,0.12664018,0.09375228,0.15934164,0.00000000,0.02338489,0.88708520,0.72254990,1.20099485
-5.56178089,3.57865084,0.13131737,0.09708488,0.16455211,0.00000000,0.02418777,0.91706398,0.74908070,1.23992848
-5.55577789,3.67214465,0.13523307,0.09982392,0.16880841,0.00000000,0.02485226,0.94162092,0.77116342,1.27113419
-5.54977489,3.74217728,0.13831538,0.10191457,0.17205211,0.00000000,0.02536706,0.96032907,0.78837250,1.29399134
-5.54377189,3.78750794,0.14050928,0.10331509,0.17425138,0.00000000,0.02572401,0.97288780,0.80038019,1.30805750
-5.53776888,3.80744253,0.14177851,0.10399839,0.17540342,0.00000000,0.02591832,0.97913409,0.80696796,1.31308460
-5.53176588,3.80186079,0.14210665,0.10395306,0.17553582,0.00000000,0.02594869,0.97904897,0.80803407,1.30902862
-5.52576288,3.77122339,0.14149762,0.10318388,0.17470706,0.00000000,0.02581730,0.97275904,0.80359721,1.29605221
-5.51975988,3.71655872,0.13997536,0.10171171,0.17300593,0.00000000,0.02552969,0.96053273,0.79379569,1.27452022
-5.51375688,3.63942960,0.13758287,0.09957289,0.17054998,0.00000000,0.02509447,0.94277159,0.77888252,1.24498803
-5.50775388,3.54188177,0.13438048,0.09681805,0.16748295,0.00000000,0.02452302,0.91999703,0.75921643,1.20818348
-5.50175088,3.42637628,0.13044368,0.09351046,0.16397135,0.00000000,0.02382899,0.89283312,0.73524935,1.16498298
-5.49574787,3.29570913,0.12586035,0.08972395,0.16020034,0.00000000,0.02302784,0.86198624,0.70751096,1.11638298
-5.48974487,3.15292175,0.12072777,0.08554057,0.15636890,0.00000000,0.02213623,0.82822254,0.67659107,1.06346810
-5.48374187,3.00120619,0.11514938,0.08104800,0.15268459,0.00000000,0.02117150,0.79234425,0.64312063,1.00737727
-5.47773887,2.84380930,0.10923152,0.07633692,0.14935808,0.00000000,0.02015114,0.75516574,0.60775218,0.94926934
-5.47173587,2.68393952,0.10308028,0.07149835,0.14659754,0.00000000,0.01909222,0.71749044,0.57114073,0.89028950
-5.46573287,2.52468013,0.09679860,0.06662113,0.14460305,0.00000000,0.01801098,0.68008942,0.53392562,0.83153789
-5.45972986,2.36891176,0.09048366,0.06178965,0.14356135,0.00000000,0.01692248,0.64368239,0.49671430,0.77404141
-5.45372686,2.21924667,0.08422475,0.05708186,0.14364080,0.00000000,0.01584024,0.60892163,0.46006826,0.71872967
-5.44772386,2.07797656,0.07810158,0.05256759,0.14498697,0.00000000,0.01477613,0.57637944,0.42449183,0.66641569
-5.44172086,1.94703471,0.07218309,0.04830730,0.14771868,0.00000000,0.01374020,0.54653903,0.39042381,0.61778182
-5.43571786,1.82797286,0.06652675,0.04435122,0.15192483,0.00000000,0.01274074,0.51978916,0.35823208,0.57337088
-5.42971486,1.72195232,0.06117836,0.04073893,0.15766181,0.00000000,0.01178427,0.49642228,0.32821117,0.53358250
-5.42371186,1.62974855,0.05617222,0.03749923,0.16495189,0.00000000,0.01087576,0.47663592,0.30058253,0.49867442
-5.41770885,1.55176754,0.05153168,0.03465045,0.17378228,0.00000000,0.01001878,0.46053700,0.27549718,0.46876806
-5.41170585,1.48807272,0.04726995,0.03220103,0.18410508,0.00000000,0.00921574,0.44814878,0.25304037,0.44385807
-5.40570285,1.43842019,0.04339116,0.03015036,0.19583822,0.00000000,0.00846816,0.43941972,0.23323787,0.42382489
-5.39969985,1.40230054,0.03989145,0.02848980,0.20886712,0.00000000,0.00777697,0.43423408,0.21606343,0.40844982
-5.39369685,1.37898538,0.03676025,0.02720389,0.22304735,0.00000000,0.00714274,0.43242368,0.20144698,0.39743177
