energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.29481668,-1.29481667,0.00196832,-0.00196832,0.05821318,-0.05821318,0.66075511,-0.66075510,0.40085597,-0.40085597,0.02955201,-0.02955201,0.65041786,-0.65041786
-5.99399700,1.30910388,-1.30910387,0.00219513,-0.00219513,0.05728613,-0.05728613,0.66997271,-0.66997271,0.40616560,-0.40616560,0.02841723,-0.02841723,0.65980481,-0.65980481
-5.98799400,1.32292379,-1.32292378,0.00246559,-0.00246559,0.05645938,-0.05645938,0.67803241,-0.67803241,0.41176184,-0.41176184,0.02741675,-0.02741675,0.66873063,-0.66873063
-5.98199100,1.33623086,-1.33623085,0.00278107,-0.00278107,0.05573040,-0.05573040,0.68477214,-0.68477214,0.41767242,-0.41767242,0.02657507,-0.02657507,0.67716556,-0.67716556
-5.97598799,1.34900928,-1.34900927,0.00314316,-0.00314316,0.05509561,-0.05509561,0.69006361,-0.69006361,0.42393035,-0.42393035,0.02591289,-0.02591289,0.68509896,-0.68509896
-5.96998499,1.36127903,-1.36127902,0.00355338,-0.00355338,0.05455089,-0.05455089,0.69382005,-0.69382005,0.43057382,-0.43057381,0.02544683,-0.02544683,0.69254237,-0.69254236
-5.96398199,1.37309893,-1.37309893,0.00401305,-0.00401305,0.05409203,-0.05409203,0.69600179,-0.69600179,0.43764529,-0.43764529,0.02518918,-0.02518918,0.69953099,-0.69953099
-5.95797899,1.38456625,-1.38456625,0.00452305,-0.00452305,0.05371502,-0.05371502,0.69661933,-0.69661933,0.44518974,-0.44518974,0.02514777,-0.02514777,0.70612335,-0.70612334
-5.95197599,1.39581258,-1.39581258,0.00508361,-0.00508361,0.05341627,-0.05341627,0.69573371,-0.69573371,0.45325192,-0.45325192,0.02532587,-0.02532586,0.71239899,-0.71239899
-5.94597299,1.40699626,-1.40699626,0.00569408,-0.00569408,0.05319260,-0.05319260,0.69345420,-0.69345420,0.46187284,-0.46187284,0.02572213,-0.02572213,0.71845436,-0.71845435
