energy_ev,total_up,Hg_p_up,Hg_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.64608479,0.15973026,0.22358354,0.06779057,0.00000000,0.00079684,0.04667320,0.03170088,0.19124692
-5.99399700,0.64102199,0.15383962,0.22199335,0.06736903,0.00000000,0.00080826,0.04487099,0.03224262,0.19038502
-5.98799400,0.63395071,0.14763238,0.21965867,0.06757896,0.00000000,0.00081473,0.04298965,0.03261883,0.18888618
-5.98199100,0.62505861,0.14117559,0.21663550,0.06850237,0.00000000,0.00081628,0.04105018,0.03283615,0.18680500
-5.97598799,0.61458137,0.13453711,0.21299624,0.07021032,0.00000000,0.00081311,0.03907354,0.03290726,0.18421302
-5.96998499,0.60280059,0.12778547,0.20882891,0.07276106,0.00000000,0.00080562,0.03708056,0.03285087,0.18119817
-5.96398199,0.59004000,0.12098983,0.20423580,0.07619831,0.00000000,0.00079444,0.03509196,0.03269151,0.17786359
-5.95797899,0.57665982,0.11421979,0.19933150,0.08054980,0.00000000,0.00078041,0.03312824,0.03245909,0.17432580
-5.95197599,0.56304945,0.10754524,0.19424042,0.08582605,0.00000000,0.00076458,0.03120968,0.03218825,0.17071230
-5.94597299,0.54961874,0.10103601,0.18909378,0.09201959,0.00000000,0.00074824,0.02935623,0.03191755,0.16715864
-5.93996998,0.53678806,0.09476149,0.18402632,0.09910449,0.00000000,0.00073292,0.02758739,0.03168844,0.16380506
-5.93396698,0.52497769,0.08879019,0.17917274,0.10703636,0.00000000,0.00072035,0.02592207,0.03154411,0.16079283
-5.92796398,0.51459683,0.08318913,0.17466416,0.11575297,0.00000000,0.00071254,0.02437842,0.03152825,0.15826051
-5.92196098,0.50603289,0.07802338,0.17062459,0.12517531,0.00000000,0.00071173,0.02297370,0.03168373,0.15634011
-5.91595798,0.49964136,0.07335546,0.16716774,0.13520941,0.00000000,0.00072040,0.02172406,0.03205121,0.15515354
-5.90995498,0.49573675,0.06924496,0.16439423,0.14574867,0.00000000,0.00074130,0.02064441,0.03266784,0.15480933
-5.90395198,0.49458517,0.06574820,0.16238925,0.15667697,0.00000000,0.00077742,0.01974831,0.03356597,0.15539987
-5.89794897,0.49639862,0.06291812,0.16122089,0.16787230,0.00000000,0.00083199,0.01904792,0.03477194,0.15699921
-5.89194597,0.50133139,0.06080438,0.16093911,0.17921097,0.00000000,0.00090848,0.01855396,0.03630509,0.15966166
-5.88594297,0.50947871,0.05945373,0.16157535,0.19057229,0.00000000,0.00101056,0.01827585,0.03817685,0.16342107
-5.87993997,0.52087763,0.05891053,0.16314285,0.20184364,0.00000000,0.00114208,0.01822181,0.04039014,0.16829105
-5.87393697,0.53551013,0.05921765,0.16563753,0.21292560,0.00000000,0.00130700,0.01839912,0.04293891,0.17426593
-5.86793397,0.55330821,0.06041753,0.16903943,0.22373725,0.00000000,0.00150936,0.01881447,0.04580803,0.18132256
-5.86193097,0.57416081,0.06255338,0.17331452,0.23422118,0.00000000,0.00175315,0.01947430,0.04897336,0.18942287
-5.85592796,0.59792218,0.06567059,0.17841691,0.24434813,0.00000000,0.00204227,0.02038531,0.05240219,0.19851706
-5.84992496,0.62442131,0.06981806,0.18429119,0.25412102,0.00000000,0.00238037,0.02155487,0.05605383,0.20854725
-5.84392196,0.65347197,0.07504955,0.19087482,0.26357821,0.00000000,0.00277074,0.02299158,0.05988060,0.21945153
