energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.01182212,0.35105607,0.00000000,0.49213530,1.04492714,0.70999113,0.00000000
-5.99399700,1.99812503,0.35839067,0.00000000,0.49062257,1.05803017,0.69737725,0.00000000
-5.98799400,1.98148755,0.36626162,0.00000000,0.48902115,1.07086193,0.68214336,0.00000000
-5.98199100,1.96210736,0.37451548,0.00000000,0.48731637,1.08320745,0.66457078,0.00000000
-5.97598799,1.94022951,0.38297713,0.00000000,0.48549230,1.09483950,0.64500134,0.00000000
-5.96998499,1.91613259,0.39145285,0.00000000,0.48353092,1.10551949,0.62382587,0.00000000
-5.96398199,1.89011491,0.39973424,0.00000000,0.48141165,1.11499946,0.60147146,0.00000000
-5.95797899,1.86248161,0.40760303,0.00000000,0.47911143,1.12302505,0.57838801,0.00000000
-5.95197599,1.83353297,0.41483645,0.00000000,0.47660508,1.12933970,0.55503453,0.00000000
-5.94597299,1.80355465,0.42121311,0.00000000,0.47386612,1.13368990,0.53186573,0.00000000
-5.93996998,1.77281017,0.42651916,0.00000000,0.47086785,1.13583143,0.50931939,0.00000000
-5.93396698,1.74153560,0.43055449,0.00000000,0.46758471,1.13553633,0.48780483,0.00000000
-5.92796398,1.70993686,0.43313872,0.00000000,0.46399365,1.13260038,0.46769295,0.00000000
-5.92196098,1.67818908,0.43411683,0.00000000,0.46007562,1.12685073,0.44930791,0.00000000
-5.91595798,1.64643812,0.43336405,0.00000000,0.45581684,1.11815328,0.43292079,0.00000000
-5.90995498,1.61480357,0.43078999,0.00000000,0.45120992,1.10641939,0.41874518,0.00000000
-5.90395198,1.58338295,0.42634163,0.00000000,0.44625457,1.09161159,0.40693479,0.00000000
-5.89794897,1.55225653,0.42000522,0.00000000,0.44095800,1.07374780,0.39758281,0.00000000
-5.89194597,1.52149214,0.41180687,0.00000000,0.43533480,1.05290388,0.39072313,0.00000000
-5.88594297,1.49114977,0.40181189,0.00000000,0.42940642,1.02921413,0.38633293,0.00000000
-5.87993997,1.46128522,0.39012275,0.00000000,0.42320015,1.00286976,0.38433667,0.00000000
-5.87393697,1.43195276,0.37687599,0.00000000,0.41674782,0.97411511,0.38461101,0.00000000
-5.86793397,1.40320645,0.36223796,0.00000000,0.41008412,0.94324197,0.38699052,0.00000000
-5.86193097,1.37510016,0.34639969,0.00000000,0.40324487,0.91058188,0.39127394,0.00000000
-5.85592796,1.34768627,0.32957113,0.00000000,0.39626512,0.87649700,0.39723067,0.00000000
-5.84992496,1.32101329,0.31197492,0.00000000,0.38917751,0.84136975,0.40460737,0.00000000
-5.84392196,1.29512268,0.29384006,0.00000000,0.38201075,0.80559182,0.41313442,0.00000000
-5.83791896,1.27004517,0.27539559,0.00000000,0.37478857,0.76955286,0.42253218,0.00000000
-5.83191596,1.24579692,0.25686467,0.00000000,0.36752903,0.73362950,0.43251683,0.00000000
-5.82591296,1.22237608,0.23845919,0.00000000,0.36024447,0.69817510,0.44280588,0.00000000
-5.81990995,1.19975990,0.22037514,0.00000000,0.35294191,0.66351072,0.45312306,0.00000000
-5.81390695,1.17790283,0.20278881,0.00000000,0.34562409,0.62991754,0.46320281,0.00000000
-5.80790395,1.15673590,0.18585406,0.00000000,0.33829094,0.59763122,0.47279422,0.00000000
