energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.96057458,1.04120857,3.12701263,0.00631554,0.40401208,0.04028554,0.66327601,0.84362270,0.34342225
-5.99399700,4.89774268,1.02712857,3.07605421,0.00645892,0.40892105,0.04023891,0.64664319,0.85078342,0.34396913
-5.98799400,4.82509334,1.01102071,3.01936324,0.00656593,0.41281208,0.04004430,0.62876579,0.85647588,0.34372186
-5.98199100,4.74374636,0.99316810,2.95767571,0.00663487,0.41571760,0.03970710,0.60985850,0.86084108,0.34274701
-5.97598799,4.65496939,0.97388983,2.89181654,0.00666481,0.41768711,0.03923549,0.59015012,0.86405855,0.34112022
-5.96998499,4.56015850,0.95353326,2.82269107,0.00665568,0.41878519,0.03864012,0.56988008,0.86634105,0.33892391
-5.96398199,4.46081422,0.93246543,2.75127329,0.00660816,0.41908900,0.03793377,0.54929460,0.86792767,0.33624494
-5.95797899,4.35851315,0.91106389,2.67859077,0.00652375,0.41868550,0.03713091,0.52864253,0.86907525,0.33317235
-5.95197599,4.25487554,0.88970708,2.60570622,0.00640464,0.41766824,0.03624726,0.50817092,0.87004862,0.32979512
-5.94597299,4.15152958,0.86876462,2.53369597,0.00625366,0.41613420,0.03529923,0.48812042,0.87110984,0.32620015
-5.93996998,4.05007358,0.84858780,2.46362605,0.00607416,0.41418049,0.03430343,0.46872058,0.87250708,0.32247047
-5.93396698,3.95203699,0.82950052,2.39652654,0.00586990,0.41190124,0.03327614,0.45018525,0.87446343,0.31868367
-5.92796398,3.85884221,0.81179113,2.33336533,0.00564492,0.40938477,0.03223283,0.43270809,0.87716641,0.31491072
-5.92196098,3.77176843,0.79570528,2.27502232,0.00540343,0.40671116,0.03118773,0.41645853,0.88075848,0.31121517
-5.91595798,3.69191941,0.78144031,2.22226540,0.00514964,0.40395040,0.03015348,0.40157817,0.88532935,0.30765259
-5.90995498,3.62019668,0.76914111,2.17572939,0.00488766,0.40116103,0.02914080,0.38817793,0.89091025,0.30427055
-5.90395198,3.55727944,0.75889797,2.13589912,0.00462142,0.39838959,0.02815837,0.37633595,0.89747075,0.30110883
-5.89794897,3.50361252,0.75074617,2.10309750,0.00435453,0.39567057,0.02721266,0.36609645,0.90491826,0.29820002
-5.89194597,3.45940274,0.74466766,2.07747956,0.00409022,0.39302718,0.02630798,0.35746965,0.91310036,0.29557040
-5.88594297,3.42462420,0.74059451,2.05903253,0.00383133,0.39047251,0.02544656,0.35043261,0.92180991,0.29324094
-5.87993997,3.39903217,0.73841417,2.04758232,0.00358023,0.38801130,0.02462871,0.34493129,0.93079281,0.29122853
-5.87393697,3.38218485,0.73797612,2.04280605,0.00333881,0.38564197,0.02385306,0.34088340,0.93975803,0.28954713
-5.86793397,3.37347188,0.73909986,2.04424992,0.00310852,0.38335879,0.02311688,0.33818218,0.94838948,0.28820893
-5.86193097,3.37214810,0.74158356,2.05135155,0.00289040,0.38115418,0.02241642,0.33670093,0.95635917,0.28722528
-5.85592796,3.37737056,0.74521319,2.06346569,0.00268508,0.37902068,0.02174721,0.33629796,0.96334112,0.28660732
-5.84992496,3.38823698,0.74977162,2.07989173,0.00249285,0.37695268,0.02110448,0.33682184,0.96902513,0.28636636
-5.84392196,3.40382337,0.75504717,2.09990172,0.00231372,0.37494772,0.02048346,0.33811676,0.97312999,0.28651373
-5.83791896,3.42321888,0.76084137,2.12276727,0.00214747,0.37300714,0.01987971,0.34002758,0.97541531,0.28706027
-5.83191596,3.44555611,0.76697534,2.14778410,0.00199372,0.37113615,0.01928933,0.34240455,0.97569150,0.28801529
-5.82591296,3.47003520,0.77329471,2.17429278,0.00185196,0.36934322,0.01870923,0.34510741,0.97382727,0.28938521
-5.81990995,3.49594088,0.77967260,2.20169493,0.00172162,0.36763895,0.01813722,0.34800859,0.96975449,0.29117177
-5.81390695,3.52265154,0.78601085,2.22946406,0.00160208,0.36603426,0.01757212,0.35099561,0.96347002,0.29337003
-5.80790395,3.54964056,0.79223920,2.25715071,0.00149275,0.36453837,0.01701372,0.35397246,0.95503456,0.29596621
-5.80190095,3.57646999,0.79831264,2.28438207,0.00139304,0.36315639,0.01646279,0.35685997,0.94456855,0.29893567
-5.79589795,3.60277776,0.80420719,2.31085626,0.00130241,0.36188692,0.01592094,0.35959523,0.93224541,0.30224093
-5.78989495,3.62825956,0.80991425,2.33633222,0.00122037,0.36071988,0.01539047,0.36213021,0.91828254,0.30583021
-5.78389195,3.65264717,0.81543403,2.36061597,0.00114644,0.35963460,0.01487423,0.36442959,0.90293047,0.30963639
