energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.22394872,0.38343727,0.00000000,0.00090251,0.14857349,0.48019386,0.00000000,0.42819812,0.50149022
-5.99399700,1.20692724,0.37879978,0.00000000,0.00090516,0.14462753,0.47195701,0.00000000,0.42967336,0.49697661
-5.98799400,1.18731582,0.37382697,0.00000000,0.00091940,0.14056464,0.46304738,0.00000000,0.43102754,0.49093077
-5.98199100,1.16573953,0.36884788,0.00000000,0.00094779,0.13650609,0.45379904,0.00000000,0.43249613,0.48349414
-5.97598799,1.14284278,0.36419165,0.00000000,0.00099299,0.13257190,0.44454841,0.00000000,0.43431187,0.47482408
-5.96998499,1.11927169,0.36017648,0.00000000,0.00105765,0.12887699,0.43562489,0.00000000,0.43669671,0.46509050
-5.96398199,1.09565671,0.35709892,0.00000000,0.00114442,0.12552777,0.42734172,0.00000000,0.43985371,0.45447204
-5.95797899,1.07259569,0.35522374,0.00000000,0.00125587,0.12261885,0.41998735,0.00000000,0.44395918,0.44315201
-5.95197599,1.05063790,0.35477497,0.00000000,0.00139442,0.12023040,0.41381744,0.00000000,0.44915535,0.43131411
-5.94597299,1.03026942,0.35592809,0.00000000,0.00156227,0.11842583,0.40904787,0.00000000,0.45554385,0.41913804
-5.93996998,1.01190026,0.35880389,0.00000000,0.00176131,0.11725015,0.40584871,0.00000000,0.46318022,0.40679514
-5.93396698,0.99585361,0.36346411,0.00000000,0.00199307,0.11672884,0.40433946,0.00000000,0.47206976,0.39444419
-5.92796398,0.98235764,0.36990890,0.00000000,0.00225854,0.11686735,0.40458573,0.00000000,0.48216492,0.38222752
-5.92196098,0.97153998,0.37807637,0.00000000,0.00255818,0.11765118,0.40659733,0.00000000,0.49336445,0.37026772
-5.91595798,0.96342539,0.38784408,0.00000000,0.00289175,0.11904662,0.41032794,0.00000000,0.50551436,0.35866489
-5.90995498,0.95793654,0.39903253,0.00000000,0.00325825,0.12100198,0.41567642,0.00000000,0.51841084,0.34749481
-5.90395198,0.95489818,0.41141055,0.00000000,0.00365585,0.12344941,0.42248972,0.00000000,0.53180508,0.33680794
-5.89794897,0.95404455,0.42470235,0.00000000,0.00408183,0.12630713,0.43056745,0.00000000,0.54540995,0.32662948
-5.89194597,0.95502998,0.43859608,0.00000000,0.00453254,0.12948217,0.43966788,0.00000000,0.55890825,0.31696039
-5.88594297,0.95744236,0.45275374,0.00000000,0.00500340,0.13287336,0.44951547,0.00000000,0.57196251,0.30777944
-5.87993997,0.96081923,0.46682194,0.00000000,0.00548896,0.13637470,0.45980957,0.00000000,0.58422573,0.29904616
-5.87393697,0.96466584,0.48044340,0.00000000,0.00598291,0.13987881,0.47023420,0.00000000,0.59535303,0.29070451
-5.86793397,0.96847482,0.49326874,0.00000000,0.00647822,0.14328053,0.48046864,0.00000000,0.60501346,0.28268732
-5.86193097,0.97174666,0.50496824,0.00000000,0.00696725,0.14648053,0.49019854,0.00000000,0.61290185,0.27492097
-5.85592796,0.97401036,0.51524322,0.00000000,0.00744196,0.14938876,0.49912712,0.00000000,0.61874999,0.26733038
-5.84992496,0.97484355,0.52383667,0.00000000,0.00789407,0.15192775,0.50698631,0.00000000,0.62233694,0.25984395
-5.84392196,0.97389128,0.53054278,0.00000000,0.00831530,0.15403557,0.51354732,0.00000000,0.62349794,0.25239824
-5.83791896,0.97088293,0.53521517,0.00000000,0.00869762,0.15566842,0.51863029,0.00000000,0.62213166,0.24494220
-5.83191596,0.96564636,0.53777336,0.00000000,0.00903346,0.15680266,0.52211269,0.00000000,0.61820544,0.23744075
-5.82591296,0.95811895,0.53820742,0.00000000,0.00931600,0.15743636,0.52393612,0.00000000,0.61175841,0.22987759
-5.81990995,0.94835495,0.53658048,0.00000000,0.00953936,0.15759010,0.52411122,0.00000000,0.60290228,0.22225708
-5.81390695,0.93652877,0.53302905,0.00000000,0.00969877,0.15730716,0.52272036,0.00000000,0.59181982,0.21460518
-5.80790395,0.92293400,0.52776101,0.00000000,0.00979082,0.15665289,0.51991802,0.00000000,0.57876102,0.20696942
-5.80190095,0.90797803,0.52105130,0.00000000,0.00981349,0.15571333,0.51592860,0.00000000,0.56403707,0.19941781
-5.79589795,0.89217236,0.51323531,0.00000000,0.00976627,0.15459307,0.51104173,0.00000000,0.54801230,0.19203694
-5.78989495,0.87611870,0.50470015,0.00000000,0.00965016,0.15341236,0.50560498,0.00000000,0.53109440,0.18492915
-5.78389195,0.86049130,0.49587393,0.00000000,0.00946765,0.15230354,0.50001420,0.00000000,0.51372304,0.17820904
-5.77788894,0.84601575,0.48721327,0.00000000,0.00922261,0.15140678,0.49470166,0.00000000,0.49635749,0.17199934
-5.77188594,0.83344517,0.47918948,0.00000000,0.00892018,0.15086541,0.49012222,0.00000000,0.47946327,0.16642640
-5.76588294,0.82353415,0.47227363,0.00000000,0.00856659,0.15082076,0.48673809,0.00000000,0.46349850,0.16161538
-5.75987994,0.81701152,0.46692105,0.00000000,0.00816894,0.15140680,0.48500248,0.00000000,0.44890021,0.15768539
-5.75387694,0.81455274,0.46355567,0.00000000,0.00773499,0.15274474,0.48534274,0.00000000,0.43607097,0.15474465
-5.74787394,0.81675281,0.46255473,0.00000000,0.00727288,0.15493767,0.48814369,0.00000000,0.42536634,0.15288599
-5.74187094,0.82410097,0.46423444,0.00000000,0.00679096,0.15806568,0.49373159,0.00000000,0.41708356,0.15218274
-5.73586793,0.83695790,0.46883700,0.00000000,0.00629749,0.16218132,0.50235956,0.00000000,0.41145163,0.15268527
-5.72986493,0.85553660,0.47651966,0.00000000,0.00580046,0.16730595,0.51419501,0.00000000,0.40862342,0.15441827
-5.72386193,0.87988793,0.48734624,0.00000000,0.00530739,0.17342695,0.52930972,0.00000000,0.40866990,0.15737886
-5.71785893,0.90989135,0.50128148,0.00000000,0.00482518,0.18049607,0.54767308,0.00000000,0.41157683,0.16153587
-5.71185593,0.94525192,0.51818876,0.00000000,0.00436002,0.18842891,0.56914897,0.00000000,0.41724407,0.16683001
-5.70585293,0.98550366,0.53783123,0.00000000,0.00391725,0.19710585,0.59349657,0.00000000,0.42548769,0.17317533
-5.69984992,1.03001968,0.55987664,0.00000000,0.00350137,0.20637430,0.62037532,0.00000000,0.43604480,0.18046172
-5.69384692,1.07802904,0.58390583,0.00000000,0.00311603,0.21605227,0.64935402,0.00000000,0.44858120,0.18855860
-5.68784392,1.12863993,0.60942468,0.00000000,0.00276403,0.22593329,0.67992378,0.00000000,0.46270152,0.19731951
-5.68184092,1.18086855,0.63587925,0.00000000,0.00244737,0.23579245,0.71151472,0.00000000,0.47796171,0.20658773
