energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,1.83128303,1.08867465,0.59555986,0.02541548,0.00255927,0.02241540,1.27178575
-5.99399700,1.74006382,1.03069517,0.56926333,0.02334782,0.00246478,0.02083956,1.20517881
-5.98799400,1.64666570,0.97299877,0.54163700,0.02136425,0.00236213,0.01931747,1.13755868
-5.98199100,1.55221795,0.91632231,0.51304926,0.01947972,0.00225283,0.01786638,1.06972703
-5.97598799,1.45786346,0.86139499,0.48388288,0.01770694,0.00213852,0.01650182,1.00248393
-5.96998499,1.36474037,0.80892883,0.45452826,0.01605648,0.00202094,0.01523746,0.93661595
-5.96398199,1.27396332,0.75960871,0.42537640,0.01453684,0.00190189,0.01408514,0.87288422
-5.95797899,1.18660461,0.71408195,0.39681188,0.01315458,0.00178319,0.01305477,0.81201254
-5.95197599,1.10367570,0.67294761,0.36920584,0.01191453,0.00166662,0.01215435,0.75467587
-5.94597299,1.02610938,0.63674567,0.34290922,0.01081994,0.00155391,0.01138999,0.70148923
-5.93996998,0.95474323,0.60594624,0.31824644,0.00987269,0.00144668,0.01076585,0.65299745
-5.93396698,0.89030444,0.58093916,0.29550962,0.00907348,0.00134640,0.01028423,0.60966578
-5.92796398,0.83339675,0.56202419,0.27495346,0.00842195,0.00125439,0.00994549,0.57187176
-5.92196098,0.78448954,0.54940224,0.25679100,0.00791688,0.00117174,0.00974806,0.53989842
-5.91595798,0.74390954,0.54316789,0.24119014,0.00755624,0.00109935,0.00968843,0.51392910
-5.90995498,0.71183528,0.54330373,0.22827119,0.00733733,0.00103789,0.00976114,0.49404393
-5.90395198,0.68829458,0.54967662,0.21810534,0.00725678,0.00098779,0.00995880,0.48021823
-5.89794897,0.67316503,0.56203656,0.21071413,0.00731064,0.00094922,0.01027208,0.47232292
-5.89194597,0.66617770,0.58001809,0.20606987,0.00749438,0.00092216,0.01068980,0.47012688
-5.88594297,0.66692391,0.60314476,0.20409707,0.00780294,0.00090631,0.01119898,0.47330157
-5.87993997,0.67486516,0.63083662,0.20467483,0.00823067,0.00090122,0.01178502,0.48142766
-5.87393697,0.68934590,0.66242082,0.20764000,0.00877143,0.00090621,0.01243186,0.49400379
