energy_ev,total_up,total_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.31253327,-1.53501601,0.25609488,-0.36149496,0.00000000,-0.00000000,0.00089138,-0.00231693,0.26817690,-0.26814408,0.60592607,-0.81825019,0.49058421,-0.42123918,0.00792815,-0.01355334,0.45477777,-0.61449923
-5.99399700,1.27256746,-1.48257216,0.24289049,-0.34252800,0.00000000,-0.00000000,0.00073072,-0.00194627,0.26420127,-0.26477528,0.57048961,-0.77950697,0.49634528,-0.42636967,0.00712788,-0.01231888,0.43206139,-0.58311309
-5.98799400,1.23781936,-1.43249791,0.23137338,-0.32466789,0.00000000,-0.00000000,0.00059730,-0.00162639,0.26074279,-0.26120285,0.53776998,-0.74074807,0.50291781,-0.43182293,0.00640545,-0.01118370,0.41203309,-0.55343292
-5.98199100,1.20883689,-1.38526846,0.22161064,-0.30804476,0.00000000,-0.00000000,0.00048725,-0.00135244,0.25796359,-0.25751737,0.50816505,-0.70250374,0.51050735,-0.43760805,0.00575670,-0.01014232,0.39482996,-0.52567090
-5.97598799,1.18608165,-1.34135555,0.21363659,-0.29277855,0.00000000,-0.00000000,0.00039709,-0.00111957,0.25601817,-0.25381855,0.48199126,-0.66529627,0.51932285,-0.44374751,0.00517766,-0.00918941,0.38053958,-0.50002413
-5.96998499,1.16990920,-1.30121550,0.20744980,-0.27897445,0.00000000,-0.00000000,0.00032371,-0.00092305,0.25504842,-0.25021358,0.45947550,-0.62962479,0.52956702,-0.45027892,0.00466445,-0.00831992,0.36919476,-0.47666801
-5.96398199,1.16055176,-1.26527630,0.20301127,-0.26671795,0.00000000,-0.00000000,0.00026436,-0.00075836,0.25517854,-0.24681538,0.44074998,-0.59595041,0.54142581,-0.45725621,0.00421327,-0.00752912,0.36076988,-0.45574939
-5.95797899,1.15810390,-1.23392437,0.20024400,-0.25607022,0.00000000,-0.00000000,0.00021668,-0.00062128,0.25651020,-0.24374058,0.42585024,-0.56468247,0.55505751,-0.46475001,0.00382027,-0.00681257,0.35517932,-0.43737984
-5.95197599,1.16251202,-1.20749185,0.19903394,-0.24706392,0.00000000,-0.00000000,0.00017862,-0.00050794,0.25911803,-0.24110735,0.41471617,-0.53616653,0.57058190,-0.47284714,0.00348160,-0.00616613,0.35227776,-0.42162970
-5.94597299,1.17356819,-1.18624481,0.19923230,-0.23969976,0.00000000,-0.00000000,0.00014845,-0.00041480,0.26304572,-0.23903303,0.40719607,-0.51067447,0.58807010,-0.48164908,0.00319330,-0.00558587,0.35186275,-0.40852310
-5.93996998,1.19090882,-1.17037290,0.20065928,-0.23394424,0.00000000,-0.00000000,0.00012471,-0.00033875,0.26830294,-0.23763163,0.40305349,-0.48839723,0.60753572,-0.49126934,0.00295138,-0.00506800,0.35367923,-0.39803449
-5.93396698,1.21401857,-1.15998092,0.20310897,-0.22972857,0.00000000,-0.00000000,0.00010617,-0.00027700,0.27486314,-0.23701109,0.40197655,-0.46944036,0.62892789,-0.50182959,0.00275178,-0.00460882,0.35742603,-0.39008680
-5.92796398,1.24223959,-1.15508252,0.20635534,-0.22694901,0.00000000,-0.00000000,0.00009184,-0.00022716,0.28266260,-0.23727043,0.40358940,-0.45382265,0.65212674,-0.51345467,0.00259043,-0.00420461,0.36276407,-0.38455152
