energy_ev,total_up,Hf_p_up,Hf_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,1.03301379,0.66289069,0.24168929,0.10830273,0.00025447,0.63190910,0.00000000
-5.99399700,1.02818974,0.67265584,0.23954312,0.10509113,0.00024107,0.63368152,0.00000000
-5.98799400,1.02190946,0.68018546,0.23732681,0.10236571,0.00022758,0.63371489,0.00000000
-5.98199100,1.01447028,0.68555711,0.23513178,0.10021186,0.00021421,0.63208304,0.00000000
-5.97598799,1.00618874,0.68889054,0.23304645,0.09870688,0.00020118,0.62888778,0.00000000
-5.96998499,0.99739067,0.69034199,0.23115396,0.09791778,0.00018868,0.62425470,0.00000000
-5.96398199,0.98840085,0.69009718,0.22953010,0.09789938,0.00017690,0.61832811,0.00000000
-5.95797899,0.97953240,0.68836320,0.22824131,0.09869260,0.00016600,0.61126557,0.00000000
-5.95197599,0.97107636,0.68535976,0.22734292,0.10032297,0.00015612,0.60323207,0.00000000
-5.94597299,0.96329174,0.68131004,0.22687751,0.10279949,0.00014736,0.59439422,0.00000000
-5.93996998,0.95639631,0.67643166,0.22687361,0.10611368,0.00013981,0.58491460,0.00000000
-5.93396698,0.95055860,0.67092821,0.22734455,0.11023909,0.00013352,0.57494661,0.00000000
-5.92796398,0.94589142,0.66498160,0.22828773,0.11513107,0.00012852,0.56462990,0.00000000
-5.92196098,0.94244712,0.65874565,0.22968425,0.12072696,0.00012481,0.55408678,0.00000000
-5.91595798,0.94021510,0.65234124,0.23149885,0.12694672,0.00012234,0.54341953,0.00000000
-5.90995498,0.93912155,0.64585323,0.23368051,0.13369403,0.00012106,0.53270895,0.00000000
-5.90395198,0.93903176,0.63932917,0.23616341,0.14085786,0.00012087,0.52201406,0.00000000
-5.89794897,0.93975500,0.63278005,0.23886851,0.14831455,0.00012168,0.51137300,0.00000000
-5.89194597,0.94105197,0.62618292,0.24170570,0.15593039,0.00012335,0.50080513,0.00000000
-5.88594297,0.94264463,0.61948531,0.24457648,0.16356470,0.00012574,0.49031423,0.00000000
-5.87993997,0.94422833,0.61261124,0.24737718,0.17107333,0.00012869,0.47989256,0.00000000
-5.87393697,0.94548560,0.60546854,0.25000262,0.17831255,0.00013205,0.46952573,0.00000000
-5.86793397,0.94610145,0.59795720,0.25235010,0.18514316,0.00013565,0.45919807,0.00000000
-5.86193097,0.94577941,0.58997833,0.25432370,0.19143484,0.00013932,0.44889833,0.00000000
-5.85592796,0.94425770,0.58144331,0.25583854,0.19707039,0.00014292,0.43862525,0.00000000
-5.84992496,0.94132492,0.57228277,0.25682498,0.20194991,0.00014631,0.42839303,0.00000000
-5.84392196,0.93683445,0.56245494,0.25723249,0.20599455,0.00014937,0.41823615,0.00000000
-5.83791896,0.93071692,0.55195301,0.25703309,0.20914988,0.00015199,0.40821339,0.00000000
-5.83191596,0.92299001,0.54081111,0.25622394,0.21138846,0.00015409,0.39841080,0.00000000
-5.82591296,0.91376513,0.52910869,0.25482926,0.21271168,0.00015563,0.38894348,0.00000000
-5.81990995,0.90325032,0.51697294,0.25290104,0.21315066,0.00015659,0.37995588,0.00000000
-5.81390695,0.89174925,0.50457925,0.25051882,0.21276609,0.00015696,0.37162065,0.00000000
-5.80790395,0.87965597,0.49214955,0.24778815,0.21164713,0.00015679,0.36413587,0.00000000
-5.80190095,0.86744562,0.47994860,0.24483798,0.20990911,0.00015613,0.35772085,0.00000000
-5.79589795,0.85566124,0.46827826,0.24181691,0.20769044,0.00015506,0.35261040,0.00000000
-5.78989495,0.84489699,0.45747015,0.23888844,0.20514848,0.00015370,0.34904794,0.00000000
-5.78389195,0.83577862,0.44787665,0.23622539,0.20245480,0.00015217,0.34727749,0.00000000
-5.77788894,0.82894172,0.43986093,0.23400371,0.19978985,0.00015060,0.34753494,0.00000000
-5.77188594,0.82500868,0.43378609,0.23239598,0.19733730,0.00014912,0.35003895,0.00000000
-5.76588294,0.82456534,0.43000400,0.23156479,0.19527830,0.00014789,0.35498170,0.00000000
-5.75987994,0.82813830,0.42884422,0.23165631,0.19378586,0.00014705,0.36252014,0.00000000
-5.75387694,0.83617386,0.43060335,0.23279446,0.19301952,0.00014671,0.37276778,0.00000000
-5.74787394,0.84901941,0.43553528,0.23507578,0.19312066,0.00014701,0.38578778,0.00000000
-5.74187094,0.86690828,0.44384255,0.23856531,0.19420845,0.00014804,0.40158735,0.00000000
-5.73586793,0.88994851,0.45566921,0.24329368,0.19637666,0.00014988,0.42011390,0.00000000
-5.72986493,0.91811605,0.47109536,0.24925558,0.19969142,0.00015260,0.44125315,0.00000000
-5.72386193,0.95125278,0.49013336,0.25640959,0.20418989,0.00015623,0.46482926,0.00000000
-5.71785893,0.98906930,0.51272605,0.26467939,0.20988001,0.00016079,0.49060709,0.00000000
-5.71185593,1.03115237,0.53874660,0.27395644,0.21674109,0.00016627,0.51829649,0.00000000
-5.70585293,1.07697661,0.56800034,0.28410382,0.22472524,0.00017265,0.54755854,0.00000000
-5.69984992,1.12592007,0.60022803,0.29496112,0.23375961,0.00017988,0.57801339,0.00000000
-5.69384692,1.17728281,0.63511072,0.30635026,0.24374917,0.00018792,0.60924960,0.00000000
-5.68784392,1.23030782,0.67227587,0.31808185,0.25457998,0.00019669,0.64083441,0.00000000
