energy_ev,total_up,Ge_p_up,Ge_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,4.44386176,0.17142741,0.00000000,2.37873412,2.30021655,0.02928098,2.93779165
-5.99399700,4.34686212,0.17531040,0.00000000,2.36034476,2.21171416,0.02931281,2.86484448
-5.98799400,4.25387107,0.17942358,0.00000000,2.34460974,2.12442378,0.02928374,2.79434439
-5.98199100,4.16522263,0.18374746,0.00000000,2.33156415,2.03874596,0.02919548,2.72654788
-5.97598799,4.08107511,0.18825191,0.00000000,2.32112117,1.95502083,0.02905077,2.66160015
-5.96998499,4.00143407,0.19289704,0.00000000,2.31308392,1.87353772,0.02885335,2.59955026
-5.96398199,3.92617653,0.19763442,0.00000000,2.30716001,1.79454354,0.02860782,2.54036677
-5.95797899,3.85507512,0.20240851,0.00000000,2.30297812,1.71824948,0.02831954,2.48395307
-5.95197599,3.78782167,0.20715844,0.00000000,2.30010595,1.64483587,0.02799444,2.43016197
-5.94597299,3.72404940,0.21181984,0.00000000,2.29806912,1.57445543,0.02763883,2.37880933
-5.93996998,3.66335381,0.21632688,0.00000000,2.29637041,1.50723497,0.02725922,2.32968641
-5.93396698,3.60531178,0.22061420,0.00000000,2.29450904,1.44327605,0.02686204,2.28257125
-5.92796398,3.54949926,0.22461897,0.00000000,2.29199928,1.38265509,0.02645352,2.23723892
-5.92196098,3.49550738,0.22828274,0.00000000,2.28838835,1.32542325,0.02603945,2.19347094
-5.91595798,3.44295723,0.23155314,0.00000000,2.28327292,1.27160671,0.02562507,2.15106386
-5.90995498,3.39151341,0.23438547,0.00000000,2.27631403,1.22120757,0.02521491,2.10983733
-5.90395198,3.34089624,0.23674390,0.00000000,2.26725003,1.17420563,0.02481276,2.06964142
-5.89794897,3.29089277,0.23860256,0.00000000,2.25590730,1.13056123,0.02442161,2.03036347
-5.89194597,3.24136633,0.23994626,0.00000000,2.24220831,1.09021911,0.02404370,1.99193417
-5.88594297,3.19226450,0.24077088,0.00000000,2.22617703,1.05311315,0.02368050,1.95433289
-5.87993997,3.14362534,0.24108360,0.00000000,2.20794137,1.01917184,0.02333284,1.91759195
-5.87393697,3.09558144,0.24090269,0.00000000,2.18773260,0.98832405,0.02300102,1.88179976
-5.86793397,3.04836180,0.24025716,0.00000000,2.16588169,0.96050500,0.02268491,1.84710256
-5.86193097,3.00229113,0.23918612,0.00000000,2.14281270,0.93566172,0.02238412,1.81370450
-5.85592796,2.95778635,0.23773788,0.00000000,2.11903327,0.91375802,0.02209810,1.78186606
-5.84992496,2.91535039,0.23596896,0.00000000,2.09512244,0.89477836,0.02182631,1.75190047
-5.84392196,2.87556286,0.23394281,0.00000000,2.07171609,0.87873044,0.02156833,1.72416826
-5.83791896,2.83906799,0.23172844,0.00000000,2.04949031,0.86564639,0.02132397,1.69906978
-5.83191596,2.80655953,0.22939896,0.00000000,2.02914311,0.85558222,0.02109332,1.67703583
-5.82591296,2.77876313,0.22702989,0.00000000,2.01137486,0.84861565,0.02087681,1.65851644
-5.81990995,2.75641615,0.22469754,0.00000000,1.99686794,0.84484224,0.02067527,1.64396806
-5.81390695,2.74024551,0.22247716,0.00000000,1.98626624,0.84436994,0.02048981,1.63383935
-5.80790395,2.73094382,0.22044116,0.00000000,1.98015472,0.84731218,0.02032187,1.62855592
-5.80190095,2.72914448,0.21865722,0.00000000,1.97903992,0.85377987,0.02017309,1.62850440
-5.79589795,2.73539639,0.21718646,0.00000000,1.98333175,0.86387249,0.02004517,1.63401633
-5.78989495,2.75013894,0.21608160,0.00000000,1.99332724,0.87766865,0.01993981,1.64535227
-5.78389195,2.77367834,0.21538532,0.00000000,2.00919667,0.89521660,0.01985850,1.66268687
-5.77788894,2.80616599,0.21512862,0.00000000,2.03097281,0.91652507,0.01980240,1.68609539
-5.77188594,2.84758020,0.21532950,0.00000000,2.05854369,0.94155489,0.01977217,1.71554235
-5.76588294,2.89771192,0.21599193,0.00000000,2.09164927,0.97021189,0.01976783,1.75087293
-5.75987994,2.95615592,0.21710507,0.00000000,2.12988263,1.00234153,0.01978868,1.79180779
-5.75387694,3.02230789,0.21864305,0.00000000,2.17269573,1.03772563,0.01983313,1.83794184
-5.74787394,3.09536865,0.22056512,0.00000000,2.21941015,1.07608160,0.01989872,1.88874735
-5.74187094,3.17435577,0.22281640,0.00000000,2.26923263,1.11706441,0.01998208,1.94358192
-5.73586793,3.25812309,0.22532910,0.00000000,2.32127538,1.16027150,0.02007899,2.00170126
-5.72986493,3.34538802,0.22802445,0.00000000,2.37458084,1.20525071,0.02018446,2.06227694
-5.72386193,3.43476643,0.23081503,0.00000000,2.42815034,1.25151106,0.02029289,2.12441876
-5.71785893,3.52481427,0.23360764,0.00000000,2.48097583,1.29853631,0.02039827,2.18720130
-5.71185593,3.61407479,0.23630661,0.00000000,2.53207406,1.34580085,0.02049445,2.24969393
-5.70585293,3.70113010,0.23881742,0.00000000,2.58052177,1.39278747,0.02057538,2.31099343
-5.69984992,3.78465505,0.24105040,0.00000000,2.62549108,1.43900639,0.02063545,2.37025800
-5.69384692,3.86347149,0.24292458,0.00000000,2.66628349,1.48401490,0.02066985,2.42674148
-5.68784392,3.93660077,0.24437133,0.00000000,2.70236142,1.52743675,0.02067483,2.47982641
-5.68184092,4.00331205,0.24533766,0.00000000,2.73337585,1.56898053,0.02064812,2.52905448
-5.67583792,4.06316443,0.24578914,0.00000000,2.75918900,1.60845616,0.02058914,2.57415309
-5.66983492,4.11604052,0.24571212,0.00000000,2.77989083,1.64578884,0.02049933,2.61505661
-5.66383192,4.16216990,0.24511526,0.00000000,2.79580866,1.68102948,0.02038236,2.65192135
-5.65782891,4.20214085,0.24403016,0.00000000,2.80750916,1.71436123,0.02024424,2.68513313
-5.65182591,4.23689927,0.24251116,0.00000000,2.81579227,1.74610152,0.02009348,2.71530700
-5.64582291,4.26773432,0.24063415,0.00000000,2.82167710,1.77669913,0.01994109,2.74327850
-5.63981991,4.29625063,0.23849457,0.00000000,2.82637980,1.80672636,0.01980052,2.77008651
-5.63381691,4.32432758,0.23620447,0.00000000,2.83128395,1.83686611,0.01968754,2.79694781
-5.62781391,4.35406654,0.23388892,0.00000000,2.83790411,1.86789402,0.01962003,2.82522405
-5.62181091,4.38772766,0.23168178,0.00000000,2.84784357,1.90065623,0.01961771,2.85638173
-5.61580790,4.42765788,0.22972106,0.00000000,2.86274726,1.93604304,0.01970180,2.89194644
-5.60980490,4.47621245,0.22814400,0.00000000,2.88425133,1.97495930,0.01989453,2.93345260
