energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.76565503,0.00652024,0.48952651,0.00872349,0.00000000,0.46005280,0.21120829
-5.99399700,0.79475222,0.00637150,0.50945233,0.00904596,0.00000000,0.47234004,0.22161383
-5.98799400,0.82848742,0.00624237,0.53251839,0.00940349,0.00000000,0.48693726,0.23390155
-5.98199100,0.86670074,0.00613471,0.55866159,0.00979243,0.00000000,0.50375440,0.24805998
-5.97598799,0.90917742,0.00604962,0.58779003,0.01020835,0.00000000,0.52265800,0.26407120
-5.96998499,0.95565198,0.00598737,0.61978550,0.01064620,0.00000000,0.54347375,0.28191187
-5.96398199,1.00581418,0.00594740,0.65450669,0.01110036,0.00000000,0.56599069,0.30155400
-5.95797899,1.05931639,0.00592836,0.69179302,0.01156480,0.00000000,0.58996698,0.32296567
-5.95197599,1.11578190,0.00592815,0.73146869,0.01203323,0.00000000,0.61513687,0.34611137
-5.94597299,1.17481360,0.00594404,0.77334662,0.01249924,0.00000000,0.64121869,0.37095181
-5.93996998,1.23600255,0.00597275,0.81723182,0.01295652,0.00000000,0.66792323,0.39744317
-5.93396698,1.29893571,0.00601063,0.86292399,0.01339897,0.00000000,0.69496218,0.42553565
-5.92796398,1.36320235,0.00605379,0.91021887,0.01382089,0.00000000,0.72205616,0.45517118
-5.92196098,1.42839868,0.00609826,0.95890831,0.01421713,0.00000000,0.74894180,0.48628040
-5.91595798,1.49413041,0.00614015,1.00877878,0.01458316,0.00000000,0.77537762,0.51877897
-5.90995498,1.56001309,0.00617579,1.05960854,0.01491524,0.00000000,0.80114827,0.55256327
-5.90395198,1.62567030,0.00620187,1.11116345,0.01521041,0.00000000,0.82606707,0.58750581
-5.89794897,1.69073002,0.00621554,1.16319194,0.01546659,0.00000000,0.84997675,0.62345057
-5.89194597,1.75481951,0.00621451,1.21541949,0.01568253,0.00000000,0.87274841,0.66020862
-5.88594297,1.81755949,0.00619711,1.26754312,0.01585788,0.00000000,0.89427905,0.69755451
-5.87993997,1.87855824,0.00616229,1.31922669,0.01599306,0.00000000,0.91448784,0.73522361
-5.87393697,1.93740648,0.00610964,1.37009736,0.01608930,0.00000000,0.93331166,0.77291099
-5.86793397,1.99367374,0.00603940,1.41974409,0.01614851,0.00000000,0.95070027,0.81027206
-5.86193097,2.04690703,0.00595233,1.46771855,0.01617327,0.00000000,0.96661164,0.84692518
-5.85592796,2.09663237,0.00584975,1.51353874,0.01616671,0.00000000,0.98100791,0.88245663
-5.84992496,2.14235952,0.00573339,1.55669574,0.01613249,0.00000000,0.99385235,0.91642759
-5.84392196,2.18359008,0.00560531,1.59666346,0.01607471,0.00000000,1.00510756,0.94838350
-5.83791896,2.21982891,0.00546788,1.63291118,0.01599782,0.00000000,1.01473528,0.97786511
-5.83191596,2.25059843,0.00532362,1.66491853,0.01590662,0.00000000,1.02269764,1.00442122
-5.82591296,2.27545520,0.00517516,1.69219222,0.01580613,0.00000000,1.02895991,1.02762232
-5.81990995,2.29400791,0.00502521,1.71428389,0.01570158,0.00000000,1.03349449,1.04707485
-5.81390695,2.30593579,0.00487644,1.73080785,0.01559829,0.00000000,1.03628579,1.06243504
-5.80790395,2.31100635,0.00473147,1.74145818,0.01550166,0.00000000,1.03733557,1.07342211
-5.80190095,2.30909126,0.00459287,1.74602378,0.01541701,0.00000000,1.03666830,1.07982964
-5.79589795,2.30017929,0.00446308,1.74440080,0.01534954,0.00000000,1.03433592,1.08153498
-5.78989495,2.28438535,0.00434446,1.73660136,0.01530418,0.00000000,1.03042165,1.07850581
-5.78389195,2.26195492,0.00423921,1.72275816,0.01528553,0.00000000,1.02504235,1.07080361
-5.77788894,2.23326318,0.00414945,1.70312440,0.01529768,0.00000000,1.01834906,1.05858373
-5.77188594,2.19880887,0.00407713,1.67806898,0.01534411,0.00000000,1.01052551,1.04209199
-5.76588294,2.15920267,0.00402404,1.64806695,0.01542756,0.00000000,1.00178460,1.02165788
-5.75987994,2.11515068,0.00399182,1.61368558,0.01554994,0.00000000,0.99236274,0.99768461
-5.75387694,2.06743362,0.00398188,1.57556678,0.01571216,0.00000000,0.98251242,0.97063648
-5.74787394,2.01688256,0.00399540,1.53440643,0.01591412,0.00000000,0.97249317,0.94102403
-5.74187094,1.96435251,0.00403325,1.49093175,0.01615462,0.00000000,0.96256151,0.90938773
-5.73586793,1.91069486,0.00409598,1.44587770,0.01643131,0.00000000,0.95296035,0.87628082
-5.72986493,1.85673020,0.00418374,1.39996355,0.01674076,0.00000000,0.94390832,0.84225223
-5.72386193,1.80322265,0.00429623,1.35387063,0.01707844,0.00000000,0.93558983,0.80783014
-5.71785893,1.75085699,0.00443269,1.30822240,0.01743886,0.00000000,0.92814627,0.77350703
-5.71185593,1.70021963,0.00459185,1.26356760,0.01781569,0.00000000,0.92166898,0.73972672
-5.70585293,1.65178427,0.00477193,1.22036729,0.01820190,0.00000000,0.91619437,0.70687403
-5.69984992,1.60590287,0.00497065,1.17898623,0.01858998,0.00000000,0.91170153,0.67526729
-5.69384692,1.56280223,0.00518525,1.13968890,0.01897219,0.00000000,0.90811266,0.64515398
-5.68784392,1.52258631,0.00541258,1.10264017,0.01934077,0.00000000,0.90529613,0.61670956
-5.68184092,1.48524393,0.00564917,1.06791050,0.01968821,0.00000000,0.90307242,0.59003939
-5.67583792,1.45066143,0.00589133,1.03548506,0.02000756,0.00000000,0.90122240,0.56518347
-5.66983492,1.41863957,0.00613529,1.00527645,0.02029260,0.00000000,0.89949780,0.54212361
-5.66383192,1.38891364,0.00637734,0.97713993,0.02053818,0.00000000,0.89763330,0.52079262
-5.65782891,1.36117571,0.00661397,0.95089051,0.02074035,0.00000000,0.89535976,0.50108490
-5.65182591,1.33509798,0.00684205,0.92632084,0.02089655,0.00000000,0.89241773,0.48286787
-5.64582291,1.31035584,0.00705894,0.90321900,0.02100576,0.00000000,0.88857092,0.46599364
-5.63981991,1.28664955,0.00726263,0.88138517,0.02106855,0.00000000,0.88361862,0.45031024
-5.63381691,1.26372352,0.00745185,0.86064647,0.02108706,0.00000000,0.87740663,0.43567202
-5.62781391,1.24138214,0.00762613,0.84086910,0.02106502,0.00000000,0.86983610,0.42194859
-5.62181091,1.21950155,0.00778583,0.82196730,0.02100754,0.00000000,0.86086975,0.40903199
-5.61580790,1.19803665,0.00793214,0.80390882,0.02092103,0.00000000,0.85053518,0.39684189
-5.60980490,1.17702329,0.00806704,0.78671654,0.02081288,0.00000000,0.83892512,0.38532851
