energy_ev,total_up,Ge_p_up,Ge_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,3.58150220,0.92423040,0.00000000,0.80372924,2.30735812,0.04313978,0.79633559
-5.99399700,3.73676681,0.96266380,0.00000000,0.82373935,2.41323662,0.04515489,0.82952888
-5.98799400,3.89314052,1.00108897,0.00000000,0.84591710,2.51818418,0.04727429,0.86352539
-5.98199100,4.04836709,1.03893754,0.00000000,0.86991427,2.62069413,0.04948047,0.89779459
-5.97598799,4.20007466,1.07562605,0.00000000,0.89530753,2.71922918,0.05175153,0.93176482
-5.96998499,4.34581918,1.11056697,0.00000000,0.92160416,2.81225081,0.05406127,0.96483427
-5.96398199,4.48313250,1.14318016,0.00000000,0.94825070,2.89825011,0.05637946,0.99638355
-5.95797899,4.60957423,1.17290458,0.00000000,0.97464434,2.97577940,0.05867232,1.02578967
-5.95197599,4.72278648,1.19920985,0.00000000,1.00014699,3.04348389,0.06090322,1.05244110
-5.94597299,4.82054978,1.22160758,0.00000000,1.02410149,3.10013261,0.06303349,1.07575363
-5.93996998,4.90083899,1.23966196,0.00000000,1.04584961,3.14464775,0.06502342,1.09518643
-5.93396698,4.96187697,1.25299945,0.00000000,1.06475105,3.17613151,0.06683343,1.11025787
-5.92796398,5.00218448,1.26131728,0.00000000,1.08020284,3.19388953,0.06842524,1.12056047
-5.92196098,5.02062414,1.26439038,0.00000000,1.09165831,3.19745002,0.06976316,1.12577431
-5.91595798,5.01643667,1.26207674,0.00000000,1.09864488,3.18657790,0.07081531,1.12567839
-5.90995498,4.98926779,1.25432074,0.00000000,1.10077976,3.16128310,0.07155478,1.12015932
-5.90395198,4.93918431,1.24115458,0.00000000,1.09778314,3.12182274,0.07196066,1.10921689
-5.89794897,4.86667849,1.22269751,0.00000000,1.08948799,3.06869679,0.07201892,1.09296623
-5.89194597,4.77266004,1.19915310,0.00000000,1.07584627,3.00263717,0.07172297,1.07163624
-5.88594297,4.65843581,1.17080434,0.00000000,1.05693117,2.92459053,0.07107411,1.04556432
-5.87993997,4.52567760,1.13800692,0.00000000,1.03293532,2.83569511,0.07008158,1.01518757
-5.87393697,4.37637910,1.10118083,0.00000000,1.00416508,2.73725246,0.06876238,0.98103065
-5.86793397,4.21280346,1.06080043,0.00000000,0.97103124,2.63069485,0.06714081,0.94369081
-5.86193097,4.03742343,1.01738342,0.00000000,0.93403647,2.51754948,0.06524774,0.90382071
-5.85592796,3.85285618,0.97147906,0.00000000,0.89376026,2.39940073,0.06311969,0.86210961
-5.84992496,3.66179540,0.92365579,0.00000000,0.85084182,2.27785179,0.06079766,0.81926383
-5.84392196,3.46694298,0.87448897,0.00000000,0.80596184,2.15448684,0.05832591,0.77598711
-5.83791896,3.27094293,0.82454873,0.00000000,0.75982381,2.03083525,0.05575059,0.73296174
-5.83191596,3.07631987,0.77438861,0.00000000,0.71313549,1.90833879,0.05311838,0.69083111
-5.82591296,2.88542394,0.72453506,0.00000000,0.66659139,1.78832304,0.05047519,0.65018438
-5.81990995,2.70038411,0.67547820,0.00000000,0.62085671,1.67197365,0.04786484,0.61154364
-5.81390695,2.52307099,0.62766402,0.00000000,0.57655316,1.56031829,0.04532798,0.57535406
-5.80790395,2.35507000,0.58148821,0.00000000,0.53424712,1.45421436,0.04290112,0.54197719
-5.80190095,2.19766529,0.53729160,0.00000000,0.49444012,1.35434287,0.04061583,0.51168738
-5.79589795,2.05183414,0.49535744,0.00000000,0.45756204,1.26120810,0.03849818,0.48467145
-5.78989495,1.91825137,0.45591032,0.00000000,0.42396655,1.17514283,0.03656840,0.46103113
-5.78389195,1.79730284,0.41911672,0.00000000,0.39392911,1.09631850,0.03484069,0.44078817
-5.77788894,1.68910653,0.38508701,0.00000000,0.36764685,1.02475958,0.03332333,0.42389148
-5.77188594,1.59354001,0.35387878,0.00000000,0.34524045,0.96036126,0.03201885,0.41022606
-5.76588294,1.51027249,0.32550127,0.00000000,0.32675744,0.90290953,0.03092451,0.39962296
-5.75987994,1.43879968,0.29992057,0.00000000,0.31217666,0.85210274,0.03003277,0.39187000
-5.75387694,1.37848016,0.27706553,0.00000000,0.30141374,0.80757356,0.02933196,0.38672260
-5.74787394,1.32857131,0.25683395,0.00000000,0.29432710,0.76891055,0.02880696,0.38391437
-5.74187094,1.28826384,0.23909898,0.00000000,0.29072432,0.73567848,0.02843998,0.38316710
-5.73586793,1.25671361,0.22371537,0.00000000,0.29036885,0.70743683,0.02821131,0.38419980
-5.72986493,1.23306996,0.21052553,0.00000000,0.29298669,0.68375577,0.02810007,0.38673671
-5.72386193,1.21650003,0.19936511,0.00000000,0.29827308,0.66422947,0.02808494,0.39051404
-5.71785893,1.20620883,0.19006812,0.00000000,0.30589929,0.64848647,0.02814482,0.39528551
-5.71185593,1.20145486,0.18247141,0.00000000,0.31551919,0.63619704,0.02825941,0.40082663
-5.70585293,1.20156175,0.17641850,0.00000000,0.32677594,0.62707772,0.02840975,0.40693789
-5.69984992,1.20592608,0.17176282,0.00000000,0.33930868,0.62089333,0.02857867,0.41344692
-5.69384692,1.21402198,0.16837022,0.00000000,0.35275913,0.61745659,0.02875110,0.42020979
-5.68784392,1.22540311,0.16612096,0.00000000,0.36677838,0.61662604,0.02891439,0.42711164
-5.68184092,1.23970246,0.16491111,0.00000000,0.38103352,0.61830248,0.02905846,0.43406666
-5.67583792,1.25663072,0.16465354,0.00000000,0.39521431,0.62242436,0.02917593,0.44101769
-5.66983492,1.27597347,0.16527835,0.00000000,0.40903961,0.62896275,0.02926213,0.44793542
-5.66383192,1.29758775,0.16673306,0.00000000,0.42226354,0.63791592,0.02931512,0.45481720
-5.65782891,1.32139801,0.16898236,0.00000000,0.43468111,0.64930401,0.02933555,0.46168566
-5.65182591,1.34739179,0.17200758,0.00000000,0.44613318,0.66316398,0.02932654,0.46858685
-5.64582291,1.37561486,0.17580589,0.00000000,0.45651055,0.67954482,0.02929351,0.47558814
-5.63981991,1.40616584,0.18038911,0.00000000,0.46575689,0.69850315,0.02924392,0.48277560
-5.63381691,1.43919008,0.18578228,0.00000000,0.47387033,0.72009909,0.02918698,0.49025093
-5.62781391,1.47487245,0.19202183,0.00000000,0.48090364,0.74439243,0.02913338,0.49812785
-5.62181091,1.51342894,0.19915348,0.00000000,0.48696269,0.77143877,0.02909489,0.50652793
-5.61580790,1.55509683,0.20722968,0.00000000,0.49220330,0.80128567,0.02908405,0.51557594
-5.60980490,1.60012328,0.21630682,0.00000000,0.49682627,0.83396860,0.02911369,0.52539465
-5.60380190,1.64875245,0.22644201,0.00000000,0.50107091,0.86950655,0.02919655,0.53609930
