energy_ev,total_up,Hg_p_up,Hg_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,0.58008363,0.40283059,0.09479665,0.27774691,0.00119382,0.03887244,0.09764023
-5.99399700,0.60068240,0.41192107,0.09689896,0.29222413,0.00121469,0.04120203,0.09975515
-5.98799400,0.62562276,0.42372832,0.10008556,0.30726208,0.00124949,0.04412689,0.10302981
-5.98199100,0.65403620,0.43757935,0.10420753,0.32246751,0.00129620,0.04760518,0.10731275
-5.97598799,0.68507197,0.45282491,0.10911675,0.33745964,0.00135287,0.05159154,0.11245398
-5.96998499,0.71791199,0.46885165,0.11466788,0.35187940,0.00141767,0.05603739,0.11830676
-5.96398199,0.75178471,0.48509308,0.12072016,0.36539832,0.00148885,0.06089143,0.12472915
-5.95797899,0.78597772,0.50103901,0.12713914,0.37772663,0.00156484,0.06610019,0.13158538
-5.95197599,0.81984924,0.51624344,0.13379821,0.38862049,0.00164422,0.07160879,0.13874719
-5.94597299,0.85283809,0.53033071,0.14058022,0.39788778,0.00172573,0.07736189,0.14609496
-5.93996998,0.88447226,0.54299976,0.14737894,0.40539251,0.00180834,0.08330486,0.15351902
-5.93396698,0.91437556,0.55402648,0.15410059,0.41105726,0.00189119,0.08938510,0.16092077
-5.92796398,0.94227251,0.56326401,0.16066531,0.41486382,0.00197368,0.09555358,0.16821390
-5.92196098,0.96799100,0.57064101,0.16700846,0.41685175,0.00205544,0.10176641,0.17532556
-5.91595798,0.99146275,0.57615805,0.17308191,0.41711498,0.00213633,0.10798644,0.18219747
-5.90995498,1.01272132,0.57988221,0.17885499,0.41579654,0.00221648,0.11418486,0.18878695
-5.90395198,1.03189775,0.58194004,0.18431522,0.41308156,0.00229625,0.12034251,0.19506773
-5.89794897,1.04921363,0.58250939,0.18946866,0.40918893,0.00237627,0.12645090,0.20103058
-5.89194597,1.06497189,0.58181017,0.19433973,0.40436191,0.00245736,0.13251295,0.20668367
-5.88594297,1.07954531,0.58009468,0.19897058,0.39885810,0.00254058,0.13854301,0.21205253
-5.87993997,1.09336306,0.57763777,0.20341983,0.39293925,0.00262713,0.14456651,0.21717963
-5.87393697,1.10689555,0.57472727,0.20776070,0.38686121,0.00271836,0.15061878,0.22212357
-5.86793397,1.12063805,0.57165511,0.21207850,0.38086475,0.00281566,0.15674338,0.22695776
-5.86193097,1.13509351,0.56870941,0.21646762,0.37516725,0.00292046,0.16298967,0.23176873
-5.85592796,1.15075510,0.56616790,0.22102786,0.36995587,0.00303412,0.16940989,0.23665400
-5.84992496,1.16808906,0.56429271,0.22586055,0.36538239,0.00315787,0.17605576,0.24171957
-5.84392196,1.18751844,0.56332680,0.23106419,0.36155980,0.00329275,0.18297478,0.24707715
-5.83791896,1.20940832,0.56349187,0.23673021,0.35856077,0.00343952,0.19020636,0.25284120
-5.83191596,1.23405290,0.56498769,0.24293860,0.35641801,0.00359857,0.19777809,0.25912577
-5.82591296,1.26166517,0.56799267,0.24975395,0.35512633,0.00376991,0.20570222,0.26604137
-5.81990995,1.29236924,0.57266529,0.25722193,0.35464623,0.00395310,0.21397271,0.27369191
