energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.96408362,0.41108547,0.17975131,0.00100318,0.01407483,0.24706134,0.08363819,0.02079862,0.65823626
-5.99399700,0.92320223,0.39909479,0.17279096,0.00094306,0.01351466,0.24169972,0.07952496,0.01948879,0.63140429
-5.98799400,0.88393497,0.38745539,0.16644002,0.00088113,0.01300475,0.23667309,0.07550896,0.01821066,0.60550450
-5.98199100,0.84678466,0.37629764,0.16080332,0.00081816,0.01255218,0.23200203,0.07163961,0.01698316,0.58086112
-5.97598799,0.81220506,0.36573496,0.15598137,0.00075491,0.01216271,0.22769389,0.06796133,0.01582379,0.55776527
-5.96998499,0.78059118,0.35586029,0.15206816,0.00069217,0.01184081,0.22374225,0.06451265,0.01474829,0.53646843
-5.96398199,0.75227335,0.34674421,0.14914947,0.00063068,0.01158970,0.22012742,0.06132556,0.01377045,0.51717852
-5.95797899,0.72751464,0.33843456,0.14730160,0.00057112,0.01141150,0.21681784,0.05842523,0.01290190,0.50005827
-5.95197599,0.70651129,0.33095742,0.14659045,0.00051411,0.01130730,0.21377235,0.05583006,0.01215209,0.48522587
-5.94597299,0.68939560,0.32431921,0.14707077,0.00046021,0.01127739,0.21094292,0.05355195,0.01152823,0.47275718
-5.93996998,0.67624053,0.31850956,0.14878565,0.00040987,0.01132137,0.20827789,0.05159677,0.01103530,0.46268939
-5.93396698,0.66706548,0.31350479,0.15176595,0.00036345,0.01143834,0.20572525,0.04996498,0.01067610,0.45502540
-5.92796398,0.66184239,0.30927143,0.15602978,0.00032123,0.01162699,0.20323588,0.04865232,0.01045132,0.44973854
-5.92196098,0.66050191,0.30576974,0.16158183,0.00028343,0.01188577,0.20076647,0.04765050,0.01035965,0.44677734
-5.91595798,0.66293885,0.30295677,0.16841270,0.00025018,0.01221293,0.19828199,0.04694792,0.01039781,0.44606981
-5.90995498,0.66901699,0.30078895,0.17649811,0.00022158,0.01260657,0.19575755,0.04653027,0.01056067,0.44752722
-5.90395198,0.67857293,0.29922395,0.18579826,0.00019768,0.01306468,0.19317961,0.04638107,0.01084135,0.45104716
-5.89794897,0.69141912,0.29822185,0.19625723,0.00017851,0.01358516,0.19054640,0.04648216,0.01123127,0.45651583
-5.89194597,0.70734627,0.29774568,0.20780275,0.00016411,0.01416578,0.18786784,0.04681403,0.01172030,0.46380989
-5.88594297,0.72612548,0.29776134,0.22034637,0.00015453,0.01480418,0.18516465,0.04735615,0.01229684,0.47279774
-5.87993997,0.74751042,0.29823719,0.23378418,0.00014986,0.01549787,0.18246717,0.04808721,0.01294796,0.48334079
-5.87393697,0.77123994,0.29914326,0.24799826,0.00015024,0.01624423,0.17981362,0.04898536,0.01365960,0.49529465
-5.86793397,0.79704145,0.30045055,0.26285883,0.00015585,0.01704057,0.17724833,0.05002843,0.01441675,0.50851071
-5.86193097,0.82463529,0.30213036,0.27822716,0.00016698,0.01788413,0.17481970,0.05119419,0.01520370,0.52283818
-5.85592796,0.85374020,0.30415383,0.29395924,0.00018396,0.01877216,0.17257839,0.05246061,0.01600435,0.53812663
-5.84992496,0.88407979,0.30649191,0.30991005,0.00020723,0.01970206,0.17057545,0.05380624,0.01680251,0.55422916
-5.84392196,0.91538968,0.30911561,0.32593817,0.00023730,0.02067141,0.16886084,0.05521055,0.01758226,0.57100596
-5.83791896,0.94742511,0.31199662,0.34191064,0.00027475,0.02167808,0.16748209,0.05665430,0.01832835,0.58832813
-5.83191596,0.97996818,0.31510817,0.35770762,0.00032023,0.02272035,0.16648319,0.05811998,0.01902655,0.60608139
-5.82591296,1.01283432,0.31842607,0.37322668,0.00037444,0.02379687,0.16590377,0.05959213,0.01966401,0.62416939
-5.81990995,1.04587715,0.32192963,0.38838619,0.00043810,0.02490672,0.16577837,0.06105765,0.02022964,0.64251610
-5.81390695,1.07899109,0.32560242,0.40312772,0.00051192,0.02604932,0.16613583,0.06250599,0.02071437,0.66106714
-5.80790395,1.11211129,0.32943266,0.41741702,0.00059657,0.02722430,0.16699869,0.06392920,0.02111138,0.67978938
-5.80190095,1.14521032,0.33341310,0.43124349,0.00069266,0.02843126,0.16838256,0.06532188,0.02141624,0.69866892
-5.79589795,1.17829160,0.33754024,0.44461808,0.00080066,0.02966957,0.17029538,0.06668086,0.02162696,0.71770715
-5.78989495,1.21137967,0.34181298,0.45756948,0.00092091,0.03093795,0.17273663,0.06800483,0.02174396,0.73691503
-5.78389195,1.24450753,0.34623069,0.47013901,0.00105351,0.03223416,0.17569638,0.06929373,0.02176991,0.75630578
-5.77788894,1.27770199,0.35079068,0.48237421,0.00119833,0.03355455,0.17915440,0.07054806,0.02170955,0.77588641
-5.77188594,1.31096771,0.35548554,0.49432168,0.00135498,0.03489369,0.18307921,0.07176814,0.02156931,0.79564862
-5.76588294,1.34427117,0.36030022,0.50601953,0.00152271,0.03624405,0.18742735,0.07295328,0.02135697,0.81555972
-5.75987994,1.37752583,0.36520947,0.51749003,0.00170046,0.03759563,0.19214293,0.07410104,0.02108127,0.83555434
-5.75387694,1.41057962,0.37017565,0.52873295,0.00188681,0.03893587,0.19715750,0.07520660,0.02075142,0.85552758
-5.74787394,1.44320611,0.37514734,0.53972004,0.00207997,0.04024954,0.20239054,0.07626223,0.02037668,0.87533046
-5.74187094,1.47510026,0.38005896,0.55039135,0.00227783,0.04151887,0.20775051,0.07725702,0.01996596,0.89476810
-5.73586793,1.50587968,0.38483152,0.56065344,0.00247796,0.04272377,0.21313658,0.07817692,0.01952746,0.91360121
-5.72986493,1.53509162,0.38937466,0.57038003,0.00267767,0.04384228,0.21844113,0.07900490,0.01906834,0.93155103
-5.72386193,1.56222593,0.39358999,0.57941503,0.00287405,0.04485115,0.22355284,0.07972156,0.01859455,0.94830778
-5.71785893,1.58673355,0.39737556,0.58757785,0.00306407,0.04572652,0.22836044,0.08030588,0.01811063,0.96354232
-5.71185593,1.60804963,0.40063127,0.59467100,0.00324463,0.04644478,0.23275683,0.08073630,0.01761974,0.97692056
-5.70585293,1.62562032,0.40326507,0.60048929,0.00341267,0.04698343,0.23664355,0.08099183,0.01712368,0.98811983
-5.69984992,1.63893156,0.40519932,0.60483035,0.00356530,0.04732200,0.23993522,0.08105341,0.01662301,0.99684637
-5.69384692,1.64753824,0.40637712,0.60750583,0.00369980,0.04744293,0.24256375,0.08090518,0.01611725,1.00285278
-5.68784392,1.65109199,0.40676806,0.60835244,0.00381384,0.04733239,0.24448210,0.08053573,0.01560514,1.00595443
-5.68184092,1.64936565,0.40637290,0.60724241,0.00390545,0.04698099,0.24566731,0.07993914,0.01508492,1.00604368
-5.67583792,1.64227281,0.40522692,0.60409241,0.00397317,0.04638427,0.24612252,0.07911588,0.01455458,1.00310088
-5.66983492,1.62988106,0.40340145,0.59887062,0.00401604,0.04554308,0.24587786,0.07807330,0.01401222,0.99720126
-5.66383192,1.61241778,0.40100343,0.59160124,0.00403370,0.04446372,0.24499006,0.07682584,0.01345622,0.98851726
-5.65782891,1.59026781,0.39817291,0.58236628,0.00402636,0.04315782,0.24354078,0.07539485,0.01288555,0.97731568
-5.65182591,1.56396297,0.39507830,0.57130433,0.00399480,0.04164208,0.24163352,0.07380800,0.01229986,0.96394971
-5.64582291,1.53416357,0.39190984,0.55860647,0.00394034,0.03993770,0.23938941,0.07209835,0.01169966,0.94884618
